[["LUCHT","BLAZEN","AIRBlow","AIR","Steady air blows, like from a compressed can of air.","perslucht, drukloos maken, loslaten, puff, sputter, flutter, purge..."],
["BOOT","ROEIBOOT","BOATRow","BOAT","Canoes, rowboats, kayaks probably, human powered boats that use oars and paddles, even racing rowboats.","kano, roeiboot, kajak, roeispaan, peddel, drakenboot, roeien"],
["BOOT","ZEILBOOT","BOATSail","BOAT","Composite recordings of rigging and sails, isolated elements to CLOTH-FLAP for close sails, or BOATS-MECHANISM for rigging.","zeilboot, schoener, yawl, sloep, ketch, motorsailer"],
["BOOT","SCHIP","BOATShip","BOAT","Large ship, passenger cruise ships, oil tankers, things relating to these.","groot schip, cruiseschip, olietanker, vrachtschip, vrachtschip"],
["BOOT","STOOMBOOT","BOATStm","BOAT","Old steam paddle boats, big steam ship sounds.","stoomraderschip, raderstoomboot, stoommachine"],
["BOOT","ONDERZEEËR","BOATSub","BOAT","Relating to a submarine, include sonar pings. Classic 'Dive' alarm would go in ALARMS-SIREN with keyword Klaxon.","onderzeeër, sonar, duikboot, u-boot"],
["BOOT","ONDERWATER","BOATUndwtr","BOAT","Specifically boats and ships recorded underwater, usually hydrophone recordings. SUBMARINES have their own subcategory.","boot, schip, onder water, tanker, vissersboot, motorboot, onder water"],
["KOGELS","PASSEREN","BLLTBy","BLLT","Bullet pass bys in air, or underwater.","bullet whiz-by, fwip"],
["KOGELS","INSLAG","BLLTImpt","BLLT","Bullet hits and impacts, on a bullet hit on any material from the ground, to wood, to a person.","kogelinslag, kogelinslag"],
["KOGELS","DIVERSEN","BLLTMisc","BLLT","Bullet sounds not fitting another category in this list.","diverse"],
["KOGELS","RICOCHET","BLLTRico","BLLT","Bullet ricochets, that classic old west 'ping' when a bullet bounces off something.","ricos, ricochet, afketsen"],
["KOGELS","HULS","BLLTShel","BLLT","Bullet shells ejecting and dropping to the ground. See also GUNS-HANDLING for things like loading or unloading a gun.","huls, casing, eject"],
["CARTOON","BEEST","TOONAnml","TOON","Cartoon animals, made from animals calls, props, etc. Very silly or stylized animals calls for use in Cartoons.","nepdier, jachtroep, eendenroep"],
["CARTOON","BOING","TOONBoing","TOON","Cartoon boings, like for a bouncing cartoon character. Roger Rabbit or Tigger from Winnie the Pooh.","kaakharp, mondharp"],
["CARTOON","CLANG","TOONClang","TOON","Cartoon clangs, like a funny anvil hit. Most likely a very metallic resonant hit.","gekletter, metaal"],
["CARTOON","KRAAK","TOONCreak","TOON","Cartoon creaks, some overlap or confusion with CARTOON-STRETCH possible.","rubber, hout"],
["CARTOON","TOETER","TOONHorn","TOON","Cartoon horns, as in bulb horns, clown horns.","bolhoorn, toeter, clownshoorn"],
["CARTOON","IMPACT","TOONImpt","TOON","Cartoon hits, bonk, boink, doink..","bonk, boink, doink"],
["CARTOON","MACHINE","TOONMach","TOON","Cartoon machines, an overly comical sounding machine or contraption. A Rube Goldberg contraption.","contraptie, komische machine, rube goldberg machine"],
["CARTOON","DIVERSEN","TOONMisc","TOON","Cartoon sounds not fitting another category in this list.","toon, squanch, blorb, flump"],
["CARTOON","MUZIKAAL","TOONMx","TOON","Cartoon musical phrases. String plucks for a cartoon character sneaking up on another. Perhaps a cartoon musical phrase.","glijden, stijgen, dalen,"],
["CARTOON","PLUK","TOONPluk","TOON","Cartoon string plucks, violin plucks, dental floss plucks.","touwtje trekken"],
["CARTOON","POP","TOONPop","TOON","Cartoon funny pops, mouth pops, suction cup pops.","pop gun, mouth pop, suction cup, bubble pops"],
["CARTOON","SCHUD","TOONShake","TOON","Cartoon shake, like a noisemaker toy, maraca.","rammelaar"],
["CARTOON","SPLAT","TOONSplt","TOON","Cartoon splats, funny liquid and mud like splats and things.","splat, splort, squish"],
["CARTOON","PIEP","TOONSqk","TOON","Cartoon squeaks. funny little sounding squeaks of things.","piepen"],
["CARTOON","REK","TOONStrch","TOON","Cartoon stretches, funny rubber or other type stretching sounds, exaggerated.","stam"],
["CARTOON","SWISH","TOONSwsh","TOON","Cartoon swishes, specifically very funny cartoony swishes.","draaien, wervelen"],
["CARTOON","TWANG","TOONTwang","TOON","Cartoon twangs, that classic ruler twang type sound.","liniaal, mondharp"],
["CARTOON","VOERTUIG","TOONVeh","TOON","Cartoon vehicles, think Jetsons spaceship or Flintstones cars.","jetsons, contraptie. Flintstones auto, backfire"],
["CARTOON","STEM","TOONVox","TOON","Cartoon vocals, specifically very silly. See also CARTOON-ANIMALS for non-human vocals.","mompelen, domme stem, tekenfilm stem"],
["CARTOON","WIEBEL","TOONWarb","TOON","Cartoon warble.","wobble"],
["CARTOON","FLUIT","TOONWhis","TOON","Cartoon whistles, most likely slide whistles, other very silly whistles. A Wolf-Whistle.","schuif fluit"],
["CARTOON","ZIP","TOONZip","TOON","Cartoon zips. Very fast 'zip' type sounds, often for fast movement aways.","zip, rico, sirene, fluitje"],
["KERAMIEK","BREKEN","CERMBrk","CERM","Ceramics break of a more singular nature, a plate shatter, breaking, cracking, crunching. Mostly for single items breaking. See also CERAMICS-CRASH & DEBRIS.","break, crack, shatter, crunch"],
["KERAMIEK","CRASH & PUIN","CERMCrsh","CERM","Ceramics destruction of more of a group nature, multiple crashes and debris. See also CERAMICS-BREAK.","vallen, brokstukken, scherven"],
["KERAMIEK","WRIJVING","CERMFric","CERM","Ceramics friction, scraping, squeaking, screeching.","stress, schrapen, kraken, piepen, krijsen"],
["KERAMIEK","HANDELINGEN","CERMHndl","CERM","Ceramics handling, picking up a coffee mug, handling a plant pot. Some overlap with CERAMICS-MOVEMENT.","hanteren, grijpen, instellen, ophalen, neerzetten, gooien, vangen"],
["KERAMIEK","IMPACT","CERMImpt","CERM","Ceramics impacts without breaking, so hits drops, clunks and clinks. See also CERAMICS-BREAK.","raken, laten vallen, botsen, crashen, klakken, rinkelen"],
["KERAMIEK","DIVERSEN","CERMMisc","CERM","Ceramics sounds not fitting another category in this list.","diverse"],
["KERAMIEK","BEWEGING","CERMMvmt","CERM","Ceramics single or group movement, so dragging, shaking and rattling. See also CERAMICS-HANDLE.","slepen, rollen, rammelen, schudden"],
["KERAMIEK","TONAAL","CERMTonl","CERM","Ceramics ringing, as in being bowed.","buigen, ring, shing, ping"],
["KETTINGEN","BREKEN","CHAINBrk","CHAIN","Chain snapping or breaking, that sharp sound of a chain failing.","breken, breken, buigen"],
["KETTINGEN","HANDELINGEN","CHAINHndl","CHAIN","Chain handling, repairing a bike chain, a prisoner moving around in chains. Some overlap with CHAINS-MOVEMENT.","hanteren, grijpen, instellen, ophalen, neerzetten, gooien, vangen"],
["KETTINGEN","IMPACT","CHAINImpt","CHAIN","Chain impacts, such a big chain hit or slam, or a tension snap of a chain being pulled taut.","laten vallen, raken, botsen, slam, spanning snapt"],
["KETTINGEN","DIVERSEN","CHAINMisc","CHAIN","Chain sounds not fitting another category in this list.","diverse"],
["KETTINGEN","BEWEGING","CHAINMvmt","CHAIN","Chain handling, particularly being pulled through pulleys or across surfaces. See also CHAINS-HANDLE.","slepen, handboeien, gevangenisketting, hondenketting"],
["CHEMICALIËN","ZUUR","CHEMAcid","CHEM","Chemical acid burning and sizzling, bubbling. A vat of acid.","sissen, smelten, bruisen"],
["CHEMICALIËN","DIVERSEN","CHEMMisc","CHEM","Chemical sounds not fitting another category in this list.","diverse"],
["CHEMICALIËN","REACTIE","CHEMReac","CHEM","Chemical reactions, chemistry set, bubbling, foaming, bunsen burner reactions. Overlap perhaps with LIQUID & MUD category.","borrelen, schuimen, reactie"],
["KLOKKEN","KLOKGELUI","CLOCKChim","CLOCK","Chimes, bells specifically for a clock, Grandfather clock chimes. Alarm clocks would go to ALARMS-CLOCK.","luiden, bel, staande klok"],
["KLOKKEN","MECHANISME","CLOCKMech","CLOCK","Clocks winding, complex mechanical clock mechanisms.","opwinden, uurwerk, koekoeksklok"],
["KLOKKEN","DIVERSEN","CLOCKMisc","CLOCK","Clock sounds not fitting another category in this list. Also see ALARMS-CLOCK","diverse"],
["KLOKKEN","TIKKEN","CLOCKTick","CLOCK","Analog ticking clocks and watches of all sizes, also mechanical stop watches.","tik, klik, kwarts, tik-tak, stopwatch, eierwekker"],
["STOF","FLAPPEREN","CLOTHFlp","CLOTH","Cloth flapping, as in a flag flapping, or superman's cape. Also ship sails and parachutes.","flap, vlag, ritselen, parachute, cape, zeildoek, zeil, laken"],
["STOF","HANDELINGEN","CLOTHHndl","CLOTH","Cloth handling, grabbing a jacket, clothy arm grabs, etc. Some overlap with CLOTH-MOVEMENT. See also possibly OBJECTS-FASHION.","hanteren, grijpen, instellen, ophalen, neerzetten, gooien, vangen"],
["STOF","IMPACT","CLOTHImpt","CLOTH","Cloth impacts, throwing a jacket forcefully to the floor, a wet towel snap. Some overlap with CLOTH-MOVEMENT possible.","slaan, laten vallen, botsen, smakken"],
["STOF","DIVERSEN","CLOTHMisc","CLOTH","Cloth sounds not fitting another category in this list.","diverse"],
["STOF","BEWEGING","CLOTHMvmt","CLOTH","Varied cloth movement except flapping which has its own category. Variety of cloth movement. Cloth zuzz. See also CLOTH-FLAP.","zuzz, swish, rustle, ruffle, scrunch, mvmt"],
["STOF","SCHEUR","CLOTHRip","CLOTH","Various cloth rips and tears, short to long. Velcro would best fit here too.","scheuren, scheuren, klittenband"],
["COMMUNICATIE","AUDIO VISUEEL","COMAv","COM","Various AV devices such a projector or tape recorder, video cameras here too. Some overlap or confusion with COMMUNICATIONS-CAMERA.","filmcamera, spoelen, filmcamera, projector, bandrecorder, nagra, walkman, cd-speler, reel to reel, vcr, laserdiscspeler, betamax, diaprojector, beamer, ipod, bolex, 8mm, 16mm"],
["COMMUNICATIE","CAMERA","COMCam","COM","Still camera shutters, automatic winding, old flash-bulbs. Movie and video cameras to COMMUNICATIONS-AV.","camerasluiter, opwinding, flitser, kodak, nikon, canon, olympus, kodak, fuji, fujifilm, mamiya, hasselblad, leica, 35mm, 120mm"],
["COMMUNICATIE","MOBIEL","COMCell","COM","Cellphones and Smartphones., clicks and rings, tones.","mobiele telefoon, smartphone, iphone, blackberry, flip phone, android"],
["COMMUNICATIE","MICROFOON","COMMic","COM","Feedback and mic bumps and handling. Megaphones would go here too.","mic handling, mic tap, larsen, megafoon"],
["COMMUNICATIE","DIVERSEN","COMMisc","COM","Communication sounds not fitting another category in this list.","diverse"],
["COMMUNICATIE","GRAMMOFOON","COMPhono","COM","Turntable, Victrola, motors and mechanics. STATIC has its own subcategory here.","platenspeler, victrola, fonograaf, naald, vinylplaat"],
["COMMUNICATIE","RADIO","COMRadio","COM","Tuning, radio and shortwave sounds. STATIC has its own subcategory here. A radio broadcast would go here too. Overlap with VOICES-FUTZED.","afstemmen, radio, kortegolf, squelch, futz, radio-uitzending"],
["COMMUNICATIE","STATISCH","COMStatic","COM","Static from any electronic source, radio, CB, television, optical noise, phonograph noise.","ruis, fuzz, scramble"],
["COMMUNICATIE","SIGNALEN","COMTelm","COM","Fax machine tones, modem tones, telegraph, teletype. UI is it's own category","morse code, telegraaf, telemetrie, uitlezing, sos"],
["COMMUNICATIE","TELEFOON","COMTelph","COM","Old school rotary dial and digital telephones. Technically any telephone that isn't a mobile or cell phone.","bellen, telefooncel, draaischijf, toetsenbord, vaste lijn, draadtelefoon"],
["COMMUNICATIE","TELEVISIE","COMTv","COM","Television programs, on and off, channel changes, TV Remote controls. STATIC has its own subcategory here. A television broadcast would go here too. Overlap with VOICES-FUTZED.","tv, afstandsbediening, draaischijf, show, programma, futz, tv-show, uitzending"],
["COMMUNICATIE","WALKIE TALKIE","COMTran","COM","Walkie Talkies, CBs, Ham Radios, all two-way transceivers and radios go here. Put voices into VOICES-FUTZED.","walkie talkies, cb, ham radio's, transceiver, squelch, intercom, dispatch"],
["COMMUNICATIE","TYPEMACHINE","COMType","COM","Old school typewriters, not modern computer keyboards.","typemachine, teleprinter, carriage return, platenknop"],
["COMPUTERS","HARDE SCHIJF","CMPTDriv","CMPT","Laptop or other hard drive seeking sounds, data reading.","overslaan, zoeken, slijpen, harde schijf, harde schijf"],
["COMPUTERS","TOETSENBORD EN MUIS","CMPTKey","CMPT","Typing on computer keyboard, and mouse movement.","toetsenbord, muis, muizen, trackpad"],
["COMPUTERS","DIVERSEN","CMPTMisc","CMPT","Computer sounds not fitting another category in this list. Printers would go to MACHINES-OFFICE.","palm pilot, pocket pc"],
["WEZENS","ZEE","CREAAqua","CREA","Giant mutant squids or sea monsters, kraken, leviathans.","kraken, zeemeermin, reuzeninktvis"],
["WEZENS","VOGEL","CREAAvian","CREA","Alien or Fantasy birds, or weird birdlike creatures. A giant mutant parakeet would go here.","buitenaardse vogels, buitenaardse vogels, fantasievogels"],
["WEZENS","BEEST","CREABeast","CREA","Big four legged creatures and beasts. Wooly Mammoth, a mutant elephant, Mumakil.","wollige mammoet, mumakil, "],
["WEZENS","BLOB","CREABlob","CREA","Gelatinous and gooey type creatures, gelatinous cube.","blob, gloop, goop"],
["WEZENS","DINOSAURUS","CREADino","CREA","Dinosaurs of all types, Jurassic Park.","brontosaurus, velociraptor, triceratops, stegosaurus, tyrannosaurus, allosaurus, spinosaurus, brachiosaurus, archaeopteryx, pterosaurus, pterodactyl"],
["WEZENS","DRAAK","CREADrgn","CREA","Game of Thrones, Lord of the Rings, dragons of all types. See also CREATURES-REPTILIAN.","draak, draak, wyvern"],
["WEZENS","ELEMENTEN","CREAElem","CREA","Creatures based on elements, rock giants, fire creatures, ice monsters, such a the Balrog, or a Rock Giant.","rotsmonster, vuurmonster, ijsmonster, rotsreus, ijsreus, golem"],
["WEZENS","SPOOK","CREAEthr","CREA","Ghosts, spirits, ethereal vocals and wispy movement, apparitions.","spoken, geesten, etherische, spookachtige, spook, ziel, verschijning, spook, poltergeist, spook, wraith"],
["WEZENS","MENSELIJK","CREAHmn","CREA","Human sized mythical creatures, so zombies and vampires, elves etc. Troll, Ogres, Orcs. Two legged creatures.","zombie, ondode, levende doden, ghoul, vampier, elf, orcs, ogre, troll, tengu, leprechaun, bigfoot, swamp thing, weerwolf, frankenstein, mummie..."],
["WEZENS","INSECT","CREAInsc","CREA","Giant spiders or other insect like creatures. The creature from The Fly. A giant Tarantula.","reuzenmier, reuzenspin"],
["WEZENS","DIVERSEN","CREAMisc","CREA","Creature sounds not fitting another category in this list.","diverse"],
["WEZENS","MONSTER","CREAMnstr","CREA","Godzilla, scary monsters, horror monsters. See also CREATURES-HUMANOID.","godzilla, king kong, rancor, behemoth, xenomorph, chupacabra"],
["WEZENS","REPTIEL","CREARept","CREA","Giant lizards and snakes, large giant hissing monsters.","slang, serpentine, reuzenhagedis, reuzenslang"],
["WEZENS","KLEIN","CREASmall","CREA","Specifically small mythical creatures. Fairies, pixies, small rodent like creatures, etc. Distinguished by small size.","fee, elfje, gremlin, imp, fraggle"],
["WEZENS","SOURCE","CREASrce","CREA","Source recordings meant for creature design, like prop recordings, human voice packs for design, etc.","blaffen, ademen, roepen, krijsen, piepen, tsjilpen, klikken, huilen, inspanning, grommen, sissen, brullen, grommen, snauwen, keelklank, kreunen, grommen, mond, brullen, schreeuwen, krijsen, piepen, janken"],
["MENIGTE","OPSTAND","CRWDAngr","CRWD","Crowds of upset or angry people, as in a riot, protest, a schoolyard fight. See also AMBIENCE-PROTEST.","hooligan, oproer, protest, schreeuwen, ruw..."],
["MENIGTE","APPLAUS","CRWDApls","CRWD","Crowds where the applause is predominantly featured. Use CROWDS-CHEERING for recordings that are mainly vocals.","applaus, juichen, klappen, toegift"],
["MENIGTE","STRIJD","CRWDBatl","CRWD","Crowds in battle, fighting, yelling screaming, dying. If including gunfire, explosions. use AMBIENCE-WARFARE.","strijdkreten, schreeuwen, aanvallen, rally, leger, strijd, handgemeen, oorlog, schreeuwen, sterven"],
["MENIGTE","VIERING","CRWDCele","CRWD","Crowds celebrating holidays, parties, rowdy crowds. If not clean, use AMBIENCE-CELEBRATION.","vieren, vakantie, feest, luidruchtig, verjaardag, nieuwjaar, kerstmis, optocht"],
["MENIGTE","JUICHEN","CRWDCheer","CRWD","Could include applause, but cheering crowds where the crowd vocals are predominant. Overlap with CROWDS-CELEBRATION.","juichen, concert, stadion, publiek, joelen, zwellen, zingen"],
["MENIGTE","KINDEREN","CRWDChld","CRWD","Relatively clean vocals of children together, playing in a playground, in a school classroom, recess, school hallway. See also AMBIENCE-SCHOOL.","speelplaats, pauze, kinderen spelen, park, spelen, tikkertje"],
["MENIGTE","CONVERSATIE","CRWDConv","CRWD","A small enough group chat that you can discern words, smaller and less active than a walla. A chatter.","chatter, chat, talk, sparse walla, converse, conversation"],
["MENIGTE","LACHEN","CRWDLaff","CRWD","Crowds laughing, a comedy show, canned television laughter, groups of kids laughing, at a party for example.","tv-show, ingeblikt gelach, comedy club, laugh track"],
["MENIGTE","LOOP GROEP","CRWDLoop","CRWD","For loop group type walla, usually performed for or to picture, specific environments, specific callouts. See also ARCHIVED-LOOP GROUP for official loop group recordings.","loop groep, adr, ingeblikt"],
["MENIGTE","DIVERSEN","CRWDMisc","CRWD","Crowd sounds not fitting another category in this list. See also MOVEMENT-CROWD.","diverse"],
["MENIGTE","PANIEK","CRWDPanic","CRWD","Distressed crowds, mixed screams and crying and reactions… crowds in a natural disaster or crowds in a giant monster attack...","paniek, chaos, schreeuwen, gillen, huilen, nood"],
["MENIGTE","RUSTIG","CRWDQuiet","CRWD","Very quiet crowds, mostly mumbling or murmuring. Like crowds whispering in church or a courtroom scene. See also VOICES-WHISPER for single person recordings.","mompelen, fluisteren, verzwijgen, mompelen"],
["MENIGTE","REACTIE","CRWDReac","CRWD","Big Ooos, and Aaahs and Booos, big group responses to events happening. Shocked reactions.","boe, ahh, ooh, studio reactie"],
["MENIGTE","ZINGEN","CRWDSing","CRWD","Singing during sporting events, New Year's Eve crowds singing Auld Lang Syne, Christmas carols. Not large choral music, which would go in MUSICAL category.","gezang, koor, koraal, kerstliedje"],
["MENIGTE","SPORT","CRWDSprt","CRWD","Clean crowds at sporting events, Baseball, football. For mixed ambience used AMBIENCE-SPORT. A sports chant.","applaus, klappen, boe, juichen, stadion, yay, publiek, olympische spelen, schreeuwen, woohoo"],
["MENIGTE","GEROESEMOES","CRWDWalla","CRWD","Specifically very clean crowd walla, with non-discernible words. See also various AMBIENCE categories.","stemmen, praten, walla, gesprek"],
["ONTWORPEN","BAS VAL","DSGNBass","DSGN","Deep descending bass notes. Bass Drops.","bass dive, downer, bass drop, fall"],
["ONTWORPEN","BOOM","DSGNBoom","DSGN","Deep short and tight, low end stingers, big trailer deep hits. LFE type low end sweeteners.","boem, deep hit, low angel, trailer"],
["ONTWORPEN","BRAAM","DSGNBram","DSGN","Long deep horn like sounds. Like a War of the World's type long sound, or like a long french horn braam type sound.","bramm"],
["ONTWORPEN","DISTORTION","DSGNDist","DSGN","Particulary distored designed sounds and distortion elements.","distortion, squared off, distorted"],
["ONTWORPEN","DRONE","DSGNDron","DSGN","Designed drones, eerie tense drones, long stylized sounds with not much activity or movement.","pad, drone, textuur, onheilspellend, spanning"],
["ONTWORPEN","SPANNING","DSGNErie","DSGN","Often designed, but tense strange undefined sounds that are eerie, tense, suspenseful. Some overlap with DESIGNED-DRONE possible.","spookachtig, gespannen, vreemd, griezelig, eng, huiveringwekkend, spookachtig, freaky, angstaanjagend, "],
["ONTWORPEN","ETHERISCH","DSGNEthr","DSGN","Ethereal wispy designed sounds. Ghostlike whispers, or heavenly tones. Otherworldly. See also DESIGNED-EERIE.","etherisch, hemels"],
["ONTWORPEN","GRANULAIR","DSGNGran","DSGN","Granular synthesis, sounds that have a gritty textural type sound, think PaulStretch, sounds broken down into tiny slices and recompiled.","granular, paulstretch, grains, slices"],
["ONTWORPEN","IMPACT","DSGNImpt","DSGN","Designed huge impacts, collisions, stylized big hits. Possible overlap with DESIGNED-STINGER.","impact, hit, slam, smash, botsing"],
["ONTWORPEN","DIVERSEN","DSGNMisc","DSGN","Designed sounds not fitting another category in this list.","diverse"],
["ONTWORPEN","MORF","DSGNMorph","DSGN","A stylized blending of elements, something transitioning into another thing.","morph, mix, overgang"],
["ONTWORPEN","RISER","DSGNRise","DSGN","Tension risers, things rising in tone, something similar to a rising string line to create tension.","reverse, crescendo, rizer, riser, tension"],
["ONTWORPEN","ROMMELEN","DSGNRmbl","DSGN","Designed rumbles for layering into a mix. Earthquake rumbles. Composite rumble.","subharmonisch, rumble, shake, earthquake"],
["ONTWORPEN","RITMISCH","DSGNRythm","DSGN","Stattaco or glitchy machine type loops, things with definied starts, stops, rhythmic stutters.","stutter, glitch, pulse, stattaco"],
["ONTWORPEN","SOURCE","DSGNSrce","DSGN","For recordings meant to be used as source for other designed sounds, experimental recordings, elements, etc.","bron, ruw, materiaal, ruwe opname"],
["ONTWORPEN","STINGER","DSGNStngr","DSGN","Stings, stylized screen sweeteners. Big trailer type sounds. Big shock scare type sounds. Stylized stings, hits and impacts. Overlap with DESIGNED-IMPACT.","angel, schrikken, trailer, filmisch"],
["ONTWORPEN","SYNTH","DSGNSynth","DSGN","Very synthesized sounds, very electronic synth stuff. Raw work files of synth-play.","gesynthetiseerd, synth, mod synth, modulaire synth, granulair, analoge synth, modulaire synth"],
["ONTWORPEN","TONAAL","DSGNTonl","DSGN","Designed sounds with a particularly tonal nature. The ringing in your ear of tinnitus for example.","tinnitus, ringing, shell shock, subjectief"],
["ONTWORPEN","VOCAAL","DSGNVocl","DSGN","Design specifically around vocals, ghostly whispers, enchanted spells, reversed talking etc. Not for Creatures.","betovering, betovering, bewerkt, vocaal, fluisteren, spookachtig"],
["ONTWORPEN","WOESJ","DSGNWhsh","DSGN","Stylized designed big whooshes, definite possible overlap confusion with SHOOSHES-WHOOSH, but this for less natural and more stylized versions.","whoosh, trailer swish, swish"],
["VERWOESTING","INSTORT","DESTRClpse","DESTR","Buildings and large mixed complex collapses, a barn collapse, Godzilla pushing over a building.","instorten, omvallen, vallen, imploderen"],
["VERWOESTING","CRASH & PUIN","DESTRCrsh","DESTR","Mixed crashes, complex crashes involving more than one material. So a combo huge glass and metal crash. See also individual material categories like METAL, WOOD etc.","crash, rupture, implode, smash, break, shatter"],
["VERWOESTING","DIVERSEN","DESTRMisc","DESTR","Destruction sounds not fitting another category in this list.","diverse"],
["AARDE & ZAND","CRASH & PUIN","DIRTCrsh","DIRT","Dirt or sand settling, as in after an explosion, big sprays of dirt and sand. DUST has its own subcategory.","puin, zand, vuil, druppelen, spuiten, verkruimelen"],
["AARDE & ZAND","STOF","DIRTDust","DIRT","Settling dust, dust clouds, much lighter sound than DIRT & SAND-DEBRIS","fijn, deeltje, sediment, slib, stof"],
["AARDE & ZAND","HANDELINGEN","DIRTHndl","DIRT","Handling dirt & sand, hands digging through dirt, children making a sand castle. Some overlap with DIRT & SAND-MOVEMENT.","hanteren, grijpen, graven, vangen"],
["AARDE & ZAND","IMPACT","DIRTImpt","DIRT","Big hits and impacts of dirt of sand, dirt clods. Think the huge dirt ball impacts in WHERE THE WILD THINGS ARE.","storten, ploffen, lossen, laten vallen"],
["AARDE & ZAND","DIVERSEN","DIRTMisc","DIRT","Dirt, Sand and Earth sounds not fitting another category in this list.","diverse"],
["AARDE & ZAND","BEWEGING","DIRTMvmt","DIRT","Pouring, flowing of dirt or sand, a big sand pour. See also DIRT & SAND-HANDLE.","gieten, lossen, stromen, morsen"],
["AARDE & ZAND","TONAAL","DIRTTonl","DIRT","Singing sand dunes. Probably pretty rare.","zandduinen, zingend zand"],
["DEUREN","ANTIEK","DOORAntq","DOOR","Very old sounding doors, as in an old castle or abbey. But massive doors of this type probably to DOOR-DUNGEON.","kasteel, abby, kerk, oud, oud, antiek"],
["DEUREN","APPARAAT","DOORAppl","DOOR","Appliance doors such as oven, dishwasher, refrigerator or microwave.","oven, magnetron, koelkast, vaatwasser, wasmachine, droger"],
["DEUREN","KAST","DOORCab","DOOR","Cabinet doors, such as kitchen cabinet, tool cabinets.","kast, keukenkast, gereedschapskast"],
["DEUREN","COMPOSIET","DOORComp","DOOR","Fiberglass, wood steel combination, doors that don't sound like a specific material. A modern front door. Some confusion or overlap with DOORS-WOOD likely.","glasvezel, deur"],
["DEUREN","KRAAK","DOORCreak","DOOR","Door creaks, wood or metal, overlap with WOOD-FRICTION and METAL-FRICTION, but specifically door creaks.","kraken, deur, kerker, kelder, kasteel, houten deur, metalen deur, deur kraken"],
["DEUREN","KERKER","DOORDungn","DOOR","That big old classic wood and/or metal heavy dungeon, castle type door.","kasteel, kerker, groot, kelder"],
["DEUREN","ELECTRISCH","DOORElec","DOOR","Electric doors of all kinds, garage doors, big soundstage doors, sliding store doors. See also DOORS-REVOLVING.","elektrische deur, garagedeur, geluidsdeur, automatische deur"],
["DEUREN","POORT","DOORGate","DOOR","Non-motorized gates, metal or wood. So a garden gate, a park gate. A farm gate.","tuinpoort, hekpoort, parkpoort, spoorwegovergang, veepoort, boerderijpoort"],
["DEUREN","GLAS","DOORGlas","DOOR","Glass doors, manual shopping store doors, glass home front doors. Most store doors would probably fit here.","glazen deur, winkeldeur, erker, openslaande deur"],
["DEUREN","IJZERWAAR","DOORHdwr","DOOR","Door knobs, door locks, deadbolts, chain locks, push bars. Lock Picking, Doorknob Jiggles.","deurknop, nachtschoot, duwstang, kettingslot, scharnier, klink, beslag, lock picking, jiggle"],
["DEUREN","HI TECH","DOORTech","DOOR","James bond type doors, something not quite sci-fi but more advanced, Modern lab, or air sealed chamber, vaults. See also SCIFI-DOOR.","laboratoriumdeur"],
["DEUREN","HYDRAULISCH","DOORHydr","DOOR","Self closing doors, lots of office and store doors are of this type. Also automatic doors if hydraulic or pneumatic.","deurdranger, pneumatisch, hydraulisch, aangedreven luik"],
["DEUREN","KLOPPEN","DOORKnck","DOOR","Knocking on various door surfaces.","kloppen, kloppen, klopper, klap, dreun, dreun"],
["DEUREN","METAAL","DOORMetl","DOOR","Metal doors, like a vault door or heavy door. PRISON doors have their own category, as they are quite specific sounding.","rollup, kluis, kluis, luik"],
["DEUREN","DIVERSEN","DOORMisc","DOOR","Door sounds not fitting another category in this list.","diverse"],
["DEUREN","PLASTIC","DOORPlas","DOOR","Doors made out of plastic. Not very common but maybe a door to a child's play house.","porta john, porta let, porta pottie"],
["DEUREN","GEVANGENIS","DOORPrisn","DOOR","Big metal jail and prison doors. Sliding prison doors, or swinging jail doors.","gevangenisdeur, gevangenisdeur"],
["DEUREN","DRAAIEN","DOORRevl","DOOR","Classic revolving doors used as entries to hotels, banks, malls.","draaien, roteren, draaideur, hotel, luchthaven, winkelcentrum"],
["DEUREN","SCHUIVEN","DOORSlid","DOOR","Manual sliding doors, such as a patio door, sliding shower doors. Electric sliding doors to DOORS-ELECTRIC.","glazen schuifdeur, patiodeur, douchedeur"],
["DEUREN","STEEN","DOORSton","DOOR","Mostly a fantasy type door, but think Gates of Moria, big tombstone vault doors.","graf, crypte, tempel, mausoleum, geheime ingang"],
["DEUREN","KLAPPEN","DOORSwng","DOOR","Swinging doors, like old-west saloon or church pulpit doors. Doors on swinging springs.","saloondeur, verkeersdeur, restaurantdeur, kerkpreekstoeldeur"],
["DEUREN","HOUT","DOORWood","DOOR","Wood doors, home, school, most general door category probably.","ingang, voordeur, kast"],
["LADES","METAAL","DRWRMetl","DRWR","Metal drawers like on a toolbox.","gereedschapskist, stellinglade, archiefkast, kassa, veiligheidslade"],
["LADES","DIVERSEN","DRWRMisc","DRWR","Drawer sounds not fitting another category in this list.","diverse"],
["LADES","PLASTIC","DRWRPlas","DRWR","Plastic drawers, maybe on a parts bin.","onderdelenbak, bureau-organizer"],
["LADES","HOUT","DRWRWood","DRWR","Kitchen drawers, bathroom drawers. Most drawers would probably fall into this category.","keukenlade, badkamerlade"],
