[["气体","吹","AIRBlow","AIR","Steady air blows, like from a compressed can of air.","稳定的气流、气压释放、释放、吹气、喷射、颤动"],
["卡通","弹拨","TOONPluk","TOON","Cartoon string plucks, violin plucks, dental floss plucks.","拨弦"],
["卡通","道具","TOONPop","TOON","Cartoon funny pops, mouth pops, suction cup pops.","吸盘、泡泡爆破"],
["卡通","摇晃","TOONShake","TOON","Cartoon shake, like a noisemaker toy, maraca.","嘎嘎声"],
["卡通","啪嗒","TOONSplt","TOON","Cartoon splats, funny liquid and mud like splats and things.","卡通液体声"],
["卡通","摩擦","TOONSqk","TOON","Cartoon squeaks. funny little sounding squeaks of things.","吱"],
["卡通","伸缩","TOONStrch","TOON","Cartoon stretches, funny rubber or other type stretching sounds, exaggerated.","拉紧、拉伸"],
["卡通","嗖嗖","TOONSwsh","TOON","Cartoon swishes, specifically very funny cartoony swishes.","旋转、划过、闪白、过场"],
["卡通","弹拨声","TOONTwang","TOON","Cartoon twangs, that classic ruler twang type sound.","拨尺声、 弹尺声"],
["卡通","载具","TOONVeh","TOON","Cartoon vehicles, think Jetsons spaceship or Flintstones cars.","异型车、 特殊载具"],
["卡通","语音","TOONVox","TOON","Cartoon vocals, specifically very silly. See also CARTOON-ANIMALS for non-human vocals.","非人类叫声"],
["卡通","颤音","TOONWarb","TOON","Cartoon warble.","颤音"],
["卡通","哨子","TOONWhis","TOON","Cartoon whistles, most likely slide whistles, other very silly whistles. A Wolf-Whistle.","滑哨、哨音"],
["卡通","拉链","TOONZip","TOON","Cartoon zips. Very fast 'zip' type sounds, often for fast movement aways.","上拉、 下拉"],
["陶瓷","打破","CERMBrk","CERM","Ceramics break of a more singular nature, a plate shatter, breaking, cracking, crunching. Mostly for single items breaking. See also CERAMICS-CRASH & DEBRIS.","打破、裂缝、粉碎、破坏"],
["陶瓷","碎片","CERMCrsh","CERM","Ceramics destruction of more of a group nature, multiple crashes and debris. See also CERAMICS-BREAK.","坠落、碎片、碰撞"],
["陶瓷","挤压","CERMFric","CERM","Ceramics friction, scraping, squeaking, screeching.","压力、刮擦、吱吱声、吱吱声、尖叫声"],
["陶瓷","抓取","CERMHndl","CERM","Ceramics handling, picking up a coffee mug, handling a plant pot. Some overlap with CERAMICS-MOVEMENT.","触碰、 拿到、 抓取"],
["陶瓷","打击","CERMImpt","CERM","Ceramics impacts without breaking, so hits drops, clunks and clinks. See also CERAMICS-BREAK.","掉落、撞击、碰撞"],
["陶瓷","其他","CERMMisc","CERM","Ceramics sounds not fitting another category in this list.","各种各样的"],
["陶瓷","移动","CERMMvmt","CERM","Ceramics single or group movement, so dragging, shaking and rattling. See also CERAMICS-HANDLE.","拖动、滚动、摇晃"],
["陶瓷","音乐性","CERMTonl","CERM","Ceramics ringing, as in being bowed.","纯音、 音色、 谐音"],
["链条","打破","CHAINBrk","CHAIN","Chain snapping or breaking, that sharp sound of a chain failing.","折断、折断、弯曲"],
["链条","抓取","CHAINHndl","CHAIN","Chain handling, repairing a bike chain, a prisoner moving around in chains. Some overlap with CHAINS-MOVEMENT.","铁链、自行车链、锁链"],
["链条","打中","CHAINImpt","CHAIN","Chain impacts, such a big chain hit or slam, or a tension snap of a chain being pulled taut.","跌落、撞击、撞击、猛击、张力断裂"],
["链条","其他","CHAINMisc","CHAIN","Chain sounds not fitting another category in this list.","各种各样的"],
["链条","移动","CHAINMvmt","CHAIN","Chain handling, particularly being pulled through pulleys or across surfaces. See also CHAINS-HANDLE.","手铐、锁链"],
["化学","腐蚀","CHEMAcid","CHEM","Chemical acid burning and sizzling, bubbling. A vat of acid.","嘶嘶声、融化、法术、魔法"],
["化学","其他","CHEMMisc","CHEM","Chemical sounds not fitting another category in this list.","各种各样的"],
["化学","反应","CHEMReac","CHEM","Chemical reactions, chemistry set, bubbling, foaming, bunsen burner reactions. Overlap perhaps with LIQUID & MUD category.","冒泡、起泡、反应"],
["钟表","风铃","CLOCKChim","CLOCK","Chimes, bells specifically for a clock, Grandfather clock chimes. Alarm clocks would go to ALARMS-CLOCK.","钟声、 树铃"],
["钟表","机械","CLOCKMech","CLOCK","Clocks winding, complex mechanical clock mechanisms.","绕组、 时钟齿轮、 布谷鸟钟、轮轴"],
["钟表","其他","CLOCKMisc","CLOCK","Clock sounds not fitting another category in this list. Also see ALARMS-CLOCK","各种各样的"],
["钟表","嘀嗒","CLOCKTick","CLOCK","Analog ticking clocks and watches of all sizes, also mechanical stop watches.","滴答、点击、石英、滴答、秒表、鸡蛋计时器"],
["布料","抖动","CLOTHFlp","CLOTH","Cloth flapping, as in a flag flapping, or superman's cape. Also ship sails and parachutes.","翅膀、襟翼、旗帜、沙沙声、降落伞、斗篷、帆布、帆、床单"],
["布料","抓取","CLOTHHndl","CLOTH","Cloth handling, grabbing a jacket, clothy arm grabs, etc. Some overlap with CLOTH-MOVEMENT. See also possibly OBJECTS-FASHION.","拿衣服、 整理衣服"],
["布料","打击","CLOTHImpt","CLOTH","Cloth impacts, throwing a jacket forcefully to the floor, a wet towel snap. Some overlap with CLOTH-MOVEMENT possible.","抓衣服、 挠衣服"],
["布料","杂项","CLOTHMisc","CLOTH","Cloth sounds not fitting another category in this list.","各种各样的"],
["布料","移动","CLOTHMvmt","CLOTH","Varied cloth movement except flapping which has its own category. Variety of cloth movement. Cloth zuzz. See also CLOTH-FLAP.","嗖嗖、 沙沙声、 皱褶、 摩擦"],
["布料","撕扯","CLOTHRip","CLOTH","Various cloth rips and tears, short to long. Velcro would best fit here too.","撕裂、魔术贴"],
["通讯","影视设备","COMAv","COM","Various AV devices such a projector or tape recorder, video cameras here too. Some overlap or confusion with COMMUNICATIONS-CAMERA.","电影摄影机、  胶片相机、 投影仪、 录音机、 磁带机、 随身听、 CD 播放器、 录像机、 播放器、 幻灯机、 ipod、DVD、VCD、蓝光机"],
["通讯","照相机","COMCam","COM","Still camera shutters, automatic winding, old flash-bulbs. Movie and video cameras to COMMUNICATIONS-AV.","相机快门、对焦、闪光灯、柯达、尼康、佳能、奥林巴斯、柯达、富士、富士胶片、玛米亚、哈苏、徕卡"],
["通讯","手机","COMCell","COM","Cellphones and Smartphones., clicks and rings, tones.","手机、 智能手机、 iphone、 黑莓手机、 翻盖手机、 安卓"],
["通讯","麦克风","COMMic","COM","Feedback and mic bumps and handling. Megaphones would go here too.","麦克风啸叫、麦克风杂音、扩音器"],
["通讯","杂项","COMMisc","COM","Communication sounds not fitting another category in this list.","各种各样的"],
["通讯","留声机","COMPhono","COM","Turntable, Victrola, motors and mechanics. STATIC has its own subcategory here.","转盘、留声机、 黑胶唱片"],
["通讯","收音机","COMRadio","COM","Tuning, radio and shortwave sounds. STATIC has its own subcategory here. A radio broadcast would go here too. Overlap with VOICES-FUTZED.","调谐、收音机、短波、白噪、信号、电台、通讯"],
["通讯","干扰","COMStatic","COM","Static from any electronic source, radio, CB, television, optical noise, phonograph noise.","噪音"],
["通讯","无线电","COMTelm","COM","Fax machine tones, modem tones, telegraph, teletype. UI is it's own category","莫尔斯电码、电报、遥测、读数、sos"],
["通讯","电话","COMTelph","COM","Old school rotary dial and digital telephones. Technically any telephone that isn't a mobile or cell phone.","拨号、公用电话、旋转拨号、键盘、座机、有线电话"],
["通讯","电视机","COMTv","COM","Television programs, on and off, channel changes, TV Remote controls. STATIC has its own subcategory here. A television broadcast would go here too. Overlap with VOICES-FUTZED.","电视、遥控器、拨号、节目、节目、futz"],
["通讯","信号收发机","COMTran","COM","Walkie Talkies, CBs, Ham Radios, all two-way transceivers and radios go here. Put voices into VOICES-FUTZED.","对讲机、cb、业余无线电、收发器、静噪、对讲、调度"],
["通讯","打字机","COMType","COM","Old school typewriters, not modern computer keyboards.","打字机、电传打字机、回车、压板旋钮"],
["电脑","硬盘","CMPTDriv","CMPT","Laptop or other hard drive seeking sounds, data reading.","跳过、搜索、研磨、硬盘、硬盘"],
["电脑","键鼠","CMPTKey","CMPT","Typing on computer keyboard, and mouse movement.","键盘、鼠标、鼠标、触控板"],
["电脑","杂项","CMPTMisc","CMPT","Computer sounds not fitting another category in this list. Printers would go to MACHINES-OFFICE.","掌上电脑、掌上电脑"],
["生物","水生","CREAAqua","CREA","Giant mutant squids or sea monsters, kraken, leviathans.","海妖、美人鱼、巨型鱿鱼"],
["生物","奇幻禽类","CREAAvian","CREA","Alien or Fantasy birds, or weird birdlike creatures. A giant mutant parakeet would go here.","外星鸟类、幻想的鸟类、奇幻鸟类"],
["生物","野兽","CREABeast","CREA","Big four legged creatures and beasts. Wooly Mammoth, a mutant elephant, Mumakil.","猛犸象、长毛象"],
["生物","黏体生物","CREABlob","CREA","Gelatinous and gooey type creatures, gelatinous cube.","变形怪体、粘稠状的生物"],
["生物","恐龙","CREADino","CREA","Dinosaurs of all types, Jurassic Park.","雷龙、 迅猛龙、 三角龙、 剑龙、 暴龙、 异特龙、 棘龙、 腕龙、 始祖鸟、 翼龙、 翼手龙"],
["生物","龙","CREADrgn","CREA","Game of Thrones, Lord of the Rings, dragons of all types. See also CREATURES-REPTILIAN.","龙、德雷克、飞龙"],
["生物","精灵生物","CREAElem","CREA","Creatures based on elements, rock giants, fire creatures, ice monsters, such a the Balrog, or a Rock Giant.","岩石怪物、火怪物、冰怪物、岩石巨人、冰巨人、魔像"],
["生物","鬼魂","CREAEthr","CREA","Ghosts, spirits, ethereal vocals and wispy movement, apparitions.","幽灵、鬼魂、空灵的人声、幻影"],
["生物","类人动物","CREAHmn","CREA","Human sized mythical creatures, so zombies and vampires, elves etc. Troll, Ogres, Orcs. Two legged creatures.","僵尸、亡灵、活死人、食尸鬼、吸血鬼、精灵、兽人、食人魔、巨魔、天狗、妖精、大脚怪、沼泽物、狼人、科学怪人、木乃伊"],
["生物","巨型昆虫","CREAInsc","CREA","Giant spiders or other insect like creatures. The creature from The Fly. A giant Tarantula.","巨型蚂蚁、巨型蜘蛛"],
["生物","其他","CREAMisc","CREA","Creature sounds not fitting another category in this list.","不符合列表中分类的其他生物"],
["生物","怪兽","CREAMnstr","CREA","Godzilla, scary monsters, horror monsters. See also CREATURES-HUMANOID.","哥斯拉、 金刚、 庞然大物、 异形"],
["生物","巨型爬行生物","CREARept","CREA","Giant lizards and snakes, large giant hissing monsters.","巨蜥、 巨蛇、 嘶声怪"],
["生物","小型神话生物","CREASmall","CREA","Specifically small mythical creatures. Fairies, pixies, small rodent like creatures, etc. Distinguished by small size.","仙女、小精灵、类啮齿类的小生物"],
["生物","人声包","CREASrce","CREA","Source recordings meant for creature design, like prop recordings, human voice packs for design, etc.","吠声、呼吸声、呼叫、鸣叫、叽叽喳喳、咔嗒声、哭泣、咕噜声、嘶嘶声、嚎叫声、咆哮声、喉音、呻吟声、用口型默示、咆哮声、尖叫声、长声尖叫、呜呜声"],
["人群","愤怒","CRWDAngr","CRWD","Crowds of upset or angry people, as in a riot, protest, a schoolyard fight. See also AMBIENCE-PROTEST.","骚乱、暴动、抗议、校园暴力"],
["人群","喝彩","CRWDApls","CRWD","Crowds where the applause is predominantly featured. Use CROWDS-CHEERING for recordings that are mainly vocals.","掌声、欢呼、鼓掌"],
["人群","打斗","CRWDBatl","CRWD","Crowds in battle, fighting, yelling screaming, dying. If including gunfire, explosions. use AMBIENCE-WARFARE.","战斗呐喊、喊叫、冲锋、集结、军队、战斗、混战、战争、尖叫、死亡"],
["人群","庆祝","CRWDCele","CRWD","Crowds celebrating holidays, parties, rowdy crowds. If not clean, use AMBIENCE-CELEBRATION.","庆祝、节日、派对、喧闹、生日、新年、圣诞节、游行"],
["人群","欢呼","CRWDCheer","CRWD","Could include applause, but cheering crowds where the crowd vocals are predominant. Overlap with CROWDS-CELEBRATION.","欢呼、音乐会、体育场、观众、欢呼、声浪、颂歌"],
["人群","儿童","CRWDChld","CRWD","Relatively clean vocals of children together, playing in a playground, in a school classroom, recess, school hallway. See also AMBIENCE-SCHOOL.","操场、课间休息、孩子们玩耍、公园、玩游戏、捉人游戏"],
["人群","谈话","CRWDConv","CRWD","A small enough group chat that you can discern words, smaller and less active than a walla. A chatter.","喋喋不休、聊天、谈话、稀疏的瓦拉、交谈、谈话"],
["人群","笑","CRWDLaff","CRWD","Crowds laughing, a comedy show, canned television laughter, groups of kids laughing, at a party for example.","电视节目、罐头笑声、喜剧俱乐部、笑料"],
["人群","循环群杂","CRWDLoop","CRWD","For loop group type walla, usually performed for or to picture, specific environments, specific callouts. See also ARCHIVED-LOOP GROUP for official loop group recordings.","循环组、ADR、预录音效"],
["人群","其他","CRWDMisc","CRWD","Crowd sounds not fitting another category in this list. See also MOVEMENT-CROWD.","各种各样的"],
["人群","恐惧","CRWDPanic","CRWD","Distressed crowds, mixed screams and crying and reactions… crowds in a natural disaster or crowds in a giant monster attack...","恐慌、混乱、呐喊、尖叫、哭泣、苦恼"],
["人群","安静","CRWDQuiet","CRWD","Very quiet crowds, mostly mumbling or murmuring. Like crowds whispering in church or a courtroom scene. See also VOICES-WHISPER for single person recordings.","喃喃自语、低声细语、嘘寒问暖、喃喃自语"],
["人群","反应","CRWDReac","CRWD","Big Ooos, and Aaahs and Booos, big group responses to events happening. Shocked reactions.","嘘、啊、哦"],
["人群","歌唱","CRWDSing","CRWD","Singing during sporting events, New Year's Eve crowds singing Auld Lang Syne, Christmas carols. Not large choral music, which would go in MUSICAL category.","圣歌、合唱团、合唱团、颂歌"],
["人群","运动","CRWDSprt","CRWD","Clean crowds at sporting events, Baseball, football. For mixed ambience used AMBIENCE-SPORT. A sports chant.","掌声、鼓掌、嘘声、欢呼声、体育场、耶、观众、奥运会、喊叫、呜呼声"],
["人群","群杂","CRWDWalla","CRWD","Specifically very clean crowd walla, with non-discernible words. See also various AMBIENCE categories.","声音、谈话、叽里呱啦、谈话"],
["声音设计","低频下潜","DSGNBass","DSGN","Deep descending bass notes. Bass Drops.","低音潜水、下滑、低音下降、下沉、 下坠"],
["声音设计","低频轰鸣","DSGNBoom","DSGN","Deep short and tight, low end stingers, big trailer deep hits. LFE type low end sweeteners.","砰、重击、低音爆炸、拖车"],
["声音设计","低频号角","DSGNBram","DSGN","Long deep horn like sounds. Like a War of the World's type long sound, or like a long french horn braam type sound.","号角、 铜管乐"],
["声音设计","失真","DSGNDist","DSGN","Particulary distored designed sounds and distortion elements.","失真、扭曲"],
["声音设计","低音氛围","DSGNDron","DSGN","Designed drones, eerie tense drones, long stylized sounds with not much activity or movement.","氛围音、嗡嗡声、质地、不吉利、紧张"],
["声音设计","毛骨悚然的","DSGNErie","DSGN","Often designed, but tense strange undefined sounds that are eerie, tense, suspenseful. Some overlap with DESIGNED-DRONE possible.","毛骨悚然、紧张、奇怪、可怕、不寒而栗、难以忘怀、怪异"],
["声音设计","鬼魅飘渺","DSGNEthr","DSGN","Ethereal wispy designed sounds. Ghostlike whispers, or heavenly tones. Otherworldly. See also DESIGNED-EERIE.","空灵、天上"],
["声音设计","粒状","DSGNGran","DSGN","Granular synthesis, sounds that have a gritty textural type sound, think PaulStretch, sounds broken down into tiny slices and recompiled.","颗粒、 合成器"],
["声音设计","碰撞","DSGNImpt","DSGN","Designed huge impacts, collisions, stylized big hits. Possible overlap with DESIGNED-STINGER.","撞击、碰撞、猛击、粉碎"],
["声音设计","其他","DSGNMisc","DSGN","Designed sounds not fitting another category in this list.","各种各样的"],
["声音设计","合成器","DSGNMorph","DSGN","A stylized blending of elements, something transitioning into another thing.","合成器、混合、过渡"],
["声音设计","渐强","DSGNRise","DSGN","Tension risers, things rising in tone, something similar to a rising string line to create tension.","反向、渐强、立管、张力"],
["声音设计","次声波","DSGNRmbl","DSGN","Designed rumbles for layering into a mix. Earthquake rumbles. Composite rumble.","次谐波、隆隆声、震动、地震"],
["声音设计","节奏性","DSGNRythm","DSGN","Stattaco or glitchy machine type loops, things with definied starts, stops, rhythmic stutters.","口吃、故障、节奏律动、停顿"],
["声音设计","原始录音","DSGNSrce","DSGN","For recordings meant to be used as source for other designed sounds, experimental recordings, elements, etc.","来源、原始素材、素材、原始录音"],
["声音设计","重音强调","DSGNStngr","DSGN","Stings, stylized screen sweeteners. Big trailer type sounds. Big shock scare type sounds. Stylized stings, hits and impacts. Overlap with DESIGNED-IMPACT.","刺痛、惊吓、预告片、戏剧化"],
["声音设计","电子合成","DSGNSynth","DSGN","Very synthesized sounds, very electronic synth stuff. Raw work files of synth-play.","合成、合成器、模块化合成器、颗粒状、模拟合成器、模块化合成器"],
["声音设计","音乐性","DSGNTonl","DSGN","Designed sounds with a particularly tonal nature. The ringing in your ear of tinnitus for example.","耳鸣、炮击、主观视角"],
["声音设计","人声","DSGNVocl","DSGN","Design specifically around vocals, ghostly whispers, enchanted spells, reversed talking etc. Not for Creatures.","魔法、咒语、经过处理的、人声、耳语、幽灵"],
["声音设计","呼声","DSGNWhsh","DSGN","Stylized designed big whooshes, definite possible overlap confusion with SHOOSHES-WHOOSH, but this for less natural and more stylized versions.","嗖嗖、預告片中的嗖嗖、 飞过、 划过"],
["拆除","倒塌","DESTRClpse","DESTR","Buildings and large mixed complex collapses, a barn collapse, Godzilla pushing over a building.","倒塌、倾倒、跌倒、内爆"],
["拆除","碎片","DESTRCrsh","DESTR","Mixed crashes, complex crashes involving more than one material. So a combo huge glass and metal crash. See also individual material categories like METAL, WOOD etc.","崩溃、破裂、内爆、粉碎、打破、粉碎"],
["拆除","其他","DESTRMisc","DESTR","Destruction sounds not fitting another category in this list.","各种各样的"],
["沙土","碎屑","DIRTCrsh","DIRT","Dirt or sand settling, as in after an explosion, big sprays of dirt and sand. DUST has its own subcategory.","碎片、沙子、污垢、滴流、喷洒、碎裂"],
["沙土","灰尘","DIRTDust","DIRT","Settling dust, dust clouds, much lighter sound than DIRT & SAND-DEBRIS","细粒、颗粒、沉积物、淤泥、灰尘"],
["沙土","抓取","DIRTHndl","DIRT","Handling dirt & sand, hands digging through dirt, children making a sand castle. Some overlap with DIRT & SAND-MOVEMENT.","处理、抓取、挖掘、捕捉"],
["沙土","碰撞","DIRTImpt","DIRT","Big hits and impacts of dirt of sand, dirt clods. Think the huge dirt ball impacts in WHERE THE WILD THINGS ARE.","倾倒、 砰、 卸下、 放下"],
["沙土","其他","DIRTMisc","DIRT","Dirt, Sand and Earth sounds not fitting another category in this list.","各种各样的"],
["沙土","移动","DIRTMvmt","DIRT","Pouring, flowing of dirt or sand, a big sand pour. See also DIRT & SAND-HANDLE.","倾倒、卸载、流动、溢出"],
["沙土","音乐性","DIRTTonl","DIRT","Singing sand dunes. Probably pretty rare.","风沙、鸣沙"],
["门","古董","DOORAntq","DOOR","Very old sounding doors, as in an old castle or abbey. But massive doors of this type probably to DOOR-DUNGEON.","城堡、大教堂、教堂、古老、古代、古董"],
["门","家电","DOORAppl","DOOR","Appliance doors such as oven, dishwasher, refrigerator or microwave.","烤箱、微波炉、冰箱、洗碗机、洗衣机、烘干机"],
["门","箱柜","DOORCab","DOOR","Cabinet doors, such as kitchen cabinet, tool cabinets.","橱柜、厨柜、工具柜"],
["门","特殊材料","DOORComp","DOOR","Fiberglass, wood steel combination, doors that don't sound like a specific material. A modern front door. Some confusion or overlap with DOORS-WOOD likely.","玻璃纤维、门"],
["门","嘎吱","DOORCreak","DOOR","Door creaks, wood or metal, overlap with WOOD-FRICTION and METAL-FRICTION, but specifically door creaks.","吱吱声、门、地牢、地窖、城堡、木门、金属门、门吱吱声"],
["门","传统大门","DOORDungn","DOOR","That big old classic wood and/or metal heavy dungeon, castle type door.","城堡、 地牢、 巨物、 地窖"],
["门","电动门","DOORElec","DOOR","Electric doors of all kinds, garage doors, big soundstage doors, sliding store doors. See also DOORS-REVOLVING.","电动门、车库门、摄影棚门、自动门"],
["门","大门","DOORGate","DOOR","Non-motorized gates, metal or wood. So a garden gate, a park gate. A farm gate.","花园门、栅栏门、公园门、铁路道口、牛圈门、农场门"],
["门","玻璃门","DOORGlas","DOOR","Glass doors, manual shopping store doors, glass home front doors. Most store doors would probably fit here.","玻璃门、商店门、海涯门、法式门"],
["门","锁具","DOORHdwr","DOOR","Door knobs, door locks, deadbolts, chain locks, push bars. Lock Picking, Doorknob Jiggles.","门把手、门闩、推杆、链锁、铰链、把手、五金制品、撬锁、摇晃"],
["门","高科技","DOORTech","DOOR","James bond type doors, something not quite sci-fi but more advanced, Modern lab, or air sealed chamber, vaults. See also SCIFI-DOOR.","实验室门"],
["门","液压与气动","DOORHydr","DOOR","Self closing doors, lots of office and store doors are of this type. Also automatic doors if hydraulic or pneumatic.","闭门器、气动、液压、电动舱口、 气阀门"],
["门","敲门","DOORKnck","DOOR","Knocking on various door surfaces.","敲、说唱、敲门、砰砰、咚咚"],
["门","金属门","DOORMetl","DOOR","Metal doors, like a vault door or heavy door. PRISON doors have their own category, as they are quite specific sounding.","卷轴门、保险库、保险箱、舱门"],
["门","其他","DOORMisc","DOOR","Door sounds not fitting another category in this list.","各种各样的"],
["门","塑料门","DOORPlas","DOOR","Doors made out of plastic. Not very common but maybe a door to a child's play house.","厕所、便器"],
["门","牢门","DOORPrisn","DOOR","Big metal jail and prison doors. Sliding prison doors, or swinging jail doors.","监狱门、栅栏门"],
["门","旋转门","DOORRevl","DOOR","Classic revolving doors used as entries to hotels, banks, malls.","旋转门、酒店、机场、商场"],
["门","推拉门/滑动门","DOORSlid","DOOR","Manual sliding doors, such as a patio door, sliding shower doors. Electric sliding doors to DOORS-ELECTRIC.","玻璃推拉门、庭院门、淋浴门"],
["门","石门","DOORSton","DOOR","Mostly a fantasy type door, but think Gates of Moria, big tombstone vault doors.","坟墓、地穴、寺庙、陵墓、秘密入口"],
["门","双开门","DOORSwng","DOOR","Swinging doors, like old-west saloon or church pulpit doors. Doors on swinging springs.","沙龙门、走廊门、餐厅门、教堂讲坛门"],
["门","木门","DOORWood","DOOR","Wood doors, home, school, most general door category probably.","入口、前门、壁橱"],
["抽屉","金属","DRWRMetl","DRWR","Metal drawers like on a toolbox.","工具箱、抽屉架、文件柜、收银机、安全抽屉"],
["抽屉","其他","DRWRMisc","DRWR","Drawer sounds not fitting another category in this list.","各种各样的"],
["抽屉","塑料","DRWRPlas","DRWR","Plastic drawers, maybe on a parts bin.","零件箱、桌面整理器"],
["抽屉","木制","DRWRWood","DRWR","Kitchen drawers, bathroom drawers. Most drawers would probably fall into this category.","厨房抽屉、浴室抽屉"],
["电流","电弧","ELECArc","ELEC","A longer movement of electricity, think Jacob's ladder, or a power station switching arc when decoupled.","天梯、磁暴线圈、方舟、拱门、电站、触电"],
["电流","电流噪声","ELECBuzz","ELEC","Ground hum, buzzes, steady electrical hums, guitar pickup hum, amp hum. Any steady electric hum or buzz.","地面嗡嗡声、放大器嗡嗡声、扬声器嗡嗡声、嗡嗡声、感应嗡嗡声、 嗡嗡"],
["电流","电磁","ELECEmf","ELEC","Electromagnetic field recordings specifically.","电抗器、线圈、传染器、感应器"],
["电流","其他","ELECMisc","ELEC","Electric sounds not fitting another category in this list.","各种各样的"],
["电流","电火花","ELECSprk","ELEC","Think sparklers, or a downed power line emitting sparks, welding... A singular spark would probably be a ZAP.","火花、焊接、溅射、短路"],
["电流","漏电","ELECZap","ELEC","A short, shocking fast percussive electrical sound. Or a repetition of short fast sounds. A taser is a series of ZAPS.","放电、 泰瑟枪、 电击枪、 电击、触电"],
["器具","挽具","EQUIPBridle","EQUIP","Equipment for animals use. Horse bridle, reigns, leashes, harnesses, dog leashes, saddle straps.","缰绳、统治、皮带、马具、狗带、马鞍带"],
["器具","高科技","EQUIPTech","EQUIP","Hi-Tech gear, things like spacesuits, complex suits with lots of gizmos or complex parts.","宇航服、科技服装"],
["器具","其他","EQUIPMisc","EQUIP","Equipment sounds not fitting another category in this list. See also TOOLS and OBJECT categories.","各种各样的"],
["器具","户外装备","EQUIPRec","EQUIP","Recreational gear, like backpacks, hiking gear, rock climbing harnesses, camping tents. Specifically outdoor recreation. See also OBJECTS-GYM.","背包、远足、登山、攀岩、营地、帐篷"],
["器具","运动装备","EQUIPSprt","EQUIP","Gear worn while playing sports, American football shoulder pads, hockey gear, etc.","护肩、护膝、护胫、护腿带"],
["器具","军事装备","EQUIPTact","EQUIP","Military and police belts, bandoliers, ammo belts. Military gear, troop gear.","腰带、 军警带、 执勤腰带、 弹药腰带、 子弹带"],
["爆炸","声音设计","EXPLDsgn","EXPL","Designed or stylized explosions and sweeteners. Hyperreal explosions.","冲击波、爆炸、 铺垫"],
["爆炸","其他","EXPLMisc","EXPL","Explosion sounds not fitting another category in this list.","爆炸、 引爆"],
["爆炸","真实的","EXPLReal","EXPL","Real explosion recordings, realistic explosions, not overly stylized. (FIREWORKS has its own category)","砰、爆炸实录、爆裂、 炸弹"],
["放屁","声音设计","FARTDsgn","FART","Fake or designed farts, whoopie cushion, flarp, mouth farts.","呸声、嘘声、软坐垫、襟翼、腋窝、放屁袋、气球"],
["放屁","其他","FARTMisc","FART","Fart sounds not fitting another category in this list.","动物屁、 动物放屁"],
["放屁","真实的","FARTReal","FART","Real recordings of farts.","人类放屁、胀气、扑哧、嘟嘟、 人类屁"],
["打斗","跌倒","FGHTBf","FGHT","Bodyfalls, but probably also body scuffles on ground, from simple to complex. On any surface.","跌倒、拉扯、混战、身体猛击、擒、 抱"],
["打斗","衣服","FGHTClth","FGHT","Active or big scuffling cloth, big fight cloth movement.","衣服摩擦、抓、抢、撞击衣物、抖衣料"],
["打斗","抓握","FGHTGrab","FGHT","Big arm grabs, hand or arm blocks as well as they're similar sounds, grappling during wrestling or martial arts.","格斗、抢夺、格斗、摔跤、柔道"],
["打斗","击打","FGHTImpt","FGHT","Fight impacts, blocks, kicks and punches. BODYFALLS has its own subcategory here, as do GRABS.","拳、踢、身体打击、巴掌、打、斗殴、推、重击、勾拳、刺拳"],
["打斗","其他","FGHTMisc","FGHT","Fight sounds not fitting another category in this list.","各种各样的"],
["火","燃烧","FIREBurn","FIRE","Covers normal fire burning, mostly roars, not isolate fire crackle, which have their own category. See also new FIRE-TURBULENT category.","篝火、营火、灌丛火、建筑火灾、烈火、烈焰、燃烧、火种、柴堆"],
["火","爆燃","FIREBrst","FIRE","A sharp and loud release of fire, covers fire bursts, big flare ups. Think a backdraft explosion of fire. A flamethrower. Usually a single event.","回燃、火焰喷射器、龙火、吞噬"],
["火","爆裂","FIRECrkl","FIRE","Specifically crackly fire elements, isolated crackle, or a very crackly fire, good for layering to other fire.","巨大爆炸声、呼噜、啪、火花"],
["火","气体","FIREGas","FIRE","Gas burners as you'd find in a kitchen stove or gas grill. That sort of hissy or airy fire burn. Crematoriums and furnaces.","燃气烤架、燃烧炉、熔炉、野营炉、厨房炉灶、火葬场、燃气灶"],
["火","点火","FIREIgn","FIRE","Fire ignites, including matches, lighters. That initial spark of ignition of a fire.","火柴、打火机、芝宝牌打火机、燃烧、复燃、着火"],
["火","杂项","FIREMisc","FIRE","Fire sounds not fitting another category in this list.","各种各样的"],
["火","滋滋声","FIRESizz","FIRE","Glowing red pokers, fuses, coal embers when extinguished, sauna rocks when water is poured on them. Glowing red hot.","保险丝、 保险丝燃烧"],
["火","火炬","FIRETrch","FIRE","Constant torches and torch movement, that phasey fire sound as a torch is moved around.","火光、导火索、火炬、火把、燃烧棍、篝火灯"],
["火","汹涌火势","FIRETurb","FIRE","Wildly whooshing turbulent violent fire. Larger than just burning, think fire tornado. Extreme moving fire.","火焰漩涡、猛烈的火焰、火焰喷射器、火焰龙卷风、吞噬、回流"],
["火","呼呼声","FIREWhsh","FIRE","Big whooshy fire events like a fireball through the air.","火球、火焰、燃烧弹、旺火、复燃"],
["烟花","商业表演","FRWKComr","FRWK","Large commercial fireworks, mortars, as on the 4th of July. Full displays or single large mortars.","迫击炮、烟花、烟火、大爆炸、炮弹、烟花汇演"],
["烟花","其他","FRWKMisc","FRWK","Firework sounds not fitting another category in this list.","各种各样的"],
