[["LUFT","BLÅS","AIRBlow","AIR","Steady air blows, like from a compressed can of air.","tryckluft, tryckavlastning, släpp ut, puffa, spruta, fladdra, fladdra, rensa"],
["BÅTAR","RACERBÅT","BOATRace","BOAT","Powered racing boats, not for human powered racing boats, those would go under BOATS-ROWING.","vattenplan, hydrofoil, jetbåt"],
["BÅTAR","RODDBÅT","BOATRow","BOAT","Canoes, rowboats, kayaks probably, human powered boats that use oars and paddles, even racing rowboats.","kanot, roddbåt, kajak, åror, paddel, drakbåt, rodd."],
["BÅTAR","SEGELBÅT","BOATSail","BOAT","Composite recordings of rigging and sails, isolated elements to CLOTH-FLAP for close sails, or BOATS-MECHANISM for rigging.","Segelbåt, skonare, yawl, sloop, ketch, motorseglare."],
["BÅTAR","FARTYG","BOATShip","BOAT","Large ship, passenger cruise ships, oil tankers, things relating to these.","stort fartyg, kryssningsfartyg, oljetankfartyg, lastfartyg, fraktfartyg"],
["BÅTAR","ÅNGBÅT","BOATStm","BOAT","Old steam paddle boats, big steam ship sounds.","ångpaddelskepp, paddelpaddelskepp, ångmaskin"],
["BÅTAR","UBÅT","BOATSub","BOAT","Relating to a submarine, include sonar pings. Classic 'Dive' alarm would go in ALARMS-SIREN with keyword Klaxon.","ubåt, sonar, undervattensbåt, u-båt"],
["BÅTAR","UNDERVATTEN","BOATUndwtr","BOAT","Specifically boats and ships recorded underwater, usually hydrophone recordings. SUBMARINES have their own subcategory.","båt, fartyg, undervattensfartyg, tankfartyg, fiskebåt, motorbåt, undervattensfartyg"],
["AMMUNITION","PASSERING","BLLTBy","BLLT","Bullet pass bys in air, or underwater.","bullet whiz-by, fwip"],
["AMMUNITION","TRÄFF","BLLTImpt","BLLT","Bullet hits and impacts, on a bullet hit on any material from the ground, to wood, to a person.","kulstötning, kulstötning, kulstötning"],
["AMMUNITION","DIVERSE","BLLTMisc","BLLT","Bullet sounds not fitting another category in this list.","diverse"],
["AMMUNITION","RIKOSCHETT","BLLTRico","BLLT","Bullet ricochets, that classic old west 'ping' when a bullet bounces off something.","ricos, ricochet, avledas"],
["AMMUNITION","HYLSA","BLLTShel","BLLT","Bullet shells ejecting and dropping to the ground. See also GUNS-HANDLING for things like loading or unloading a gun.","granat, hölje, utkast"],
["CARTOON","DJUR","TOONAnml","TOON","Cartoon animals, made from animals calls, props, etc. Very silly or stylized animals calls for use in Cartoons.","falskt djur, jaktrop, ankrop"],
["CARTOON","BOING","TOONBoing","TOON","Cartoon boings, like for a bouncing cartoon character. Roger Rabbit or Tigger from Winnie the Pooh.","käftharpa, munharpa"],
["CARTOON","KLANG","TOONClang","TOON","Cartoon clangs, like a funny anvil hit. Most likely a very metallic resonant hit.","klang, metalliskt"],
["CARTOON","KNARR","TOONCreak","TOON","Cartoon creaks, some overlap or confusion with CARTOON-STRETCH possible.","gummi, trä"],
["CARTOON","TUTA","TOONHorn","TOON","Cartoon horns, as in bulb horns, clown horns.","lökhorn, tuta, clownshorn"],
["CARTOON","SMÄLL","TOONImpt","TOON","Cartoon hits, bonk, boink, doink..","Bonk, boink, doink"],
["CARTOON","MASKIN","TOONMach","TOON","Cartoon machines, an overly comical sounding machine or contraption. A Rube Goldberg contraption.","konstruktion, komisk maskin, rube goldberg-maskin"],
["CARTOON","DIVERSE","TOONMisc","TOON","Cartoon sounds not fitting another category in this list.","toon, squanch, blorb, flump"],
["CARTOON","MUSIKALISK","TOONMx","TOON","Cartoon musical phrases. String plucks for a cartoon character sneaking up on another. Perhaps a cartoon musical phrase.","gliss, uppstigning, nedstigning,"],
["CARTOON","KNÄPP","TOONPluk","TOON","Cartoon string plucks, violin plucks, dental floss plucks.","strängplockning"],
["CARTOON","PLOPP","TOONPop","TOON","Cartoon funny pops, mouth pops, suction cup pops.","Pop-pistol, mun-pop, sugkopp, bubbel-pops"],
["CARTOON","SKAK","TOONShake","TOON","Cartoon shake, like a noisemaker toy, maraca.","skrammel"],
["CARTOON","SMACK","TOONSplt","TOON","Cartoon splats, funny liquid and mud like splats and things.","Splat, splort, squish"],
["CARTOON","GNISSEL","TOONSqk","TOON","Cartoon squeaks. funny little sounding squeaks of things.","gnissel"],
["CARTOON","STRÄCK","TOONStrch","TOON","Cartoon stretches, funny rubber or other type stretching sounds, exaggerated.","anstränga"],
["CARTOON","SVISCH","TOONSwsh","TOON","Cartoon swishes, specifically very funny cartoony swishes.","snurra, virvla"],
["CARTOON","TWANG","TOONTwang","TOON","Cartoon twangs, that classic ruler twang type sound.","linjal, munharmonika"],
["CARTOON","FORDON","TOONVeh","TOON","Cartoon vehicles, think Jetsons spaceship or Flintstones cars.","jetsons, apparat. Flintstones bil, backfire"],
["CARTOON","RÖST","TOONVox","TOON","Cartoon vocals, specifically very silly. See also CARTOON-ANIMALS for non-human vocals.","mumla, fånig röst, tecknad röst"],
["CARTOON","VIRVLA","TOONWarb","TOON","Cartoon warble.","wobble"],
["CARTOON","VISSLA","TOONWhis","TOON","Cartoon whistles, most likely slide whistles, other very silly whistles. A Wolf-Whistle.","Slide whistle, visselpipa"],
["CARTOON","ZIP","TOONZip","TOON","Cartoon zips. Very fast 'zip' type sounds, often for fast movement aways.","zip, rico, siren, visselpipa"],
["KERAMIK","KROSS & BITAR","CERMBrk","CERM","Ceramics break of a more singular nature, a plate shatter, breaking, cracking, crunching. Mostly for single items breaking. See also CERAMICS-CRASH & DEBRIS.","bryta, knäcka, splittra, knäcka"],
["KERAMIK","KRASCH","CERMCrsh","CERM","Ceramics destruction of more of a group nature, multiple crashes and debris. See also CERAMICS-BREAK.","falla, skräp, skärvor"],
["KERAMIK","FRIKTION","CERMFric","CERM","Ceramics friction, scraping, squeaking, screeching.","stress, skrapa, knäcka, gnissla, skrika, skrik"],
["KERAMIK","HANTERING","CERMHndl","CERM","Ceramics handling, picking up a coffee mug, handling a plant pot. Some overlap with CERAMICS-MOVEMENT.","hantera, ta tag i, sätta, plocka upp, sätta ner, kasta, fånga"],
["KERAMIK","SMÄLL","CERMImpt","CERM","Ceramics impacts without breaking, so hits drops, clunks and clinks. See also CERAMICS-BREAK.","träffa, falla, slå, krascha, klunka, klirra"],
["KERAMIK","DIVERSE","CERMMisc","CERM","Ceramics sounds not fitting another category in this list.","diverse"],
["KERAMIK","RÖRELSE","CERMMvmt","CERM","Ceramics single or group movement, so dragging, shaking and rattling. See also CERAMICS-HANDLE.","dra, rulla, skramla, skaka"],
["KERAMIK","TONAL","CERMTonl","CERM","Ceramics ringing, as in being bowed.","böjd, ring, shing, ping"],
["KEDJOR","GÅ AV","CHAINBrk","CHAIN","Chain snapping or breaking, that sharp sound of a chain failing.","knäppa, bryta, böja"],
["KEDJOR","HANTERING","CHAINHndl","CHAIN","Chain handling, repairing a bike chain, a prisoner moving around in chains. Some overlap with CHAINS-MOVEMENT.","hantera, ta tag i, ställa in, plocka upp, ställa ner, kasta, fånga"],
["KEDJOR","SMÄLL","CHAINImpt","CHAIN","Chain impacts, such a big chain hit or slam, or a tension snap of a chain being pulled taut.","droppe, träffa, slå, slå, slam, spänningar, knäppas."],
["KEDJOR","DIVERSE","CHAINMisc","CHAIN","Chain sounds not fitting another category in this list.","diverse"],
["KEDJOR","RÖRELSE","CHAINMvmt","CHAIN","Chain handling, particularly being pulled through pulleys or across surfaces. See also CHAINS-HANDLE.","Drag, handbojor, fängelsekedja, hundkedja."],
["KEMI","SYRA","CHEMAcid","CHEM","Chemical acid burning and sizzling, bubbling. A vat of acid.","svider, smälter, fräser"],
["KEMI","DIVERSE","CHEMMisc","CHEM","Chemical sounds not fitting another category in this list.","diverse"],
["KEMI","REAKTION","CHEMReac","CHEM","Chemical reactions, chemistry set, bubbling, foaming, bunsen burner reactions. Overlap perhaps with LIQUID & MUD category.","bubbling, skumning, reaktion"],
["UR","KLOCKSLAG","CLOCKChim","CLOCK","Chimes, bells specifically for a clock, Grandfather clock chimes. Alarm clocks would go to ALARMS-CLOCK.","klockspel, klocka, storklocka"],
["UR","MEKANISM","CLOCKMech","CLOCK","Clocks winding, complex mechanical clock mechanisms.","uppdragning, kugghjul, gökur"],
["UR","DIVERSE","CLOCKMisc","CLOCK","Clock sounds not fitting another category in this list. Also see ALARMS-CLOCK","diverse"],
["UR","TICKA","CLOCKTick","CLOCK","Analog ticking clocks and watches of all sizes, also mechanical stop watches.","tick, klick, kvarts, tick tock, stoppur, äggklocka"],
["TYG","FLADDER","CLOTHFlp","CLOTH","Cloth flapping, as in a flag flapping, or superman's cape. Also ship sails and parachutes.","flax, flagga, rassel, fallskärm, cape, segelduk, segel, lakan"],
["TYG","HANTERING","CLOTHHndl","CLOTH","Cloth handling, grabbing a jacket, clothy arm grabs, etc. Some overlap with CLOTH-MOVEMENT. See also possibly OBJECTS-FASHION.","handtag, greppa, sätta, plocka upp, sätta ner, kasta, fånga"],
["TYG","SMÄLL","CLOTHImpt","CLOTH","Cloth impacts, throwing a jacket forcefully to the floor, a wet towel snap. Some overlap with CLOTH-MOVEMENT possible.","träffa, falla, slå, smälla, smacka"],
["TYG","DIVERSE","CLOTHMisc","CLOTH","Cloth sounds not fitting another category in this list.","diverse"],
["TYG","RÖRELSE","CLOTHMvmt","CLOTH","Varied cloth movement except flapping which has its own category. Variety of cloth movement. Cloth zuzz. See also CLOTH-FLAP.","zuzz, swish, rusch, ruffle, scrunch, mvmt"],
["TYG","RIV","CLOTHRip","CLOTH","Various cloth rips and tears, short to long. Velcro would best fit here too.","riva, slita, kardborreband"],
["KOMMUNIKATION","AV-APPARAT","COMAv","COM","Various AV devices such a projector or tape recorder, video cameras here too. Some overlap or confusion with COMMUNICATIONS-CAMERA.","filmkamera, spolning, filmkamera, projektor, bandspelare, nagra, walkman, cd-spelare, rullband, videobandspelare, laserdiscspelare, betamax, diaprojektor, beamer, ipod, bolex, 8mm, 16mm"],
["KOMMUNIKATION","KAMERA","COMCam","COM","Still camera shutters, automatic winding, old flash-bulbs. Movie and video cameras to COMMUNICATIONS-AV.","Kameraslutare, upprullning, blixtlampa, kodak, nikon, canon, olympus, kodak, fuji, fujifilm, mamiya, hasselblad, leica, 35mm, 120mm"],
["KOMMUNIKATION","MOBILTELEFON","COMCell","COM","Cellphones and Smartphones., clicks and rings, tones.","mobiltelefon, smartphone, iphone, blackberry, flip phone, android"],
["KOMMUNIKATION","MIKROFON","COMMic","COM","Feedback and mic bumps and handling. Megaphones would go here too.","mikrofonhantering, mic tap, larsen, megafon"],
["KOMMUNIKATION","DIVERSE","COMMisc","COM","Communication sounds not fitting another category in this list.","diverse"],
["KOMMUNIKATION","SKIVSPELARE","COMPhono","COM","Turntable, Victrola, motors and mechanics. STATIC has its own subcategory here.","skivspelare, victrola, fonograf, stylus, vinylskiva"],
["KOMMUNIKATION","RADIO","COMRadio","COM","Tuning, radio and shortwave sounds. STATIC has its own subcategory here. A radio broadcast would go here too. Overlap with VOICES-FUTZED.","stämning, radio, kortvåg, squelch, futz, radiosändning"],
["KOMMUNIKATION","BRUS","COMStatic","COM","Static from any electronic source, radio, CB, television, optical noise, phonograph noise.","statisk störning, fuzz, scramble"],
["KOMMUNIKATION","SIGNALER","COMTelm","COM","Fax machine tones, modem tones, telegraph, teletype. UI is it's own category","morsekod, telegraf, telemetri, avläsning, sos."],
["KOMMUNIKATION","TELEFON","COMTelph","COM","Old school rotary dial and digital telephones. Technically any telephone that isn't a mobile or cell phone.","ringa, telefonautomat, ratt, knappsats, fast telefon, sladdtelefon"],
["KOMMUNIKATION","TV","COMTv","COM","Television programs, on and off, channel changes, TV Remote controls. STATIC has its own subcategory here. A television broadcast would go here too. Overlap with VOICES-FUTZED.","TV, fjärrkontroll, ringa, visa, program, futz, TV-program, sändning"],
["KOMMUNIKATION","KOMRADIO","COMTran","COM","Walkie Talkies, CBs, Ham Radios, all two-way transceivers and radios go here. Put voices into VOICES-FUTZED.","walkie talkies, cb, amatörradio, transceiver, squelch, intercom, sändning."],
["KOMMUNIKATION","SKRIVMASKIN","COMType","COM","Old school typewriters, not modern computer keyboards.","skrivmaskin, teleprinter, vagnsretur, vridknappen"],
["DATORER","HÅRDDISK","CMPTDriv","CMPT","Laptop or other hard drive seeking sounds, data reading.","hoppa över, söka, slipa, hårddisk, hårddisk"],
["DATORER","TANGENTBORD & MUS","CMPTKey","CMPT","Typing on computer keyboard, and mouse movement.","tangentbord, mus, möss, styrplatta"],
["DATORER","DIVERSE","CMPTMisc","CMPT","Computer sounds not fitting another category in this list. Printers would go to MACHINES-OFFICE.","Palm Pilot, Pocket PC"],
["VARELSER","VATTENVARELSE","CREAAqua","CREA","Giant mutant squids or sea monsters, kraken, leviathans.","kraken, sjöjungfru, jättebläckfisk"],
["VARELSER","FLYGANDE","CREAAvian","CREA","Alien or Fantasy birds, or weird birdlike creatures. A giant mutant parakeet would go here.","främmande fåglar, utomjordiska fåglar, fantasifåglar"],
["VARELSER","BEST","CREABeast","CREA","Big four legged creatures and beasts. Wooly Mammoth, a mutant elephant, Mumakil.","ullig mammut, mumakil, "],
["VARELSER","BLOB","CREABlob","CREA","Gelatinous and gooey type creatures, gelatinous cube.","blob, gloop, goop, goop"],
["VARELSER","DINOSAURIE","CREADino","CREA","Dinosaurs of all types, Jurassic Park.","brontosaurus, velociraptor, triceratops, stegosaurus, tyrannosaurus, allosaurus, spinosaurus, brachiosaurus, archaeopteryx, pterosaurier, pterodactyl"],
["VARELSER","DRAKE","CREADrgn","CREA","Game of Thrones, Lord of the Rings, dragons of all types. See also CREATURES-REPTILIAN.","drake, drake, wyvern"],
["VARELSER","NATURELEMENT","CREAElem","CREA","Creatures based on elements, rock giants, fire creatures, ice monsters, such a the Balrog, or a Rock Giant.","stenmonster, eldmonster, ismonster, bergsjätte, isjätte, golem"],
["VARELSER","SPÖKE","CREAEthr","CREA","Ghosts, spirits, ethereal vocals and wispy movement, apparitions.","spöken, andar, eteriska, vimlande, spöke, själ, uppenbarelse, spektral, poltergeist, fantom, vålnad"],
["VARELSER","MÄNNISKOLIK","CREAHmn","CREA","Human sized mythical creatures, so zombies and vampires, elves etc. Troll, Ogres, Orcs. Two legged creatures.","zombie, odöd, levande död, spöke, vampyr, alv, orcher, träsktroll, troll, tengu, pyssling, bigfoot, träskdjur, varulv, Frankenstein, mumie"],
["VARELSER","INSEKTSLIK","CREAInsc","CREA","Giant spiders or other insect like creatures. The creature from The Fly. A giant Tarantula.","jättemyra, jättespindel"],
["VARELSER","DIVERSE","CREAMisc","CREA","Creature sounds not fitting another category in this list.","diverse"],
["VARELSER","MONSTER","CREAMnstr","CREA","Godzilla, scary monsters, horror monsters. See also CREATURES-HUMANOID.","Godzilla, King Kong, Rancor, Behemoth, Xenomorph, Chupacabra."],
["VARELSER","REPTIL","CREARept","CREA","Giant lizards and snakes, large giant hissing monsters.","Orm, orm, ormstjärna, jätteödla, jättelik orm."],
["VARELSER","LITEN","CREASmall","CREA","Specifically small mythical creatures. Fairies, pixies, small rodent like creatures, etc. Distinguished by small size.","älva, älv, gremlin, tomte, spöke, fraggle"],
["VARELSER","RÅMATERIAL","CREASrce","CREA","Source recordings meant for creature design, like prop recordings, human voice packs for design, etc.","skälla, andas, ropa, kråka, kvidra, klick, skrika, anstränga sig, grymta, väsa, tjoa, yla, morra, snor, gutturalt, stön, stön, stön, mun, vrål, skrik, skrik, skrik, skrik, gnissel, gnäll, gnäll."],
["FOLKSAMLINGAR","ILSKA","CRWDAngr","CRWD","Crowds of upset or angry people, as in a riot, protest, a schoolyard fight. See also AMBIENCE-PROTEST.","huligan, upplopp, protest, skrik, bråk, bråkig"],
["FOLKSAMLINGAR","APPLÅD","CRWDApls","CRWD","Crowds where the applause is predominantly featured. Use CROWDS-CHEERING for recordings that are mainly vocals.","applåder, jubel, applåder, applåder, applåder, applåder, applåder, applåder, applåder, applåder"],
["FOLKSAMLINGAR","KAMP","CRWDBatl","CRWD","Crowds in battle, fighting, yelling screaming, dying. If including gunfire, explosions. use AMBIENCE-WARFARE.","stridsrop, skrik, anfall, samling, armé, strid, slagsmål, slagsmål, krig, skrikande, döende"],
["FOLKSAMLINGAR","FIRANDE","CRWDCele","CRWD","Crowds celebrating holidays, parties, rowdy crowds. If not clean, use AMBIENCE-CELEBRATION.","firande, semester, fest, bråkigt, födelsedag, nyår, jul, parad, parad"],
["FOLKSAMLINGAR","JUBEL","CRWDCheer","CRWD","Could include applause, but cheering crowds where the crowd vocals are predominant. Overlap with CROWDS-CELEBRATION.","jubel, konsert, stadion, publik, jubel, svall, sång"],
["FOLKSAMLINGAR","BARN","CRWDChld","CRWD","Relatively clean vocals of children together, playing in a playground, in a school classroom, recess, school hallway. See also AMBIENCE-SCHOOL.","lekplats, rast, barn som leker, park, lek, leka, leka."],
["FOLKSAMLINGAR","SAMTAL","CRWDConv","CRWD","A small enough group chat that you can discern words, smaller and less active than a walla. A chatter.","prat, chatt, prat, prat, gles walla, konversation, konversation"],
["FOLKSAMLINGAR","SKRATT","CRWDLaff","CRWD","Crowds laughing, a comedy show, canned television laughter, groups of kids laughing, at a party for example.","TV-program, konserverat skratt, komediklubb, skrattspår"],
["FOLKSAMLINGAR","STÖDREPLIKER","CRWDLoop","CRWD","For loop group type walla, usually performed for or to picture, specific environments, specific callouts. See also ARCHIVED-LOOP GROUP for official loop group recordings.","loop group, adr, burka"],
["FOLKSAMLINGAR","DIVERSE","CRWDMisc","CRWD","Crowd sounds not fitting another category in this list. See also MOVEMENT-CROWD.","Diverse"],
["FOLKSAMLINGAR","PANIK","CRWDPanic","CRWD","Distressed crowds, mixed screams and crying and reactions… crowds in a natural disaster or crowds in a giant monster attack...","Panik, kaos, skrik, skrik, gråt, nöd"],
["FOLKSAMLINGAR","TYST","CRWDQuiet","CRWD","Very quiet crowds, mostly mumbling or murmuring. Like crowds whispering in church or a courtroom scene. See also VOICES-WHISPER for single person recordings.","mumlande, viskning, tystnad, mumlande"],
["FOLKSAMLINGAR","REAKTION","CRWDReac","CRWD","Big Ooos, and Aaahs and Booos, big group responses to events happening. Shocked reactions.","bu, ahh, ooh, studioreaktion"],
["FOLKSAMLINGAR","SÅNG","CRWDSing","CRWD","Singing during sporting events, New Year's Eve crowds singing Auld Lang Syne, Christmas carols. Not large choral music, which would go in MUSICAL category.","sång, kör, koral, sångsång"],
["FOLKSAMLINGAR","SPORT","CRWDSprt","CRWD","Clean crowds at sporting events, Baseball, football. For mixed ambience used AMBIENCE-SPORT. A sports chant.","applåder, klappning, buu, jubel, stadion, yay, publik, olympiska spelen, skrik, woohoo"],
["FOLKSAMLINGAR","SORL","CRWDWalla","CRWD","Specifically very clean crowd walla, with non-discernible words. See also various AMBIENCE categories.","röster, prat, walla, konversation"],
["LJUDDESIGN","BASTON FALLANDE","DSGNBass","DSGN","Deep descending bass notes. Bass Drops.","bas dykning, downer, bas droppe, fall"],
["LJUDDESIGN","BOOM","DSGNBoom","DSGN","Deep short and tight, low end stingers, big trailer deep hits. LFE type low end sweeteners.","boom, deep hit, low sting, trailer"],
["LJUDDESIGN","BRAAM","DSGNBram","DSGN","Long deep horn like sounds. Like a War of the World's type long sound, or like a long french horn braam type sound.","bramm"],
["LJUDDESIGN","DISTORTION","DSGNDist","DSGN","Particulary distored designed sounds and distortion elements.","förvrängning, fyrkantig, snedvriden, förvrängd"],
["LJUDDESIGN","DRONE","DSGNDron","DSGN","Designed drones, eerie tense drones, long stylized sounds with not much activity or movement.","pad, drone, textur, olycksbådande, spänning"],
["LJUDDESIGN","OLYCKSBÅDANDE","DSGNErie","DSGN","Often designed, but tense strange undefined sounds that are eerie, tense, suspenseful. Some overlap with DESIGNED-DRONE possible.","spöklik, spänd, konstig, läskig, skrämmande, skrämmande, skrämmande, hemsökande, freaky, skrämmande, "],
["LJUDDESIGN","SPÖKLIK","DSGNEthr","DSGN","Ethereal wispy designed sounds. Ghostlike whispers, or heavenly tones. Otherworldly. See also DESIGNED-EERIE.","eterisk, himmelskt"],
["LJUDDESIGN","GRANULÄR","DSGNGran","DSGN","Granular synthesis, sounds that have a gritty textural type sound, think PaulStretch, sounds broken down into tiny slices and recompiled.","kornig, paulstretch, korn, skivor"],
["LJUDDESIGN","SMÄLL","DSGNImpt","DSGN","Designed huge impacts, collisions, stylized big hits. Possible overlap with DESIGNED-STINGER.","slag, träff, slag, smäll, smash, kollision"],
["LJUDDESIGN","DIVERSE","DSGNMisc","DSGN","Designed sounds not fitting another category in this list.","diverse"],
["LJUDDESIGN","MORF","DSGNMorph","DSGN","A stylized blending of elements, something transitioning into another thing.","morph, blandning, övergång"],
["LJUDDESIGN","STIGANDE","DSGNRise","DSGN","Tension risers, things rising in tone, something similar to a rising string line to create tension.","omvänd, crescendo, rizer, riser, spänning"],
["LJUDDESIGN","MULLER","DSGNRmbl","DSGN","Designed rumbles for layering into a mix. Earthquake rumbles. Composite rumble.","subharmonisk, mullrande, skakande, jordbävning"],
["LJUDDESIGN","RYTMISK","DSGNRythm","DSGN","Stattaco or glitchy machine type loops, things with definied starts, stops, rhythmic stutters.","Stottrande, glitch, puls, stattaco"],
["LJUDDESIGN","RÅMATERIAL","DSGNSrce","DSGN","For recordings meant to be used as source for other designed sounds, experimental recordings, elements, etc.","källa, råmaterial, material, rå inspelning"],
["LJUDDESIGN","STINGER","DSGNStngr","DSGN","Stings, stylized screen sweeteners. Big trailer type sounds. Big shock scare type sounds. Stylized stings, hits and impacts. Overlap with DESIGNED-IMPACT.","sting, startle, trailer, cinematisk"],
["LJUDDESIGN","SYUNTETISK","DSGNSynth","DSGN","Very synthesized sounds, very electronic synth stuff. Raw work files of synth-play.","syntetiserad, synt, mod synth, modulär synt, granulär, analog synt, modulär synt"],
["LJUDDESIGN","TONAL","DSGNTonl","DSGN","Designed sounds with a particularly tonal nature. The ringing in your ear of tinnitus for example.","tinnitus, ringning, granatchock, subjektiv"],
["LJUDDESIGN","RÖST","DSGNVocl","DSGN","Design specifically around vocals, ghostly whispers, enchanted spells, reversed talking etc. Not for Creatures.","förtrollning, trollformel, bearbetad, vokal, viskning, spöklik"],
["LJUDDESIGN","SVISCH","DSGNWhsh","DSGN","Stylized designed big whooshes, definite possible overlap confusion with SHOOSHES-WHOOSH, but this for less natural and more stylized versions.","Whoosh, trailer swish, swish"],
["FÖRSTÖRELSE","RAS","DESTRClpse","DESTR","Buildings and large mixed complex collapses, a barn collapse, Godzilla pushing over a building.","kollaps, störtar, faller, imploderar"],
["FÖRSTÖRELSE","KRASCH & BRÅTE","DESTRCrsh","DESTR","Mixed crashes, complex crashes involving more than one material. So a combo huge glass and metal crash. See also individual material categories like METAL, WOOD etc.","krascha, brista, implodera, slå sönder, bryta, splittra"],
["FÖRSTÖRELSE","DIV","DESTRMisc","DESTR","Destruction sounds not fitting another category in this list.","diverse"],
["JORD OCH SAND","KRASCH & BRÅTE","DIRTCrsh","DIRT","Dirt or sand settling, as in after an explosion, big sprays of dirt and sand. DUST has its own subcategory.","skräp, sand, smuts, rinnande, spray, smulor"],
["JORD OCH SAND","DAMM","DIRTDust","DIRT","Settling dust, dust clouds, much lighter sound than DIRT & SAND-DEBRIS","fin, partikel, sediment, silt, damm"],
["JORD OCH SAND","HANTERING","DIRTHndl","DIRT","Handling dirt & sand, hands digging through dirt, children making a sand castle. Some overlap with DIRT & SAND-MOVEMENT.","hantera, ta tag i, gräva, fånga"],
["JORD OCH SAND","SMÄLL","DIRTImpt","DIRT","Big hits and impacts of dirt of sand, dirt clods. Think the huge dirt ball impacts in WHERE THE WILD THINGS ARE.","dumpa, duns, lossning, droppe"],
["JORD OCH SAND","DIVERSE","DIRTMisc","DIRT","Dirt, Sand and Earth sounds not fitting another category in this list.","diverse"],
["JORD OCH SAND","RÖRELSE","DIRTMvmt","DIRT","Pouring, flowing of dirt or sand, a big sand pour. See also DIRT & SAND-HANDLE.","hälla, lossa, flöda, spilla"],
["JORD OCH SAND","TONAL","DIRTTonl","DIRT","Singing sand dunes. Probably pretty rare.","sanddyner, sjungande sand"],
["DÖRRAR","ANTIK","DOORAntq","DOOR","Very old sounding doors, as in an old castle or abbey. But massive doors of this type probably to DOOR-DUNGEON.","slott, abby, kyrka, gammalt, gammalt, gammalt, antikt"],
["DÖRRAR","HUSHÅLLSAPPARAT","DOORAppl","DOOR","Appliance doors such as oven, dishwasher, refrigerator or microwave.","ugn, mikrovågsugn, kylskåp, diskmaskin, tvättmaskin, torktumlare"],
["DÖRRAR","SKÅP","DOORCab","DOOR","Cabinet doors, such as kitchen cabinet, tool cabinets.","skåp, köksskåp, verktygsskåp"],
["DÖRRAR","SAMMANSATT","DOORComp","DOOR","Fiberglass, wood steel combination, doors that don't sound like a specific material. A modern front door. Some confusion or overlap with DOORS-WOOD likely.","glasfiber, dörr"],
["DÖRRAR","KNARR","DOORCreak","DOOR","Door creaks, wood or metal, overlap with WOOD-FRICTION and METAL-FRICTION, but specifically door creaks.","knäppning, dörr, fängelsehåla, källare, slott, trädörr, metalldörr, dörrknäppning"],
["DÖRRAR","HÅLA","DOORDungn","DOOR","That big old classic wood and/or metal heavy dungeon, castle type door.","slott, fängelsehåla, stor, källare"],
["DÖRRAR","ELEKTRISK","DOORElec","DOOR","Electric doors of all kinds, garage doors, big soundstage doors, sliding store doors. See also DOORS-REVOLVING.","elektrisk dörr, garagedörr, dörr för ljudscenor, automatisk dörr"],
["DÖRRAR","GRIND","DOORGate","DOOR","Non-motorized gates, metal or wood. So a garden gate, a park gate. A farm gate.","trädgårdsgrind, staketgrind, parkgrind, järnvägsövergång, boskapsgrind, gårdsgrind"],
["DÖRRAR","GLAS","DOORGlas","DOOR","Glass doors, manual shopping store doors, glass home front doors. Most store doors would probably fit here.","glasdörr, förrådsdörr, portdörr, fransk dörr"],
["DÖRRAR","BESLAG","DOORHdwr","DOOR","Door knobs, door locks, deadbolts, chain locks, push bars. Lock Picking, Doorknob Jiggles.","Dörrhandtag, låsbult, tryckstång, kedjelås, gångjärn, lås, handtag, hårdvara, låsplockning, rattfylla"],
["DÖRRAR","HI-TECH","DOORTech","DOOR","James bond type doors, something not quite sci-fi but more advanced, Modern lab, or air sealed chamber, vaults. See also SCIFI-DOOR.","Dörr till labb"],
["DÖRRAR","HUDRAULISK & PNEUMATISK","DOORHydr","DOOR","Self closing doors, lots of office and store doors are of this type. Also automatic doors if hydraulic or pneumatic.","Dörrstängare, pneumatisk, hydraulisk, elektrisk lucka"],
["DÖRRAR","KNACKA","DOORKnck","DOOR","Knocking on various door surfaces.","knacka, rappa, knacka, smäll, dunk, dunk, dunk"],
["DÖRRAR","METALL","DOORMetl","DOOR","Metal doors, like a vault door or heavy door. PRISON doors have their own category, as they are quite specific sounding.","rulllucka, valv, kassaskåp, lucka"],
["DÖRRAR","DIVERSE","DOORMisc","DOOR","Door sounds not fitting another category in this list.","diverse"],
["DÖRRAR","PLAST","DOORPlas","DOOR","Doors made out of plastic. Not very common but maybe a door to a child's play house.","porta john, porta let, porta pottie"],
["DÖRRAR","FÄNGELSE","DOORPrisn","DOOR","Big metal jail and prison doors. Sliding prison doors, or swinging jail doors.","fängelsedörr, fängelsedörr"],
["DÖRRAR","ROTERANDE","DOORRevl","DOOR","Classic revolving doors used as entries to hotels, banks, malls.","rotera, rotera, svängdörr, hotell, flygplats, köpcentrum"],
["DÖRRAR","SKJUTDÖRR","DOORSlid","DOOR","Manual sliding doors, such as a patio door, sliding shower doors. Electric sliding doors to DOORS-ELECTRIC.","glasskjutdörr, altandörr, duschdörr"],
["DÖRRAR","STEN","DOORSton","DOOR","Mostly a fantasy type door, but think Gates of Moria, big tombstone vault doors.","grav, krypta, tempel, mausoleum, hemlig ingång"],
["DÖRRAR","SVÄNGDÖRR","DOORSwng","DOOR","Swinging doors, like old-west saloon or church pulpit doors. Doors on swinging springs.","salongsdörr, trafikdörr, restaurangdörr, kyrkans predikstolsdörr"],
