[["LUFT","BLÆSE","AIRBlow","AIR","Steady air blows, like from a compressed can of air.","trykluft, trykaflastning, frigivelse, puff, sputter, flutter, flutter, rensning"],
["BÅDE","MOTORBÅD","BOATMotr","BOAT","General small boats, personal fishing boats, speedboats, pontoon boats. You average recreational boat.","lille båd, personlig fiskerbåd, speedbåd, pontonbåd, andebåd, jolle"],
["BÅDE","RACE","BOATRace","BOAT","Powered racing boats, not for human powered racing boats, those would go under BOATS-ROWING.","vandflyver, hydroplan, hydrofoil, jetbåd"],
["BÅDE","ROBÅD","BOATRow","BOAT","Canoes, rowboats, kayaks probably, human powered boats that use oars and paddles, even racing rowboats.","kano, robåd, kajak, årer, padle, dragebåd, ro"],
["BÅDE","SEJLBÅD","BOATSail","BOAT","Composite recordings of rigging and sails, isolated elements to CLOTH-FLAP for close sails, or BOATS-MECHANISM for rigging.","sejlbåd, skonnert, yawl, sløjfe, ketch, motorsvævebåd"],
["BÅDE","SKIB","BOATShip","BOAT","Large ship, passenger cruise ships, oil tankers, things relating to these.","stort skib, krydstogtskib, olietanker, fragtskib, fragtskib, fragtskib"],
["BÅDE","DAMP","BOATStm","BOAT","Old steam paddle boats, big steam ship sounds.","dampskib med padle, dampskib med padle, dampskib, dampmaskine"],
["BÅDE","UBÅD","BOATSub","BOAT","Relating to a submarine, include sonar pings. Classic 'Dive' alarm would go in ALARMS-SIREN with keyword Klaxon.","ubåd, sonar, undervandsbåd, ubåd, ubåd"],
["BÅDE","UNDER VAND","BOATUndwtr","BOAT","Specifically boats and ships recorded underwater, usually hydrophone recordings. SUBMARINES have their own subcategory.","båd, skib, undervandsbåd, tankskib, fiskerbåd, motorbåd, undervandsbåd"],
["KUGLER","FORBI","BLLTBy","BLLT","Bullet pass bys in air, or underwater.","bullet whiz-by, fwip"],
["KUGLER","NEDSLAG/RAMMER","BLLTImpt","BLLT","Bullet hits and impacts, on a bullet hit on any material from the ground, to wood, to a person.","kuglestød, kugletræf, kugletræf"],
["KUGLER","DIVERSE","BLLTMisc","BLLT","Bullet sounds not fitting another category in this list.","diverse"],
["KUGLER","RICOCHET","BLLTRico","BLLT","Bullet ricochets, that classic old west 'ping' when a bullet bounces off something.","ricos, ricochet, afbøjning"],
["KUGLER","PATRONHYLSTER","BLLTShel","BLLT","Bullet shells ejecting and dropping to the ground. See also GUNS-HANDLING for things like loading or unloading a gun.","granat, hylster, udkast"],
["TEGNESERIE","DYR","TOONAnml","TOON","Cartoon animals, made from animals calls, props, etc. Very silly or stylized animals calls for use in Cartoons.","falsk dyr, jagtkald, jagtkald, andekald"],
["TEGNESERIE","BOING","TOONBoing","TOON","Cartoon boings, like for a bouncing cartoon character. Roger Rabbit or Tigger from Winnie the Pooh.","kæbeharpe, mundharpe, mundharpe"],
["TEGNESERIE","KLANG","TOONClang","TOON","Cartoon clangs, like a funny anvil hit. Most likely a very metallic resonant hit.","klonk, metallisk"],
["TEGNESERIE","KNIRKE","TOONCreak","TOON","Cartoon creaks, some overlap or confusion with CARTOON-STRETCH possible.","gummi, træ"],
["TEGNESERIE","HORN","TOONHorn","TOON","Cartoon horns, as in bulb horns, clown horns.","pærehorn, dyt, klovnehorn"],
["TEGNESERIE","NEDSLAG/RAMMER","TOONImpt","TOON","Cartoon hits, bonk, boink, doink..","bonk, boink, doink"],
["TEGNESERIE","MASKINE","TOONMach","TOON","Cartoon machines, an overly comical sounding machine or contraption. A Rube Goldberg contraption.","kontraption, komisk maskine, rube goldberg maskine"],
["TEGNESERIE","DIVERSE","TOONMisc","TOON","Cartoon sounds not fitting another category in this list.","toon, squanch, blorb, flump"],
["TEGNESERIE","MUSIKALSK","TOONMx","TOON","Cartoon musical phrases. String plucks for a cartoon character sneaking up on another. Perhaps a cartoon musical phrase.","gliss, opstigning, nedstigning,"],
["TEGNESERIE","PLUKKE","TOONPluk","TOON","Cartoon string plucks, violin plucks, dental floss plucks.","strygning, plukning"],
["TEGNESERIE","POP","TOONPop","TOON","Cartoon funny pops, mouth pops, suction cup pops.","pop pistol, mund pop, sugekop, boble pops"],
["TEGNESERIE","RYSTE","TOONShake","TOON","Cartoon shake, like a noisemaker toy, maraca.","rangle"],
["TEGNESERIE","SPLATTET","TOONSplt","TOON","Cartoon splats, funny liquid and mud like splats and things.","splat, splort, squish"],
["TEGNESERIE","PIBE","TOONSqk","TOON","Cartoon squeaks. funny little sounding squeaks of things.","knirke"],
["TEGNESERIE","STRÆKKE","TOONStrch","TOON","Cartoon stretches, funny rubber or other type stretching sounds, exaggerated.","spænde"],
["TEGNESERIE","HVISLEN","TOONSwsh","TOON","Cartoon swishes, specifically very funny cartoony swishes.","snurre, hvirvle, hvirvle"],
["TEGNESERIE","TWANG","TOONTwang","TOON","Cartoon twangs, that classic ruler twang type sound.","lineal, mundharpe"],
["TEGNESERIE","VOGN","TOONVeh","TOON","Cartoon vehicles, think Jetsons spaceship or Flintstones cars.","jetsons, kontraption. Flintstones bil, backfire"],
["TEGNESERIE","STEMME","TOONVox","TOON","Cartoon vocals, specifically very silly. See also CARTOON-ANIMALS for non-human vocals.","mumle, fjollet stemme, tegneseriestemme"],
["TEGNESERIE","KVIDRE","TOONWarb","TOON","Cartoon warble.","wobble"],
["TEGNESERIE","FLØJTE","TOONWhis","TOON","Cartoon whistles, most likely slide whistles, other very silly whistles. A Wolf-Whistle.","slide fløjte"],
["TEGNESERIE","ZIP","TOONZip","TOON","Cartoon zips. Very fast 'zip' type sounds, often for fast movement aways.","zip, rico, sirene, fløjte"],
["KERAMIK","BRÆKKE","CERMBrk","CERM","Ceramics break of a more singular nature, a plate shatter, breaking, cracking, crunching. Mostly for single items breaking. See also CERAMICS-CRASH & DEBRIS.","bryde, knække, knuse, knuse"],
["KERAMIK","STYRTE OG NEDLAGSRESTER","CERMCrsh","CERM","Ceramics destruction of more of a group nature, multiple crashes and debris. See also CERAMICS-BREAK.","falde, vragrester, skår"],
["KERAMIK","FRIKTION","CERMFric","CERM","Ceramics friction, scraping, squeaking, screeching.","stress, skrabning, knirken, knirke, knirke, skrækken"],
["KERAMIK","HÅNDTERING","CERMHndl","CERM","Ceramics handling, picking up a coffee mug, handling a plant pot. Some overlap with CERAMICS-MOVEMENT.","håndtere, gribe, sætte, samle, samle op, sætte ned, kaste, fange"],
["KERAMIK","NEDSLAG","CERMImpt","CERM","Ceramics impacts without breaking, so hits drops, clunks and clinks. See also CERAMICS-BREAK.","ramt, fald, stød, crash, klonk, klirren"],
["KERAMIK","DIVERSE","CERMMisc","CERM","Ceramics sounds not fitting another category in this list.","diverse"],
["KERAMIK","BEVÆGELSE","CERMMvmt","CERM","Ceramics single or group movement, so dragging, shaking and rattling. See also CERAMICS-HANDLE.","trække, rulle, rasle, ryste, ryste"],
["KERAMIK","TONALE","CERMTonl","CERM","Ceramics ringing, as in being bowed.","bøjes, ringer, ringer, shing, ping"],
["KÆDER","BRÆKKE","CHAINBrk","CHAIN","Chain snapping or breaking, that sharp sound of a chain failing.","knække, knække, knække, bøje"],
["KÆDER","HÅNDTERING","CHAINHndl","CHAIN","Chain handling, repairing a bike chain, a prisoner moving around in chains. Some overlap with CHAINS-MOVEMENT.","håndtere, gribe, sætte, samle, samle op, sætte ned, kaste, fange"],
["KÆDER","NEDSLAG/RAMMER","CHAINImpt","CHAIN","Chain impacts, such a big chain hit or slam, or a tension snap of a chain being pulled taut.","falde, ramme, slå, slå, slam, spænding knækker"],
["KÆDER","DIVERSE","CHAINMisc","CHAIN","Chain sounds not fitting another category in this list.","diverse"],
["KÆDER","BEVÆGELSE","CHAINMvmt","CHAIN","Chain handling, particularly being pulled through pulleys or across surfaces. See also CHAINS-HANDLE.","slæb, håndjern, fængselskæde, hundekæde"],
["KEMIKALIER","SYRE","CHEMAcid","CHEM","Chemical acid burning and sizzling, bubbling. A vat of acid.","bruse, smelte, brus, brus"],
["KEMIKALIER","DIVERSE","CHEMMisc","CHEM","Chemical sounds not fitting another category in this list.","diverse"],
["KEMIKALIER","REAKTION","CHEMReac","CHEM","Chemical reactions, chemistry set, bubbling, foaming, bunsen burner reactions. Overlap perhaps with LIQUID & MUD category.","boblende, skummende, reaktion"],
["URE","KIME","CLOCKChim","CLOCK","Chimes, bells specifically for a clock, Grandfather clock chimes. Alarm clocks would go to ALARMS-CLOCK.","klokkespil, klokke, standerur"],
["URE","MEKANISME","CLOCKMech","CLOCK","Clocks winding, complex mechanical clock mechanisms.","optræk, urets tandhjul, gøglerur"],
["URE","DIVERSE","CLOCKMisc","CLOCK","Clock sounds not fitting another category in this list. Also see ALARMS-CLOCK","diverse"],
["URE","TIKKE","CLOCKTick","CLOCK","Analog ticking clocks and watches of all sizes, also mechanical stop watches.","tick, klik, kvarts, tick tock, stopur, æggeur, æggeur"],
["KLÆDE","FLABRE","CLOTHFlp","CLOTH","Cloth flapping, as in a flag flapping, or superman's cape. Also ship sails and parachutes.","flap, flag, knitren, faldskærm, kappe, sejldug, sejl, sejl, sejldug"],
["KLÆDE","HÅNDTERING","CLOTHHndl","CLOTH","Cloth handling, grabbing a jacket, clothy arm grabs, etc. Some overlap with CLOTH-MOVEMENT. See also possibly OBJECTS-FASHION.","håndtag, gribe, sætte, samle, samle op, sætte ned, kaste, fange"],
["KLÆDE","RAMME/NEDSLAG","CLOTHImpt","CLOTH","Cloth impacts, throwing a jacket forcefully to the floor, a wet towel snap. Some overlap with CLOTH-MOVEMENT possible.","slå, falde, slå, slå, smække"],
["KLÆDE","DIVERSE","CLOTHMisc","CLOTH","Cloth sounds not fitting another category in this list.","diverse"],
["KLÆDE","BEVÆGELSE","CLOTHMvmt","CLOTH","Varied cloth movement except flapping which has its own category. Variety of cloth movement. Cloth zuzz. See also CLOTH-FLAP.","zuzz, swish, rustle, ruffle, scrunch, scrunch, mvmt"],
["KLÆDE","FLÅ","CLOTHRip","CLOTH","Various cloth rips and tears, short to long. Velcro would best fit here too.","rive, rive, rive, rive, rive, rive, rive, rive"],
["KOMMUNIKATION","TEKNISK UDSTYR","COMAv","COM","Various AV devices such a projector or tape recorder, video cameras here too. Some overlap or confusion with COMMUNICATIONS-CAMERA.","filmkamera, spole, filmkamera, projektor, båndoptager, nagra, walkman, cd-afspiller, spole til spole, video, laserdisc-afspiller, betamax, diaprojektor, beamer, ipod, bolex, 8mm, 16mm"],
["KOMMUNIKATION","KAMERA","COMCam","COM","Still camera shutters, automatic winding, old flash-bulbs. Movie and video cameras to COMMUNICATIONS-AV.","kamera lukker, optræk, blitzpære, kodak, nikon, canon, olympus, kodak, fuji, fujifilm, mamiya, hasselblad, leica, 35mm, 120mm"],
["KOMMUNIKATION","MOBILTELEFON","COMCell","COM","Cellphones and Smartphones., clicks and rings, tones.","mobiltelefon, smartphone, iphone, iphone, blackberry, klaptelefon, android"],
["KOMMUNIKATION","MIKROFON","COMMic","COM","Feedback and mic bumps and handling. Megaphones would go here too.","mikrofon håndtering, mic tap, larsen, megafon"],
["KOMMUNIKATION","DIVERSE","COMMisc","COM","Communication sounds not fitting another category in this list.","diverse"],
["KOMMUNIKATION","FONOGRAF","COMPhono","COM","Turntable, Victrola, motors and mechanics. STATIC has its own subcategory here.","pladespiller, victrola, grammofon, stylus, vinylplade"],
["KOMMUNIKATION","RADIO","COMRadio","COM","Tuning, radio and shortwave sounds. STATIC has its own subcategory here. A radio broadcast would go here too. Overlap with VOICES-FUTZED.","tuning, radio, kortbølge, squelch, futz, radioudsendelse"],
["KOMMUNIKATION","STØJ","COMStatic","COM","Static from any electronic source, radio, CB, television, optical noise, phonograph noise.","statisk, fuzz, scramble"],
["KOMMUNIKATION","TEKNISK UDSTYR","COMTelm","COM","Fax machine tones, modem tones, telegraph, teletype. UI is it's own category","morsekode, telegraf, telemetri, aflæsning, sos"],
["KOMMUNIKATION","TELEFON","COMTelph","COM","Old school rotary dial and digital telephones. Technically any telephone that isn't a mobile or cell phone.","dial, mønttelefon, mønttelefon, drejeskive, tastatur, fastnet, trådtelefon"],
["KOMMUNIKATION","FJERNSYN","COMTv","COM","Television programs, on and off, channel changes, TV Remote controls. STATIC has its own subcategory here. A television broadcast would go here too. Overlap with VOICES-FUTZED.","tv, fjernbetjening, dial, show, program, futz, tv-show, udsendelse"],
["KOMMUNIKATION","TRANSCEIVER","COMTran","COM","Walkie Talkies, CBs, Ham Radios, all two-way transceivers and radios go here. Put voices into VOICES-FUTZED.","walkie talkies, cb, amatørradioer, transceiver, squelch, intercom, forsendelse"],
["KOMMUNIKATION","SKRIVEMASKINE","COMType","COM","Old school typewriters, not modern computer keyboards.","skrivemaskine, teleprinter, vogn retur, pladeknap"],
["COMPUTERE","HARDDISK","CMPTDriv","CMPT","Laptop or other hard drive seeking sounds, data reading.","springe over, søge, slibe, harddisk, harddisk, harddisk"],
["COMPUTERE","KEYBOARD OG MUS","CMPTKey","CMPT","Typing on computer keyboard, and mouse movement.","tastatur, mus, mus, mus, trackpad"],
["COMPUTERE","DIVERSE","CMPTMisc","CMPT","Computer sounds not fitting another category in this list. Printers would go to MACHINES-OFFICE.","palm pilot, pocket pc"],
["VÆSNER/SKABNINGER","AKVATISKE","CREAAqua","CREA","Giant mutant squids or sea monsters, kraken, leviathans.","kraken, havfrue, kæmpe blæksprutte"],
["VÆSNER/SKABNINGER","FLYVENDE","CREAAvian","CREA","Alien or Fantasy birds, or weird birdlike creatures. A giant mutant parakeet would go here.","fremmede fugle, udenjordiske fugle, fantasifugle"],
["VÆSNER/SKABNINGER","BÆST/DYR","CREABeast","CREA","Big four legged creatures and beasts. Wooly Mammoth, a mutant elephant, Mumakil.","uldhåret mammut, mumakil, "],
["VÆSNER/SKABNINGER","BLOB","CREABlob","CREA","Gelatinous and gooey type creatures, gelatinous cube.","blob, gloop, goop, goop"],
["VÆSNER/SKABNINGER","DINOSAURUS","CREADino","CREA","Dinosaurs of all types, Jurassic Park.","brontosaurus, velociraptor, triceratops, stegosaurus, tyrannosaurus, allosaurus, spinosaurus, brachiosaurus, archaeopteryx, pterosaurer, pterodactyl"],
["VÆSNER/SKABNINGER","DRAGE","CREADrgn","CREA","Game of Thrones, Lord of the Rings, dragons of all types. See also CREATURES-REPTILIAN.","drage, drage, drage, wyvern"],
["VÆSNER/SKABNINGER","ELEMENT","CREAElem","CREA","Creatures based on elements, rock giants, fire creatures, ice monsters, such a the Balrog, or a Rock Giant.","klippemonster, ildmonster, ismonster, klippegigant, isgigant, golem"],
["VÆSNER/SKABNINGER","SPØGELSE","CREAEthr","CREA","Ghosts, spirits, ethereal vocals and wispy movement, apparitions.","spøgelser, ånder, æterisk, spøgelse, spøgelse, sjæl, spøgelse, spøgelse, spøgelse, poltergeist, spøgelse, spøgelse, genfærd"],
["VÆSNER/SKABNINGER","MENNESKELIGNENDE","CREAHmn","CREA","Human sized mythical creatures, so zombies and vampires, elves etc. Troll, Ogres, Orcs. Two legged creatures.","zombie, udøde, levende døde, ghoul, vampyr, elver, orker, trold, trold, tengu, nisse, nisse, bigfoot, sumpting, varulv, Frankenstein, mumie"],
["VÆSNER/SKABNINGER","INSEKTLIGNENDE","CREAInsc","CREA","Giant spiders or other insect like creatures. The creature from The Fly. A giant Tarantula.","kæmpe myre, kæmpe edderkop, kæmpe edderkop"],
["VÆSNER/SKABNINGER","DIVERSE","CREAMisc","CREA","Creature sounds not fitting another category in this list.","diverse"],
["VÆSNER/SKABNINGER","UHYRE","CREAMnstr","CREA","Godzilla, scary monsters, horror monsters. See also CREATURES-HUMANOID.","godzilla, king kong, rancor, behemoth, xenomorph, chupacabra"],
["VÆSNER/SKABNINGER","REPTIL","CREARept","CREA","Giant lizards and snakes, large giant hissing monsters.","slange, slange, kæmpeøgle, kæmpeslange"],
["VÆSNER/SKABNINGER","LILLE","CREASmall","CREA","Specifically small mythical creatures. Fairies, pixies, small rodent like creatures, etc. Distinguished by small size.","fe, alf, alf, gremlin, nisse, spøgelse"],
["VÆSNER/SKABNINGER","KILDE","CREASrce","CREA","Source recordings meant for creature design, like prop recordings, human voice packs for design, etc.","gøen, ånde, kalde, kråse, kvidre, kvidre, klikke, grynte, grynte, hvæse, hyle, brumme, knurre, snerre, gutturalt, stønne, stønne, stønne, mund, brøle, skrige, skrige, skrige, skrige, hvine, hvine, hvine"],
["FOLKEMÆNGDE","VREDE","CRWDAngr","CRWD","Crowds of upset or angry people, as in a riot, protest, a schoolyard fight. See also AMBIENCE-PROTEST.","hooligan, oprør, protest, råbe, råbe, råbe op"],
["FOLKEMÆNGDE","BIFALD","CRWDApls","CRWD","Crowds where the applause is predominantly featured. Use CROWDS-CHEERING for recordings that are mainly vocals.","bifald, jubel, klapsalve, ekstranummer"],
["FOLKEMÆNGDE","KAMP","CRWDBatl","CRWD","Crowds in battle, fighting, yelling screaming, dying. If including gunfire, explosions. use AMBIENCE-WARFARE.","kampråb, råb, angreb, samling, hær, kamp, slag, slagsmål, slagsmål, krig, skrigende, døende"],
["FOLKEMÆNGDE","FEJRING","CRWDCele","CRWD","Crowds celebrating holidays, parties, rowdy crowds. If not clean, use AMBIENCE-CELEBRATION.","fejre, fest, fest, fest, støjende, fødselsdag, nytår, jul, parade"],
["FOLKEMÆNGDE","JUBEL","CRWDCheer","CRWD","Could include applause, but cheering crowds where the crowd vocals are predominant. Overlap with CROWDS-CELEBRATION.","jubel, koncert, stadion, publikum, jublen, dønninger, sang"],
["FOLKEMÆNGDE","BØRN","CRWDChld","CRWD","Relatively clean vocals of children together, playing in a playground, in a school classroom, recess, school hallway. See also AMBIENCE-SCHOOL.","legeplads, pause, børn leger, park, lege, lege, lege, lege."],
["FOLKEMÆNGDE","SAMTALE","CRWDConv","CRWD","A small enough group chat that you can discern words, smaller and less active than a walla. A chatter.","snak, snak, snak, snak, sparsom walla, konversere, samtale"],
["FOLKEMÆNGDE","LATTER","CRWDLaff","CRWD","Crowds laughing, a comedy show, canned television laughter, groups of kids laughing, at a party for example.","tv-show, indspillet latter, komedieklub, latterspor"],
["FOLKEMÆNGDE","LOOP GROUP","CRWDLoop","CRWD","For loop group type walla, usually performed for or to picture, specific environments, specific callouts. See also ARCHIVED-LOOP GROUP for official loop group recordings.","loop gruppe, adr, dåse"],
["FOLKEMÆNGDE","DIVERSE","CRWDMisc","CRWD","Crowd sounds not fitting another category in this list. See also MOVEMENT-CROWD.","diverse"],
["FOLKEMÆNGDE","PANIK","CRWDPanic","CRWD","Distressed crowds, mixed screams and crying and reactions… crowds in a natural disaster or crowds in a giant monster attack...","panik, kaos, råb, skrig, skrig, gråd, nød"],
["FOLKEMÆNGDE","STILLE","CRWDQuiet","CRWD","Very quiet crowds, mostly mumbling or murmuring. Like crowds whispering in church or a courtroom scene. See also VOICES-WHISPER for single person recordings.","mumlen, hvisken, hvisken, tysen, mumlen"],
["FOLKEMÆNGDE","REAKTION/REAGERE","CRWDReac","CRWD","Big Ooos, and Aaahs and Booos, big group responses to events happening. Shocked reactions.","buh, ahh, ooh, studie reaktion"],
["FOLKEMÆNGDE","SYNGE","CRWDSing","CRWD","Singing during sporting events, New Year's Eve crowds singing Auld Lang Syne, Christmas carols. Not large choral music, which would go in MUSICAL category.","sang, kor, koral, koral, sangskat"],
["FOLKEMÆNGDE","SPORT","CRWDSprt","CRWD","Clean crowds at sporting events, Baseball, football. For mixed ambience used AMBIENCE-SPORT. A sports chant.","applaus, klap, buh, jubel, stadion, yay, publikum, olympiade, råb, woohoo"],
["FOLKEMÆNGDE","CONTENTUM","CRWDWalla","CRWD","Specifically very clean crowd walla, with non-discernible words. See also various AMBIENCE categories.","stemmer, snak, walla, samtale"],
["DESIGNET","DYKKENDE BASS","DSGNBass","DSGN","Deep descending bass notes. Bass Drops.","bass dive, downer, bass drop, fall"],
["DESIGNET","BOOM","DSGNBoom","DSGN","Deep short and tight, low end stingers, big trailer deep hits. LFE type low end sweeteners.","boom, deep hit, low sting, trailer"],
["DESIGNET","BRAMM","DSGNBram","DSGN","Long deep horn like sounds. Like a War of the World's type long sound, or like a long french horn braam type sound.","bramm"],
["DESIGNET","FORVRÆNGET","DSGNDist","DSGN","Particulary distored designed sounds and distortion elements.","forvrængning, forvrænget, forvrænget"],
["DESIGNET","DRONE","DSGNDron","DSGN","Designed drones, eerie tense drones, long stylized sounds with not much activity or movement.","pad, drone, tekstur, ildevarslende, spænding"],
["DESIGNET","UHYGGELIG","DSGNErie","DSGN","Often designed, but tense strange undefined sounds that are eerie, tense, suspenseful. Some overlap with DESIGNED-DRONE possible.","uhyggelig, anspændt, mærkelig, uhyggelig, skræmmende, skræmmende, uhyggelig, uhyggelig, uhyggelig, skræmmende, "],
["DESIGNET","OVERJORDISK","DSGNEthr","DSGN","Ethereal wispy designed sounds. Ghostlike whispers, or heavenly tones. Otherworldly. See also DESIGNED-EERIE.","æterisk, himmelsk"],
["DESIGNET","GRANULAR","DSGNGran","DSGN","Granular synthesis, sounds that have a gritty textural type sound, think PaulStretch, sounds broken down into tiny slices and recompiled.","granulært, paulstretch, korn, skiver"],
["DESIGNET","NEDSLAG","DSGNImpt","DSGN","Designed huge impacts, collisions, stylized big hits. Possible overlap with DESIGNED-STINGER.","slag, slag, slag, knald, smadre, kollision"],
["DESIGNET","DIVERSE","DSGNMisc","DSGN","Designed sounds not fitting another category in this list.","diverse"],
["DESIGNET","MORPH","DSGNMorph","DSGN","A stylized blending of elements, something transitioning into another thing.","morph, blanding, overgang"],
["DESIGNET","STIGENDE","DSGNRise","DSGN","Tension risers, things rising in tone, something similar to a rising string line to create tension.","reverse, crescendo, rizer, riser, riser, spænding"],
["DESIGNET","BULDRE","DSGNRmbl","DSGN","Designed rumbles for layering into a mix. Earthquake rumbles. Composite rumble.","subharmonisk, rumble, rysten, jordskælv"],
["DESIGNET","RYTMISK","DSGNRythm","DSGN","Stattaco or glitchy machine type loops, things with definied starts, stops, rhythmic stutters.","stutter, glitch, puls, stattaco"],
["DESIGNET","KILDE","DSGNSrce","DSGN","For recordings meant to be used as source for other designed sounds, experimental recordings, elements, etc.","kilde, rå, materiale, råoptagelse"],
["DESIGNET","STIKKENDE","DSGNStngr","DSGN","Stings, stylized screen sweeteners. Big trailer type sounds. Big shock scare type sounds. Stylized stings, hits and impacts. Overlap with DESIGNED-IMPACT.","sting, startle, trailer, cinematisk"],
["DESIGNET","SYNTETISK","DSGNSynth","DSGN","Very synthesized sounds, very electronic synth stuff. Raw work files of synth-play.","synthesized, synth, synth, mod synth, modular synth, granular, analog synth, modular synth"],
["DESIGNET","TONALE","DSGNTonl","DSGN","Designed sounds with a particularly tonal nature. The ringing in your ear of tinnitus for example.","tinnitus, ringing, shell shock, subjektiv"],
["DESIGNET","VOKAL/STEMME","DSGNVocl","DSGN","Design specifically around vocals, ghostly whispers, enchanted spells, reversed talking etc. Not for Creatures.","fortryllelse, fortryllelse, bearbejdet, vokal, hvisken, spøgelsesagtig"],
["DESIGNET","WHOOSH","DSGNWhsh","DSGN","Stylized designed big whooshes, definite possible overlap confusion with SHOOSHES-WHOOSH, but this for less natural and more stylized versions.","whoosh, trailer swish, swish, swish"],
["ØDELÆGGELSE","KOLLAPSE","DESTRClpse","DESTR","Buildings and large mixed complex collapses, a barn collapse, Godzilla pushing over a building.","kollaps, vælte, faldt, imploderede"],
["ØDELÆGGELSE","STYRTE OG NEDLAGSRESTER","DESTRCrsh","DESTR","Mixed crashes, complex crashes involving more than one material. So a combo huge glass and metal crash. See also individual material categories like METAL, WOOD etc.","crash, brud, implodere, smadre, bryde, knuse, splintre"],
["ØDELÆGGELSE","DIVERSE","DESTRMisc","DESTR","Destruction sounds not fitting another category in this list.","diverse"],
["JORD OG SAND","STYRTE OG NEDLAGSRESTER","DIRTCrsh","DIRT","Dirt or sand settling, as in after an explosion, big sprays of dirt and sand. DUST has its own subcategory.","snavs, sand, snavs, dryp, sprøjte, sprøjte, smuldre"],
["JORD OG SAND","STØV","DIRTDust","DIRT","Settling dust, dust clouds, much lighter sound than DIRT & SAND-DEBRIS","fin, partikel, sediment, slam, støv"],
["JORD OG SAND","HÅNDTERING","DIRTHndl","DIRT","Handling dirt & sand, hands digging through dirt, children making a sand castle. Some overlap with DIRT & SAND-MOVEMENT.","håndtere, gribe, grave, gribe, fange"],
["JORD OG SAND","NEDSLAG","DIRTImpt","DIRT","Big hits and impacts of dirt of sand, dirt clods. Think the huge dirt ball impacts in WHERE THE WILD THINGS ARE.","dumpe, smadre, aflæse, slippe"],
["JORD OG SAND","DIVERSE","DIRTMisc","DIRT","Dirt, Sand and Earth sounds not fitting another category in this list.","diverse"],
["JORD OG SAND","BEVÆGELSE","DIRTMvmt","DIRT","Pouring, flowing of dirt or sand, a big sand pour. See also DIRT & SAND-HANDLE.","hælde, aflæse, flyde, spilde"],
["JORD OG SAND","TONAL","DIRTTonl","DIRT","Singing sand dunes. Probably pretty rare.","sandklitter, syngende sand"],
["DØRE","ANTIK","DOORAntq","DOOR","Very old sounding doors, as in an old castle or abbey. But massive doors of this type probably to DOOR-DUNGEON.","slot, abby, kirke, gammel, gammel, antik, antik"],
["DØRE","APPARAT","DOORAppl","DOOR","Appliance doors such as oven, dishwasher, refrigerator or microwave.","ovn, mikroovn, køleskab, opvaskemaskine, vaskemaskine, tørretumbler"],
["DØRE","SKAB","DOORCab","DOOR","Cabinet doors, such as kitchen cabinet, tool cabinets.","skab, køkkenskabe, værktøjsskab"],
["DØRE","SAMMENSATTE","DOORComp","DOOR","Fiberglass, wood steel combination, doors that don't sound like a specific material. A modern front door. Some confusion or overlap with DOORS-WOOD likely.","glasfiber, dør"],
["DØRE","KNIRKE","DOORCreak","DOOR","Door creaks, wood or metal, overlap with WOOD-FRICTION and METAL-FRICTION, but specifically door creaks.","knirke, dør, fangekælder, kælder, slot, trædør, metaldør, dør knirker"],
["DØRE","FANGEHUL","DOORDungn","DOOR","That big old classic wood and/or metal heavy dungeon, castle type door.","slot, fangekælder, stor, kælder"],
["DØRE","ELEKTRISK","DOORElec","DOOR","Electric doors of all kinds, garage doors, big soundstage doors, sliding store doors. See also DOORS-REVOLVING.","elektrisk dør, garagedør, garagedør, lydtursdør, automatisk dør"],
["DØRE","LÅGE","DOORGate","DOOR","Non-motorized gates, metal or wood. So a garden gate, a park gate. A farm gate.","haveport, hegnsport, parkport, jernbaneovergang, kvægport, gårdport"],
["DØRE","GLAS","DOORGlas","DOOR","Glass doors, manual shopping store doors, glass home front doors. Most store doors would probably fit here.","glasdør, butiksdør, butiksdør, karnapdør, fransk dør"],
["DØRE","ISENKRAM","DOORHdwr","DOOR","Door knobs, door locks, deadbolts, chain locks, push bars. Lock Picking, Doorknob Jiggles.","dørhåndtag, låsebolt, låsestang, kædelås, hængsel, lås, håndtag, beslag, låseplukning, låsesprængning, rykke"],
["DØRE","HØJTEKNOLOGISK","DOORTech","DOOR","James bond type doors, something not quite sci-fi but more advanced, Modern lab, or air sealed chamber, vaults. See also SCIFI-DOOR.","laboratoriedør"],
["DØRE","HYDRAULISK OG PNEUMATISK","DOORHydr","DOOR","Self closing doors, lots of office and store doors are of this type. Also automatic doors if hydraulic or pneumatic.","dørlukker, pneumatisk, hydraulisk, motoriseret luge"],
["DØRE","BANKE PÅ","DOORKnck","DOOR","Knocking on various door surfaces.","bank, rap, knock, knald, bang, thud, thump, thump"],
["DØRE","METAL","DOORMetl","DOOR","Metal doors, like a vault door or heavy door. PRISON doors have their own category, as they are quite specific sounding.","rullebane, pengeskab, pengeskab, luge"],
["DØRE","DIVERSE","DOORMisc","DOOR","Door sounds not fitting another category in this list.","diverse"],
["DØRE","PLASTIC","DOORPlas","DOOR","Doors made out of plastic. Not very common but maybe a door to a child's play house.","porta john, porta let, porta pottie"],
["DØRE","FÆNGSEL","DOORPrisn","DOOR","Big metal jail and prison doors. Sliding prison doors, or swinging jail doors.","fængselsdør, fængselsdør"],
