[["HAVA","ÜFLEME","AIRBlow","AIR","Steady air blows, like from a compressed can of air.","basınçlı hava, basıncı düşürmek, serbest bırakmak, puflamak, püskürmek, çırpınmak, boşaltmak"],
["TEKNE","MEKANİZMA","BOATMech","BOAT","All manner of boat mechanisms. Sailing ship rigging, pulleys, ropes, ship wheels. See also BOATS-DOOR.","arma, makara, halat, gemi çarkı, gaz kelebeği, ağ, kafes, tuzak, çapa"],
["TEKNE","ASKERİ","BOATMil","BOAT","Specifically military boats and ships, destroyers, aircraft carriers. Any military boat.","devriye botu, destroyer, kruvazör, savaş kruvazörü, fırkateyn, korvet, hızlı saldırı botu"],
["TEKNE","DİĞER","BOATMisc","BOAT","Boat sounds not fitting another category in this list.","kürek teknesi, kürek tahtası"],
["TEKNE","MOTORBOT","BOATMotr","BOAT","General small boats, personal fishing boats, speedboats, pontoon boats. You average recreational boat.","küçük tekne, kişisel balıkçı teknesi, sürat teknesi, duba tekne, ördek botu, sandal"],
["TEKNE","SÜRAT TEKNESİ","BOATRace","BOAT","Powered racing boats, not for human powered racing boats, those would go under BOATS-ROWING.","hydroplane, hydrofoil, jet boat"],
["TEKNE","SANDAL","BOATRow","BOAT","Canoes, rowboats, kayaks probably, human powered boats that use oars and paddles, even racing rowboats.","kano, sandal, kayık, kürek, kürek çekmek, ejderha botu, kürek çekmek"],
["TEKNE","YELKENLİ","BOATSail","BOAT","Composite recordings of rigging and sails, isolated elements to CLOTH-FLAP for close sails, or BOATS-MECHANISM for rigging.","yelkenli, schooner, yawl, sloop, ketch, motorsailer"],
["TEKNE","GEMİ","BOATShip","BOAT","Large ship, passenger cruise ships, oil tankers, things relating to these.","büyük gemi, yolcu gemisi, petrol tankeri, kargo gemisi, yük gemisi"],
["TEKNE","BUHARLI","BOATStm","BOAT","Old steam paddle boats, big steam ship sounds.","buharlı kürekli gemi, kürekli vapur, buhar makinesi"],
["TEKNE","DENİZALTI","BOATSub","BOAT","Relating to a submarine, include sonar pings. Classic 'Dive' alarm would go in ALARMS-SIREN with keyword Klaxon.","denizaltı, sonar, dalgıç, u-bot"],
["TEKNE","SUALTI","BOATUndwtr","BOAT","Specifically boats and ships recorded underwater, usually hydrophone recordings. SUBMARINES have their own subcategory.","tekne, gemi, sualtı, tanker, balıkçı teknesi, motorlu tekne, sualtı"],
["MERMİ","ISKA","BLLTBy","BLLT","Bullet pass bys in air, or underwater.","mermi vızıltısı, fwip"],
["MERMİ","DARBE","BLLTImpt","BLLT","Bullet hits and impacts, on a bullet hit on any material from the ground, to wood, to a person.","mermi çarpması, mermi isabeti"],
["MERMİ","DİĞER","BLLTMisc","BLLT","Bullet sounds not fitting another category in this list.","ÇEŞİTLİ"],
["MERMİ","SEKME","BLLTRico","BLLT","Bullet ricochets, that classic old west 'ping' when a bullet bounces off something.","ricos, ricochet, deflect"],
["MERMİ","KOVAN","BLLTShel","BLLT","Bullet shells ejecting and dropping to the ground. See also GUNS-HANDLING for things like loading or unloading a gun.","mermi, kovan, fırlatma"],
["ÇİZGİFİLM","HAYVAN","TOONAnml","TOON","Cartoon animals, made from animals calls, props, etc. Very silly or stylized animals calls for use in Cartoons.","sahte hayvan, av çağrısı, ördek çağrısı"],
["ÇİZGİFİLM","DOİNK","TOONBoing","TOON","Cartoon boings, like for a bouncing cartoon character. Roger Rabbit or Tigger from Winnie the Pooh.","çene arpı, ağız arpı"],
["ÇİZGİFİLM","ŞANGIRTI","TOONClang","TOON","Cartoon clangs, like a funny anvil hit. Most likely a very metallic resonant hit.","clang, metalik"],
["ÇİZGİFİLM","GICIRTI","TOONCreak","TOON","Cartoon creaks, some overlap or confusion with CARTOON-STRETCH possible.","kauçuk, ahşap"],
["ÇİZGİFİLM","KORNA","TOONHorn","TOON","Cartoon horns, as in bulb horns, clown horns.","ampul kornası, korna, palyaço kornası"],
["ÇİZGİFİLM","DARBE","TOONImpt","TOON","Cartoon hits, bonk, boink, doink..","bonk, boink, doink"],
["ÇİZGİFİLM","MAKİNE","TOONMach","TOON","Cartoon machines, an overly comical sounding machine or contraption. A Rube Goldberg contraption.","mekanizma, komik makine, rube goldberg makinesi"],
["ÇİZGİFİLM","DİĞER","TOONMisc","TOON","Cartoon sounds not fitting another category in this list.","toon, squanch, blorb, flump"],
["ÇİZGİFİLM","MÜZİKAL","TOONMx","TOON","Cartoon musical phrases. String plucks for a cartoon character sneaking up on another. Perhaps a cartoon musical phrase.","gliss, yükselmek, alçalmak,"],
["ÇİZGİFİLM","ŞELPE & PARMAK STİLİ & PİZZİKATO","TOONPluk","TOON","Cartoon string plucks, violin plucks, dental floss plucks.","tel koparma"],
["ÇİZGİFİLM","POP","TOONPop","TOON","Cartoon funny pops, mouth pops, suction cup pops.","patlatma tabancası, ağız patlatma, vantuz, baloncuk patlatma"],
["ÇİZGİFİLM","ÇALKALAMA","TOONShake","TOON","Cartoon shake, like a noisemaker toy, maraca.","Çıngırak"],
["ÇİZGİFİLM","ŞAPIRTI","TOONSplt","TOON","Cartoon splats, funny liquid and mud like splats and things.","splat, splort, squish"],
["ÇİZGİFİLM","CİYAKLAMA","TOONSqk","TOON","Cartoon squeaks. funny little sounding squeaks of things.","Gıcırtı"],
["ÇİZGİFİLM","GERME","TOONStrch","TOON","Cartoon stretches, funny rubber or other type stretching sounds, exaggerated.","zorlanma"],
["ÇİZGİFİLM","VIZLAMA","TOONSwsh","TOON","Cartoon swishes, specifically very funny cartoony swishes.","burgu, girdap"],
["ÇİZGİFİLM","YAYLANMA","TOONTwang","TOON","Cartoon twangs, that classic ruler twang type sound.","cetvel, ağız arpı"],
["ÇİZGİFİLM","TAŞIT","TOONVeh","TOON","Cartoon vehicles, think Jetsons spaceship or Flintstones cars.","jetsons, contraption. Çakmaktaşlar arabası, geri tepme"],
["ÇİZGİFİLM","SESLENDİRME","TOONVox","TOON","Cartoon vocals, specifically very silly. See also CARTOON-ANIMALS for non-human vocals.","mırıldanma, aptal ses, çizgi film sesi"],
["ÇİZGİFİLM","DALGALANMA","TOONWarb","TOON","Cartoon warble.","yalpalama"],
["ÇİZGİFİLM","ISLIK","TOONWhis","TOON","Cartoon whistles, most likely slide whistles, other very silly whistles. A Wolf-Whistle.","slayt düdüğü"],
["ÇİZGİFİLM","FERMUAR","TOONZip","TOON","Cartoon zips. Very fast 'zip' type sounds, often for fast movement aways.","zip, rico, siren, düdük"],
["SERAMİK","KIRMA","CERMBrk","CERM","Ceramics break of a more singular nature, a plate shatter, breaking, cracking, crunching. Mostly for single items breaking. See also CERAMICS-CRASH & DEBRIS.","kırılmak, çatlamak, parçalanmak, çatırdamak"],
["SERAMİK","ÇÖKME & MOLOZ","CERMCrsh","CERM","Ceramics destruction of more of a group nature, multiple crashes and debris. See also CERAMICS-BREAK.","düşme, enkaz, kırıklar"],
["SERAMİK","SÜRTÜNME","CERMFric","CERM","Ceramics friction, scraping, squeaking, screeching.","stres, sıyrık, gıcırtı, gıcırtı, gıcırtı"],
["SERAMİK","KULLANMAK & TUTMAK","CERMHndl","CERM","Ceramics handling, picking up a coffee mug, handling a plant pot. Some overlap with CERAMICS-MOVEMENT.","tutmak, kapmak, ayarlamak, almak, indirmek, fırlatmak, yakalamak"],
["SERAMİK","DARBE","CERMImpt","CERM","Ceramics impacts without breaking, so hits drops, clunks and clinks. See also CERAMICS-BREAK.","vurmak, düşürmek, çarpmak, çarpışmak, clunk, clink"],
["SERAMİK","DİĞER","CERMMisc","CERM","Ceramics sounds not fitting another category in this list.","ÇEŞİTLİ"],
["SERAMİK","HAREKET","CERMMvmt","CERM","Ceramics single or group movement, so dragging, shaking and rattling. See also CERAMICS-HANDLE.","sürüklemek, yuvarlamak, takırdatmak, sallamak"],
["SERAMİK","TONAL","CERMTonl","CERM","Ceramics ringing, as in being bowed.","eğildi, halka, shing, ping"],
["ZİNCİR","KIRMA","CHAINBrk","CHAIN","Chain snapping or breaking, that sharp sound of a chain failing.","kopmak, kırılmak, bükülmek"],
["ZİNCİR","KULLANMAK & TUTMAK","CHAINHndl","CHAIN","Chain handling, repairing a bike chain, a prisoner moving around in chains. Some overlap with CHAINS-MOVEMENT.","tutmak, kapmak, ayarlamak, almak, indirmek, fırlatmak, yakalamak"],
["ZİNCİR","DARBE","CHAINImpt","CHAIN","Chain impacts, such a big chain hit or slam, or a tension snap of a chain being pulled taut.","düşme, vurma, çarpma, çarpma, gerilim kopması"],
["ZİNCİR","DİĞER","CHAINMisc","CHAIN","Chain sounds not fitting another category in this list.","ÇEŞİTLİ"],
["ZİNCİR","HAREKET","CHAINMvmt","CHAIN","Chain handling, particularly being pulled through pulleys or across surfaces. See also CHAINS-HANDLE.","sürükleme, kelepçe, hapishane zinciri, köpek zinciri"],
["KİMYASAL","ASİT","CHEMAcid","CHEM","Chemical acid burning and sizzling, bubbling. A vat of acid.","cızırdamak, erimek, köpürmek"],
["KİMYASAL","DİĞER","CHEMMisc","CHEM","Chemical sounds not fitting another category in this list.","ÇEŞİTLİ"],
["KİMYASAL","TEPKİME","CHEMReac","CHEM","Chemical reactions, chemistry set, bubbling, foaming, bunsen burner reactions. Overlap perhaps with LIQUID & MUD category.","kabarcıklanma, köpürme, reaksiyon"],
["SAAT","ÇAN","CLOCKChim","CLOCK","Chimes, bells specifically for a clock, Grandfather clock chimes. Alarm clocks would go to ALARMS-CLOCK.","çan, zil, dede saati"],
["SAAT","MEKANİK","CLOCKMech","CLOCK","Clocks winding, complex mechanical clock mechanisms.","kurmalı, saat dişlileri, guguklu saat"],
["SAAT","DİĞER","CLOCKMisc","CLOCK","Clock sounds not fitting another category in this list. Also see ALARMS-CLOCK","ÇEŞİTLİ"],
["SAAT","TİK TOK","CLOCKTick","CLOCK","Analog ticking clocks and watches of all sizes, also mechanical stop watches.","tik, klik, kuvars, tik tak, kronometre, yumurta zamanlayıcı"],
["KUMAŞ","ÇIRPMA","CLOTHFlp","CLOTH","Cloth flapping, as in a flag flapping, or superman's cape. Also ship sails and parachutes.","kanat, bayrak, hışırtı, paraşüt, pelerin, yelken bezi, yelken, çarşaf"],
["KUMAŞ","KULLANMAK & TUTMAK","CLOTHHndl","CLOTH","Cloth handling, grabbing a jacket, clothy arm grabs, etc. Some overlap with CLOTH-MOVEMENT. See also possibly OBJECTS-FASHION.","tutmak, kapmak, ayarlamak, almak, indirmek, fırlatmak, yakalamak"],
["KUMAŞ","DARBE","CLOTHImpt","CLOTH","Cloth impacts, throwing a jacket forcefully to the floor, a wet towel snap. Some overlap with CLOTH-MOVEMENT possible.","vurmak, düşürmek, çarpmak, tokatlamak"],
["KUMAŞ","DİĞER","CLOTHMisc","CLOTH","Cloth sounds not fitting another category in this list.","ÇEŞİTLİ"],
["KUMAŞ","HAREKET","CLOTHMvmt","CLOTH","Varied cloth movement except flapping which has its own category. Variety of cloth movement. Cloth zuzz. See also CLOTH-FLAP.","vızıltı, çalkalanma, hışırtı, fırfır, ezme, mvmt"],
["KUMAŞ","YIRTMA","CLOTHRip","CLOTH","Various cloth rips and tears, short to long. Velcro would best fit here too.","yırtma, yırtılma, cırt cırt"],
["İLETİŞİM","GÖRSEL İŞİTSEL","COMAv","COM","Various AV devices such a projector or tape recorder, video cameras here too. Some overlap or confusion with COMMUNICATIONS-CAMERA.","sinema kamerası, makara, film kamerası, projektör, teyp, nagra, walkman, CD çalar, makaradan makaraya, vcr, laserdisc oynatıcı, betamax, slayt projektörü, beamer, ipod, bolex, 8mm, 16mm"],
["İLETİŞİM","KAMERA","COMCam","COM","Still camera shutters, automatic winding, old flash-bulbs. Movie and video cameras to COMMUNICATIONS-AV.","kamera deklanşörü, sarma, flaş ampulü, kodak, nikon, canon, olympus, kodak, fuji, fujifilm, mamiya, hasselblad, leica, 35mm, 120mm"],
["İLETİŞİM","CEP TELEFONU","COMCell","COM","Cellphones and Smartphones., clicks and rings, tones.","cep telefonu, akıllı telefon, iphone, blackberry, kapaklı telefon, android"],
["İLETİŞİM","MİKROFON","COMMic","COM","Feedback and mic bumps and handling. Megaphones would go here too.","mikrofon kullanımı, mikrofon musluğu, larsen, megafon"],
["İLETİŞİM","DİĞER","COMMisc","COM","Communication sounds not fitting another category in this list.","ÇEŞİTLİ"],
["İLETİŞİM","GRAMOFON","COMPhono","COM","Turntable, Victrola, motors and mechanics. STATIC has its own subcategory here.","pikap, victrola, fonograf, stylus, vinil plak"],
["İLETİŞİM","RADYO","COMRadio","COM","Tuning, radio and shortwave sounds. STATIC has its own subcategory here. A radio broadcast would go here too. Overlap with VOICES-FUTZED.","ayarlama, radyo, kısa dalga, susturucu, futz, radyo yayını"],
["İLETİŞİM","CIZIRTI","COMStatic","COM","Static from any electronic source, radio, CB, television, optical noise, phonograph noise.","statik, fuzz, scramble"],
["İLETİŞİM","TELEMETRİ","COMTelm","COM","Fax machine tones, modem tones, telegraph, teletype. UI is it's own category","mors kodu, telgraf, telemetri, okuma, sos"],
["İLETİŞİM","TELEFON","COMTelph","COM","Old school rotary dial and digital telephones. Technically any telephone that isn't a mobile or cell phone.","çevirmeli, ankesörlü telefon, döner kadran, tuş takımı, sabit hat, kablolu telefon"],
["İLETİŞİM","TELEVİZYON","COMTv","COM","Television programs, on and off, channel changes, TV Remote controls. STATIC has its own subcategory here. A television broadcast would go here too. Overlap with VOICES-FUTZED.","tv, uzaktan, kadran, gösteri, program, futz, TV programı, yayın"],
["İLETİŞİM","ALICI VERİCİ","COMTran","COM","Walkie Talkies, CBs, Ham Radios, all two-way transceivers and radios go here. Put voices into VOICES-FUTZED.","telsizler, cb, amatör telsizler, alıcı-verici, susturucu, interkom, sevk"],
["İLETİŞİM","DAKTİLO","COMType","COM","Old school typewriters, not modern computer keyboards.","daktilo, teleprinter, satır başı, merdane düğmesi"],
["BİLGİSAYAR","SABİT DİSK","CMPTDriv","CMPT","Laptop or other hard drive seeking sounds, data reading.","atlama, arama, öğütme, sabit disk, sabit disk"],
["BİLGİSAYAR","KLAYVE & FARE","CMPTKey","CMPT","Typing on computer keyboard, and mouse movement.","klavye, fare, mouse, trackpad"],
["BİLGİSAYAR","DİĞER","CMPTMisc","CMPT","Computer sounds not fitting another category in this list. Printers would go to MACHINES-OFFICE.","palm pilot, cep bilgisayarı"],
["VARLIK","SUCUL","CREAAqua","CREA","Giant mutant squids or sea monsters, kraken, leviathans.","kraken, denizkızı, dev kalamar"],
["VARLIK","KANATLI","CREAAvian","CREA","Alien or Fantasy birds, or weird birdlike creatures. A giant mutant parakeet would go here.","uzaylı kuşlar, dünya dışı kuşlar, fantastik kuşlar"],
["VARLIK","YARATIK","CREABeast","CREA","Big four legged creatures and beasts. Wooly Mammoth, a mutant elephant, Mumakil.","Yünlü mamut, mumakil, "],
["VARLIK","BLOB","CREABlob","CREA","Gelatinous and gooey type creatures, gelatinous cube.","blob, gloop, goop"],
["VARLIK","DİNOZOR","CREADino","CREA","Dinosaurs of all types, Jurassic Park.","brontosaurus, velociraptor, triceratops, stegosaurus, tyrannosaurus, allosaurus, spinosaurus, brachiosaurus, archaeopteryx, pterosaurs, pterodactyl"],
["VARLIK","EJDERHA","CREADrgn","CREA","Game of Thrones, Lord of the Rings, dragons of all types. See also CREATURES-REPTILIAN.","ejderha, drake, wyvern"],
["VARLIK","DÖRT ELEMENT","CREAElem","CREA","Creatures based on elements, rock giants, fire creatures, ice monsters, such a the Balrog, or a Rock Giant.","kaya canavarı, ateş canavarı, buz canavarı, kaya devi, buz devi, golem"],
["VARLIK","SEMAVİ","CREAEthr","CREA","Ghosts, spirits, ethereal vocals and wispy movement, apparitions.","hayaletler, ruhlar, eterik, wispy, spectre, ruh, hayalet, spectral, poltergeist, phantom, wraith"],
["VARLIK","İNSANSI","CREAHmn","CREA","Human sized mythical creatures, so zombies and vampires, elves etc. Troll, Ogres, Orcs. Two legged creatures.","zombi, yaşayan ölü, hortlak, vampir, elf, orklar, ogre, trol, tengu, leprikon, kocaayak, bataklık şeyi, kurt adam, frankenstein, mumya"],
["VARLIK","BÖCEKSİ","CREAInsc","CREA","Giant spiders or other insect like creatures. The creature from The Fly. A giant Tarantula.","dev karınca, dev örümcek"],
["VARLIK","DİĞER","CREAMisc","CREA","Creature sounds not fitting another category in this list.","ÇEŞİTLİ"],
["VARLIK","CANAVAR","CREAMnstr","CREA","Godzilla, scary monsters, horror monsters. See also CREATURES-HUMANOID.","godzilla, king kong, rancor, behemoth, xenomorph, chupacabra"],
["VARLIK","SÜRÜNGENSİ","CREARept","CREA","Giant lizards and snakes, large giant hissing monsters.","serpent, serpentine, dev kertenkele, dev yılan"],
["VARLIK","KÜÇÜK","CREASmall","CREA","Specifically small mythical creatures. Fairies, pixies, small rodent like creatures, etc. Distinguished by small size.","peri, peri, gremlin, şeytan, fraggle"],
["VARLIK","KAYNAK KAYIT","CREASrce","CREA","Source recordings meant for creature design, like prop recordings, human voice packs for design, etc.","havlamak, nefes almak, çağırmak, gaklamak, ciyaklamak, tıkırdamak, ağlamak, çabalamak, homurdanmak, tıslamak, ulumak, hırlamak, gırtlaktan, inlemek, inlemek, ağızdan, kükremek, çığlık atmak, çığlık atmak, ciyaklamak, sızlanmak"],
["KALABALIK","ÖFKELİ","CRWDAngr","CRWD","Crowds of upset or angry people, as in a riot, protest, a schoolyard fight. See also AMBIENCE-PROTEST.","holigan, isyan, protesto, bağırmak, kabadayı"],
["KALABALIK","ALKIŞ","CRWDApls","CRWD","Crowds where the applause is predominantly featured. Use CROWDS-CHEERING for recordings that are mainly vocals.","alkış, tezahürat, alkışlama, bis"],
["KALABALIK","SAVAŞ","CRWDBatl","CRWD","Crowds in battle, fighting, yelling screaming, dying. If including gunfire, explosions. use AMBIENCE-WARFARE.","savaş çığlıkları, bağırmak, hücum, toplanmak, ordu, muharebe, itiş kakış, savaş, çığlık atmak, ölmek"],
["KALABALIK","KUTLAMA","CRWDCele","CRWD","Crowds celebrating holidays, parties, rowdy crowds. If not clean, use AMBIENCE-CELEBRATION.","kutlama, tatil, parti, gürültülü, doğum günü, yeni yıl, noel, geçit töreni"],
["KALABALIK","TEZAHÜRAT","CRWDCheer","CRWD","Could include applause, but cheering crowds where the crowd vocals are predominant. Overlap with CROWDS-CELEBRATION.","tezahürat, konser, stadyum, seyirci, boğmaca, kabarmalar, tezahüratlar"],
["KALABALIK","ÇOCUKLAR","CRWDChld","CRWD","Relatively clean vocals of children together, playing in a playground, in a school classroom, recess, school hallway. See also AMBIENCE-SCHOOL.","oyun alanı, teneffüs, oynayan çocuklar, park, oyun, etiket"],
["KALABALIK","DİYALOG","CRWDConv","CRWD","A small enough group chat that you can discern words, smaller and less active than a walla. A chatter.","chatter, chat, talk, sparse walla, converse, conversation"],
["KALABALIK","KAHKAHA","CRWDLaff","CRWD","Crowds laughing, a comedy show, canned television laughter, groups of kids laughing, at a party for example.","tv şovu, konserve kahkaha, komedi kulübü, laugh track"],
["KALABALIK","RABARBA (SAHNEYE ÖZEL KAYIT)","CRWDLoop","CRWD","For loop group type walla, usually performed for or to picture, specific environments, specific callouts. See also ARCHIVED-LOOP GROUP for official loop group recordings.","döngü grubu, adr, konserve"],
["KALABALIK","DİĞER","CRWDMisc","CRWD","Crowd sounds not fitting another category in this list. See also MOVEMENT-CROWD.","ÇEŞİTLİ"],
["KALABALIK","PANİK","CRWDPanic","CRWD","Distressed crowds, mixed screams and crying and reactions… crowds in a natural disaster or crowds in a giant monster attack...","panik, kaos, bağırmak, çığlık atmak, ağlamak, sıkıntı"],
["KALABALIK","FISILTI","CRWDQuiet","CRWD","Very quiet crowds, mostly mumbling or murmuring. Like crowds whispering in church or a courtroom scene. See also VOICES-WHISPER for single person recordings.","mırıldanma, fısıldama, susma, mırıldanma"],
["KALABALIK","TEPKİ","CRWDReac","CRWD","Big Ooos, and Aaahs and Booos, big group responses to events happening. Shocked reactions.","boo, ahh, ooh, stüdyo tepkisi"],
["KALABALIK","ŞARKI SÖYLEME","CRWDSing","CRWD","Singing during sporting events, New Year's Eve crowds singing Auld Lang Syne, Christmas carols. Not large choral music, which would go in MUSICAL category.","ilahi, koro, koral, carol"],
["KALABALIK","SPOR","CRWDSprt","CRWD","Clean crowds at sporting events, Baseball, football. For mixed ambience used AMBIENCE-SPORT. A sports chant.","alkış, alkışlamak, yuhalamak, tezahürat, stadyum, yay, seyirci, olimpiyatlar, bağırmak, woohoo"],
["KALABALIK","RABARBA (RASTGELE KAYIT)","CRWDWalla","CRWD","Specifically very clean crowd walla, with non-discernible words. See also various AMBIENCE categories.","sesler, konuşma, walla, sohbet"],
["TASARIM","BASS DALIŞI","DSGNBass","DSGN","Deep descending bass notes. Bass Drops.","bas dalışı, düşüş, bas düşüşü, düşüş"],
["TASARIM","BUM","DSGNBoom","DSGN","Deep short and tight, low end stingers, big trailer deep hits. LFE type low end sweeteners.","bom, derin vuruş, düşük sokma, römork"],
["TASARIM","BRAAM","DSGNBram","DSGN","Long deep horn like sounds. Like a War of the World's type long sound, or like a long french horn braam type sound.","bramm"],
["TASARIM","DİSTORSİYON","DSGNDist","DSGN","Particulary distored designed sounds and distortion elements.","bozulma, karelenmiş, çarpıtılmış"],
["TASARIM","DRON","DSGNDron","DSGN","Designed drones, eerie tense drones, long stylized sounds with not much activity or movement.","ped, drone, doku, uğursuz, gerilim"],
["TASARIM","ÜRKÜNÇ","DSGNErie","DSGN","Often designed, but tense strange undefined sounds that are eerie, tense, suspenseful. Some overlap with DESIGNED-DRONE possible.","ürkütücü, gergin, garip, ürpertici, korkutucu, ürpertici, musallat, ürkütücü, korkunç, "],
["TASARIM","SEMAVİ","DSGNEthr","DSGN","Ethereal wispy designed sounds. Ghostlike whispers, or heavenly tones. Otherworldly. See also DESIGNED-EERIE.","ruhani, göksel"],
["TASARIM","GRANÜL","DSGNGran","DSGN","Granular synthesis, sounds that have a gritty textural type sound, think PaulStretch, sounds broken down into tiny slices and recompiled.","taneli, paulstretch, taneler, dilimler"],
["TASARIM","DARBE","DSGNImpt","DSGN","Designed huge impacts, collisions, stylized big hits. Possible overlap with DESIGNED-STINGER.","çarpmak, vurmak, çarpmak, çarpışmak"],
["TASARIM","DİĞER","DSGNMisc","DSGN","Designed sounds not fitting another category in this list.","ÇEŞİTLİ"],
["TASARIM","DÖNÜŞME & GEÇİŞ","DSGNMorph","DSGN","A stylized blending of elements, something transitioning into another thing.","morph, blend, transition"],
["TASARIM","YÜKSELİŞ","DSGNRise","DSGN","Tension risers, things rising in tone, something similar to a rising string line to create tension.","ters, kreşendo, rizer, yükseltici, gerilim"],
["TASARIM","GÜMBÜRTÜ","DSGNRmbl","DSGN","Designed rumbles for layering into a mix. Earthquake rumbles. Composite rumble.","alt harmonik, gümbürtü, sarsıntı, deprem"],
["TASARIM","RİTMİK","DSGNRythm","DSGN","Stattaco or glitchy machine type loops, things with definied starts, stops, rhythmic stutters.","stutter, glitch, pulse, stattaco"],
["TASARIM","KAYNAK KAYIT","DSGNSrce","DSGN","For recordings meant to be used as source for other designed sounds, experimental recordings, elements, etc.","kaynak, ham, malzeme, ham kayıt"],
["TASARIM","KESKİN ÇIKIŞ & MÜZİKAL İĞNE","DSGNStngr","DSGN","Stings, stylized screen sweeteners. Big trailer type sounds. Big shock scare type sounds. Stylized stings, hits and impacts. Overlap with DESIGNED-IMPACT.","sting, irkilme, fragman, sinematik"],
["TASARIM","SENTEZ & SYNTH","DSGNSynth","DSGN","Very synthesized sounds, very electronic synth stuff. Raw work files of synth-play.","sentezlenmiş, synth, mod synth, modüler synth, granüler, analog synth, modüler synth"],
["TASARIM","TONAL","DSGNTonl","DSGN","Designed sounds with a particularly tonal nature. The ringing in your ear of tinnitus for example.","kulak çınlaması, çınlama, mermi şoku, subjektif"],
["TASARIM","SESLENDİRME","DSGNVocl","DSGN","Design specifically around vocals, ghostly whispers, enchanted spells, reversed talking etc. Not for Creatures.","büyü, büyü, işlenmiş, vokal, fısıltı, hayalet"],
["TASARIM","WHOOSH (GEÇİŞ EFEKTİ)","DSGNWhsh","DSGN","Stylized designed big whooshes, definite possible overlap confusion with SHOOSHES-WHOOSH, but this for less natural and more stylized versions.","whoosh, trailer swish, swish"],
["YIKIM","YIKILMA","DESTRClpse","DESTR","Buildings and large mixed complex collapses, a barn collapse, Godzilla pushing over a building.","çökmek, devrilmek, düşmek, patlamak"],
["YIKIM","ÇÖKME & MOLOZ","DESTRCrsh","DESTR","Mixed crashes, complex crashes involving more than one material. So a combo huge glass and metal crash. See also individual material categories like METAL, WOOD etc.","çökmek, yırtılmak, patlamak, parçalanmak, kırılmak, paramparça olmak"],
["YIKIM","DİĞER","DESTRMisc","DESTR","Destruction sounds not fitting another category in this list.","ÇEŞİTLİ"],
["TOPRAK & KUM","ÇÖKME & MOLOZ","DIRTCrsh","DIRT","Dirt or sand settling, as in after an explosion, big sprays of dirt and sand. DUST has its own subcategory.","enkaz, kum, kir, damlama, püskürtme, parçalama"],
["TOPRAK & KUM","TOZ","DIRTDust","DIRT","Settling dust, dust clouds, much lighter sound than DIRT & SAND-DEBRIS","ince, parçacık, tortu, silt, toz"],
["TOPRAK & KUM","KULLANMAK & TUTMAK","DIRTHndl","DIRT","Handling dirt & sand, hands digging through dirt, children making a sand castle. Some overlap with DIRT & SAND-MOVEMENT.","tutmak, kapmak, kazmak, yakalamak"],
["TOPRAK & KUM","DARBE","DIRTImpt","DIRT","Big hits and impacts of dirt of sand, dirt clods. Think the huge dirt ball impacts in WHERE THE WILD THINGS ARE.","boşaltmak, gümbürdetmek, boşaltmak, düşürmek"],
["TOPRAK & KUM","DİĞER","DIRTMisc","DIRT","Dirt, Sand and Earth sounds not fitting another category in this list.","ÇEŞİTLİ"],
["TOPRAK & KUM","HAREKET","DIRTMvmt","DIRT","Pouring, flowing of dirt or sand, a big sand pour. See also DIRT & SAND-HANDLE.","dökmek, boşaltmak, akmak, dökmek"],
["TOPRAK & KUM","TONAL","DIRTTonl","DIRT","Singing sand dunes. Probably pretty rare.","kum tepeleri, şarkı söyleyen kumlar"],
["KAPI","ANTİKA","DOORAntq","DOOR","Very old sounding doors, as in an old castle or abbey. But massive doors of this type probably to DOOR-DUNGEON.","kale, abby, kilise, eski, antik, antika"],
["KAPI","BEYAZ EŞYA","DOORAppl","DOOR","Appliance doors such as oven, dishwasher, refrigerator or microwave.","fırın, mikrodalga, buzdolabı, bulaşık makinesi, çamaşır makinesi, kurutucu"],
["KAPI","DOLAP","DOORCab","DOOR","Cabinet doors, such as kitchen cabinet, tool cabinets.","dolap, mutfak dolabı, alet dolabı"],
["KAPI","KOMPOZİT & KARMA","DOORComp","DOOR","Fiberglass, wood steel combination, doors that don't sound like a specific material. A modern front door. Some confusion or overlap with DOORS-WOOD likely.","fiberglas, kapı"],
["KAPI","GICIRTI","DOORCreak","DOOR","Door creaks, wood or metal, overlap with WOOD-FRICTION and METAL-FRICTION, but specifically door creaks.","gıcırtı, kapı, zindan, kiler, kale, ahşap kapı, metal kapı, kapı gıcırtısı"],
["KAPI","ZİNDAN","DOORDungn","DOOR","That big old classic wood and/or metal heavy dungeon, castle type door.","kale, zindan, büyük, kiler"],
["KAPI","ELEKTRİKLİ","DOORElec","DOOR","Electric doors of all kinds, garage doors, big soundstage doors, sliding store doors. See also DOORS-REVOLVING.","elektrikli kapı, garaj kapısı, seslendirme kapısı, otomatik kapı"],
["KAPI","GEÇİT","DOORGate","DOOR","Non-motorized gates, metal or wood. So a garden gate, a park gate. A farm gate.","bahçe kapısı, çit kapısı, park kapısı, demiryolu geçidi, sığır kapısı, çiftlik kapısı"],
["KAPI","CAM","DOORGlas","DOOR","Glass doors, manual shopping store doors, glass home front doors. Most store doors would probably fit here.","cam kapı, mağaza kapısı, cumba kapısı, fransız kapı"],
