[["ПОВІТРЯ","ПОТІК","AIRBlow","AIR","Steady air blows, like from a compressed can of air.","стиснене повітря, розгерметизувати, випускати, пихкати, бризкати, тріпотіти, продувати"],
["МУЛЬТИПЛІКАЦІЯ","СПЛЕСК","TOONSplt","TOON","Cartoon splats, funny liquid and mud like splats and things.","splat, splort, squish"],
["МУЛЬТИПЛІКАЦІЯ","ПИСК","TOONSqk","TOON","Cartoon squeaks. funny little sounding squeaks of things.","пищати"],
["МУЛЬТИПЛІКАЦІЯ","РОЗТЯГУВАННЯ","TOONStrch","TOON","Cartoon stretches, funny rubber or other type stretching sounds, exaggerated.","напруга"],
["МУЛЬТИПЛІКАЦІЯ","СВИСТ РОЗСІЧЕННЯ ПОВІТРЯ","TOONSwsh","TOON","Cartoon swishes, specifically very funny cartoony swishes.","крутитися, вихор"],
["МУЛЬТИПЛІКАЦІЯ","ЛІНІЙКА","TOONTwang","TOON","Cartoon twangs, that classic ruler twang type sound.","лінійка, губна гармошка"],
["МУЛЬТИПЛІКАЦІЯ","АВТОМОБІЛЬ","TOONVeh","TOON","Cartoon vehicles, think Jetsons spaceship or Flintstones cars.","jetsons, contraption. машина Флінстоунів, зворотна реакція"],
["МУЛЬТИПЛІКАЦІЯ","ВОКАЛІЗАЦІЯ","TOONVox","TOON","Cartoon vocals, specifically very silly. See also CARTOON-ANIMALS for non-human vocals.","бурмотіння, дурний голос, мультяшний голос"],
["МУЛЬТИПЛІКАЦІЯ","ПЛАВУЧИЙ ЗВУК","TOONWarb","TOON","Cartoon warble.","коливання"],
["МУЛЬТИПЛІКАЦІЯ","СВИСТОК","TOONWhis","TOON","Cartoon whistles, most likely slide whistles, other very silly whistles. A Wolf-Whistle.","свисток з гірки"],
["МУЛЬТИПЛІКАЦІЯ","МИТТЄВЕ ПЕРЕМІЩЕННЯ","TOONZip","TOON","Cartoon zips. Very fast 'zip' type sounds, often for fast movement aways.","блискавка, ріко, сирена, свист"],
["КЕРАМІКА","ЛАМАННЯ","CERMBrk","CERM","Ceramics break of a more singular nature, a plate shatter, breaking, cracking, crunching. Mostly for single items breaking. See also CERAMICS-CRASH & DEBRIS.","ламатися, тріщати, розбиватися, хрустіти"],
["КЕРАМІКА","РОЗБИТТЯ ТА УЛАМКИ","CERMCrsh","CERM","Ceramics destruction of more of a group nature, multiple crashes and debris. See also CERAMICS-BREAK.","падати, уламки, осколки"],
["КЕРАМІКА","ТЕРТЯ","CERMFric","CERM","Ceramics friction, scraping, squeaking, screeching.","напружуватися, шкрябати, скрипіти, скрипіти, верещати"],
["КЕРАМІКА","УПРАВЛІННЯ","CERMHndl","CERM","Ceramics handling, picking up a coffee mug, handling a plant pot. Some overlap with CERAMICS-MOVEMENT.","тримати, хапати, ставити, піднімати, ставити, кидати, ловити"],
["КЕРАМІКА","УДАР","CERMImpt","CERM","Ceramics impacts without breaking, so hits drops, clunks and clinks. See also CERAMICS-BREAK.","бити, кидати, ударяти, вдаряти, розбивати, грюкати, дзвеніти"],
["КЕРАМІКА","РІЗНЕ","CERMMisc","CERM","Ceramics sounds not fitting another category in this list.","різне"],
["КЕРАМІКА","РУХ","CERMMvmt","CERM","Ceramics single or group movement, so dragging, shaking and rattling. See also CERAMICS-HANDLE.","тягнути, котити, торохтіти, трясти"],
["КЕРАМІКА","ТОНАЛЬНА","CERMTonl","CERM","Ceramics ringing, as in being bowed.","кланятися, дзвонити, дзвеніти, дзвеніти, дзвеніти"],
["ЛАНЦЮГИ","РОЗРИВАННЯ","CHAINBrk","CHAIN","Chain snapping or breaking, that sharp sound of a chain failing.","клацати, ламати, згинати"],
["ЛАНЦЮГИ","УПРАВЛІННЯ","CHAINHndl","CHAIN","Chain handling, repairing a bike chain, a prisoner moving around in chains. Some overlap with CHAINS-MOVEMENT.","тримати, хапати, ставити, піднімати, ставити, кидати, ловити"],
["ЛАНЦЮГИ","УДАР","CHAINImpt","CHAIN","Chain impacts, such a big chain hit or slam, or a tension snap of a chain being pulled taut.","кидати, бити, ударяти, грюкати, ляскати, натягувати защіпки"],
["ЛАНЦЮГИ","РІЗНЕ","CHAINMisc","CHAIN","Chain sounds not fitting another category in this list.","різне"],
["ЛАНЦЮГИ","РУХ","CHAINMvmt","CHAIN","Chain handling, particularly being pulled through pulleys or across surfaces. See also CHAINS-HANDLE.","тягнути, наручники, тюремний ланцюг, собачий ланцюг"],
["ХІМІКАТИ","КИСЛОТА","CHEMAcid","CHEM","Chemical acid burning and sizzling, bubbling. A vat of acid.","шипіння, плавлення, шипіння"],
["ХІМІКАТИ","РІЗНЕ","CHEMMisc","CHEM","Chemical sounds not fitting another category in this list.","різне"],
["ХІМІКАТИ","РЕАКЦІЯ","CHEMReac","CHEM","Chemical reactions, chemistry set, bubbling, foaming, bunsen burner reactions. Overlap perhaps with LIQUID & MUD category.","булькання, піноутворення, реакція"],
["ГОДИННИКИ","ДЗВІН","CLOCKChim","CLOCK","Chimes, bells specifically for a clock, Grandfather clock chimes. Alarm clocks would go to ALARMS-CLOCK.","куранти, дзвіночок, дідівський годинник"],
["ГОДИННИКИ","МЕХАНІКА","CLOCKMech","CLOCK","Clocks winding, complex mechanical clock mechanisms.","завод, годинникові шестерні, годинник із зозулею"],
["ГОДИННИКИ","РІЗНЕ","CLOCKMisc","CLOCK","Clock sounds not fitting another category in this list. Also see ALARMS-CLOCK","різне"],
["ГОДИННИКИ","ЦОКАННЯ","CLOCKTick","CLOCK","Analog ticking clocks and watches of all sizes, also mechanical stop watches.","тік, клацання, кварцові, тік-так, секундомір, яєчний таймер"],
["ТКАНИНА","ЛЯСКАННЯ","CLOTHFlp","CLOTH","Cloth flapping, as in a flag flapping, or superman's cape. Also ship sails and parachutes.","клапан, прапор, шелест, парашут, накидка, парусина, вітрило, парус, простирадло"],
["ТКАНИНА","УПРАВЛІННЯ","CLOTHHndl","CLOTH","Cloth handling, grabbing a jacket, clothy arm grabs, etc. Some overlap with CLOTH-MOVEMENT. See also possibly OBJECTS-FASHION.","ручка, хапати, ставити, піднімати, ставити, кидати, ловити"],
["ТКАНИНА","УДАР","CLOTHImpt","CLOTH","Cloth impacts, throwing a jacket forcefully to the floor, a wet towel snap. Some overlap with CLOTH-MOVEMENT possible.","вдарити, впустити, вдарити, шльопнути"],
["ТКАНИНА","РІЗНЕ","CLOTHMisc","CLOTH","Cloth sounds not fitting another category in this list.","різне"],
["ТКАНИНА","РУХ","CLOTHMvmt","CLOTH","Varied cloth movement except flapping which has its own category. Variety of cloth movement. Cloth zuzz. See also CLOTH-FLAP.","дзвеніти, шурхотіти, шелестіти, шурхотіти, шкрябати, шкрябати, шкрябати, шкрябати, шкрябати"],
["ТКАНИНА","РОЗРИВАННЯ","CLOTHRip","CLOTH","Various cloth rips and tears, short to long. Velcro would best fit here too.","рвати, рвати, липучка"],
["ПЕРЕДАЧА ІНФОРМАЦІЇ","АУДИОВІЗУАЛЬНА","COMAv","COM","Various AV devices such a projector or tape recorder, video cameras here too. Some overlap or confusion with COMMUNICATIONS-CAMERA.","кінокамера, котушка, плівковий фотоапарат, проектор, магнітофон, награ, плеєр, CD-плеєр, бобінний, відеомагнітофон, програвач лазерних дисків, бетамакс, слайд-проектор, бімер, айпод, болекс, 8мм, 16мм"],
["ПЕРЕДАЧА ІНФОРМАЦІЇ","КАМЕРА","COMCam","COM","Still camera shutters, automatic winding, old flash-bulbs. Movie and video cameras to COMMUNICATIONS-AV.","затвор фотоапарата, обмотка, лампочка спалаху, kodak, nikon, canon, olympus, kodak, fuji, fujifilm, mamiya, hasselblad, leica, 35мм, 120мм"],
["ПЕРЕДАЧА ІНФОРМАЦІЇ","МОБІЛЬНИЙ ТЕЛЕФОН","COMCell","COM","Cellphones and Smartphones., clicks and rings, tones.","мобільний телефон, смартфон, iphone, blackberry, flip phone, android"],
["ПЕРЕДАЧА ІНФОРМАЦІЇ","МІКРОФОН","COMMic","COM","Feedback and mic bumps and handling. Megaphones would go here too.","робота з мікрофоном, мікрофонний кран, larsen, мегафон"],
["ПЕРЕДАЧА ІНФОРМАЦІЇ","РІЗНЕ","COMMisc","COM","Communication sounds not fitting another category in this list.","різне"],
["ПЕРЕДАЧА ІНФОРМАЦІЇ","ГРАМОФОН","COMPhono","COM","Turntable, Victrola, motors and mechanics. STATIC has its own subcategory here.","програвач, вікторола, фонограф, стилус, вінілова платівка"],
["ПЕРЕДАЧА ІНФОРМАЦІЇ","РАДІО","COMRadio","COM","Tuning, radio and shortwave sounds. STATIC has its own subcategory here. A radio broadcast would go here too. Overlap with VOICES-FUTZED.","настройка, радіо, короткохвильовий, хлюпання, фуз, радіотрансляція"],
["ПЕРЕДАЧА ІНФОРМАЦІЇ","ПЕРЕШКОДИ","COMStatic","COM","Static from any electronic source, radio, CB, television, optical noise, phonograph noise.","статика, фуз, скремблювання"],
["ПЕРЕДАЧА ІНФОРМАЦІЇ","ТЕЛЕМЕТРІЯ","COMTelm","COM","Fax machine tones, modem tones, telegraph, teletype. UI is it's own category","азбука Морзе, телеграф, телеметрія, зчитування, sos"],
["ПЕРЕДАЧА ІНФОРМАЦІЇ","ТЕЛЕФОН","COMTelph","COM","Old school rotary dial and digital telephones. Technically any telephone that isn't a mobile or cell phone.","набір номера, таксофон, поворотний набір, клавіатура, стаціонарний телефон, шнуровий телефон"],
["ПЕРЕДАЧА ІНФОРМАЦІЇ","ТЕЛЕБАЧЕННЯ","COMTv","COM","Television programs, on and off, channel changes, TV Remote controls. STATIC has its own subcategory here. A television broadcast would go here too. Overlap with VOICES-FUTZED.","телевізор, пульт, набір, шоу, програма, фуз, телешоу, трансляція"],
["ПЕРЕДАЧА ІНФОРМАЦІЇ","ПРИЙОМОПЕРЕДАВАЧ","COMTran","COM","Walkie Talkies, CBs, Ham Radios, all two-way transceivers and radios go here. Put voices into VOICES-FUTZED.","рації, cb, радіостанції, трансивер, хлюпання, інтерком, диспетчерська"],
["ПЕРЕДАЧА ІНФОРМАЦІЇ","ДРУКАРСЬКА МАШИНКА","COMType","COM","Old school typewriters, not modern computer keyboards.","друкарська машинка, телепринтер, повернення каретки, ручка валика"],
["КОМП'ЮТЕРИ","ЖОРСТКИЙ ДИСК","CMPTDriv","CMPT","Laptop or other hard drive seeking sounds, data reading.","пропуск, пошук, подрібнення, жорсткий диск, жорсткий диск"],
["КОМП'ЮТЕРИ","КЛАВІАТУРА ТА МИША","CMPTKey","CMPT","Typing on computer keyboard, and mouse movement.","клавіатура, миша, мишки, трекпад"],
["КОМП'ЮТЕРИ","РІЗНЕ","CMPTMisc","CMPT","Computer sounds not fitting another category in this list. Printers would go to MACHINES-OFFICE.","пальмовий пілот, кишеньковий комп'ютер"],
["ІСТОТИ","ВОДНІ","CREAAqua","CREA","Giant mutant squids or sea monsters, kraken, leviathans.","кракен, русалка, гігантський кальмар"],
["ІСТОТИ","ПТАШИНІ","CREAAvian","CREA","Alien or Fantasy birds, or weird birdlike creatures. A giant mutant parakeet would go here.","інопланетні птахи, позаземні птахи, фантастичні птахи"],
["ІСТОТИ","ЗВІРЮКА","CREABeast","CREA","Big four legged creatures and beasts. Wooly Mammoth, a mutant elephant, Mumakil.","шерстистий мамонт, мумакіл, "],
["ІСТОТИ","В'ЯЗКІ","CREABlob","CREA","Gelatinous and gooey type creatures, gelatinous cube.","крапля, калюжа, каламуть, гуп"],
["ІСТОТИ","ДИНОЗАВР","CREADino","CREA","Dinosaurs of all types, Jurassic Park.","бронтозавр, велоцираптор, трицератопс, стегозавр, тиранозавр, алозавр, спінозавр, брахіозавр, археоптерикс, птерозавр, птеродактиль"],
["ІСТОТИ","ДРАКОН","CREADrgn","CREA","Game of Thrones, Lord of the Rings, dragons of all types. See also CREATURES-REPTILIAN.","дракон, дрейк, віверна"],
["ІСТОТИ","СКЛАДОВІ","CREAElem","CREA","Creatures based on elements, rock giants, fire creatures, ice monsters, such a the Balrog, or a Rock Giant.","кам'яне чудовисько, вогняне чудовисько, крижане чудовисько, кам'яний велетень, крижаний велетень, голем"],
["ІСТОТИ","БЕЗТІЛЕСНІ","CREAEthr","CREA","Ghosts, spirits, ethereal vocals and wispy movement, apparitions.","примари, духи, безтілесний, примарний, привид, душа, привид, спектральний, полтергейст, фантом, привид, привид"],
["ІСТОТИ","ЛЮДИНОПОДІБНІ","CREAHmn","CREA","Human sized mythical creatures, so zombies and vampires, elves etc. Troll, Ogres, Orcs. Two legged creatures.","зомбі, нежить, живий мрець, упир, вампір, ельф, орки, людожер, троль, тенгу, лепрекон, снігова людина, болотяник, перевертень, франкенштейн, мумія"],
["ІСТОТИ","КОМАХОПОДІБНИЙ","CREAInsc","CREA","Giant spiders or other insect like creatures. The creature from The Fly. A giant Tarantula.","гігантський мураха, гігантський павук"],
["ІСТОТИ","РІЗНЕ","CREAMisc","CREA","Creature sounds not fitting another category in this list.","різне"],
["ІСТОТИ","МОНСТР","CREAMnstr","CREA","Godzilla, scary monsters, horror monsters. See also CREATURES-HUMANOID.","годзілла, кінг-конг, ранкор, бегемот, ксеноморф, чупакабра"],
["ІСТОТИ","ПЛАЗУНИ","CREARept","CREA","Giant lizards and snakes, large giant hissing monsters.","змія, серпантин, гігантська ящірка, гігантська змія"],
["ІСТОТИ","НЕВЕЛИКІ","CREASmall","CREA","Specifically small mythical creatures. Fairies, pixies, small rodent like creatures, etc. Distinguished by small size.","фея, ельф, гремлін, біс, чорт, фраггл"],
["ІСТОТИ","ПОЧАТКОВИЙ РЕСУРС","CREASrce","CREA","Source recordings meant for creature design, like prop recordings, human voice packs for design, etc.","гавкати, дихати, дзвеніти, кликати, крякати, щебетати, клацати, плакати, зусилля, хрюкати, шипіти, вити, гарчати, ричати, гарчати, гортанний, стогнати, стогнати, рот, ревіти, кричати, верещати, вищати, скиглити, скиглити"],
["ГРУПА ЛЮДЕЙ","СЕРДИТІ","CRWDAngr","CRWD","Crowds of upset or angry people, as in a riot, protest, a schoolyard fight. See also AMBIENCE-PROTEST.","хуліганити, буянити, протестувати, кричати, бешкетувати"],
["ГРУПА ЛЮДЕЙ","ОПЛЕСКИ","CRWDApls","CRWD","Crowds where the applause is predominantly featured. Use CROWDS-CHEERING for recordings that are mainly vocals.","оплески, підбадьорення, плескання, вигуки на біс"],
["ГРУПА ЛЮДЕЙ","БІЙКА","CRWDBatl","CRWD","Crowds in battle, fighting, yelling screaming, dying. If including gunfire, explosions. use AMBIENCE-WARFARE.","бойові кличі, крик, заряд, мітинг, армія, битва, бійка, війна, крик, смерть"],
["ГРУПА ЛЮДЕЙ","СВЯТО","CRWDCele","CRWD","Crowds celebrating holidays, parties, rowdy crowds. If not clean, use AMBIENCE-CELEBRATION.","святкування, свято, вечірка, гулянка, день народження, новий рік, різдво, парад"],
["ГРУПА ЛЮДЕЙ","ОВАЦІЯ","CRWDCheer","CRWD","Could include applause, but cheering crowds where the crowd vocals are predominant. Overlap with CROWDS-CELEBRATION.","аплодисменти, концерт, стадіон, глядачі, вигуки, галас, скандування"],
["ГРУПА ЛЮДЕЙ","ДІТИ","CRWDChld","CRWD","Relatively clean vocals of children together, playing in a playground, in a school classroom, recess, school hallway. See also AMBIENCE-SCHOOL.","дитячий майданчик, перерва, діти грають, парк, гратися, мітити"],
["ГРУПА ЛЮДЕЙ","РОЗМОВА","CRWDConv","CRWD","A small enough group chat that you can discern words, smaller and less active than a walla. A chatter.","балаканина, балаканина, розмова, розмова, розмова, розмова, розмова"],
["ГРУПА ЛЮДЕЙ","СМІХ","CRWDLaff","CRWD","Crowds laughing, a comedy show, canned television laughter, groups of kids laughing, at a party for example.","телешоу, консервований сміх, комедійний клуб, доріжка сміху"],
["ГРУПА ЛЮДЕЙ","СТУДІЙНИЙ ЗАПИС","CRWDLoop","CRWD","For loop group type walla, usually performed for or to picture, specific environments, specific callouts. See also ARCHIVED-LOOP GROUP for official loop group recordings.","петля група, adr, консервований"],
["ГРУПА ЛЮДЕЙ","РІЗНЕ","CRWDMisc","CRWD","Crowd sounds not fitting another category in this list. See also MOVEMENT-CROWD.","різне"],
["ГРУПА ЛЮДЕЙ","ПАНІКА","CRWDPanic","CRWD","Distressed crowds, mixed screams and crying and reactions… crowds in a natural disaster or crowds in a giant monster attack...","паніка, хаос, крик, вереск, крик, плач, лихо"],
["ГРУПА ЛЮДЕЙ","ТИХА","CRWDQuiet","CRWD","Very quiet crowds, mostly mumbling or murmuring. Like crowds whispering in church or a courtroom scene. See also VOICES-WHISPER for single person recordings.","шепіт, шепотіти, замовкати, бурмотіти"],
["ГРУПА ЛЮДЕЙ","РЕАКЦІЯ","CRWDReac","CRWD","Big Ooos, and Aaahs and Booos, big group responses to events happening. Shocked reactions.","бу, ах, ох, реакція студії"],
["ГРУПА ЛЮДЕЙ","СПІВ","CRWDSing","CRWD","Singing during sporting events, New Year's Eve crowds singing Auld Lang Syne, Christmas carols. Not large choral music, which would go in MUSICAL category.","спів, хор, хорал, хорал, колядка"],
["ГРУПА ЛЮДЕЙ","СПОРТ","CRWDSprt","CRWD","Clean crowds at sporting events, Baseball, football. For mixed ambience used AMBIENCE-SPORT. A sports chant.","оплески, плескання, бу, ура, стадіон, ура, глядачі, олімпіада, крики, улюлюкання"],
["ГРУПА ЛЮДЕЙ","ФОНОВІ","CRWDWalla","CRWD","Specifically very clean crowd walla, with non-discernible words. See also various AMBIENCE categories.","голоси, розмова, вала, розмова"],
["ЗВУКОВИЙ ДИЗАЙН","НИЗЬКОЧАСТОТНЕ ЗАНУРЕННЯ","DSGNBass","DSGN","Deep descending bass notes. Bass Drops.","bass dive, downer, bass drop, fall"],
["ЗВУКОВИЙ ДИЗАЙН","НИЗЬКОЧАСТОТНИЙ УДАР","DSGNBoom","DSGN","Deep short and tight, low end stingers, big trailer deep hits. LFE type low end sweeteners.","бум, глибокий удар, низьке жало, трейлер"],
["ЗВУКОВИЙ ДИЗАЙН","ГОРН","DSGNBram","DSGN","Long deep horn like sounds. Like a War of the World's type long sound, or like a long french horn braam type sound.","bramm"],
["ЗВУКОВИЙ ДИЗАЙН","ДИСТОРШН","DSGNDist","DSGN","Particulary distored designed sounds and distortion elements.","дисторшн, квадратура, спотворення"],
["ЗВУКОВИЙ ДИЗАЙН","ДРОН","DSGNDron","DSGN","Designed drones, eerie tense drones, long stylized sounds with not much activity or movement.","накладка, дрон, текстура, зловісний, напружений"],
["ЗВУКОВИЙ ДИЗАЙН","МОТОРОШНІ","DSGNErie","DSGN","Often designed, but tense strange undefined sounds that are eerie, tense, suspenseful. Some overlap with DESIGNED-DRONE possible.","моторошний, напружений, дивний, моторошний, страшний, моторошний, моторошний, моторошний, моторошний, страшний, "],
["ЗВУКОВИЙ ДИЗАЙН","ПОВІТРЯНІ","DSGNEthr","DSGN","Ethereal wispy designed sounds. Ghostlike whispers, or heavenly tones. Otherworldly. See also DESIGNED-EERIE.","ефірний, небесний"],
["ЗВУКОВИЙ ДИЗАЙН","ЗЕРНИСТІ","DSGNGran","DSGN","Granular synthesis, sounds that have a gritty textural type sound, think PaulStretch, sounds broken down into tiny slices and recompiled.","зернистий, полстяжка, крупинки, скибочки"],
["ЗВУКОВИЙ ДИЗАЙН","УДАР","DSGNImpt","DSGN","Designed huge impacts, collisions, stylized big hits. Possible overlap with DESIGNED-STINGER.","удар, влучання, ляскіт, розбиття, зіткнення"],
["ЗВУКОВИЙ ДИЗАЙН","РІЗНЕ","DSGNMisc","DSGN","Designed sounds not fitting another category in this list.","різне"],
["ЗВУКОВИЙ ДИЗАЙН","СУМІШ","DSGNMorph","DSGN","A stylized blending of elements, something transitioning into another thing.","видозмінюватися, змішуватися, переходити"],
["ЗВУКОВИЙ ДИЗАЙН","НАРОСТАННЯ","DSGNRise","DSGN","Tension risers, things rising in tone, something similar to a rising string line to create tension.","реверс, крещендо, різер, ризер, ризер, напруга"],
["ЗВУКОВИЙ ДИЗАЙН","ГУРКІТ","DSGNRmbl","DSGN","Designed rumbles for layering into a mix. Earthquake rumbles. Composite rumble.","субгармонія, гуркіт, трясти, землетрус"],
["ЗВУКОВИЙ ДИЗАЙН","РИТМІЧНІ","DSGNRythm","DSGN","Stattaco or glitchy machine type loops, things with definied starts, stops, rhythmic stutters.","заїкання, глюк, пульс, статтако"],
["ЗВУКОВИЙ ДИЗАЙН","ПОЧАТКОВИЙ РЕСУРС","DSGNSrce","DSGN","For recordings meant to be used as source for other designed sounds, experimental recordings, elements, etc.","джерело, сировина, матеріал, сирий запис"],
["ЗВУКОВИЙ ДИЗАЙН","УДАР","DSGNStngr","DSGN","Stings, stylized screen sweeteners. Big trailer type sounds. Big shock scare type sounds. Stylized stings, hits and impacts. Overlap with DESIGNED-IMPACT.","жалити, переляк, трейлер, кінематографічний"],
["ЗВУКОВИЙ ДИЗАЙН","СИНТЕТИЧНІ","DSGNSynth","DSGN","Very synthesized sounds, very electronic synth stuff. Raw work files of synth-play.","синтезований, синтезатор, синтезаторний, модульний синтезатор, гранульований, аналоговий синтезатор, модульний синтезатор"],
["ЗВУКОВИЙ ДИЗАЙН","ТОНАЛЬНІ","DSGNTonl","DSGN","Designed sounds with a particularly tonal nature. The ringing in your ear of tinnitus for example.","дзвін у вухах, дзвін, контузія, суб'єктивний"],
["ЗВУКОВИЙ ДИЗАЙН","ГОЛОС","DSGNVocl","DSGN","Design specifically around vocals, ghostly whispers, enchanted spells, reversed talking etc. Not for Creatures.","зачарування, заклинання, оброблений, вокальний, шепіт, примарний"],
["ЗВУКОВИЙ ДИЗАЙН","СВИСТ","DSGNWhsh","DSGN","Stylized designed big whooshes, definite possible overlap confusion with SHOOSHES-WHOOSH, but this for less natural and more stylized versions.","свист, причіпний свист, свист"],
["РУЙНУВАННЯ","ОБВАЛ","DESTRClpse","DESTR","Buildings and large mixed complex collapses, a barn collapse, Godzilla pushing over a building.","обрушитися, перекинутися, впасти, вибухнути"],
["РУЙНУВАННЯ","РОЗБИТТЯ ТА УЛАМКИ","DESTRCrsh","DESTR","Mixed crashes, complex crashes involving more than one material. So a combo huge glass and metal crash. See also individual material categories like METAL, WOOD etc.","розбитися, розірватися, вибухнути, розбитися, розбитися, розбитися, розбитися вщент"],
["РУЙНУВАННЯ","РІЗНЕ","DESTRMisc","DESTR","Destruction sounds not fitting another category in this list.","різне"],
["БРУД ТА ПІСОК","РОЗЛІТАННЯ","DIRTCrsh","DIRT","Dirt or sand settling, as in after an explosion, big sprays of dirt and sand. DUST has its own subcategory.","сміття, пісок, бруд, сипатися, сипатися, сипатися, сипатися, сипатися"],
["БРУД ТА ПІСОК","ПИЛ","DIRTDust","DIRT","Settling dust, dust clouds, much lighter sound than DIRT & SAND-DEBRIS","дрібнота, частка, осад, мул, пил"],
["БРУД ТА ПІСОК","УПРАВЛІННЯ","DIRTHndl","DIRT","Handling dirt & sand, hands digging through dirt, children making a sand castle. Some overlap with DIRT & SAND-MOVEMENT.","обробляти, хапати, копати, ловити"],
["БРУД ТА ПІСОК","УДАР","DIRTImpt","DIRT","Big hits and impacts of dirt of sand, dirt clods. Think the huge dirt ball impacts in WHERE THE WILD THINGS ARE.","скидати, вивалювати, вивантажувати, скидати"],
["БРУД ТА ПІСОК","РІЗНЕ","DIRTMisc","DIRT","Dirt, Sand and Earth sounds not fitting another category in this list.","різне"],
["БРУД ТА ПІСОК","РУХ","DIRTMvmt","DIRT","Pouring, flowing of dirt or sand, a big sand pour. See also DIRT & SAND-HANDLE.","сипати, висипати, вивантажувати, текти, розливати"],
["БРУД ТА ПІСОК","ТОНАЛЬНИЙ","DIRTTonl","DIRT","Singing sand dunes. Probably pretty rare.","піщані дюни, співочі піски"],
["ДВЕРІ","СТАРОВИННІ","DOORAntq","DOOR","Very old sounding doors, as in an old castle or abbey. But massive doors of this type probably to DOOR-DUNGEON.","замок, абатство, церква, старий, давній, старовинний, антикварний"],
["ДВЕРІ","ПОБУТОВИЙ ПРИЛАД","DOORAppl","DOOR","Appliance doors such as oven, dishwasher, refrigerator or microwave.","духовка, мікрохвильова піч, холодильник, посудомийна машина, пральна машина, сушарка"],
["ДВЕРІ","ШАФА","DOORCab","DOOR","Cabinet doors, such as kitchen cabinet, tool cabinets.","шафа, кухонна шафа, шафа для інструментів"],
["ДВЕРІ","КОМПОЗИТ","DOORComp","DOOR","Fiberglass, wood steel combination, doors that don't sound like a specific material. A modern front door. Some confusion or overlap with DOORS-WOOD likely.","скловолокно, двері"],
["ДВЕРІ","скрип","DOORCreak","DOOR","Door creaks, wood or metal, overlap with WOOD-FRICTION and METAL-FRICTION, but specifically door creaks.","скрип, двері, підземелля, підвал, замок, дерев'яні двері, металеві двері, скрип дверей"],
["ДВЕРІ","СЕРЕДНЬОВІЧНИЙ ЗАМОК","DOORDungn","DOOR","That big old classic wood and/or metal heavy dungeon, castle type door.","замок, підземелля, великі, підвал"],
["ДВЕРІ","ЕЛЕКТРИЧНІ","DOORElec","DOOR","Electric doors of all kinds, garage doors, big soundstage doors, sliding store doors. See also DOORS-REVOLVING.","електричні двері, гаражні двері, звукоізоляційні двері, автоматичні двері"],
["ДВЕРІ","ВОРОТА","DOORGate","DOOR","Non-motorized gates, metal or wood. So a garden gate, a park gate. A farm gate.","садові ворота, ворота для паркану, паркові ворота, залізничний переїзд, хвіртка для худоби, фермерські ворота"],
["ДВЕРІ","СКЛЯНІ","DOORGlas","DOOR","Glass doors, manual shopping store doors, glass home front doors. Most store doors would probably fit here.","скляні двері, двері магазину, еркерні двері, французькі двері"],
["ДВЕРІ","ФУРНІТУРА","DOORHdwr","DOOR","Door knobs, door locks, deadbolts, chain locks, push bars. Lock Picking, Doorknob Jiggles.","дверна ручка, засув, штовхач, ланцюговий замок, петля, клямка, ручка, фурнітура, відмичка, відмичка, джиггл"],
["ДВЕРІ","ВИСОКОТЕХНОЛОГІЧНІ","DOORTech","DOOR","James bond type doors, something not quite sci-fi but more advanced, Modern lab, or air sealed chamber, vaults. See also SCIFI-DOOR.","лабораторні двері"],
["ДВЕРІ","ГІДРАВЛІЧНІ ТА ПНЕВМАТИЧНІ","DOORHydr","DOOR","Self closing doors, lots of office and store doors are of this type. Also automatic doors if hydraulic or pneumatic.","доводчик дверний, пневматичний, гідравлічний, люк з електроприводом"],
["ДВЕРІ","СТУК","DOORKnck","DOOR","Knocking on various door surfaces.","стукіт, грюкіт, стукалка, бах, тупіт, грюкіт"],
["ДВЕРІ","МЕТАЛЕВІ","DOORMetl","DOOR","Metal doors, like a vault door or heavy door. PRISON doors have their own category, as they are quite specific sounding.","ролет, сховище, сейф, люк"],
["ДВЕРІ","РІЗНЕ","DOORMisc","DOOR","Door sounds not fitting another category in this list.","різне"],
["ДВЕРІ","ПЛАСТИКОВІ","DOORPlas","DOOR","Doors made out of plastic. Not very common but maybe a door to a child's play house.","двері для туалету, двері для входу, двері для виходу, двері для туалету"],
["ДВЕРІ","ТЮРЬМА","DOORPrisn","DOOR","Big metal jail and prison doors. Sliding prison doors, or swinging jail doors.","двері в'язниці, тюремні двері"],
["ДВЕРІ","ОБЕРТОВІ","DOORRevl","DOOR","Classic revolving doors used as entries to hotels, banks, malls.","обертатися, обертатися, обертові двері, готель, аеропорт, торговий центр"],
["ДВЕРІ","РОЗСУВНІ","DOORSlid","DOOR","Manual sliding doors, such as a patio door, sliding shower doors. Electric sliding doors to DOORS-ELECTRIC.","розсувні скляні двері, двері у внутрішній дворик, двері в душ"],
["ДВЕРІ","КАМ'ЯНІ","DOORSton","DOOR","Mostly a fantasy type door, but think Gates of Moria, big tombstone vault doors.","гробниця, склеп, храм, мавзолей, потаємний вхід"],
["ДВЕРІ","МАЯТНИКОВІ","DOORSwng","DOOR","Swinging doors, like old-west saloon or church pulpit doors. Doors on swinging springs.","двері салону, транспортні двері, двері ресторану, двері церковної кафедри"],
