[["ILMA","PUHALLUS","AIRBlow","AIR","Steady air blows, like from a compressed can of air.","paineilma, paineenalennus, vapautus, puhallus, räiskintä, räpyttely, huuhtelu, puhdistus"],
["VENE","RÄMEVENE","BOATAir","BOAT","Specifically large fan airboats used in swamps. Think the type of boat used in the Everglades. Also hovercraft.","tuuletinvene, ilmavene, ilmatyynyalus"],
["VENE","VESI","BOATWash","BOAT","The waves pushed up by a boat or ship going through the water, a relatively clean recording.","keulapyykki, aallokko"],
["VENE","OVI","BOATDoor","BOAT","Boat or Submarine doors. Some possible overlap with over DOOR categories or VEHICLES-DOOR.","luukku, lautan ovi, veneen ovi, vesitiivis ovi, laivan ovi"],
["VENE","ELEKTRONINEN","BOATElec","BOAT","Any boat powered by electricity. Fairly rare. Possible a a radio controlled boat, or electric trolling motor.","uistelumoottori"],
["VENE","KALASTUS","BOATFish","BOAT","Industrial fishing boats, crab boats, trawlers. Simple fishing boats to BOATS-MOTORBOAT.","rapuveneet, troolarit, nuottaa käyttävä alus, siimalaiva, ruoppaaja, verkkopyydys, tutkimusalus"],
["VENE","TORVI","BOATHorn","BOAT","Horns on boats and ships. Fog horns would go in HORNS-AIR category.","laivan torvi, hinaaja-aluksen torvi"],
["VENE","INTERIÖÖRI","BOATInt","BOAT","Interior ambiences on boats and ships, ferries, cruise ships, navy ships.","laiva, lautta, lautat, risteilyalus, laivasto, sotilasvene, hinaaja, purjevene, jahti, öljysäiliöalus, rahtialus, rahtialus, sukellusvene."],
["VENE","MEKANISMI","BOATMech","BOAT","All manner of boat mechanisms. Sailing ship rigging, pulleys, ropes, ship wheels. See also BOATS-DOOR.","takilointi, hihnapyörä, köysi, laivanpyörä, kaasu, verkko, häkki, loukku, ankkuri."],
["VENE","ARMEIJA","BOATMil","BOAT","Specifically military boats and ships, destroyers, aircraft carriers. Any military boat.","partiovene, hävittäjä, risteilijä, risteilijä, taisteluristeilijä, fregatti, korvetti, nopea hyökkäysvene."],
["VENE","SEKALAINEN","BOATMisc","BOAT","Boat sounds not fitting another category in this list.","melovene, melontalauta, melontalauta"],
["VENE","MOOTTORIVENE","BOATMotr","BOAT","General small boats, personal fishing boats, speedboats, pontoon boats. You average recreational boat.","pienvene, henkilökohtainen kalastusvene, pikavene, ponttonivene, ankkavene, jollakin tavalla varustettu vene."],
["VENE","KILPAVENE","BOATRace","BOAT","Powered racing boats, not for human powered racing boats, those would go under BOATS-ROWING.","vesitaso, kantosiipialus, suihkuvene."],
["VENE","SOUTUVENE","BOATRow","BOAT","Canoes, rowboats, kayaks probably, human powered boats that use oars and paddles, even racing rowboats.","kanootti, soutuvene, kajakki, airo, mela, lohikäärmevene, soutuvene, soutuvene"],
["VENE","PURJEVENE","BOATSail","BOAT","Composite recordings of rigging and sails, isolated elements to CLOTH-FLAP for close sails, or BOATS-MECHANISM for rigging.","purjevene, kuunari, jollari, slooppi, ketssi, moottoripurjevene."],
["VENE","LAIVA","BOATShip","BOAT","Large ship, passenger cruise ships, oil tankers, things relating to these.","suuri laiva, risteilyalus, öljysäiliöalus, rahtilaiva, rahtialus."],
["VENE","HÖYRYLAIVA","BOATStm","BOAT","Old steam paddle boats, big steam ship sounds.","höyrylaiva, melahöyrylaiva, höyrykone"],
["VENE","SUKELLUSVENE","BOATSub","BOAT","Relating to a submarine, include sonar pings. Classic 'Dive' alarm would go in ALARMS-SIREN with keyword Klaxon.","sukellusvene, kaikuluotain, sukellusvene, sukellusvene, u-vene"],
["VENE","VEDENALAINEN","BOATUndwtr","BOAT","Specifically boats and ships recorded underwater, usually hydrophone recordings. SUBMARINES have their own subcategory.","vene, laiva, vedenalainen, tankkeri, kalastusvene, moottorivene, vedenalainen"],
["LUOTI","OHITUS","BLLTBy","BLLT","Bullet pass bys in air, or underwater.","bullet whiz-by, fwip"],
["LUOTI","ISKU","BLLTImpt","BLLT","Bullet hits and impacts, on a bullet hit on any material from the ground, to wood, to a person.","bullet impact, bullet hit"],
["LUOTI","SEKALAINEN","BLLTMisc","BLLT","Bullet sounds not fitting another category in this list.","sekalaiset"],
["LUOTI","KIMMOKE","BLLTRico","BLLT","Bullet ricochets, that classic old west 'ping' when a bullet bounces off something.","ricos, ricochet, deflect, deflect"],
["LUOTI","HYLSY","BLLTShel","BLLT","Bullet shells ejecting and dropping to the ground. See also GUNS-HANDLING for things like loading or unloading a gun.","hylsy, hylsy, heittää"],
["ANIMAATIO","ELÄIN","TOONAnml","TOON","Cartoon animals, made from animals calls, props, etc. Very silly or stylized animals calls for use in Cartoons.","väärennetty eläin, metsästyskutsu, ankkakutsu"],
["ANIMAATIO","BOING","TOONBoing","TOON","Cartoon boings, like for a bouncing cartoon character. Roger Rabbit or Tigger from Winnie the Pooh.","leukaharppu, suuharppu"],
["ANIMAATIO","KILAHDUS","TOONClang","TOON","Cartoon clangs, like a funny anvil hit. Most likely a very metallic resonant hit.","klangi, metallinen"],
["ANIMAATIO","NARINA","TOONCreak","TOON","Cartoon creaks, some overlap or confusion with CARTOON-STRETCH possible.","kumi, puu"],
["ANIMAATIO","TORVI","TOONHorn","TOON","Cartoon horns, as in bulb horns, clown horns.","polttimotorvi, torvi, pelle torvi"],
["ANIMAATIO","ISKU","TOONImpt","TOON","Cartoon hits, bonk, boink, doink..","bonk, boink, doink"],
["ANIMAATIO","KONE","TOONMach","TOON","Cartoon machines, an overly comical sounding machine or contraption. A Rube Goldberg contraption.","vehje, koominen kone, rube goldbergin kone"],
["ANIMAATIO","SEKALAINEN","TOONMisc","TOON","Cartoon sounds not fitting another category in this list.","toon, squanch, blorb, blorb, flump"],
["ANIMAATIO","MUSIKAALINEN","TOONMx","TOON","Cartoon musical phrases. String plucks for a cartoon character sneaking up on another. Perhaps a cartoon musical phrase.","gliss, nousee, laskeutuu,"],
["ANIMAATIO","NÄPPÄILY","TOONPluk","TOON","Cartoon string plucks, violin plucks, dental floss plucks.","string pluck"],
["ANIMAATIO","POP","TOONPop","TOON","Cartoon funny pops, mouth pops, suction cup pops.","pop gun, mouth pop, imukuppi, bubble pops, bubble pops"],
["ANIMAATIO","RAVISTUS","TOONShake","TOON","Cartoon shake, like a noisemaker toy, maraca.","rattle"],
["ANIMAATIO","ROISKAUS","TOONSplt","TOON","Cartoon splats, funny liquid and mud like splats and things.","splat, splort, squish"],
["ANIMAATIO","VINKUMINEN","TOONSqk","TOON","Cartoon squeaks. funny little sounding squeaks of things.","squeak"],
["ANIMAATIO","VENYMINEN","TOONStrch","TOON","Cartoon stretches, funny rubber or other type stretching sounds, exaggerated.","strain"],
["ANIMAATIO","VIUHAHDUS","TOONSwsh","TOON","Cartoon swishes, specifically very funny cartoony swishes.","pyörre, pyörre"],
["ANIMAATIO","TWANG","TOONTwang","TOON","Cartoon twangs, that classic ruler twang type sound.","hallitsija, suuharppi"],
["ANIMAATIO","AJONEUVO","TOONVeh","TOON","Cartoon vehicles, think Jetsons spaceship or Flintstones cars.","jetsonit, vehje. Flintstonesin auto, takapalo"],
["ANIMAATIO","IHMISÄÄNI","TOONVox","TOON","Cartoon vocals, specifically very silly. See also CARTOON-ANIMALS for non-human vocals.","mutinaa, hassu ääni, sarjakuvaääni..."],
["ANIMAATIO","MULJUTUS","TOONWarb","TOON","Cartoon warble.","wobble"],
["ANIMAATIO","VIHELLYS","TOONWhis","TOON","Cartoon whistles, most likely slide whistles, other very silly whistles. A Wolf-Whistle.","liukupilli"],
["ANIMAATIO","ZIP","TOONZip","TOON","Cartoon zips. Very fast 'zip' type sounds, often for fast movement aways.","zip, rico, sireeni, vihellys"],
["KERAMIIKKA","HAJOAMINEN","CERMBrk","CERM","Ceramics break of a more singular nature, a plate shatter, breaking, cracking, crunching. Mostly for single items breaking. See also CERAMICS-CRASH & DEBRIS.","break, crack, shatter, crunch"],
["KERAMIIKKA","MURSKAUS & SIRPALEET","CERMCrsh","CERM","Ceramics destruction of more of a group nature, multiple crashes and debris. See also CERAMICS-BREAK.","putoaa, roskat, sirpaleet"],
["KERAMIIKKA","KITKA","CERMFric","CERM","Ceramics friction, scraping, squeaking, screeching.","stressi, raapiminen, narina, vinkuminen, kitinä, narina"],
["KERAMIIKKA","KÄSITTELY","CERMHndl","CERM","Ceramics handling, picking up a coffee mug, handling a plant pot. Some overlap with CERAMICS-MOVEMENT.","käsitellä, tarttua, asettaa, poimia, asettaa alas, heittää, ottaa kiinni"],
["KERAMIIKKA","ISKU","CERMImpt","CERM","Ceramics impacts without breaking, so hits drops, clunks and clinks. See also CERAMICS-BREAK.","lyödä, pudottaa, törmätä, kolahtaa, kolahtaa, kolahtaa, kolahtaa."],
["KERAMIIKKA","SEKALAINEN","CERMMisc","CERM","Ceramics sounds not fitting another category in this list.","sekalaiset"],
["KERAMIIKKA","LIIKE","CERMMvmt","CERM","Ceramics single or group movement, so dragging, shaking and rattling. See also CERAMICS-HANDLE.","raahata, rullata, rätistä, ravistella"],
["KERAMIIKKA","TONAALINEN","CERMTonl","CERM","Ceramics ringing, as in being bowed.","bowed, ring, shing, ping"],
["KETJU","HAJOAMINEN","CHAINBrk","CHAIN","Chain snapping or breaking, that sharp sound of a chain failing.","snap, break, bend"],
["KETJU","KÄSITTELY","CHAINHndl","CHAIN","Chain handling, repairing a bike chain, a prisoner moving around in chains. Some overlap with CHAINS-MOVEMENT.","handle, grab, set, pickup, set down, toss, catch, catch"],
["KETJU","ISKU","CHAINImpt","CHAIN","Chain impacts, such a big chain hit or slam, or a tension snap of a chain being pulled taut.","pudota, lyödä, iskeä, iskeä, iskeä, jännitys napsahtaa."],
["KETJU","SEKALAINEN","CHAINMisc","CHAIN","Chain sounds not fitting another category in this list.","sekalaiset"],
["KETJU","LIIKE","CHAINMvmt","CHAIN","Chain handling, particularly being pulled through pulleys or across surfaces. See also CHAINS-HANDLE.","veto, käsiraudat, vankilaketju, koiraketju"],
["KEMIKAALI","HAPPO","CHEMAcid","CHEM","Chemical acid burning and sizzling, bubbling. A vat of acid.","sizzle, melt, fizz"],
["KEMIKAALI","SEKALAINEN","CHEMMisc","CHEM","Chemical sounds not fitting another category in this list.","sekalaiset"],
["KEMIKAALI","REAKTIO","CHEMReac","CHEM","Chemical reactions, chemistry set, bubbling, foaming, bunsen burner reactions. Overlap perhaps with LIQUID & MUD category.","kupliminen, vaahtoaminen, reaktio"],
["KELLO","SOINTI","CLOCKChim","CLOCK","Chimes, bells specifically for a clock, Grandfather clock chimes. Alarm clocks would go to ALARMS-CLOCK.","kellonsoitto, kello, isoisäkello"],
["KELLO","MEKANISMI","CLOCKMech","CLOCK","Clocks winding, complex mechanical clock mechanisms.","käämitys, kellon hammaspyörät, käkikello"],
["KELLO","SEKALAINEN","CLOCKMisc","CLOCK","Clock sounds not fitting another category in this list. Also see ALARMS-CLOCK","sekalaiset"],
["KELLO","TIKITYS","CLOCKTick","CLOCK","Analog ticking clocks and watches of all sizes, also mechanical stop watches.","tikitys, naksahdus, kvartsi, tik-tak, sekuntikello, muna-ajastin"],
["VAATE","LEPATUS","CLOTHFlp","CLOTH","Cloth flapping, as in a flag flapping, or superman's cape. Also ship sails and parachutes.","räpläys, lippu, kohina, laskuvarjo, viitta, purjekangas, purje, lakana, lakana"],
["VAATE","KÄSITTELY","CLOTHHndl","CLOTH","Cloth handling, grabbing a jacket, clothy arm grabs, etc. Some overlap with CLOTH-MOVEMENT. See also possibly OBJECTS-FASHION.","kahva, tarttua, asettaa, poimia, laskea alas, heittää, ottaa kiinni."],
["VAATE","OSUMA","CLOTHImpt","CLOTH","Cloth impacts, throwing a jacket forcefully to the floor, a wet towel snap. Some overlap with CLOTH-MOVEMENT possible.","hit, drop, impact, smack"],
["VAATE","SEKALAINEN","CLOTHMisc","CLOTH","Cloth sounds not fitting another category in this list.","sekalaiset"],
["VAATE","LIIKE","CLOTHMvmt","CLOTH","Varied cloth movement except flapping which has its own category. Variety of cloth movement. Cloth zuzz. See also CLOTH-FLAP.","zuzz, swish, rustle, ruffle, scrunch, mvmt"],
["VAATE","REPIMINEN","CLOTHRip","CLOTH","Various cloth rips and tears, short to long. Velcro would best fit here too.","repiä, repiä, tarranauha"],
["KOMMUNIKAATIO","AV","COMAv","COM","Various AV devices such a projector or tape recorder, video cameras here too. Some overlap or confusion with COMMUNICATIONS-CAMERA.","elokuvakamera, kelaus, filmikamera, projektori, nauhuri, nagra, walkman, CD-soitin, kelauslaite, vcr, laserdisc-soitin, betamax, diaprojektori, beamer, ipod, bolex, 8mm, 16mm."],
["KOMMUNIKAATIO","KAMERA","COMCam","COM","Still camera shutters, automatic winding, old flash-bulbs. Movie and video cameras to COMMUNICATIONS-AV.","kameran suljin, kelaaminen, salamalamppu, kodak, nikon, canon, olympus, kodak, fuji, fujifilm, mamiya, hasselblad, leica, 35mm, 120mm"],
["KOMMUNIKAATIO","KÄNNYKKÄ","COMCell","COM","Cellphones and Smartphones., clicks and rings, tones.","matkapuhelin, älypuhelin, iphone, blackberry, fläppipuhelin, android"],
["KOMMUNIKAATIO","MIKROFONI","COMMic","COM","Feedback and mic bumps and handling. Megaphones would go here too.","mikrofonin käsittely, mikrofonihana, larsen, megafoni"],
["KOMMUNIKAATIO","SEKALAINEN","COMMisc","COM","Communication sounds not fitting another category in this list.","sekalaiset"],
["KOMMUNIKAATIO","FONOGRAFI","COMPhono","COM","Turntable, Victrola, motors and mechanics. STATIC has its own subcategory here.","levysoitin, victrola, levysoitin, kynät, vinyylilevyjä"],
["KOMMUNIKAATIO","RADIO","COMRadio","COM","Tuning, radio and shortwave sounds. STATIC has its own subcategory here. A radio broadcast would go here too. Overlap with VOICES-FUTZED.","viritys, radio, lyhytaaltoradio, squelch, futz, radiolähetys"],
["KOMMUNIKAATIO","STAATTINEN","COMStatic","COM","Static from any electronic source, radio, CB, television, optical noise, phonograph noise.","staattisuus, pätkiminen, sekoittuminen"],
["KOMMUNIKAATIO","TELEMETRIA","COMTelm","COM","Fax machine tones, modem tones, telegraph, teletype. UI is it's own category","morseaakkoset, lennätin, telemetria, luku, sos"],
["KOMMUNIKAATIO","PUHELIN","COMTelph","COM","Old school rotary dial and digital telephones. Technically any telephone that isn't a mobile or cell phone.","dial, maksupuhelin, kiertovalitsin, näppäimistö, lankapuhelin, johdollinen puhelin"],
["KOMMUNIKAATIO","TELEVISIO","COMTv","COM","Television programs, on and off, channel changes, TV Remote controls. STATIC has its own subcategory here. A television broadcast would go here too. Overlap with VOICES-FUTZED.","tv, kaukosäädin, valinta, show, ohjelma, futz, TV-ohjelma, lähetys, lähetys"],
["KOMMUNIKAATIO","LANGATON","COMTran","COM","Walkie Talkies, CBs, Ham Radios, all two-way transceivers and radios go here. Put voices into VOICES-FUTZED.","radiopuhelimet, radiopuhelimet, radiopuhelimet, radiopuhelimet, radiopuhelimet, radiopuhelimet, radiopuhelimet, radiopuhelimet, radiopuhelimet, radiopuhelimet, radiopuhelimet."],
["KOMMUNIKAATIO","KIRJOITUSKONE","COMType","COM","Old school typewriters, not modern computer keyboards.","kirjoituskone, telelaitetulostin, kelkkauksen palautus, kirjoituskoneen nuppi"],
["TIETOKONE","KOVALEVY","CMPTDriv","CMPT","Laptop or other hard drive seeking sounds, data reading.","skip, search, grind, hard disc, kovalevy, kovalevy"],
["TIETOKONE","NÄPPÄIMISTÖ","CMPTKey","CMPT","Typing on computer keyboard, and mouse movement.","näppäimistö, hiiri, hiiret, ohjauslevy"],
["TIETOKONE","SEKALAINEN","CMPTMisc","CMPT","Computer sounds not fitting another category in this list. Printers would go to MACHINES-OFFICE.","kämmenpilotti, taskupc"],
["OLIO","VESI","CREAAqua","CREA","Giant mutant squids or sea monsters, kraken, leviathans.","kraken, merenneito, jättiläiskalmari"],
["OLIO","LINTU","CREAAvian","CREA","Alien or Fantasy birds, or weird birdlike creatures. A giant mutant parakeet would go here.","avaruuslinnut, maan ulkopuoliset linnut, fantasialinnut, mielikuvituslinnut"],
["OLIO","PETO","CREABeast","CREA","Big four legged creatures and beasts. Wooly Mammoth, a mutant elephant, Mumakil.","villamammutti, mumakil, "],
["OLIO","KLÖNTTI","CREABlob","CREA","Gelatinous and gooey type creatures, gelatinous cube.","blob, gloop, goop, goop"],
["OLIO","DINOSAURUS","CREADino","CREA","Dinosaurs of all types, Jurassic Park.","brontosaurus, velociraptor, triceratops, stegosaurus, tyrannosaurus, allosaurus, spinosaurus, brachiosaurus, archaeopteryx, pterosaurukset, pterodactylus"],
["OLIO","LOHIKÄÄRME","CREADrgn","CREA","Game of Thrones, Lord of the Rings, dragons of all types. See also CREATURES-REPTILIAN.","lohikäärme, drake, wyvern"],
["OLIO","ELEMENTAALINEN","CREAElem","CREA","Creatures based on elements, rock giants, fire creatures, ice monsters, such a the Balrog, or a Rock Giant.","kivihirviö, tulihirviö, jäähirviö, kivijättiläinen, jääjättiläinen, goleemi"],
["OLIO","HAAMU","CREAEthr","CREA","Ghosts, spirits, ethereal vocals and wispy movement, apparitions.","aaveet, henget, eteeriset, aavemainen, haamu, sielu, ilmestys, haamu, poltergeist, aave, haamu, wraith."],
["OLIO","HUMANOIDI","CREAHmn","CREA","Human sized mythical creatures, so zombies and vampires, elves etc. Troll, Ogres, Orcs. Two legged creatures.","zombi, epäkuollut, elävä kuollut, ghouli, vampyyri, tonttu, örkki, örkki, peikko, tengu, menninkäinen, isojalka, suo-olento, ihmissusi, Frankenstein, muumio..."],
["OLIO","HYÖNTEINEN","CREAInsc","CREA","Giant spiders or other insect like creatures. The creature from The Fly. A giant Tarantula.","jättiläismuurahainen, jättiläishämähäkki"],
["OLIO","SEKALAINEN","CREAMisc","CREA","Creature sounds not fitting another category in this list.","sekalaiset"],
["OLIO","HIRVIÖ","CREAMnstr","CREA","Godzilla, scary monsters, horror monsters. See also CREATURES-HUMANOID.","godzilla, king kong, rancor, behemoth, xenomorph, chupacabra"],
["OLIO","MATELIJA","CREARept","CREA","Giant lizards and snakes, large giant hissing monsters.","käärme, käärme, jättiläislisko, jättiläiskäärme, jättiläiskäärme."],
["OLIO","PIENI","CREASmall","CREA","Specifically small mythical creatures. Fairies, pixies, small rodent like creatures, etc. Distinguished by small size.","keiju, keiju, peikko, peikko, peikko, peikko, pikkuinen"],
["OLIO","SOURCE","CREASrce","CREA","Source recordings meant for creature design, like prop recordings, human voice packs for design, etc.","haukkua, haukkua, henkäistä, huutaa, haukkua, räksyttää, naksahtaa, huutaa, ponnistella, murista, ulvoa, murista, räkäistä, kurkkuääni, vaikerrella, huokaista, suu, karjua, huutaa, kiljua, vinkua, vinkua."],
["IHMISJOUKOT","VIHAINEN","CRWDAngr","CRWD","Crowds of upset or angry people, as in a riot, protest, a schoolyard fight. See also AMBIENCE-PROTEST.","huligaani, mellakka, mielenosoitus, huuto, riehakas"],
["IHMISJOUKOT","APLODIT","CRWDApls","CRWD","Crowds where the applause is predominantly featured. Use CROWDS-CHEERING for recordings that are mainly vocals.","aplodit, hurraa, taputus, encore"],
["IHMISJOUKOT","TAISTELU","CRWDBatl","CRWD","Crowds in battle, fighting, yelling screaming, dying. If including gunfire, explosions. use AMBIENCE-WARFARE.","taisteluhuudot, huuto, hyökkäys, ralli, armeija, taistelu, tappelu, sota, huuto, kuolema"],
["IHMISJOUKOT","JUHLA","CRWDCele","CRWD","Crowds celebrating holidays, parties, rowdy crowds. If not clean, use AMBIENCE-CELEBRATION.","juhliminen, loma, juhlat, riehakkaat, syntymäpäivä, uusi vuosi, joulu, paraati, paraati"],
["IHMISJOUKOT","HURRAUS","CRWDCheer","CRWD","Could include applause, but cheering crowds where the crowd vocals are predominant. Overlap with CROWDS-CELEBRATION.","hurraa-huuto, konsertti, stadion, yleisö, huuto, huusi, laulaa, laulaa"],
["IHMISJOUKOT","LAPSET","CRWDChld","CRWD","Relatively clean vocals of children together, playing in a playground, in a school classroom, recess, school hallway. See also AMBIENCE-SCHOOL.","leikkikenttä, välitunti, lapset leikkivät, puisto, leikki, leikkiä, hippaa"],
["IHMISJOUKOT","KESKUSTELU","CRWDConv","CRWD","A small enough group chat that you can discern words, smaller and less active than a walla. A chatter.","chatter, chat, puhua, harva walla, keskustella, keskustelu, keskustelu"],
["IHMISJOUKOT","NAURU","CRWDLaff","CRWD","Crowds laughing, a comedy show, canned television laughter, groups of kids laughing, at a party for example.","tv-ohjelma, purkitettu nauru, komediaklubi, naururaja, laugh track"],
["IHMISJOUKOT","WALLARYHMÄ","CRWDLoop","CRWD","For loop group type walla, usually performed for or to picture, specific environments, specific callouts. See also ARCHIVED-LOOP GROUP for official loop group recordings.","silmukkaryhmä, adr, purkitettu"],
["IHMISJOUKOT","SEKALAINEN","CRWDMisc","CRWD","Crowd sounds not fitting another category in this list. See also MOVEMENT-CROWD.","sekalainen"],
["IHMISJOUKOT","PANIIKKI","CRWDPanic","CRWD","Distressed crowds, mixed screams and crying and reactions… crowds in a natural disaster or crowds in a giant monster attack...","paniikki, kaaos, huuto, huuto, huuto, itku, hätä"],
["IHMISJOUKOT","HILJAINEN","CRWDQuiet","CRWD","Very quiet crowds, mostly mumbling or murmuring. Like crowds whispering in church or a courtroom scene. See also VOICES-WHISPER for single person recordings.","murina, kuiskuttelu, hyssyttely, mumiseva, mutina"],
["IHMISJOUKOT","REAKTIO","CRWDReac","CRWD","Big Ooos, and Aaahs and Booos, big group responses to events happening. Shocked reactions.","boo, ahh, ooh, studion reaktio"],
["IHMISJOUKOT","LAULU","CRWDSing","CRWD","Singing during sporting events, New Year's Eve crowds singing Auld Lang Syne, Christmas carols. Not large choral music, which would go in MUSICAL category.","chant, kuoro, kuorolaulu, laululaulu"],
["IHMISJOUKOT","URHEILU","CRWDSprt","CRWD","Clean crowds at sporting events, Baseball, football. For mixed ambience used AMBIENCE-SPORT. A sports chant.","aplodit, taputus, buu, hurraa, stadion, jee, yleisö, olympialaiset, huuto, woohoo"],
["IHMISJOUKOT","WALLA","CRWDWalla","CRWD","Specifically very clean crowd walla, with non-discernible words. See also various AMBIENCE categories.","äänet, puhe, walla, keskustelu"],
["DESIGN","BASS DIVE","DSGNBass","DSGN","Deep descending bass notes. Bass Drops.","bassosukellus, downer, bassopudotus, putoaminen, putoaminen"],
["DESIGN","JYMÄHDYS","DSGNBoom","DSGN","Deep short and tight, low end stingers, big trailer deep hits. LFE type low end sweeteners.","boom, deep hit, low sting, traileri"],
["DESIGN","TORVI","DSGNBram","DSGN","Long deep horn like sounds. Like a War of the World's type long sound, or like a long french horn braam type sound.","bramm"],
["DESIGN","YLIOHJAUTUNUT","DSGNDist","DSGN","Particulary distored designed sounds and distortion elements.","distortion, squared off, vääristynyt, vääristynyt"],
["DESIGN","DRONE","DSGNDron","DSGN","Designed drones, eerie tense drones, long stylized sounds with not much activity or movement.","pad, drone, tekstuuri, pahaenteinen, jännitys"],
["DESIGN","AAVEMAINEN","DSGNErie","DSGN","Often designed, but tense strange undefined sounds that are eerie, tense, suspenseful. Some overlap with DESIGNED-DRONE possible.","aavemainen, jännittynyt, outo, karmiva, pelottava, hyytävä, ahdistava, kummitus, friikki, pelottava, "],
["DESIGN","ETEERINEN","DSGNEthr","DSGN","Ethereal wispy designed sounds. Ghostlike whispers, or heavenly tones. Otherworldly. See also DESIGNED-EERIE.","eteerinen, taivaallinen"],
["DESIGN","GRANULAARINEN","DSGNGran","DSGN","Granular synthesis, sounds that have a gritty textural type sound, think PaulStretch, sounds broken down into tiny slices and recompiled.","rakeinen, paulstretch, jyvät, viipaleet"],
["DESIGN","ISKU","DSGNImpt","DSGN","Designed huge impacts, collisions, stylized big hits. Possible overlap with DESIGNED-STINGER.","impact, hit, slam, smash, törmäys, törmäys"],
["DESIGN","SEKALAINEN","DSGNMisc","DSGN","Designed sounds not fitting another category in this list.","sekalainen"],
["DESIGN","MORFATTU","DSGNMorph","DSGN","A stylized blending of elements, something transitioning into another thing.","morph, blend, transition"],
["DESIGN","NOUSEVA","DSGNRise","DSGN","Tension risers, things rising in tone, something similar to a rising string line to create tension.","reverse, crescendo, rizer, riser, tension"],
["DESIGN","JYRINÄ","DSGNRmbl","DSGN","Designed rumbles for layering into a mix. Earthquake rumbles. Composite rumble.","subharmoninen, rumble, shake, earthquake (maanjäristys)"],
["DESIGN","RYTMINEN","DSGNRythm","DSGN","Stattaco or glitchy machine type loops, things with definied starts, stops, rhythmic stutters.","stutter, glitch, pulssi, stattaco."],
["DESIGN","RAAKAMATERIAALI","DSGNSrce","DSGN","For recordings meant to be used as source for other designed sounds, experimental recordings, elements, etc.","lähde, raaka, materiaali, raakatallennus"],
["DESIGN","STINGER","DSGNStngr","DSGN","Stings, stylized screen sweeteners. Big trailer type sounds. Big shock scare type sounds. Stylized stings, hits and impacts. Overlap with DESIGNED-IMPACT.","pisto, säikähdys, traileri, elokuvamainen"],
["DESIGN","SYNTEETTINEN","DSGNSynth","DSGN","Very synthesized sounds, very electronic synth stuff. Raw work files of synth-play.","syntetisoitu, syntetisaattori, mod-syntetisaattori, modulaarinen syntetisaattori, rakeinen, analoginen syntetisaattori, modulaarinen syntetisaattori"],
["DESIGN","TONAALINEN","DSGNTonl","DSGN","Designed sounds with a particularly tonal nature. The ringing in your ear of tinnitus for example.","tinnitus, soittoääni, simpukkasokki, subjektiivinen"],
["DESIGN","IHMISÄÄNI","DSGNVocl","DSGN","Design specifically around vocals, ghostly whispers, enchanted spells, reversed talking etc. Not for Creatures.","lumous, loitsu, prosessoitu, laulu, kuiskaus, aavemainen"],
["DESIGN","SUHAUS","DSGNWhsh","DSGN","Stylized designed big whooshes, definite possible overlap confusion with SHOOSHES-WHOOSH, but this for less natural and more stylized versions.","whoosh, trailer swish, swish"],
["TUHO","ROMAHDUS","DESTRClpse","DESTR","Buildings and large mixed complex collapses, a barn collapse, Godzilla pushing over a building.","romahtaa, kaatuu, putoaa, implodoituu"],
["TUHO","MURSKAUS","DESTRCrsh","DESTR","Mixed crashes, complex crashes involving more than one material. So a combo huge glass and metal crash. See also individual material categories like METAL, WOOD etc.","crash, rupture, implode, smash, break, shatteri"],
["TUHO","SEKALAINEN","DESTRMisc","DESTR","Destruction sounds not fitting another category in this list.","sekalainen"],
["MAAPERÄ","IRTOMAA","DIRTCrsh","DIRT","Dirt or sand settling, as in after an explosion, big sprays of dirt and sand. DUST has its own subcategory.","roskat, hiekka, lika, valua, roiskua, ropisevaa, murentua"],
["MAAPERÄ","PÖLY","DIRTDust","DIRT","Settling dust, dust clouds, much lighter sound than DIRT & SAND-DEBRIS","hieno, hiukkanen, sedimentti, siltti, pöly"],
["MAAPERÄ","KÄSITTELY","DIRTHndl","DIRT","Handling dirt & sand, hands digging through dirt, children making a sand castle. Some overlap with DIRT & SAND-MOVEMENT.","käsitellä, tarttua, kaivaa, tarttua"],
["MAAPERÄ","ISKU","DIRTImpt","DIRT","Big hits and impacts of dirt of sand, dirt clods. Think the huge dirt ball impacts in WHERE THE WILD THINGS ARE.","dumpata, pamauttaa, purkaa, pudottaa"],
["MAAPERÄ","SEKALAINEN","DIRTMisc","DIRT","Dirt, Sand and Earth sounds not fitting another category in this list.","miscellaneous"],
["MAAPERÄ","LIIKE","DIRTMvmt","DIRT","Pouring, flowing of dirt or sand, a big sand pour. See also DIRT & SAND-HANDLE.","pour, unload, flow, spill"],
["MAAPERÄ","TONAALINEN","DIRTTonl","DIRT","Singing sand dunes. Probably pretty rare.","hiekkadyynit, laulavat hiekat"],
["OVI","ANTIIKKI","DOORAntq","DOOR","Very old sounding doors, as in an old castle or abbey. But massive doors of this type probably to DOOR-DUNGEON.","linna, abby, kirkko, vanha, muinainen, antiikki, antiikkinen"],
["OVI","KODINKONE","DOORAppl","DOOR","Appliance doors such as oven, dishwasher, refrigerator or microwave.","uuni, mikroaaltouuni, jääkaappi, astianpesukone, pyykinpesukone, kuivausrumpu"],
