[["AIR","BLOW","AIRBlow","AIR","Steady air blows, like from a compressed can of air.","compressed air, depressurise, release, puff, sputter, flutter, purge"],
["CARTOON","CLANG","TOONClang","TOON","Cartoon clangs, like a funny anvil hit. Most likely a very metallic resonant hit.","clang, metallic"],
["CARTOON","CREAK","TOONCreak","TOON","Cartoon creaks, some overlap or confusion with CARTOON-STRETCH possible.","rubber, wood"],
["CARTOON","HORN","TOONHorn","TOON","Cartoon horns, as in bulb horns, clown horns.","bulb horn, honk, clown horn"],
["CARTOON","IMPACT","TOONImpt","TOON","Cartoon hits, bonk, boink, doink..","bonk, boink, doink"],
["CARTOON","MACHINE","TOONMach","TOON","Cartoon machines, an overly comical sounding machine or contraption. A Rube Goldberg contraption.","contraption, comical machine, rube goldberg machine"],
["CARTOON","MISC","TOONMisc","TOON","Cartoon sounds not fitting another category in this list.","toon, squanch, blorb, flump"],
["CARTOON","MUSICAL","TOONMx","TOON","Cartoon musical phrases. String plucks for a cartoon character sneaking up on another. Perhaps a cartoon musical phrase.","gliss, ascend, descend,"],
["CARTOON","PLUCK","TOONPluk","TOON","Cartoon string plucks, violin plucks, dental floss plucks.","string pluck"],
["CARTOON","POP","TOONPop","TOON","Cartoon funny pops, mouth pops, suction cup pops.","pop gun, mouth pop, suction cup, bubble pops"],
["CARTOON","SHAKE","TOONShake","TOON","Cartoon shake, like a noisemaker toy, maraca.","rattle"],
["CARTOON","SPLAT","TOONSplt","TOON","Cartoon splats, funny liquid and mud like splats and things.","splat, splort, squish"],
["CARTOON","SQUEAK","TOONSqk","TOON","Cartoon squeaks. funny little sounding squeaks of things.","squeak"],
["CARTOON","STRETCH","TOONStrch","TOON","Cartoon stretches, funny rubber or other type stretching sounds, exaggerated.","strain"],
["CARTOON","SWISH","TOONSwsh","TOON","Cartoon swishes, specifically very funny cartoony swishes.","twirl, swirl"],
["CARTOON","TWANG","TOONTwang","TOON","Cartoon twangs, that classic ruler twang type sound.","ruler, mouth harp"],
["CARTOON","VEHICLE","TOONVeh","TOON","Cartoon vehicles, think Jetsons spaceship or Flintstones cars.","jetsons, contraption. Flintstones car, backfire"],
["CARTOON","VOCAL","TOONVox","TOON","Cartoon vocals, specifically very silly. See also CARTOON-ANIMALS for non-human vocals.","mumble, silly voice, cartoon voice"],
["CARTOON","WARBLE","TOONWarb","TOON","Cartoon warble.","wobble"],
["CARTOON","WHISTLE","TOONWhis","TOON","Cartoon whistles, most likely slide whistles, other very silly whistles. A Wolf-Whistle.","slide whistle"],
["CARTOON","ZIP","TOONZip","TOON","Cartoon zips. Very fast 'zip' type sounds, often for fast movement aways.","zip, rico, siren, whistle"],
["CERAMICS","BREAK","CERMBrk","CERM","Ceramics break of a more singular nature, a plate shatter, breaking, cracking, crunching. Mostly for single items breaking. See also CERAMICS-CRASH & DEBRIS.","break, crack, shatter, crunch"],
["CERAMICS","CRASH & DEBRIS","CERMCrsh","CERM","Ceramics destruction of more of a group nature, multiple crashes and debris. See also CERAMICS-BREAK.","fall, debris, shards"],
["CERAMICS","FRICTION","CERMFric","CERM","Ceramics friction, scraping, squeaking, screeching.","stress, scrape, creak, squeak, screech"],
["CERAMICS","HANDLE","CERMHndl","CERM","Ceramics handling, picking up a coffee mug, handling a plant pot. Some overlap with CERAMICS-MOVEMENT.","handle, grab, set, pickup, set down, toss, catch"],
["CERAMICS","IMPACT","CERMImpt","CERM","Ceramics impacts without breaking, so hits drops, clunks and clinks. See also CERAMICS-BREAK.","hit, drop, impact, crash, clunk, clink"],
["CERAMICS","MISC","CERMMisc","CERM","Ceramics sounds not fitting another category in this list.","miscellaneous"],
["CERAMICS","MOVEMENT","CERMMvmt","CERM","Ceramics single or group movement, so dragging, shaking and rattling. See also CERAMICS-HANDLE.","drag, roll, rattle, shake"],
["CERAMICS","TONAL","CERMTonl","CERM","Ceramics ringing, as in being bowed.","bowed, ring, shing, ping"],
["CHAINS","BREAK","CHAINBrk","CHAIN","Chain snapping or breaking, that sharp sound of a chain failing.","snap, break, bend"],
["CHAINS","HANDLE","CHAINHndl","CHAIN","Chain handling, repairing a bike chain, a prisoner moving around in chains. Some overlap with CHAINS-MOVEMENT.","handle, grab, set, pickup, set down, toss, catch"],
["CHAINS","IMPACT","CHAINImpt","CHAIN","Chain impacts, such a big chain hit or slam, or a tension snap of a chain being pulled taut.","drop, hit, impact, slam, tension snaps"],
["CHAINS","MISC","CHAINMisc","CHAIN","Chain sounds not fitting another category in this list.","miscellaneous"],
["CHAINS","MOVEMENT","CHAINMvmt","CHAIN","Chain handling, particularly being pulled through pulleys or across surfaces. See also CHAINS-HANDLE.","drag, handcuffs, prison chain, dog chain"],
["CHEMICALS","ACID","CHEMAcid","CHEM","Chemical acid burning and sizzling, bubbling. A vat of acid.","sizzle, melt, fizz"],
["CHEMICALS","MISC","CHEMMisc","CHEM","Chemical sounds not fitting another category in this list.","miscellaneous"],
["CHEMICALS","REACTION","CHEMReac","CHEM","Chemical reactions, chemistry set, bubbling, foaming, bunsen burner reactions. Overlap perhaps with LIQUID & MUD category.","bubbling, foaming, reaction"],
["CLOCKS","CHIME","CLOCKChim","CLOCK","Chimes, bells specifically for a clock, Grandfather clock chimes. Alarm clocks would go to ALARMS-CLOCK.","chime, bell, grandfather clock"],
["CLOCKS","MECHANICS","CLOCKMech","CLOCK","Clocks winding, complex mechanical clock mechanisms.","winding, clock gears, cuckoo clock"],
["CLOCKS","MISC","CLOCKMisc","CLOCK","Clock sounds not fitting another category in this list. Also see ALARMS-CLOCK","miscellaneous"],
["CLOCKS","TICK","CLOCKTick","CLOCK","Analog ticking clocks and watches of all sizes, also mechanical stop watches.","tick, click, quartz, tick tock, stop watch, egg timer"],
["CLOTH","FLAP","CLOTHFlp","CLOTH","Cloth flapping, as in a flag flapping, or superman's cape. Also ship sails and parachutes.","flap, flag, rustle, parachute, cape, sailcloth, sail, sheet"],
["CLOTH","HANDLE","CLOTHHndl","CLOTH","Cloth handling, grabbing a jacket, clothy arm grabs, etc. Some overlap with CLOTH-MOVEMENT. See also possibly OBJECTS-FASHION.","handle, grab, set, pickup, set down, toss, catch"],
["CLOTH","IMPACT","CLOTHImpt","CLOTH","Cloth impacts, throwing a jacket forcefully to the floor, a wet towel snap. Some overlap with CLOTH-MOVEMENT possible.","hit, drop, impact, smack"],
["CLOTH","MISC","CLOTHMisc","CLOTH","Cloth sounds not fitting another category in this list.","miscellaneous"],
["CLOTH","MOVEMENT","CLOTHMvmt","CLOTH","Varied cloth movement except flapping which has its own category. Variety of cloth movement. Cloth zuzz. See also CLOTH-FLAP.","zuzz, swish, rustle, ruffle, scrunch, mvmt"],
["CLOTH","RIP","CLOTHRip","CLOTH","Various cloth rips and tears, short to long. Velcro would best fit here too.","rip, tear, velcro"],
["COMMUNICATIONS","AUDIO VISUAL","COMAv","COM","Various AV devices such a projector or tape recorder, video cameras here too. Some overlap or confusion with COMMUNICATIONS-CAMERA.","motion picture camera, spooling, film camera, projector, tape recorder, nagra, walkman, CD player, reel to reel, vcr, laserdisc player, betamax, slide projector, beamer, ipod, bolex, 8mm, 16mm"],
["COMMUNICATIONS","CAMERA","COMCam","COM","Still camera shutters, automatic winding, old flash-bulbs. Movie and video cameras to COMMUNICATIONS-AV.","camera shutter, winding, flash bulb, kodak, nikon, canon, olympus, kodak, fuji, fujifilm, mamiya, hasselblad, leica, 35mm, 120mm"],
["COMMUNICATIONS","CELLPHONE","COMCell","COM","Cellphones and Smartphones., clicks and rings, tones.","mobile phone, smartphone, iphone, blackberry, flip phone, android"],
["COMMUNICATIONS","MICROPHONE","COMMic","COM","Feedback and mic bumps and handling. Megaphones would go here too.","mic handling, mic tap, larsen, megaphone"],
["COMMUNICATIONS","MISC","COMMisc","COM","Communication sounds not fitting another category in this list.","miscellaneous"],
["COMMUNICATIONS","PHONOGRAPH","COMPhono","COM","Turntable, Victrola, motors and mechanics. STATIC has its own subcategory here.","turntable, victrola, phonograph, stylus, vinyl record"],
["COMMUNICATIONS","RADIO","COMRadio","COM","Tuning, radio and shortwave sounds. STATIC has its own subcategory here. A radio broadcast would go here too. Overlap with VOICES-FUTZED.","tuning, radio, shortwave, squelch, futz, radio broadcast"],
["COMMUNICATIONS","STATIC","COMStatic","COM","Static from any electronic source, radio, CB, television, optical noise, phonograph noise.","static, fuzz, scramble"],
["COMMUNICATIONS","TELEMETRY","COMTelm","COM","Fax machine tones, modem tones, telegraph, teletype. UI is it's own category","morse code, telegraph, telemetry, readout, sos"],
["COMMUNICATIONS","TELEPHONE","COMTelph","COM","Old school rotary dial and digital telephones. Technically any telephone that isn't a mobile or cell phone.","dial, payphone, rotary dial, key pad, landline, cord phone"],
["COMMUNICATIONS","TELEVISION","COMTv","COM","Television programs, on and off, channel changes, TV Remote controls. STATIC has its own subcategory here. A television broadcast would go here too. Overlap with VOICES-FUTZED.","tv, remote, dial, show, program, futz, TV show, broadcast"],
["COMMUNICATIONS","TRANSCEIVER","COMTran","COM","Walkie Talkies, CBs, Ham Radios, all two-way transceivers and radios go here. Put voices into VOICES-FUTZED.","walkie talkies, cb, ham radios, transceiver, squelch, intercom, dispatch"],
["COMMUNICATIONS","TYPEWRITER","COMType","COM","Old school typewriters, not modern computer keyboards.","typewriter, teleprinter, carriage return, platen knob"],
["COMPUTERS","HARD DRIVE","CMPTDriv","CMPT","Laptop or other hard drive seeking sounds, data reading.","skip, search, grind, hard disc, hard disk"],
["COMPUTERS","KEYBOARD & MOUSE","CMPTKey","CMPT","Typing on computer keyboard, and mouse movement.","keyboard, mouse, mice, trackpad"],
["COMPUTERS","MISC","CMPTMisc","CMPT","Computer sounds not fitting another category in this list. Printers would go to MACHINES-OFFICE.","palm pilot, pocket pc"],
["CREATURES","AQUATIC","CREAAqua","CREA","Giant mutant squids or sea monsters, kraken, leviathans.","kraken, mermaid, giant squid"],
["CREATURES","AVIAN","CREAAvian","CREA","Alien or Fantasy birds, or weird birdlike creatures. A giant mutant parakeet would go here.","alien birds, extraterrestrial birds, fantasy birds"],
["CREATURES","BEAST","CREABeast","CREA","Big four legged creatures and beasts. Wooly Mammoth, a mutant elephant, Mumakil.","wooly mammoth, mumakil, "],
["CREATURES","BLOB","CREABlob","CREA","Gelatinous and gooey type creatures, gelatinous cube.","blob, gloop, goop"],
["CREATURES","DINOSAUR","CREADino","CREA","Dinosaurs of all types, Jurassic Park.","brontosaurus, velociraptor, triceratops, stegosaurus, tyrannosaurus, allosaurus, spinosaurus, brachiosaurus, archaeopteryx, pterosaurs, pterodactyl"],
["CREATURES","DRAGON","CREADrgn","CREA","Game of Thrones, Lord of the Rings, dragons of all types. See also CREATURES-REPTILIAN.","dragon, drake, wyvern"],
["CREATURES","ELEMENTAL","CREAElem","CREA","Creatures based on elements, rock giants, fire creatures, ice monsters, such a the Balrog, or a Rock Giant.","rock monster, fire monster, ice monster, rock giant, ice giant, golem"],
["CREATURES","ETHEREAL","CREAEthr","CREA","Ghosts, spirits, ethereal vocals and wispy movement, apparitions.","ghosts, spirits, ethereal, wispy, spectre, soul, apparition, spectral, poltergeist, phantom, wraith"],
["CREATURES","HUMANOID","CREAHmn","CREA","Human sized mythical creatures, so zombies and vampires, elves etc. Troll, Ogres, Orcs. Two legged creatures.","zombie, undead, living dead, ghoul, vampire, elf, orcs, ogre, troll, tengu, leprechaun, bigfoot, swamp thing, werewolf, frankenstein, mummy"],
["CREATURES","INSECTOID","CREAInsc","CREA","Giant spiders or other insect like creatures. The creature from The Fly. A giant Tarantula.","giant ant, giant spider"],
["CREATURES","MISC","CREAMisc","CREA","Creature sounds not fitting another category in this list.","miscellaneous"],
["CREATURES","MONSTER","CREAMnstr","CREA","Godzilla, scary monsters, horror monsters. See also CREATURES-HUMANOID.","godzilla, king kong, rancor, behemoth, xenomorph, chupacabra"],
["CREATURES","REPTILIAN","CREARept","CREA","Giant lizards and snakes, large giant hissing monsters.","serpent, serpentine, giant lizard, giant snake"],
["CREATURES","SMALL","CREASmall","CREA","Specifically small mythical creatures. Fairies, pixies, small rodent like creatures, etc. Distinguished by small size.","fairy, pixie, gremlin, imp, fraggle"],
["CREATURES","SOURCE","CREASrce","CREA","Source recordings meant for creature design, like prop recordings, human voice packs for design, etc.","bark, breath, call, caw, squawk, chitter, click, cry, effort, grunt, hiss, howl, growl, snarl, guttural, moan, groan, mouth, roar, scream, screech, squeal, whine"],
["CROWDS","ANGRY","CRWDAngr","CRWD","Crowds of upset or angry people, as in a riot, protest, a schoolyard fight. See also AMBIENCE-PROTEST.","hooligan, riot, protest, shout, rowdy"],
["CROWDS","APPLAUSE","CRWDApls","CRWD","Crowds where the applause is predominantly featured. Use CROWDS-CHEERING for recordings that are mainly vocals.","applause, cheer, clapping, encore"],
["CROWDS","BATTLE","CRWDBatl","CRWD","Crowds in battle, fighting, yelling screaming, dying. If including gunfire, explosions. use AMBIENCE-WARFARE.","battle cries, shout, charge, rally, army, battle, scuffle, war, screaming, dying"],
["CROWDS","CELEBRATION","CRWDCele","CRWD","Crowds celebrating holidays, parties, rowdy crowds. If not clean, use AMBIENCE-CELEBRATION.","celebrating, holiday, party, rowdy, birthday, new years, christmas, parade"],
["CROWDS","CHEERING","CRWDCheer","CRWD","Could include applause, but cheering crowds where the crowd vocals are predominant. Overlap with CROWDS-CELEBRATION.","cheering, concert, stadium, audience, whooping, swells, chants"],
["CROWDS","CHILDREN","CRWDChld","CRWD","Relatively clean vocals of children together, playing in a playground, in a school classroom, recess, school hallway. See also AMBIENCE-SCHOOL.","playground, recess, kids playing, park, play, tag"],
["CROWDS","CONVERSATION","CRWDConv","CRWD","A small enough group chat that you can discern words, smaller and less active than a walla. A chatter.","chatter, chat, talk, sparse walla, converse, conversation"],
["CROWDS","LAUGHTER","CRWDLaff","CRWD","Crowds laughing, a comedy show, canned television laughter, groups of kids laughing, at a party for example.","tv show, canned laughter, comedy club, laugh track"],
["CROWDS","LOOP GROUP","CRWDLoop","CRWD","For loop group type walla, usually performed for or to picture, specific environments, specific callouts. See also ARCHIVED-LOOP GROUP for official loop group recordings.","loop group, adr, canned"],
["CROWDS","MISC","CRWDMisc","CRWD","Crowd sounds not fitting another category in this list. See also MOVEMENT-CROWD.","miscellaneous"],
["CROWDS","PANIC","CRWDPanic","CRWD","Distressed crowds, mixed screams and crying and reactions… crowds in a natural disaster or crowds in a giant monster attack...","panic, chaos, shout, scream, cry, distress"],
["CROWDS","QUIET","CRWDQuiet","CRWD","Very quiet crowds, mostly mumbling or murmuring. Like crowds whispering in church or a courtroom scene. See also VOICES-WHISPER for single person recordings.","murmur, whispering, hushing, mumbling"],
["CROWDS","REACTION","CRWDReac","CRWD","Big Ooos, and Aaahs and Booos, big group responses to events happening. Shocked reactions.","boo, ahh, ooh, studio reaction"],
["CROWDS","SINGING","CRWDSing","CRWD","Singing during sporting events, New Year's Eve crowds singing Auld Lang Syne, Christmas carols. Not large choral music, which would go in MUSICAL category.","chant, choir, chorale, carol"],
["CROWDS","SPORT","CRWDSprt","CRWD","Clean crowds at sporting events, Baseball, football. For mixed ambience used AMBIENCE-SPORT. A sports chant.","applause, clapping, boo, cheer, stadium, yay, audience, olympics, shouting, woohoo"],
["CROWDS","WALLA","CRWDWalla","CRWD","Specifically very clean crowd walla, with non-discernible words. See also various AMBIENCE categories.","voices, talk, walla, conversation"],
["DESIGNED","BASS DIVE","DSGNBass","DSGN","Deep descending bass notes. Bass Drops.","bass dive, downer, bass drop, fall"],
["DESIGNED","BOOM","DSGNBoom","DSGN","Deep short and tight, low end stingers, big trailer deep hits. LFE type low end sweeteners.","boom, deep hit, low sting, trailer"],
["DESIGNED","BRAAM","DSGNBram","DSGN","Long deep horn like sounds. Like a War of the World's type long sound, or like a long french horn braam type sound.","bramm"],
["DESIGNED","DISTORTION","DSGNDist","DSGN","Particulary distored designed sounds and distortion elements.","distortion, squared off, distorted"],
["DESIGNED","DRONE","DSGNDron","DSGN","Designed drones, eerie tense drones, long stylized sounds with not much activity or movement.","pad, drone, texture, ominous, tension"],
["DESIGNED","EERIE","DSGNErie","DSGN","Often designed, but tense strange undefined sounds that are eerie, tense, suspenseful. Some overlap with DESIGNED-DRONE possible.","spooky, tense, strange, creepy, scary, chilling, haunting, freaky, frightful, "],
["DESIGNED","ETHEREAL","DSGNEthr","DSGN","Ethereal wispy designed sounds. Ghostlike whispers, or heavenly tones. Otherworldly. See also DESIGNED-EERIE.","ethereal, celestial"],
["DESIGNED","GRANULAR","DSGNGran","DSGN","Granular synthesis, sounds that have a gritty textural type sound, think PaulStretch, sounds broken down into tiny slices and recompiled.","granular, paulstretch, grains, slices"],
["DESIGNED","IMPACT","DSGNImpt","DSGN","Designed huge impacts, collisions, stylized big hits. Possible overlap with DESIGNED-STINGER.","impact, hit, slam, smash, collision"],
["DESIGNED","MISC","DSGNMisc","DSGN","Designed sounds not fitting another category in this list.","miscellaneous"],
["DESIGNED","MORPH","DSGNMorph","DSGN","A stylized blending of elements, something transitioning into another thing.","morph, blend, transition"],
["DESIGNED","RISER","DSGNRise","DSGN","Tension risers, things rising in tone, something similar to a rising string line to create tension.","reverse, crescendo, rizer, riser, tension"],
["DESIGNED","RUMBLE","DSGNRmbl","DSGN","Designed rumbles for layering into a mix. Earthquake rumbles. Composite rumble.","subharmonic, rumble, shake, earthquake"],
["DESIGNED","RHYTHMIC","DSGNRythm","DSGN","Stattaco or glitchy machine type loops, things with definied starts, stops, rhythmic stutters.","stutter, glitch, pulse, stattaco"],
["DESIGNED","SOURCE","DSGNSrce","DSGN","For recordings meant to be used as source for other designed sounds, experimental recordings, elements, etc.","source, raw, material, raw recording"],
["DESIGNED","STINGER","DSGNStngr","DSGN","Stings, stylized screen sweeteners. Big trailer type sounds. Big shock scare type sounds. Stylized stings, hits and impacts. Overlap with DESIGNED-IMPACT.","sting, startle, trailer, cinematic"],
["DESIGNED","SYNTHETIC","DSGNSynth","DSGN","Very synthesized sounds, very electronic synth stuff. Raw work files of synth-play.","synthesized, synth, mod synth, modular synth, granular, analog synth, modular synth"],
["DESIGNED","TONAL","DSGNTonl","DSGN","Designed sounds with a particularly tonal nature. The ringing in your ear of tinnitus for example.","tinnitus, ringing, shell shock, subjective"],
["DESIGNED","VOCAL","DSGNVocl","DSGN","Design specifically around vocals, ghostly whispers, enchanted spells, reversed talking etc. Not for Creatures.","enchantment, spell, processed, vocal, whisper, ghostly"],
["DESIGNED","WHOOSH","DSGNWhsh","DSGN","Stylized designed big whooshes, definite possible overlap confusion with SHOOSHES-WHOOSH, but this for less natural and more stylized versions.","whoosh, trailer swish, swish"],
["DESTRUCTION","COLLAPSE","DESTRClpse","DESTR","Buildings and large mixed complex collapses, a barn collapse, Godzilla pushing over a building.","collapse, topple, fell, implode"],
["DESTRUCTION","CRASH & DEBRIS","DESTRCrsh","DESTR","Mixed crashes, complex crashes involving more than one material. So a combo huge glass and metal crash. See also individual material categories like METAL, WOOD etc.","crash, rupture, implode, smash, break, shatter"],
["DESTRUCTION","MISC","DESTRMisc","DESTR","Destruction sounds not fitting another category in this list.","miscellaneous"],
["DIRT & SAND","CRASH & DEBRIS","DIRTCrsh","DIRT","Dirt or sand settling, as in after an explosion, big sprays of dirt and sand. DUST has its own subcategory.","debris, sand, dirt, trickle, spray, crumble"],
["DIRT & SAND","DUST","DIRTDust","DIRT","Settling dust, dust clouds, much lighter sound than DIRT & SAND-DEBRIS","fine, particle, sediment, silt, dust"],
["DIRT & SAND","HANDLE","DIRTHndl","DIRT","Handling dirt & sand, hands digging through dirt, children making a sand castle. Some overlap with DIRT & SAND-MOVEMENT.","handle, grab, dig, catch"],
["DIRT & SAND","IMPACT","DIRTImpt","DIRT","Big hits and impacts of dirt of sand, dirt clods. Think the huge dirt ball impacts in WHERE THE WILD THINGS ARE.","dump, thud, unload, drop"],
["DIRT & SAND","MISC","DIRTMisc","DIRT","Dirt, Sand and Earth sounds not fitting another category in this list.","miscellaneous"],
["DIRT & SAND","MOVEMENT","DIRTMvmt","DIRT","Pouring, flowing of dirt or sand, a big sand pour. See also DIRT & SAND-HANDLE.","pour, unload, flow, spill"],
["DIRT & SAND","TONAL","DIRTTonl","DIRT","Singing sand dunes. Probably pretty rare.","sand dunes, singing sands"],
["DOORS","ANTIQUE","DOORAntq","DOOR","Very old sounding doors, as in an old castle or abbey. But massive doors of this type probably to DOOR-DUNGEON.","castle, abby, church, old, ancient, antique"],
["DOORS","APPLIANCE","DOORAppl","DOOR","Appliance doors such as oven, dishwasher, refrigerator or microwave.","oven, microwave, refrigerator, dishwasher, laundry machine, dryer"],
["DOORS","CABINET","DOORCab","DOOR","Cabinet doors, such as kitchen cabinet, tool cabinets.","cabinet, kitchen cabinet, tool cabinet"],
["DOORS","COMPOSITE","DOORComp","DOOR","Fiberglass, wood steel combination, doors that don't sound like a specific material. A modern front door. Some confusion or overlap with DOORS-WOOD likely.","fiberglass, door"],
["DOORS","CREAK","DOORCreak","DOOR","Door creaks, wood or metal, overlap with WOOD-FRICTION and METAL-FRICTION, but specifically door creaks.","creak, door, dungeon, cellar, castle, wood door, metal door, door creak"],
["DOORS","DUNGEON","DOORDungn","DOOR","That big old classic wood and/or metal heavy dungeon, castle type door.","castle, dungeon, large, cellar"],
["DOORS","ELECTRIC","DOORElec","DOOR","Electric doors of all kinds, garage doors, big soundstage doors, sliding store doors. See also DOORS-REVOLVING.","electric door, garage door, soundstage door, automatic door"],
["DOORS","GATE","DOORGate","DOOR","Non-motorized gates, metal or wood. So a garden gate, a park gate. A farm gate.","garden gate, fence gate, park gate, rail crossing, cattle gate, farm gate"],
["DOORS","GLASS","DOORGlas","DOOR","Glass doors, manual shopping store doors, glass home front doors. Most store doors would probably fit here.","glass door, store door, bay door, french door"],
["DOORS","HARDWARE","DOORHdwr","DOOR","Door knobs, door locks, deadbolts, chain locks, push bars. Lock Picking, Doorknob Jiggles.","doorknob, deadbolt, push bar, chain lock, hinge, latch, handle, hardware, lock picking, jiggle"],
["DOORS","HITECH","DOORTech","DOOR","James bond type doors, something not quite sci-fi but more advanced, Modern lab, or air sealed chamber, vaults. See also SCIFI-DOOR.","lab door"],
["DOORS","HYDRAULIC & PNEUMATIC","DOORHydr","DOOR","Self closing doors, lots of office and store doors are of this type. Also automatic doors if hydraulic or pneumatic.","door closer, pneumatic, hydraulic, powered hatch"],
["DOORS","KNOCK","DOORKnck","DOOR","Knocking on various door surfaces.","knock, rap, knocker, bang, thud, thump"],
["DOORS","METAL","DOORMetl","DOOR","Metal doors, like a vault door or heavy door. PRISON doors have their own category, as they are quite specific sounding.","rollup, vault, safe, hatch"],
["DOORS","MISC","DOORMisc","DOOR","Door sounds not fitting another category in this list.","miscellaneous"],
["DOORS","PLASTIC","DOORPlas","DOOR","Doors made out of plastic. Not very common but maybe a door to a child's play house.","porta john, porta let, porta pottie"],
["DOORS","PRISON","DOORPrisn","DOOR","Big metal jail and prison doors. Sliding prison doors, or swinging jail doors.","jail door, prison door"],
["DOORS","REVOLVING","DOORRevl","DOOR","Classic revolving doors used as entries to hotels, banks, malls.","revolve, rotate, revolving door, hotel, airport, mall"],
["DOORS","SLIDING","DOORSlid","DOOR","Manual sliding doors, such as a patio door, sliding shower doors. Electric sliding doors to DOORS-ELECTRIC.","sliding glass door, patio door, shower door"],
["DOORS","STONE","DOORSton","DOOR","Mostly a fantasy type door, but think Gates of Moria, big tombstone vault doors.","tomb, crypt, temple, mausoleum, secret entrance"],
["DOORS","SWINGING","DOORSwng","DOOR","Swinging doors, like old-west saloon or church pulpit doors. Doors on swinging springs.","saloon door, traffic door, restaurant door, church pulpit door"],
["DOORS","WOOD","DOORWood","DOOR","Wood doors, home, school, most general door category probably.","entrance, front door, closet"],
["DRAWERS","METAL","DRWRMetl","DRWR","Metal drawers like on a toolbox.","tool box, rack drawer, filing cabinet, cash register, security drawer"],
["DRAWERS","MISC","DRWRMisc","DRWR","Drawer sounds not fitting another category in this list.","miscellaneous"],
["DRAWERS","PLASTIC","DRWRPlas","DRWR","Plastic drawers, maybe on a parts bin.","parts bin, desk organizer"],
["DRAWERS","WOOD","DRWRWood","DRWR","Kitchen drawers, bathroom drawers. Most drawers would probably fall into this category.","kitchen drawer, bathroom drawer"],
["ELECTRICITY","ARC","ELECArc","ELEC","A longer movement of electricity, think Jacob's ladder, or a power station switching arc when decoupled.","jacob's ladder, tesla coil, ark, arch, power station, electrocute"],
["ELECTRICITY","BUZZ & HUM","ELECBuzz","ELEC","Ground hum, buzzes, steady electrical hums, guitar pickup hum, amp hum. Any steady electric hum or buzz.","ground hum, amp hum, amp buzz, speaker hum, speaker buzz, hum, buzz, induction hum"],
["ELECTRICITY","ELECTROMAGNETIC","ELECEmf","ELEC","Electromagnetic field recordings specifically.","emf, coil, pickup, induction"],
["ELECTRICITY","MISC","ELECMisc","ELEC","Electric sounds not fitting another category in this list.","miscellaneous"],
["ELECTRICITY","SPARKS","ELECSprk","ELEC","Think sparklers, or a downed power line emitting sparks, welding... A singular spark would probably be a ZAP.","sparkler, weld, sputter, shorting"],
["ELECTRICITY","ZAP","ELECZap","ELEC","A short, shocking fast percussive electrical sound. Or a repetition of short fast sounds. A taser is a series of ZAPS.","discharge, tase, taser, electrocute"],
["EQUIPMENT","BRIDLE & TACK","EQUIPBridle","EQUIP","Equipment for animals use. Horse bridle, reigns, leashes, harnesses, dog leashes, saddle straps.","bridle, reigns, leash, harness, dog leash, saddle strap"],
["EQUIPMENT","HITECH","EQUIPTech","EQUIP","Hi-Tech gear, things like spacesuits, complex suits with lots of gizmos or complex parts.","space suit, utility belt"],
["EQUIPMENT","MISC","EQUIPMisc","EQUIP","Equipment sounds not fitting another category in this list. See also TOOLS and OBJECT categories.","miscellaneous"],
["EQUIPMENT","RECREATIONAL","EQUIPRec","EQUIP","Recreational gear, like backpacks, hiking gear, rock climbing harnesses, camping tents. Specifically outdoor recreation. See also OBJECTS-GYM.","backpack, hike, hiking, mountaineering, climb, rock climb, camp, tent"],
["EQUIPMENT","SPORT","EQUIPSprt","EQUIP","Gear worn while playing sports, American football shoulder pads, hockey gear, etc.","shoulder pad, knee pad, shin pad, jock strap"],
["EQUIPMENT","TACTICAL","EQUIPTact","EQUIP","Military and police belts, bandoliers, ammo belts. Military gear, troop gear.","belt, tactical, duty belt, ammo belt, police, military, bandoleer"],
["EXPLOSIONS","DESIGNED","EXPLDsgn","EXPL","Designed or stylized explosions and sweeteners. Hyperreal explosions.","shockwave, sweetener, echo"],
["EXPLOSIONS","MISC","EXPLMisc","EXPL","Explosion sounds not fitting another category in this list.","detonation"],
["EXPLOSIONS","REAL","EXPLReal","EXPL","Real explosion recordings, realistic explosions, not overly stylized. (FIREWORKS has its own category)","bang, implosion, crack, pop"],
["FARTS","DESIGNED","FARTDsgn","FART","Fake or designed farts, whoopie cushion, flarp, mouth farts.","putty, razzberry, raspberry, whoopie cushion, flarp, armpit, fartbag, balloon"],
["FARTS","MISC","FARTMisc","FART","Fart sounds not fitting another category in this list.","animal fart"],
["FARTS","REAL","FARTReal","FART","Real recordings of farts.","human fart, flatulence, poot, toot"],
["FIGHT","BODYFALL","FGHTBf","FGHT","Bodyfalls, but probably also body scuffles on ground, from simple to complex. On any surface.","bodyfall, body drag, scuffle, body slam, tackle"],
["FIGHT","CLOTH","FGHTClth","FGHT","Active or big scuffling cloth, big fight cloth movement.","combat cloth, grab, snatch, cloth impact, cloth hit"],
["FIGHT","GRAB","FGHTGrab","FGHT","Big arm grabs, hand or arm blocks as well as they're similar sounds, grappling during wrestling or martial arts.","combat, grab, grapple, wrestle, judo"],
["FIGHT","IMPACT","FGHTImpt","FGHT","Fight impacts, blocks, kicks and punches. BODYFALLS has its own subcategory here, as do GRABS.","punch, kick, body blow, slap, smack, brawl, shove, sock, uppercut, jab"],
