[["LUFT","BLÅSE","AIRBlow","AIR","Steady air blows, like from a compressed can of air.","trykkluft, trykkavlastning, slipp, pust, sputter, flagre, rensing"],
["BÅT","DAMP","BOATStm","BOAT","Old steam paddle boats, big steam ship sounds.","damphjulskip, hjuldamper, dampmaskin"],
["BÅT","UBÅT","BOATSub","BOAT","Relating to a submarine, include sonar pings. Classic 'Dive' alarm would go in ALARMS-SIREN with keyword Klaxon.","ubåt, sonar, nedsenkbar, u-båt"],
["BÅT","UNDERVANNS","BOATUndwtr","BOAT","Specifically boats and ships recorded underwater, usually hydrophone recordings. SUBMARINES have their own subcategory.","båt, skip, undervann, tankbil, fiskebåt, motorbåt, under vann"],
["SKUDD","PASSERING","BLLTBy","BLLT","Bullet pass bys in air, or underwater.","bullet whiz-by, fwip"],
["SKUDD","TREFF","BLLTImpt","BLLT","Bullet hits and impacts, on a bullet hit on any material from the ground, to wood, to a person.","kulestøt, kuletreff"],
["SKUDD","DIVERSE","BLLTMisc","BLLT","Bullet sounds not fitting another category in this list.","Diverse"],
["SKUDD","RICOCHET","BLLTRico","BLLT","Bullet ricochets, that classic old west 'ping' when a bullet bounces off something.","ricos, rikosjettere, avlede"],
["SKUDD","HYLSE","BLLTShel","BLLT","Bullet shells ejecting and dropping to the ground. See also GUNS-HANDLING for things like loading or unloading a gun.","skall, hylster, utkast"],
["TEGNESERIE","DYR","TOONAnml","TOON","Cartoon animals, made from animals calls, props, etc. Very silly or stylized animals calls for use in Cartoons.","falskt dyr, jaktkall, andekall"],
["TEGNESERIE","BOING","TOONBoing","TOON","Cartoon boings, like for a bouncing cartoon character. Roger Rabbit or Tigger from Winnie the Pooh.","kjeveharpe, munnharpe"],
["TEGNESERIE","KLANG","TOONClang","TOON","Cartoon clangs, like a funny anvil hit. Most likely a very metallic resonant hit.","klang, metallisk"],
["TEGNESERIE","KNIRK","TOONCreak","TOON","Cartoon creaks, some overlap or confusion with CARTOON-STRETCH possible.","gummi tre"],
["TEGNESERIE","HORN","TOONHorn","TOON","Cartoon horns, as in bulb horns, clown horns.","pærehorn, tut, klovnehorn"],
["TEGNESERIE","SLAG OG TREFF","TOONImpt","TOON","Cartoon hits, bonk, boink, doink..","bonk, boink, doink"],
["TEGNESERIE","MASKIN","TOONMach","TOON","Cartoon machines, an overly comical sounding machine or contraption. A Rube Goldberg contraption.","innretning, komisk maskin, rube goldberg maskin"],
["TEGNESERIE","DIVERSE","TOONMisc","TOON","Cartoon sounds not fitting another category in this list.","toon, squanch, blurb, flump"],
["TEGNESERIE","MUSIKALSK","TOONMx","TOON","Cartoon musical phrases. String plucks for a cartoon character sneaking up on another. Perhaps a cartoon musical phrase.","gliss, stige, stige ned,"],
["TEGNESERIE","PLUKK","TOONPluk","TOON","Cartoon string plucks, violin plucks, dental floss plucks.","strengplukking"],
["TEGNESERIE","POP","TOONPop","TOON","Cartoon funny pops, mouth pops, suction cup pops.","pop pistol, munn pop, sugekopp, boble pops"],
["TEGNESERIE","RISTE","TOONShake","TOON","Cartoon shake, like a noisemaker toy, maraca.","skrangle"],
["TEGNESERIE","SPLÆTT","TOONSplt","TOON","Cartoon splats, funny liquid and mud like splats and things.","splat, splort, squish"],
["TEGNESERIE","SKVIK","TOONSqk","TOON","Cartoon squeaks. funny little sounding squeaks of things.","knirke"],
["TEGNESERIE","STREKKE","TOONStrch","TOON","Cartoon stretches, funny rubber or other type stretching sounds, exaggerated.","press"],
["TEGNESERIE","SVISJ","TOONSwsh","TOON","Cartoon swishes, specifically very funny cartoony swishes.","snurre, virvle"],
["TEGNESERIE","TWANG","TOONTwang","TOON","Cartoon twangs, that classic ruler twang type sound.","linjal, munnharpe"],
["TEGNESERIE","KJØRETØY","TOONVeh","TOON","Cartoon vehicles, think Jetsons spaceship or Flintstones cars.","jetsons, innretning. Flintstones bil, slår tilbake"],
["TEGNESERIE","STEMME","TOONVox","TOON","Cartoon vocals, specifically very silly. See also CARTOON-ANIMALS for non-human vocals.","mumling, dum stemme, tegneseriestemme"],
["TEGNESERIE","TRILL","TOONWarb","TOON","Cartoon warble.","vingle"],
["TEGNESERIE","FLØYTE","TOONWhis","TOON","Cartoon whistles, most likely slide whistles, other very silly whistles. A Wolf-Whistle.","skyve fløyte"],
["TEGNESERIE","ZIP","TOONZip","TOON","Cartoon zips. Very fast 'zip' type sounds, often for fast movement aways.","zip, rico, sirene, fløyte"],
["KERAMIKK","KNUSE","CERMBrk","CERM","Ceramics break of a more singular nature, a plate shatter, breaking, cracking, crunching. Mostly for single items breaking. See also CERAMICS-CRASH & DEBRIS.","bryte, knekke, knuse, knase"],
["KERAMIKK","KRÆSJ & FRAGMENTER","CERMCrsh","CERM","Ceramics destruction of more of a group nature, multiple crashes and debris. See also CERAMICS-BREAK.","fall, rusk, skår"],
["KERAMIKK","FRIKSJON","CERMFric","CERM","Ceramics friction, scraping, squeaking, screeching.","stress, skrape, knirke, knirke, skrike"],
["KERAMIKK","HÅNDTERING","CERMHndl","CERM","Ceramics handling, picking up a coffee mug, handling a plant pot. Some overlap with CERAMICS-MOVEMENT.","håndtere, gripe, sette, hente, sette ned, kaste, fange"],
["KERAMIKK","SLAG","CERMImpt","CERM","Ceramics impacts without breaking, so hits drops, clunks and clinks. See also CERAMICS-BREAK.","treff, slipp, støt, krasje, klunk, klirr"],
["KERAMIKK","DIVERSE","CERMMisc","CERM","Ceramics sounds not fitting another category in this list.","Diverse"],
["KERAMIKK","BEVEGELSE","CERMMvmt","CERM","Ceramics single or group movement, so dragging, shaking and rattling. See also CERAMICS-HANDLE.","dra, rulle, skrangle, riste"],
["KERAMIKK","TONAL","CERMTonl","CERM","Ceramics ringing, as in being bowed.","bukket, ring, shing, ping"],
["KJETTING","BRYTE","CHAINBrk","CHAIN","Chain snapping or breaking, that sharp sound of a chain failing.","knipse, knekke, bøye"],
["KJETTING","HÅNDTERING","CHAINHndl","CHAIN","Chain handling, repairing a bike chain, a prisoner moving around in chains. Some overlap with CHAINS-MOVEMENT.","håndtere, gripe, sette, hente, sette ned, kaste, fange"],
["KJETTING","SLAG OG TREFF","CHAINImpt","CHAIN","Chain impacts, such a big chain hit or slam, or a tension snap of a chain being pulled taut.","slipp, treff, støt, smell, spenningsfester"],
["KJETTING","DIVERSE","CHAINMisc","CHAIN","Chain sounds not fitting another category in this list.","Diverse"],
["KJETTING","BEVEGELSE","CHAINMvmt","CHAIN","Chain handling, particularly being pulled through pulleys or across surfaces. See also CHAINS-HANDLE.","dra, håndjern, fengselskjede, hundekjede"],
["KJEMIKALIER","SYRE","CHEMAcid","CHEM","Chemical acid burning and sizzling, bubbling. A vat of acid.","frese, smelte, bruse"],
["KJEMIKALIER","DIVERSE","CHEMMisc","CHEM","Chemical sounds not fitting another category in this list.","Diverse"],
["KJEMIKALIER","REAKSJON","CHEMReac","CHEM","Chemical reactions, chemistry set, bubbling, foaming, bunsen burner reactions. Overlap perhaps with LIQUID & MUD category.","bobler, skum, reaksjon"],
["UR","RINGE","CLOCKChim","CLOCK","Chimes, bells specifically for a clock, Grandfather clock chimes. Alarm clocks would go to ALARMS-CLOCK.","ringeklokke, ringeklokke, bestefarsklokke"],
["UR","MEKANISME","CLOCKMech","CLOCK","Clocks winding, complex mechanical clock mechanisms.","vikling, klokkegir, gjøkklokke"],
["UR","DIVERSE","CLOCKMisc","CLOCK","Clock sounds not fitting another category in this list. Also see ALARMS-CLOCK","Diverse"],
["UR","TIKK","CLOCKTick","CLOCK","Analog ticking clocks and watches of all sizes, also mechanical stop watches.","tikk, klikk, kvarts, tikk tok, stoppeklokke, eggeklokke"],
["STOFF","BLAFRE","CLOTHFlp","CLOTH","Cloth flapping, as in a flag flapping, or superman's cape. Also ship sails and parachutes.","klaff, flagg, rasling, fallskjerm, kappe, seilduk, seil, laken"],
["STOFF","HÅNDTERING","CLOTHHndl","CLOTH","Cloth handling, grabbing a jacket, clothy arm grabs, etc. Some overlap with CLOTH-MOVEMENT. See also possibly OBJECTS-FASHION.","håndtere, gripe, sette, hente, sette ned, kaste, fange"],
["STOFF","SLAG OG TREFF","CLOTHImpt","CLOTH","Cloth impacts, throwing a jacket forcefully to the floor, a wet towel snap. Some overlap with CLOTH-MOVEMENT possible.","treff, slipp, støt, smell"],
["STOFF","DIVERSE","CLOTHMisc","CLOTH","Cloth sounds not fitting another category in this list.","Diverse"],
["STOFF","BEVEGELSE","CLOTHMvmt","CLOTH","Varied cloth movement except flapping which has its own category. Variety of cloth movement. Cloth zuzz. See also CLOTH-FLAP.","zuzz, swish, rasle, rufse, skrubbe, mvmt"],
["STOFF","RIVE","CLOTHRip","CLOTH","Various cloth rips and tears, short to long. Velcro would best fit here too.","rive, rive, borrelås"],
["KOMMUNIKASJON","AUDIOVISUELLT","COMAv","COM","Various AV devices such a projector or tape recorder, video cameras here too. Some overlap or confusion with COMMUNICATIONS-CAMERA.","filmkamera, spole, filmkamera, projektor, båndopptaker, nagra, walkman, CD-spiller, spole til spole, videospiller, laserdiskspiller, betamax, lysbildefremviser, beamer, ipod, bolex, 8mm, 16mm"],
["KOMMUNIKASJON","KAMERA","COMCam","COM","Still camera shutters, automatic winding, old flash-bulbs. Movie and video cameras to COMMUNICATIONS-AV.","kamerautløser, vikling, blitspære, kodak, nikon, canon, olympus, kodak, fuji, fujifilm, mamiya, hasselblad, leica, 35mm, 120mm"],
["KOMMUNIKASJON","MOBILTELEFON","COMCell","COM","Cellphones and Smartphones., clicks and rings, tones.","mobiltelefon, smarttelefon, iphone, blackberry, flip-telefon, android"],
["KOMMUNIKASJON","MIKROFON","COMMic","COM","Feedback and mic bumps and handling. Megaphones would go here too.","mikrofonhåndtering, mikrofontap, larsen, megafon"],
["KOMMUNIKASJON","DIVERSE","COMMisc","COM","Communication sounds not fitting another category in this list.","Diverse"],
["KOMMUNIKASJON","FONOGRAF","COMPhono","COM","Turntable, Victrola, motors and mechanics. STATIC has its own subcategory here.","platespiller, victrola, fonograf, stylus, vinylplate"],
["KOMMUNIKASJON","RADIO","COMRadio","COM","Tuning, radio and shortwave sounds. STATIC has its own subcategory here. A radio broadcast would go here too. Overlap with VOICES-FUTZED.","tuning, radio, kortbølge, squelch, futz, radiosending"],
["KOMMUNIKASJON","STØY","COMStatic","COM","Static from any electronic source, radio, CB, television, optical noise, phonograph noise.","statisk, fuzz, scramble"],
["KOMMUNIKASJON","TELEMETRI","COMTelm","COM","Fax machine tones, modem tones, telegraph, teletype. UI is it's own category","morsekode, telegraf, telemetri, avlesning, sos"],
["KOMMUNIKASJON","TELEFON","COMTelph","COM","Old school rotary dial and digital telephones. Technically any telephone that isn't a mobile or cell phone.","tallskive, betalingstelefon, dreieskive, tastatur, fasttelefon, ledningstelefon"],
["KOMMUNIKASJON","FJERNSYN","COMTv","COM","Television programs, on and off, channel changes, TV Remote controls. STATIC has its own subcategory here. A television broadcast would go here too. Overlap with VOICES-FUTZED.","tv, fjernkontroll, urskive, show, program, futz, tv-program, kringkasting"],
["KOMMUNIKASJON","SENDER","COMTran","COM","Walkie Talkies, CBs, Ham Radios, all two-way transceivers and radios go here. Put voices into VOICES-FUTZED.","walkie talkies, cb, skinkeradioer, transceiver, squelch, intercom, dispatch"],
["KOMMUNIKASJON","SKRIVEMASKIN","COMType","COM","Old school typewriters, not modern computer keyboards.","skrivemaskin, fjernskriver, vognretur, stempelknott"],
["DATAMASKIN","HARDDISK","CMPTDriv","CMPT","Laptop or other hard drive seeking sounds, data reading.","hopp over, søk, slip, harddisk, harddisk"],
["DATAMASKIN","MUS OG TASTATUR","CMPTKey","CMPT","Typing on computer keyboard, and mouse movement.","tastatur, mus, mus, styreflate"],
["DATAMASKIN","DIVERSE","CMPTMisc","CMPT","Computer sounds not fitting another category in this list. Printers would go to MACHINES-OFFICE.","palm pilot, pocket pc"],
["VESEN","HAV","CREAAqua","CREA","Giant mutant squids or sea monsters, kraken, leviathans.","kraken, havfrue, kjempeblekksprut"],
["VESEN","FUGL","CREAAvian","CREA","Alien or Fantasy birds, or weird birdlike creatures. A giant mutant parakeet would go here.","fremmede fugler, utenomjordiske fugler, fantasifugler"],
["VESEN","BEIST","CREABeast","CREA","Big four legged creatures and beasts. Wooly Mammoth, a mutant elephant, Mumakil."," ullen mammut, mumakil,"],
["VESEN","BLUBBE","CREABlob","CREA","Gelatinous and gooey type creatures, gelatinous cube.","blob, gloop, goop"],
["VESEN","DINOSAUR","CREADino","CREA","Dinosaurs of all types, Jurassic Park.","brontosaurus, velociraptor, triceratops, stegosaurus, tyrannosaurus, allosaurus, spinosaurus, brachiosaurus, archaeopteryx, pterosaurs, pterodactyl"],
["VESEN","DRAGE","CREADrgn","CREA","Game of Thrones, Lord of the Rings, dragons of all types. See also CREATURES-REPTILIAN.","drage, drake, wyvern"],
["VESEN","ELEMENTÅND","CREAElem","CREA","Creatures based on elements, rock giants, fire creatures, ice monsters, such a the Balrog, or a Rock Giant.","steinmonster, ildmonster, ismonster, steinkjempe, isgigant, golem"],
["VESEN","SPØKELSE","CREAEthr","CREA","Ghosts, spirits, ethereal vocals and wispy movement, apparitions.","spøkelser, ånder, eterisk, pisket, spøkelse, sjel, tilsynekomst, spektral, poltergeist, fantom, wraith"],
["VESEN","MENNESKLIG","CREAHmn","CREA","Human sized mythical creatures, so zombies and vampires, elves etc. Troll, Ogres, Orcs. Two legged creatures.","zombie, udøde, levende døde, ghoul, vampyr, alv, orker, troll, troll, tengu, leprechaun, bigfoot, sumpting, varulv, frankenstein, mamma"],
["VESEN","INSEKT","CREAInsc","CREA","Giant spiders or other insect like creatures. The creature from The Fly. A giant Tarantula.","kjempemaur, kjempeedderkopp"],
["VESEN","DIVERSE","CREAMisc","CREA","Creature sounds not fitting another category in this list.","Diverse"],
["VESEN","MONSTER","CREAMnstr","CREA","Godzilla, scary monsters, horror monsters. See also CREATURES-HUMANOID.","godzilla, king kong, rancor, behemoth, xenomorph, chupacabra"],
["VESEN","REPTIL","CREARept","CREA","Giant lizards and snakes, large giant hissing monsters.","slange, slange, kjempeøgle, kjempeslange"],
["VESEN","SMÅ","CREASmall","CREA","Specifically small mythical creatures. Fairies, pixies, small rodent like creatures, etc. Distinguished by small size.","fe, nisse, gremlin, imp, fraggle"],
["VESEN","KILDE","CREASrce","CREA","Source recordings meant for creature design, like prop recordings, human voice packs for design, etc.","bjeff, pust, ring, kurr, squawk, chitter, klikk, gråt, innsats, grynt, sus, hyl, knurring, snerre, guttural, stønn, stønn, munn, brøl, skrik, skrik, hvin, sutring"],
["FOLKEMENGDE","SINT","CRWDAngr","CRWD","Crowds of upset or angry people, as in a riot, protest, a schoolyard fight. See also AMBIENCE-PROTEST.","hooligan, opprør, protest, rope, bøllete"],
["FOLKEMENGDE","APPLAUS","CRWDApls","CRWD","Crowds where the applause is predominantly featured. Use CROWDS-CHEERING for recordings that are mainly vocals.","applaus, jubel, klapping, ekstranummer"],
["FOLKEMENGDE","KAMP","CRWDBatl","CRWD","Crowds in battle, fighting, yelling screaming, dying. If including gunfire, explosions. use AMBIENCE-WARFARE.","kamprop, rop, ladning, rally, hær, kamp, krangel, krig, skriking, døende"],
["FOLKEMENGDE","FEIRING","CRWDCele","CRWD","Crowds celebrating holidays, parties, rowdy crowds. If not clean, use AMBIENCE-CELEBRATION.","feiring, ferie, fest, bølle, bursdag, nyttår, jul, parade"],
["FOLKEMENGDE","JUBEL","CRWDCheer","CRWD","Could include applause, but cheering crowds where the crowd vocals are predominant. Overlap with CROWDS-CELEBRATION.","jubel, konsert, stadion, publikum, hiking, dønninger, sang"],
["FOLKEMENGDE","BARN","CRWDChld","CRWD","Relatively clean vocals of children together, playing in a playground, in a school classroom, recess, school hallway. See also AMBIENCE-SCHOOL.","lekeplass, friminutt, barn som leker, parkerer, leker, tag"],
["FOLKEMENGDE","SAMTALE","CRWDConv","CRWD","A small enough group chat that you can discern words, smaller and less active than a walla. A chatter.","skravling, prat, prat, sparsom walla, samtale, samtale"],
["FOLKEMENGDE","LATTER","CRWDLaff","CRWD","Crowds laughing, a comedy show, canned television laughter, groups of kids laughing, at a party for example.","tv-show, hermetisk latter, komedieklubb, latterspor"],
["FOLKEMENGDE","LOOP GROUP","CRWDLoop","CRWD","For loop group type walla, usually performed for or to picture, specific environments, specific callouts. See also ARCHIVED-LOOP GROUP for official loop group recordings.","løkkegruppe, adr, hermetikk"],
["FOLKEMENGDE","DIVERSE","CRWDMisc","CRWD","Crowd sounds not fitting another category in this list. See also MOVEMENT-CROWD.","Diverse"],
["FOLKEMENGDE","PANIKK","CRWDPanic","CRWD","Distressed crowds, mixed screams and crying and reactions… crowds in a natural disaster or crowds in a giant monster attack...","panikk, kaos, rop, skrik, gråt, nød"],
["FOLKEMENGDE","STILLE","CRWDQuiet","CRWD","Very quiet crowds, mostly mumbling or murmuring. Like crowds whispering in church or a courtroom scene. See also VOICES-WHISPER for single person recordings.","mumling, hvisking, hysing, mumling"],
["FOLKEMENGDE","REAKSJONER","CRWDReac","CRWD","Big Ooos, and Aaahs and Booos, big group responses to events happening. Shocked reactions.","boo, ahh, ooh, studioreaksjon"],
["FOLKEMENGDE","SANG","CRWDSing","CRWD","Singing during sporting events, New Year's Eve crowds singing Auld Lang Syne, Christmas carols. Not large choral music, which would go in MUSICAL category.","sang, kor, koral, julesang"],
["FOLKEMENGDE","IDRETT","CRWDSprt","CRWD","Clean crowds at sporting events, Baseball, football. For mixed ambience used AMBIENCE-SPORT. A sports chant.","applaus, klapping, bu, jubel, stadion, yay, publikum, OL, roping, woohoo"],
["FOLKEMENGDE","SORL","CRWDWalla","CRWD","Specifically very clean crowd walla, with non-discernible words. See also various AMBIENCE categories.","stemmer, snakk, walla, samtale"],
["DESIGNET","BASS NEDGANG","DSGNBass","DSGN","Deep descending bass notes. Bass Drops.","bass dykk, downer, bass drop, fall"],
["DESIGNET","SMELL","DSGNBoom","DSGN","Deep short and tight, low end stingers, big trailer deep hits. LFE type low end sweeteners.","bom, dypt treff, lavt stikk, tilhenger"],
["DESIGNET","BRAAM","DSGNBram","DSGN","Long deep horn like sounds. Like a War of the World's type long sound, or like a long french horn braam type sound.","bramm"],
["DESIGNET","FORVRENGNING","DSGNDist","DSGN","Particulary distored designed sounds and distortion elements.","forvrengning, forvrengt, forvrengt"],
["DESIGNET","DRONE","DSGNDron","DSGN","Designed drones, eerie tense drones, long stylized sounds with not much activity or movement.","pute, drone, tekstur, illevarslende, spenning"],
["DESIGNET","UHYGGELIG","DSGNErie","DSGN","Often designed, but tense strange undefined sounds that are eerie, tense, suspenseful. Some overlap with DESIGNED-DRONE possible."," skummel, anspent, merkelig, skummel, skummel, skremmende, hjemsøkende, freaky, skummel,"],
["DESIGNET","OVERJORDISK","DSGNEthr","DSGN","Ethereal wispy designed sounds. Ghostlike whispers, or heavenly tones. Otherworldly. See also DESIGNED-EERIE.","eterisk, himmelsk"],
["DESIGNET","GRANULÆR","DSGNGran","DSGN","Granular synthesis, sounds that have a gritty textural type sound, think PaulStretch, sounds broken down into tiny slices and recompiled.","granulær, paulstretch, korn, skiver"],
["DESIGNET","SLAG OG TREFF","DSGNImpt","DSGN","Designed huge impacts, collisions, stylized big hits. Possible overlap with DESIGNED-STINGER.","støt, treff, smell, knuse, kollisjon"],
["DESIGNET","DIVERSE","DSGNMisc","DSGN","Designed sounds not fitting another category in this list.","Diverse"],
["DESIGNET","SAMMENBLANDET","DSGNMorph","DSGN","A stylized blending of elements, something transitioning into another thing.","morph, blanding, overgang"],
["DESIGNET","STIGENDE","DSGNRise","DSGN","Tension risers, things rising in tone, something similar to a rising string line to create tension.","revers, crescendo, riser, stigerør, spenning"],
["DESIGNET","RUMLING","DSGNRmbl","DSGN","Designed rumbles for layering into a mix. Earthquake rumbles. Composite rumble.","subharmonisk, rumle, riste, jordskjelv"],
["DESIGNET","RYTMISK","DSGNRythm","DSGN","Stattaco or glitchy machine type loops, things with definied starts, stops, rhythmic stutters.","stamme, feil, puls, stataco"],
["DESIGNET","KILDE","DSGNSrce","DSGN","For recordings meant to be used as source for other designed sounds, experimental recordings, elements, etc.","kilde, råmateriale, råopptak"],
["DESIGNET","STINGER","DSGNStngr","DSGN","Stings, stylized screen sweeteners. Big trailer type sounds. Big shock scare type sounds. Stylized stings, hits and impacts. Overlap with DESIGNED-IMPACT.","stikke, skremme, trailer, kino"],
["DESIGNET","SYNTETISK","DSGNSynth","DSGN","Very synthesized sounds, very electronic synth stuff. Raw work files of synth-play.","syntetisert, synth, modsynth, modulær synth, granulær, analog synth, modulær synth"],
["DESIGNET","TONAL","DSGNTonl","DSGN","Designed sounds with a particularly tonal nature. The ringing in your ear of tinnitus for example.","tinnitus, ringing, skallsjokk, subjektiv"],
["DESIGNET","VOKAL","DSGNVocl","DSGN","Design specifically around vocals, ghostly whispers, enchanted spells, reversed talking etc. Not for Creatures.","fortryllelse, spell, bearbeidet, vokal, hviskende, spøkelsesaktig"],
["DESIGNET","SVOSJ","DSGNWhsh","DSGN","Stylized designed big whooshes, definite possible overlap confusion with SHOOSHES-WHOOSH, but this for less natural and more stylized versions.","whoosh, trailer swish, swish"],
["ØDELEGGELSE","KOLLAPSE","DESTRClpse","DESTR","Buildings and large mixed complex collapses, a barn collapse, Godzilla pushing over a building.","kollapse, velte, falt, implodere"],
["ØDELEGGELSE","KRÆSJ OG FRAGMENTER","DESTRCrsh","DESTR","Mixed crashes, complex crashes involving more than one material. So a combo huge glass and metal crash. See also individual material categories like METAL, WOOD etc.","krasje, sprekke, implodere, knuse, knuse, knuse"],
["ØDELEGGELSE","DIVERSE","DESTRMisc","DESTR","Destruction sounds not fitting another category in this list.","Diverse"],
["SAND OG JORD","KRÆSJ OG FRAGMENTER","DIRTCrsh","DIRT","Dirt or sand settling, as in after an explosion, big sprays of dirt and sand. DUST has its own subcategory.","rusk, sand, skitt, sildre, spray, smuldrer"],
["SAND OG JORD","STØV","DIRTDust","DIRT","Settling dust, dust clouds, much lighter sound than DIRT & SAND-DEBRIS","fin, partikkel, sediment, silt, støv"],
["SAND OG JORD","HÅNDTERING","DIRTHndl","DIRT","Handling dirt & sand, hands digging through dirt, children making a sand castle. Some overlap with DIRT & SAND-MOVEMENT.","håndtere, gripe, grave, fange"],
["SAND OG JORD","SLAG OG TREFF","DIRTImpt","DIRT","Big hits and impacts of dirt of sand, dirt clods. Think the huge dirt ball impacts in WHERE THE WILD THINGS ARE.","dumpe, dunke, losse, slippe"],
["SAND OG JORD","DIVERSE","DIRTMisc","DIRT","Dirt, Sand and Earth sounds not fitting another category in this list.","Diverse"],
["SAND OG JORD","BEVEGELSE","DIRTMvmt","DIRT","Pouring, flowing of dirt or sand, a big sand pour. See also DIRT & SAND-HANDLE.","helle, losse, flyte, søle"],
["SAND OG JORD","TONAL","DIRTTonl","DIRT","Singing sand dunes. Probably pretty rare.","sanddyner, syngende sand"],
["DØRER","GAMMEL","DOORAntq","DOOR","Very old sounding doors, as in an old castle or abbey. But massive doors of this type probably to DOOR-DUNGEON.","slott, abby, kirke, gammel, gammel, antikk"],
["DØRER","APPARAT","DOORAppl","DOOR","Appliance doors such as oven, dishwasher, refrigerator or microwave.","stekeovn, mikrobølgeovn, kjøleskap, oppvaskmaskin, vaskemaskin, tørketrommel"],
["DØRER","SKAP","DOORCab","DOOR","Cabinet doors, such as kitchen cabinet, tool cabinets.","skap, kjøkkenskap, verktøyskap"],
["DØRER","SAMMENSATTE","DOORComp","DOOR","Fiberglass, wood steel combination, doors that don't sound like a specific material. A modern front door. Some confusion or overlap with DOORS-WOOD likely.","glassfiber, dør"],
["DØRER","KNIRKER","DOORCreak","DOOR","Door creaks, wood or metal, overlap with WOOD-FRICTION and METAL-FRICTION, but specifically door creaks.","knirk, dør, fangehull, kjeller, slott, tredør, metalldør, dørknirk"],
["DØRER","FANGEHULL","DOORDungn","DOOR","That big old classic wood and/or metal heavy dungeon, castle type door.","slott, fangehull, stort, kjeller"],
["DØRER","ELEKTRISK","DOORElec","DOOR","Electric doors of all kinds, garage doors, big soundstage doors, sliding store doors. See also DOORS-REVOLVING.","elektrisk port, garasjeport, lydbildeport, automatisk port"],
["DØRER","PORT","DOORGate","DOOR","Non-motorized gates, metal or wood. So a garden gate, a park gate. A farm gate.","hageport, gjerdeport, parkport, skinneovergang, storfeport, gårdsport"],
["DØRER","GLASS","DOORGlas","DOOR","Glass doors, manual shopping store doors, glass home front doors. Most store doors would probably fit here.","glassdør, butikkdør, karnappdør, fransk dør"],
["DØRER","BESLAG","DOORHdwr","DOOR","Door knobs, door locks, deadbolts, chain locks, push bars. Lock Picking, Doorknob Jiggles.","dørhåndtak, lås, skyvestang, kjedelås, hengsel, lås, håndtak, maskinvare, låseplukking, jiggle"],
["DØRER","HI-TECH","DOORTech","DOOR","James bond type doors, something not quite sci-fi but more advanced, Modern lab, or air sealed chamber, vaults. See also SCIFI-DOOR.","lab dør"],
["DØRER","HYDRAULISK","DOORHydr","DOOR","Self closing doors, lots of office and store doors are of this type. Also automatic doors if hydraulic or pneumatic.","dørlukker, pneumatisk, hydraulisk, motordrevet luke"],
["DØRER","BANKE PÅ","DOORKnck","DOOR","Knocking on various door surfaces.","bank, rap, banking, bang, dunk, dunk"],
["DØRER","METALL","DOORMetl","DOOR","Metal doors, like a vault door or heavy door. PRISON doors have their own category, as they are quite specific sounding.","rollup, hvelv, safe, luke"],
["DØRER","DIVERSE","DOORMisc","DOOR","Door sounds not fitting another category in this list.","Diverse"],
["DØRER","PLAST","DOORPlas","DOOR","Doors made out of plastic. Not very common but maybe a door to a child's play house.","porta john, porta let, porta pottie"],
["DØRER","FENGSEL","DOORPrisn","DOOR","Big metal jail and prison doors. Sliding prison doors, or swinging jail doors.","fengselsdør, fengselsdør"],
["DØRER","KARUSELLDØR","DOORRevl","DOOR","Classic revolving doors used as entries to hotels, banks, malls.","rotere, rotere, svingdør, hotell, flyplass, kjøpesenter"],
["DØRER","SKYVEDØR","DOORSlid","DOOR","Manual sliding doors, such as a patio door, sliding shower doors. Electric sliding doors to DOORS-ELECTRIC.","skyvedør i glass, terrassedør, dusjdør"],
["DØRER","STEIN","DOORSton","DOOR","Mostly a fantasy type door, but think Gates of Moria, big tombstone vault doors.","grav, krypt, tempel, mausoleum, hemmelig inngang"],
["DØRER","SVINGDØR","DOORSwng","DOOR","Swinging doors, like old-west saloon or church pulpit doors. Doors on swinging springs.","salongdør, trafikkdør, restaurantdør, kirkeprekestoldør"],
["DØRER","TRE","DOORWood","DOOR","Wood doors, home, school, most general door category probably.","inngang, inngangsdør, skap"],
["SKUFFER","METALL","DRWRMetl","DRWR","Metal drawers like on a toolbox.","verktøykasse, stativskuff, arkivskap, kasseapparat, sikkerhetsskuff"],
["SKUFFER","DIVERSE","DRWRMisc","DRWR","Drawer sounds not fitting another category in this list.","Diverse"],
["SKUFFER","PLAST","DRWRPlas","DRWR","Plastic drawers, maybe on a parts bin.","delebeholder, skrivebordsarrangør"],
["SKUFFER","TRE","DRWRWood","DRWR","Kitchen drawers, bathroom drawers. Most drawers would probably fall into this category.","kjøkkenskuff, baderomsskuff"],
["ELEKTRISITET","ARC","ELECArc","ELEC","A longer movement of electricity, think Jacob's ladder, or a power station switching arc when decoupled.","jacobs stige, tesla coil, ark, bue, kraftstasjon, elektrokut"],
["ELEKTRISITET","BUZZ OG HUM","ELECBuzz","ELEC","Ground hum, buzzes, steady electrical hums, guitar pickup hum, amp hum. Any steady electric hum or buzz.","jordbrum, forsterkerbrum, forsterkerbrum, høyttalerbrum, høyttalerbrum, hum, buzz, induksjonsbrum"],
["ELEKTRISITET","ELEKTROMAGNETISK","ELECEmf","ELEC","Electromagnetic field recordings specifically.","emf, spole, pickup, induksjon"],
["ELEKTRISITET","DIVERSE","ELECMisc","ELEC","Electric sounds not fitting another category in this list.","Diverse"],
