[["LUFT","BLASEN","AIRBlow","AIR","Steady air blows, like from a compressed can of air.","Druckluft, Druck ablassen, ablassen, puff, sputter, flutter, purge"],
["BOOT","LUFTKISSEN & PROPELLER","BOATAir","BOAT","Specifically large fan airboats used in swamps. Think the type of boat used in the Everglades. Also hovercraft.","Fächerboot, Luftboot, Hovercraft"],
["BOOT","BUGWELLE","BOATWash","BOAT","The waves pushed up by a boat or ship going through the water, a relatively clean recording.","Bugwelle, Kielwasser"],
["BOOT","TÜR","BOATDoor","BOAT","Boat or Submarine doors. Some possible overlap with over DOOR categories or VEHICLES-DOOR.","Luke, Fährtür, Bootstür, wasserdichte Tür, Schiffstür"],
["BOOT","ELEKTRISCH","BOATElec","BOAT","Any boat powered by electricity. Fairly rare. Possible a a radio controlled boat, or electric trolling motor.","Trolling-Motor"],
["BOOT","FISCHFANG","BOATFish","BOAT","Industrial fishing boats, crab boats, trawlers. Simple fishing boats to BOATS-MOTORBOAT.","Krabbenkutter, Trawler, Wadenfänger, Linienschiffe, Bagger, Kiemennetzfischer, Forschungsschiffe"],
["BOOT","HORN","BOATHorn","BOAT","Horns on boats and ships. Fog horns would go in HORNS-AIR category.","Schiffshorn, Schlepperhorn"],
["BOOT","INNEN","BOATInt","BOAT","Interior ambiences on boats and ships, ferries, cruise ships, navy ships.","Schiff, Fähre, Fähren, Kreuzfahrtschiff, Marine, Militärboot, Schlepper, Segelboot, Jacht, Öltanker, Frachtschiff, Frachter, U-Boot"],
["BOOT","MECHANISMUS","BOATMech","BOAT","All manner of boat mechanisms. Sailing ship rigging, pulleys, ropes, ship wheels. See also BOATS-DOOR.","Takelage, Riemenscheibe, Seil, Schiffsrad, Drossel, Netz, Käfig, Falle, Anker"],
["BOOT","MILITÄR","BOATMil","BOAT","Specifically military boats and ships, destroyers, aircraft carriers. Any military boat.","Patrouillenboot, Zerstörer, Kreuzer, Schlachtkreuzer, Fregatte, Korvette, schnelles Angriffsboot"],
["BOOT","DIV","BOATMisc","BOAT","Boat sounds not fitting another category in this list.","Paddelboot, Paddelbrett"],
["BOOT","MOTORBOOT","BOATMotr","BOAT","General small boats, personal fishing boats, speedboats, pontoon boats. You average recreational boat.","kleines Boot, persönliches Fischerboot, Schnellboot, Pontonboot, Entenboot, Beiboot"],
["BOOT","RENNBOOT","BOATRace","BOAT","Powered racing boats, not for human powered racing boats, those would go under BOATS-ROWING.","Wasserflugzeug, Tragflächenboot, Jetboot"],
["BOOT","RUDERN","BOATRow","BOAT","Canoes, rowboats, kayaks probably, human powered boats that use oars and paddles, even racing rowboats.","Kanu, Ruderboot, Kajak, Ruder, Paddel, Drachenboot, Rudern"],
["BOOT","SEGELN","BOATSail","BOAT","Composite recordings of rigging and sails, isolated elements to CLOTH-FLAP for close sails, or BOATS-MECHANISM for rigging.","Segelboot, Schoner, Jolle, Schaluppe, Ketsch, Motorsegler"],
["BOOT","SCHIFF","BOATShip","BOAT","Large ship, passenger cruise ships, oil tankers, things relating to these.","Großes Schiff, Kreuzfahrtschiff, Öltanker, Frachtschiff, Frachter"],
["BOOT","DAMPF","BOATStm","BOAT","Old steam paddle boats, big steam ship sounds.","Raddampfer, Schaufelraddampfer, Dampfmaschine"],
["BOOT","UNTERWASSER","BOATSub","BOAT","Relating to a submarine, include sonar pings. Classic 'Dive' alarm would go in ALARMS-SIREN with keyword Klaxon.","U-Boot, Sonar, Unterwasserfahrzeug, U-Boot"],
["BOOT","UNTERWASSER","BOATUndwtr","BOAT","Specifically boats and ships recorded underwater, usually hydrophone recordings. SUBMARINES have their own subcategory.","Boot, Schiff, Unterwasser, Tanker, Fischerboot, Motorboot, Unterwasser"],
["MUNITION","VORBEIFLUG","BLLTBy","BLLT","Bullet pass bys in air, or underwater.","Gewehrkugel vorbeiziehen, fwip"],
["MUNITION","EINSCHLAG","BLLTImpt","BLLT","Bullet hits and impacts, on a bullet hit on any material from the ground, to wood, to a person.","Geschosseinschlag, Geschosstreffer"],
["MUNITION","DIV","BLLTMisc","BLLT","Bullet sounds not fitting another category in this list.","Verschiedenes"],
["MUNITION","QUERSCHLÄGER","BLLTRico","BLLT","Bullet ricochets, that classic old west 'ping' when a bullet bounces off something.","Abpraller, Abprallen, Ablenken"],
["MUNITION","HÜLSE","BLLTShel","BLLT","Bullet shells ejecting and dropping to the ground. See also GUNS-HANDLING for things like loading or unloading a gun.","Granate, Gehäuse, auswerfen"],
["CARTOON","TIER","TOONAnml","TOON","Cartoon animals, made from animals calls, props, etc. Very silly or stylized animals calls for use in Cartoons.","Tierattrappe, Jagdruf, Entenruf"],
["CARTOON","BOING","TOONBoing","TOON","Cartoon boings, like for a bouncing cartoon character. Roger Rabbit or Tigger from Winnie the Pooh.","Maultrommel, Mundharmonika"],
["CARTOON","METALL","TOONClang","TOON","Cartoon clangs, like a funny anvil hit. Most likely a very metallic resonant hit.","Klirren, metallisch"],
["CARTOON","KNARTZ","TOONCreak","TOON","Cartoon creaks, some overlap or confusion with CARTOON-STRETCH possible.","Gummi, Holz"],
["CARTOON","HORN","TOONHorn","TOON","Cartoon horns, as in bulb horns, clown horns.","Zwiebelhorn, Hupen, Clownshorn"],
["CARTOON","EINSCHLAG","TOONImpt","TOON","Cartoon hits, bonk, boink, doink..","bong, boink, doink"],
["CARTOON","MASCHINE","TOONMach","TOON","Cartoon machines, an overly comical sounding machine or contraption. A Rube Goldberg contraption.","Apparat, komische Maschine, Rube-Goldberg-Maschine"],
["CARTOON","DIV","TOONMisc","TOON","Cartoon sounds not fitting another category in this list.","toon, squanch, blorb, flump"],
["CARTOON","MUSIKALISCH","TOONMx","TOON","Cartoon musical phrases. String plucks for a cartoon character sneaking up on another. Perhaps a cartoon musical phrase.","gliss, aufsteigen, absteigen,"],
["CARTOON","ZUPFEN","TOONPluk","TOON","Cartoon string plucks, violin plucks, dental floss plucks.","Saite zupfen"],
["CARTOON","PLOPP","TOONPop","TOON","Cartoon funny pops, mouth pops, suction cup pops.","Pop Gun, Mund Pop, Saugnapf, Bubble Pops"],
["CARTOON","SCHÜTTELN","TOONShake","TOON","Cartoon shake, like a noisemaker toy, maraca.","Rassel"],
["CARTOON","PLATSCH","TOONSplt","TOON","Cartoon splats, funny liquid and mud like splats and things.","splat, splort, squish"],
["CARTOON","QUIETSCHEN","TOONSqk","TOON","Cartoon squeaks. funny little sounding squeaks of things.","Quietschen"],
["CARTOON","DEHNEN","TOONStrch","TOON","Cartoon stretches, funny rubber or other type stretching sounds, exaggerated.","belasten"],
["CARTOON","SWISH","TOONSwsh","TOON","Cartoon swishes, specifically very funny cartoony swishes.","Wirbel, Strudel"],
["CARTOON","ZUPF","TOONTwang","TOON","Cartoon twangs, that classic ruler twang type sound.","Lineal, Mundharmonika"],
["CARTOON","FAHRZEUG","TOONVeh","TOON","Cartoon vehicles, think Jetsons spaceship or Flintstones cars.","Jetsons, Apparat. Feuerstein-Auto, Fehlzündung"],
["CARTOON","STIMME","TOONVox","TOON","Cartoon vocals, specifically very silly. See also CARTOON-ANIMALS for non-human vocals.","murmeln, alberne Stimme, Cartoon-Stimme"],
["CARTOON","SCHWURBELN","TOONWarb","TOON","Cartoon warble.","Wackeln"],
["CARTOON","PFEIFE","TOONWhis","TOON","Cartoon whistles, most likely slide whistles, other very silly whistles. A Wolf-Whistle.","Schiebepfeife"],
["CARTOON","ZIP","TOONZip","TOON","Cartoon zips. Very fast 'zip' type sounds, often for fast movement aways.","zip, rico, sirene, pfeife"],
["KERAMIK","BRECHEN","CERMBrk","CERM","Ceramics break of a more singular nature, a plate shatter, breaking, cracking, crunching. Mostly for single items breaking. See also CERAMICS-CRASH & DEBRIS.","brechen, knacken, zerbrechen, knirschen"],
["KERAMIK","CRASH & TRÜMMER","CERMCrsh","CERM","Ceramics destruction of more of a group nature, multiple crashes and debris. See also CERAMICS-BREAK.","fallen, Trümmer, Scherben"],
["KERAMIK","FRIKTION","CERMFric","CERM","Ceramics friction, scraping, squeaking, screeching.","belasten, kratzen, knarren, quietschen, kreischen"],
["KERAMIK","HANTIEREN","CERMHndl","CERM","Ceramics handling, picking up a coffee mug, handling a plant pot. Some overlap with CERAMICS-MOVEMENT.","anfassen, greifen, setzen, aufheben, absetzen, werfen, fangen"],
["KERAMIK","EINSCHLAG","CERMImpt","CERM","Ceramics impacts without breaking, so hits drops, clunks and clinks. See also CERAMICS-BREAK.","treffen, fallen lassen, aufprallen, krachen, klappern, klirren"],
["KERAMIK","DIV","CERMMisc","CERM","Ceramics sounds not fitting another category in this list.","Verschiedenes"],
["KERAMIK","BEWEGUNG","CERMMvmt","CERM","Ceramics single or group movement, so dragging, shaking and rattling. See also CERAMICS-HANDLE.","ziehen, rollen, rasseln, schütteln"],
["KERAMIK","TONAL","CERMTonl","CERM","Ceramics ringing, as in being bowed.","krümmen, klingeln, schellen, pingen"],
["KETTE","ZERSTÖRUNG","CHAINBrk","CHAIN","Chain snapping or breaking, that sharp sound of a chain failing.","schnappen, brechen, biegen"],
["KETTE","HANTIEREN","CHAINHndl","CHAIN","Chain handling, repairing a bike chain, a prisoner moving around in chains. Some overlap with CHAINS-MOVEMENT.","Griff, greifen, setzen, aufheben, absetzen, werfen, fangen"],
["KETTE","EINSCHLAG","CHAINImpt","CHAIN","Chain impacts, such a big chain hit or slam, or a tension snap of a chain being pulled taut.","fallen lassen, treffen, aufschlagen, zuschlagen, Spannung schnappen"],
["KETTE","DIV","CHAINMisc","CHAIN","Chain sounds not fitting another category in this list.","Verschiedenes"],
["KETTE","BEWEGUNG","CHAINMvmt","CHAIN","Chain handling, particularly being pulled through pulleys or across surfaces. See also CHAINS-HANDLE.","ziehen, Handschellen, Gefängniskette, Hundekette"],
["CHEMIKALIE","SÄURE","CHEMAcid","CHEM","Chemical acid burning and sizzling, bubbling. A vat of acid.","zischen, schmelzen, sprudeln"],
["CHEMIKALIE","DIV","CHEMMisc","CHEM","Chemical sounds not fitting another category in this list.","Verschiedenes"],
["CHEMIKALIE","REAKTION","CHEMReac","CHEM","Chemical reactions, chemistry set, bubbling, foaming, bunsen burner reactions. Overlap perhaps with LIQUID & MUD category.","Blubbern, Schäumen, Reaktion"],
["UHR","GLOCKE","CLOCKChim","CLOCK","Chimes, bells specifically for a clock, Grandfather clock chimes. Alarm clocks would go to ALARMS-CLOCK.","Glockenspiel, Glocke, Großvateruhr"],
["UHR","MECHANISMUS","CLOCKMech","CLOCK","Clocks winding, complex mechanical clock mechanisms.","Aufziehen, Zahnräder, Kuckucksuhr"],
["UHR","DIV","CLOCKMisc","CLOCK","Clock sounds not fitting another category in this list. Also see ALARMS-CLOCK","Verschiedenes"],
["UHR","TICKEN","CLOCKTick","CLOCK","Analog ticking clocks and watches of all sizes, also mechanical stop watches.","ticken, klicken, Quarz, tick tock, Stoppuhr, Eieruhr"],
["STOFF","FLATTERN","CLOTHFlp","CLOTH","Cloth flapping, as in a flag flapping, or superman's cape. Also ship sails and parachutes.","flattern, Flagge, rascheln, Fallschirm, Umhang, Segeltuch, Segel, Schot"],
["STOFF","HANTIEREN","CLOTHHndl","CLOTH","Cloth handling, grabbing a jacket, clothy arm grabs, etc. Some overlap with CLOTH-MOVEMENT. See also possibly OBJECTS-FASHION.","anfassen, greifen, setzen, aufheben, absetzen, werfen, fangen"],
["STOFF","EINSCHLAG","CLOTHImpt","CLOTH","Cloth impacts, throwing a jacket forcefully to the floor, a wet towel snap. Some overlap with CLOTH-MOVEMENT possible.","treffen, fallen lassen, aufschlagen, klatschen"],
["STOFF","DIV","CLOTHMisc","CLOTH","Cloth sounds not fitting another category in this list.","Verschiedenes"],
["STOFF","BEWEGUNG","CLOTHMvmt","CLOTH","Varied cloth movement except flapping which has its own category. Variety of cloth movement. Cloth zuzz. See also CLOTH-FLAP.","zischen, rauschen, rascheln, kräuseln, zerknittern, mvmt"],
["STOFF","REISSEN","CLOTHRip","CLOTH","Various cloth rips and tears, short to long. Velcro would best fit here too.","reißen, zerreißen, kletten"],
["KOMMUNIKATION","AV-GERÄT","COMAv","COM","Various AV devices such a projector or tape recorder, video cameras here too. Some overlap or confusion with COMMUNICATIONS-CAMERA.","Filmkamera, Spulen, Filmkamera, Projektor, Tonbandgerät, Nagra, Walkman, CD-Player, Reel to Reel, Videorecorder, Laserdisc-Player, Betamax, Diaprojektor, Beamer, iPod, Bolex, 8mm, 16mm"],
["KOMMUNIKATION","KAMERA","COMCam","COM","Still camera shutters, automatic winding, old flash-bulbs. Movie and video cameras to COMMUNICATIONS-AV.","kameraverschluss, aufziehen, blitzlampe, kodak, nikon, canon, olympus, kodak, fuji, fujifilm, mamiya, hasselblad, leica, 35mm, 120mm"],
["KOMMUNIKATION","MOBILTELEFON","COMCell","COM","Cellphones and Smartphones., clicks and rings, tones.","mobiltelefon, smartphone, iphone, blackberry, flip phone, android"],
["KOMMUNIKATION","MIKROFON","COMMic","COM","Feedback and mic bumps and handling. Megaphones would go here too.","mikrofonbedienung, mikrofonabgriff, larsen, megaphon"],
["KOMMUNIKATION","DIV","COMMisc","COM","Communication sounds not fitting another category in this list.","Verschiedenes"],
["KOMMUNIKATION","SCHALLPLATTE","COMPhono","COM","Turntable, Victrola, motors and mechanics. STATIC has its own subcategory here.","Plattenspieler, Victrola, Phonograph, Griffel, Schallplatte"],
["KOMMUNIKATION","RADIO","COMRadio","COM","Tuning, radio and shortwave sounds. STATIC has its own subcategory here. A radio broadcast would go here too. Overlap with VOICES-FUTZED.","Abstimmung, Radio, Kurzwelle, Rauschsperre, Futz, Radiosendung"],
["KOMMUNIKATION","STÖRGERÄUSCH","COMStatic","COM","Static from any electronic source, radio, CB, television, optical noise, phonograph noise.","Rauschen, Fuzz, Scramble"],
["KOMMUNIKATION","SIGNALE","COMTelm","COM","Fax machine tones, modem tones, telegraph, teletype. UI is it's own category","Morsezeichen, Telegraf, Telemetrie, Auslesen, Sos"],
["KOMMUNIKATION","TELEFON","COMTelph","COM","Old school rotary dial and digital telephones. Technically any telephone that isn't a mobile or cell phone.","Wählscheibe, Münztelefon, Wählscheibe, Tastenfeld, Festnetztelefon, Schnurtelefon"],
["KOMMUNIKATION","FERNSEHER","COMTv","COM","Television programs, on and off, channel changes, TV Remote controls. STATIC has its own subcategory here. A television broadcast would go here too. Overlap with VOICES-FUTZED.","Fernseher, Fernbedienung, Wählscheibe, Sendung, Programm, Futz, TV-Sendung, Sendung"],
["KOMMUNIKATION","FUNKGERÄT","COMTran","COM","Walkie Talkies, CBs, Ham Radios, all two-way transceivers and radios go here. Put voices into VOICES-FUTZED.","walkie talkies, cb, Amateurfunkgeräte, Transceiver, Squelch, Gegensprechanlage, Versand"],
["KOMMUNIKATION","SCHREIBMASCHINE","COMType","COM","Old school typewriters, not modern computer keyboards.","Schreibmaschine, Fernschreiber, Wagenrücklauf, Walzenknopf"],
["COMPUTER","FESTPLATTE","CMPTDriv","CMPT","Laptop or other hard drive seeking sounds, data reading.","Überspringen, Suchen, Schleifen, Festplatte, Festplattenlaufwerk"],
["COMPUTER","TASTATUR & MAUS","CMPTKey","CMPT","Typing on computer keyboard, and mouse movement.","Tastatur, Maus, Mäuse, Trackpad"],
["COMPUTER","DIV","CMPTMisc","CMPT","Computer sounds not fitting another category in this list. Printers would go to MACHINES-OFFICE.","Palm Pilot, Pocket PC"],
["KREATUR","MEER","CREAAqua","CREA","Giant mutant squids or sea monsters, kraken, leviathans.","Krake, Meerjungfrau, Riesenkrake"],
["KREATUR","FLUGFÄHIG","CREAAvian","CREA","Alien or Fantasy birds, or weird birdlike creatures. A giant mutant parakeet would go here.","Außerirdische Vögel, extraterrestrische Vögel, Fantasievögel"],
["KREATUR","BIEST","CREABeast","CREA","Big four legged creatures and beasts. Wooly Mammoth, a mutant elephant, Mumakil.","Wollhaarmammut, Mumakil, "],
["KREATUR","BLOB","CREABlob","CREA","Gelatinous and gooey type creatures, gelatinous cube.","Klecks, Glibber, Glibber"],
["KREATUR","DINOSAURIER","CREADino","CREA","Dinosaurs of all types, Jurassic Park.","Brontosaurus, Velociraptor, Triceratops, Stegosaurus, Tyrannosaurus, Allosaurus, Spinosaurus, Brachiosaurus, Archaeopteryx, Pterosaurier, Pterodactylus"],
["KREATUR","DRACHEN","CREADrgn","CREA","Game of Thrones, Lord of the Rings, dragons of all types. See also CREATURES-REPTILIAN.","Drache, Erpel, Wyvern"],
["KREATUR","ELEMENTAR","CREAElem","CREA","Creatures based on elements, rock giants, fire creatures, ice monsters, such a the Balrog, or a Rock Giant.","Felsmonster, Feuermonster, Eismonster, Felsriese, Eisriese, Golem"],
["KREATUR","GEIST","CREAEthr","CREA","Ghosts, spirits, ethereal vocals and wispy movement, apparitions.","Geister, Gespenster, ätherisch, Irrlicht, Gespenst, Seele, Erscheinung, Gespenst, Poltergeist, Phantom, Gespenst"],
["KREATUR","HUMANOID","CREAHmn","CREA","Human sized mythical creatures, so zombies and vampires, elves etc. Troll, Ogres, Orcs. Two legged creatures.","Zombie, Untoter, lebender Toter, Ghul, Vampir, Elf, Orks, Oger, Troll, Tengu, Kobold, Bigfoot, Sumpfwesen, Werwolf, Frankenstein, Mumie"],
["KREATUR","INSEKTOID","CREAInsc","CREA","Giant spiders or other insect like creatures. The creature from The Fly. A giant Tarantula.","Riesenameise, Riesenspinne"],
["KREATUR","DIV","CREAMisc","CREA","Creature sounds not fitting another category in this list.","Verschiedenes"],
["KREATUR","MONSTER","CREAMnstr","CREA","Godzilla, scary monsters, horror monsters. See also CREATURES-HUMANOID.","godzilla, king kong, rancor, behemoth, xenomorph, chupacabra"],
["KREATUR","REPTILARTIG","CREARept","CREA","Giant lizards and snakes, large giant hissing monsters.","Schlange, Serpentine, Rieseneidechse, Riesenschlange"],
["KREATUR","KLEIN","CREASmall","CREA","Specifically small mythical creatures. Fairies, pixies, small rodent like creatures, etc. Distinguished by small size.","Fee, Kobold, Gremlin, Wichtel, Fraggle"],
["KREATUR","EINZELELEMENT","CREASrce","CREA","Source recordings meant for creature design, like prop recordings, human voice packs for design, etc.","bellen, hauchen, rufen, krächzen, krächzen, klappern, schnalzen, schreien, sich anstrengen, grunzen, zischen, heulen, knurren, knurren, guttural, stöhnen, ächzen, Mund, brüllen, schreien, kreischen, quieken, wimmern"],
["MENSCHENMENGE","WÜTEND","CRWDAngr","CRWD","Crowds of upset or angry people, as in a riot, protest, a schoolyard fight. See also AMBIENCE-PROTEST.","Hooligan, randalieren, protestieren, schreien, rowdyhaft"],
["MENSCHENMENGE","APPLAUS","CRWDApls","CRWD","Crowds where the applause is predominantly featured. Use CROWDS-CHEERING for recordings that are mainly vocals.","Beifall, Jubel, Klatschen, Zugabe"],
["MENSCHENMENGE","KAMPF","CRWDBatl","CRWD","Crowds in battle, fighting, yelling screaming, dying. If including gunfire, explosions. use AMBIENCE-WARFARE.","Schlachtrufe, schreien, angreifen, sich versammeln, Armee, Kampf, Handgemenge, Krieg, schreien, sterben"],
["MENSCHENMENGE","FEIER","CRWDCele","CRWD","Crowds celebrating holidays, parties, rowdy crowds. If not clean, use AMBIENCE-CELEBRATION.","feiern, feiertag, party, randalieren, geburtstag, neujahr, weihnachten, parade"],
["MENSCHENMENGE","JUBEL","CRWDCheer","CRWD","Could include applause, but cheering crowds where the crowd vocals are predominant. Overlap with CROWDS-CELEBRATION.","Jubel, Konzert, Stadion, Publikum, Johlen, Schwellen, Gesänge"],
["MENSCHENMENGE","KINDER","CRWDChld","CRWD","Relatively clean vocals of children together, playing in a playground, in a school classroom, recess, school hallway. See also AMBIENCE-SCHOOL.","Spielplatz, Pause, spielende Kinder, Park, spielen, fangen"],
["MENSCHENMENGE","KONVERSATION","CRWDConv","CRWD","A small enough group chat that you can discern words, smaller and less active than a walla. A chatter.","schwatzen, plaudern, reden, spärlich walla, konversieren, Gespräch"],
["MENSCHENMENGE","LACHEN","CRWDLaff","CRWD","Crowds laughing, a comedy show, canned television laughter, groups of kids laughing, at a party for example.","TV-Show, Lachen aus der Konserve, Comedy Club, Lachnummer"],
["MENSCHENMENGE","LOOP GROUP","CRWDLoop","CRWD","For loop group type walla, usually performed for or to picture, specific environments, specific callouts. See also ARCHIVED-LOOP GROUP for official loop group recordings.","Schleifengruppe, adr, aus der Konserve"],
["MENSCHENMENGE","DIV","CRWDMisc","CRWD","Crowd sounds not fitting another category in this list. See also MOVEMENT-CROWD.","Verschiedenes"],
["MENSCHENMENGE","PANIK","CRWDPanic","CRWD","Distressed crowds, mixed screams and crying and reactions… crowds in a natural disaster or crowds in a giant monster attack...","Panik, Chaos, schreien, schreien, weinen, verzweifeln"],
["MENSCHENMENGE","LEISE ANWESENHEIT","CRWDQuiet","CRWD","Very quiet crowds, mostly mumbling or murmuring. Like crowds whispering in church or a courtroom scene. See also VOICES-WHISPER for single person recordings.","murmeln, flüstern, schweigen, murmeln"],
["MENSCHENMENGE","REAKTION","CRWDReac","CRWD","Big Ooos, and Aaahs and Booos, big group responses to events happening. Shocked reactions.","boo, ahh, ooh, Studioreaktion"],
["MENSCHENMENGE","SINGEN","CRWDSing","CRWD","Singing during sporting events, New Year's Eve crowds singing Auld Lang Syne, Christmas carols. Not large choral music, which would go in MUSICAL category.","Gesang, Chor, Choral, Weihnachtslied"],
["MENSCHENMENGE","SPORT","CRWDSprt","CRWD","Clean crowds at sporting events, Baseball, football. For mixed ambience used AMBIENCE-SPORT. A sports chant.","Applaus, Klatschen, Buh, Jubel, Stadion, juhu, Publikum, Olympiade, schreien, woohoo"],
["MENSCHENMENGE","WALLA","CRWDWalla","CRWD","Specifically very clean crowd walla, with non-discernible words. See also various AMBIENCE categories.","Stimmen, Gespräch, Walla, Konversation"],
["SOUND DESIGN","BASS SOUNDS","DSGNBass","DSGN","Deep descending bass notes. Bass Drops.","bass dive, downer, bass drop, fall"],
["SOUND DESIGN","BOOM","DSGNBoom","DSGN","Deep short and tight, low end stingers, big trailer deep hits. LFE type low end sweeteners.","Boom, Tiefschlag, Tiefstich, Anhänger"],
["SOUND DESIGN","BRAAM","DSGNBram","DSGN","Long deep horn like sounds. Like a War of the World's type long sound, or like a long french horn braam type sound.","bramm"],
["SOUND DESIGN","VERZERRUNG","DSGNDist","DSGN","Particulary distored designed sounds and distortion elements.","Verzerrung, abgewinkelt, verzerrt"],
["SOUND DESIGN","DRONE","DSGNDron","DSGN","Designed drones, eerie tense drones, long stylized sounds with not much activity or movement.","Pad, Drone, Textur, bedrohlich, Spannung"],
["SOUND DESIGN","UNHEIMLICH","DSGNErie","DSGN","Often designed, but tense strange undefined sounds that are eerie, tense, suspenseful. Some overlap with DESIGNED-DRONE possible.","gespenstisch, angespannt, seltsam, gruselig, unheimlich, schaurig, gespenstisch, freakig, erschreckend, "],
["SOUND DESIGN","ÄTHERISCH","DSGNEthr","DSGN","Ethereal wispy designed sounds. Ghostlike whispers, or heavenly tones. Otherworldly. See also DESIGNED-EERIE.","ätherisch, himmlisch"],
["SOUND DESIGN","GRANULAR","DSGNGran","DSGN","Granular synthesis, sounds that have a gritty textural type sound, think PaulStretch, sounds broken down into tiny slices and recompiled.","körnig, paulstretch, körner, scheiben"],
["SOUND DESIGN","EINSCHLAG","DSGNImpt","DSGN","Designed huge impacts, collisions, stylized big hits. Possible overlap with DESIGNED-STINGER.","Aufprall, treffen, zuschlagen, zerschmettern, Zusammenstoß"],
["SOUND DESIGN","DIV","DSGNMisc","DSGN","Designed sounds not fitting another category in this list.","Verschiedenes"],
["SOUND DESIGN","MORPH","DSGNMorph","DSGN","A stylized blending of elements, something transitioning into another thing.","morphen, überblenden, Übergang"],
["SOUND DESIGN","ANSCHWELLEN","DSGNRise","DSGN","Tension risers, things rising in tone, something similar to a rising string line to create tension.","Reverse, Crescendo, Rizer, Riser, Spannung"],
["SOUND DESIGN","RUMPELN","DSGNRmbl","DSGN","Designed rumbles for layering into a mix. Earthquake rumbles. Composite rumble.","Subharmonisch, Rumpeln, Schütteln, Erdbeben"],
["SOUND DESIGN","RHYTHMISCH","DSGNRythm","DSGN","Stattaco or glitchy machine type loops, things with definied starts, stops, rhythmic stutters.","stottern, glitch, pulsieren, stattaco"],
["SOUND DESIGN","EINZELELEMENT","DSGNSrce","DSGN","For recordings meant to be used as source for other designed sounds, experimental recordings, elements, etc.","Quelle, roh, Material, Rohaufnahme"],
["SOUND DESIGN","STINGER","DSGNStngr","DSGN","Stings, stylized screen sweeteners. Big trailer type sounds. Big shock scare type sounds. Stylized stings, hits and impacts. Overlap with DESIGNED-IMPACT.","sting, aufschrecken, trailer, cinematic"],
["SOUND DESIGN","SYNTHETISCH","DSGNSynth","DSGN","Very synthesized sounds, very electronic synth stuff. Raw work files of synth-play.","Synthesizer, Synthesizer, Mod-Synthesizer, modularer Synthesizer, granularer, analoger Synthesizer, modularer Synthesizer"],
["SOUND DESIGN","TONAL","DSGNTonl","DSGN","Designed sounds with a particularly tonal nature. The ringing in your ear of tinnitus for example.","Tinnitus, Klingeln, Shell Shock, subjektiv"],
["SOUND DESIGN","STIMME","DSGNVocl","DSGN","Design specifically around vocals, ghostly whispers, enchanted spells, reversed talking etc. Not for Creatures.","Verzauberung, Zauber, verarbeitet, vokal, flüstern, geisterhaft"],
["SOUND DESIGN","WHOOSH","DSGNWhsh","DSGN","Stylized designed big whooshes, definite possible overlap confusion with SHOOSHES-WHOOSH, but this for less natural and more stylized versions.","whoosh, Anhänger zischen, schwirren"],
["ZERSTÖRUNG","KOLLABIEREN","DESTRClpse","DESTR","Buildings and large mixed complex collapses, a barn collapse, Godzilla pushing over a building.","zusammenbrechen, stürzen, fallen, implodieren"],
["ZERSTÖRUNG","CRASH & TRÜMMER","DESTRCrsh","DESTR","Mixed crashes, complex crashes involving more than one material. So a combo huge glass and metal crash. See also individual material categories like METAL, WOOD etc.","abstürzen, zerbrechen, implodieren, zertrümmern, zerbrechen, zerschmettern"],
["ZERSTÖRUNG","DIV","DESTRMisc","DESTR","Destruction sounds not fitting another category in this list.","Verschiedenes"],
["DRECK & SAND","CRASH & TRÜMMER","DIRTCrsh","DIRT","Dirt or sand settling, as in after an explosion, big sprays of dirt and sand. DUST has its own subcategory.","Trümmer, Sand, Schmutz, rieseln, spritzen, bröckeln"],
["DRECK & SAND","STAUB","DIRTDust","DIRT","Settling dust, dust clouds, much lighter sound than DIRT & SAND-DEBRIS","fein, Partikel, Sediment, Schlick, Staub"],
["DRECK & SAND","HANTIEREN","DIRTHndl","DIRT","Handling dirt & sand, hands digging through dirt, children making a sand castle. Some overlap with DIRT & SAND-MOVEMENT.","handhaben, greifen, graben, fangen"],
["DRECK & SAND","EINSCHLAG","DIRTImpt","DIRT","Big hits and impacts of dirt of sand, dirt clods. Think the huge dirt ball impacts in WHERE THE WILD THINGS ARE.","auskippen, plumpsen, abladen, fallen lassen"],
["DRECK & SAND","DIV","DIRTMisc","DIRT","Dirt, Sand and Earth sounds not fitting another category in this list.","Verschiedenes"],
["DRECK & SAND","BEWEGUNG","DIRTMvmt","DIRT","Pouring, flowing of dirt or sand, a big sand pour. See also DIRT & SAND-HANDLE.","schütten, abladen, fließen, verschütten"],
["DRECK & SAND","TONAL","DIRTTonl","DIRT","Singing sand dunes. Probably pretty rare.","Sanddünen, singende Sande"],
["TÜR","ANTIK","DOORAntq","DOOR","Very old sounding doors, as in an old castle or abbey. But massive doors of this type probably to DOOR-DUNGEON.","Schloss, Abby, Kirche, alt, uralt, antik"],
["TÜR","HAUSHALTSGERÄT","DOORAppl","DOOR","Appliance doors such as oven, dishwasher, refrigerator or microwave.","Ofen, Mikrowelle, Kühlschrank, Geschirrspüler, Waschmaschine, Trockner"],
["TÜR","SCHRANK","DOORCab","DOOR","Cabinet doors, such as kitchen cabinet, tool cabinets.","Schrank, Küchenschrank, Werkzeugschrank"],
