[["AIR","SOUFFLE","AIRBlow","AIR","Steady air blows, like from a compressed can of air.","air comprimé, dépressuriser, relâcher, souffler, cracher, flotter, purger"],
["BATEAUX","À VOILE","BOATSail","BOAT","Composite recordings of rigging and sails, isolated elements to CLOTH-FLAP for close sails, or BOATS-MECHANISM for rigging.","voilier, goélette, yole, sloop, ketch, motonautisme"],
["BATEAUX","NAVIRE","BOATShip","BOAT","Large ship, passenger cruise ships, oil tankers, things relating to these.","grand navire, navire de croisière, pétrolier, navire de charge, cargo"],
["BATEAUX","À VAPEUR","BOATStm","BOAT","Old steam paddle boats, big steam ship sounds.","bateau à vapeur à pagaies, bateau à vapeur à pagaies, machine à vapeur"],
["BATEAUX","SOUS MARIN","BOATSub","BOAT","Relating to a submarine, include sonar pings. Classic 'Dive' alarm would go in ALARMS-SIREN with keyword Klaxon.","sous-marin, sonar, submersible, u-boat"],
["BATEAUX","SOUS MARIN","BOATUndwtr","BOAT","Specifically boats and ships recorded underwater, usually hydrophone recordings. SUBMARINES have their own subcategory.","bateau, navire, sous-marin, pétrolier, bateau de pêche, bateau à moteur, sous-marin"],
["BALLES","PASSAGE","BLLTBy","BLLT","Bullet pass bys in air, or underwater.","balle qui passe, fwip"],
["BALLES","IMPACT","BLLTImpt","BLLT","Bullet hits and impacts, on a bullet hit on any material from the ground, to wood, to a person.","impact de balle, coup de balle"],
["BALLES","DIVERS","BLLTMisc","BLLT","Bullet sounds not fitting another category in this list.","divers"],
["BALLES","RICOCHET","BLLTRico","BLLT","Bullet ricochets, that classic old west 'ping' when a bullet bounces off something.","ricos, ricochet, déviation"],
["BALLES","DOUILLE","BLLTShel","BLLT","Bullet shells ejecting and dropping to the ground. See also GUNS-HANDLING for things like loading or unloading a gun.","obus, douille, éjection"],
["CARTOON","ANIMAUX","TOONAnml","TOON","Cartoon animals, made from animals calls, props, etc. Very silly or stylized animals calls for use in Cartoons.","faux animal, appel de chasse, appel de canard"],
["CARTOON","BOING","TOONBoing","TOON","Cartoon boings, like for a bouncing cartoon character. Roger Rabbit or Tigger from Winnie the Pooh.","Guimbarde, guimbarde"],
["CARTOON","CLANG","TOONClang","TOON","Cartoon clangs, like a funny anvil hit. Most likely a very metallic resonant hit.","cliquetis, métallique"],
["CARTOON","CRAQUEMENT","TOONCreak","TOON","Cartoon creaks, some overlap or confusion with CARTOON-STRETCH possible.","caoutchouc, bois"],
["CARTOON","POUET","TOONHorn","TOON","Cartoon horns, as in bulb horns, clown horns.","corne d'ampoule, klaxon, corne de clown"],
["CARTOON","IMPACT","TOONImpt","TOON","Cartoon hits, bonk, boink, doink..","bonk, boink, doink"],
["CARTOON","MACHINE","TOONMach","TOON","Cartoon machines, an overly comical sounding machine or contraption. A Rube Goldberg contraption.","engin, machine comique, machine Rube Goldberg"],
["CARTOON","DIVERS","TOONMisc","TOON","Cartoon sounds not fitting another category in this list.","toon, squanch, blorb, flump"],
["CARTOON","MUSICAL","TOONMx","TOON","Cartoon musical phrases. String plucks for a cartoon character sneaking up on another. Perhaps a cartoon musical phrase.","glissade, montée, descente,"],
["CARTOON","PLUCK","TOONPluk","TOON","Cartoon string plucks, violin plucks, dental floss plucks.","pincement de corde"],
["CARTOON","POP","TOONPop","TOON","Cartoon funny pops, mouth pops, suction cup pops.","pistolet à air comprimé, bouche à air comprimé, ventouse, bulles d'air"],
["CARTOON","SHAKER","TOONShake","TOON","Cartoon shake, like a noisemaker toy, maraca.","hochet"],
["CARTOON","SPLAT","TOONSplt","TOON","Cartoon splats, funny liquid and mud like splats and things.","splat, splort, squish"],
["CARTOON","SQUEAK","TOONSqk","TOON","Cartoon squeaks. funny little sounding squeaks of things.","grincer"],
["CARTOON","TENSION","TOONStrch","TOON","Cartoon stretches, funny rubber or other type stretching sounds, exaggerated.","forcer"],
["CARTOON","SWISH","TOONSwsh","TOON","Cartoon swishes, specifically very funny cartoony swishes.","tournoiement, tourbillon"],
["CARTOON","TWANG","TOONTwang","TOON","Cartoon twangs, that classic ruler twang type sound.","règle, harpe buccale"],
["CARTOON","VÉHICULE","TOONVeh","TOON","Cartoon vehicles, think Jetsons spaceship or Flintstones cars.","jetsons, engin. voiture Pierrafeu, pétarade"],
["CARTOON","VOIX","TOONVox","TOON","Cartoon vocals, specifically very silly. See also CARTOON-ANIMALS for non-human vocals.","marmonner, voix idiote, voix de dessin animé"],
["CARTOON","GAZOUILLIS","TOONWarb","TOON","Cartoon warble.","wobble"],
["CARTOON","SIFFLET","TOONWhis","TOON","Cartoon whistles, most likely slide whistles, other very silly whistles. A Wolf-Whistle.","sifflet à glissière"],
["CARTOON","ZIP","TOONZip","TOON","Cartoon zips. Very fast 'zip' type sounds, often for fast movement aways.","zip, rico, sirène, sifflet"],
["CÉRAMIQUE","CASSE","CERMBrk","CERM","Ceramics break of a more singular nature, a plate shatter, breaking, cracking, crunching. Mostly for single items breaking. See also CERAMICS-CRASH & DEBRIS.","casser, craquer, briser, craquer"],
["CÉRAMIQUE","CRASH & DÉBRIS","CERMCrsh","CERM","Ceramics destruction of more of a group nature, multiple crashes and debris. See also CERAMICS-BREAK.","chute, débris, éclats"],
["CÉRAMIQUE","FRICTION","CERMFric","CERM","Ceramics friction, scraping, squeaking, screeching.","stresser, gratter, craquer, grincer, hurler"],
["CÉRAMIQUE","MANIPULATION","CERMHndl","CERM","Ceramics handling, picking up a coffee mug, handling a plant pot. Some overlap with CERAMICS-MOVEMENT.","manipuler, saisir, poser, ramasser, poser, lancer, attraper"],
["CÉRAMIQUE","IMPACT","CERMImpt","CERM","Ceramics impacts without breaking, so hits drops, clunks and clinks. See also CERAMICS-BREAK.","frapper, tomber, impacter, s'écraser, s'entrechoquer, s'entrechoquer"],
["CÉRAMIQUE","DIVERS","CERMMisc","CERM","Ceramics sounds not fitting another category in this list.","divers"],
["CÉRAMIQUE","MOUVEMENT","CERMMvmt","CERM","Ceramics single or group movement, so dragging, shaking and rattling. See also CERAMICS-HANDLE.","traîner, rouler, cliqueter, secouer"],
["CÉRAMIQUE","TONAL","CERMTonl","CERM","Ceramics ringing, as in being bowed.","s'incliner, sonner, shing, ping"],
["CHAÎNES","CASSE","CHAINBrk","CHAIN","Chain snapping or breaking, that sharp sound of a chain failing.","casser, briser, plier"],
["CHAÎNES","MANIPULATION","CHAINHndl","CHAIN","Chain handling, repairing a bike chain, a prisoner moving around in chains. Some overlap with CHAINS-MOVEMENT.","manipuler, saisir, poser, ramasser, poser, lancer, attraper"],
["CHAÎNES","IMPACT","CHAINImpt","CHAIN","Chain impacts, such a big chain hit or slam, or a tension snap of a chain being pulled taut.","chute, coup, impact, claquement, claquement de tension"],
["CHAÎNES","DIVERS","CHAINMisc","CHAIN","Chain sounds not fitting another category in this list.","divers"],
["CHAÎNES","MOUVEMENT","CHAINMvmt","CHAIN","Chain handling, particularly being pulled through pulleys or across surfaces. See also CHAINS-HANDLE.","traîner, menottes, chaîne de prison, chaîne de chien"],
["CHIMIQUE","ACIDE","CHEMAcid","CHEM","Chemical acid burning and sizzling, bubbling. A vat of acid.","grésiller, fondre, pétiller"],
["CHIMIQUE","DIVERS","CHEMMisc","CHEM","Chemical sounds not fitting another category in this list.","divers"],
["CHIMIQUE","RÉACTION","CHEMReac","CHEM","Chemical reactions, chemistry set, bubbling, foaming, bunsen burner reactions. Overlap perhaps with LIQUID & MUD category.","bouillonnement, mousse, réaction"],
["HORLOGES","CARILLON","CLOCKChim","CLOCK","Chimes, bells specifically for a clock, Grandfather clock chimes. Alarm clocks would go to ALARMS-CLOCK.","carillon, cloche, horloge de parquet"],
["HORLOGES","MÉCANISME","CLOCKMech","CLOCK","Clocks winding, complex mechanical clock mechanisms.","remontage, engrenage d'horloge, coucou"],
["HORLOGES","DIVERS","CLOCKMisc","CLOCK","Clock sounds not fitting another category in this list. Also see ALARMS-CLOCK","divers"],
["HORLOGES","TIC TAC","CLOCKTick","CLOCK","Analog ticking clocks and watches of all sizes, also mechanical stop watches.","tic-tac, clic, quartz, tic-tac, chronomètre, minuteur d'œuf"],
["TISSUS","BATTEMENT","CLOTHFlp","CLOTH","Cloth flapping, as in a flag flapping, or superman's cape. Also ship sails and parachutes.","rabat, drapeau, bruissement, parachute, cape, toile à voile, voile, drap"],
["TISSUS","MANIPULATION","CLOTHHndl","CLOTH","Cloth handling, grabbing a jacket, clothy arm grabs, etc. Some overlap with CLOTH-MOVEMENT. See also possibly OBJECTS-FASHION.","manipuler, saisir, poser, ramasser, poser, lancer, attraper"],
["TISSUS","IMPACT","CLOTHImpt","CLOTH","Cloth impacts, throwing a jacket forcefully to the floor, a wet towel snap. Some overlap with CLOTH-MOVEMENT possible.","frapper, laisser tomber, impact, gifler"],
["TISSUS","DIVERS","CLOTHMisc","CLOTH","Cloth sounds not fitting another category in this list.","divers"],
["TISSUS","MOUVEMENT","CLOTHMvmt","CLOTH","Varied cloth movement except flapping which has its own category. Variety of cloth movement. Cloth zuzz. See also CLOTH-FLAP.","zézayer, bruissement, froisser, froisser, froisser, mvmt"],
["TISSUS","DÉCHIRE","CLOTHRip","CLOTH","Various cloth rips and tears, short to long. Velcro would best fit here too.","déchirer, arracher, velcro"],
["COMMUNICATIONS","AUDIOVISUEL","COMAv","COM","Various AV devices such a projector or tape recorder, video cameras here too. Some overlap or confusion with COMMUNICATIONS-CAMERA.","caméra de cinéma, bobinage, caméra de film, projecteur, magnétophone, nagra, walkman, lecteur de CD, bobine à bobine, vcr, lecteur de disque laser, betamax, projecteur de diapositives, beamer, ipod, bolex, 8mm, 16mm"],
["COMMUNICATIONS","APPAREIL PHOTO","COMCam","COM","Still camera shutters, automatic winding, old flash-bulbs. Movie and video cameras to COMMUNICATIONS-AV.","obturateur d'appareil photo, bobinage, flash, kodak, nikon, canon, olympus, fuji, fujifilm, mamiya, hasselblad, leica, 35mm, 120mm"],
["COMMUNICATIONS","PORTABLE","COMCell","COM","Cellphones and Smartphones., clicks and rings, tones.","téléphone mobile, smartphone, iphone, blackberry, flip phone, android"],
["COMMUNICATIONS","MICROPHONE","COMMic","COM","Feedback and mic bumps and handling. Megaphones would go here too.","manipulation de micro, mic tap, larsen, mégaphone"],
["COMMUNICATIONS","DIVERS","COMMisc","COM","Communication sounds not fitting another category in this list.","divers"],
["COMMUNICATIONS","PHONOGRAPHE","COMPhono","COM","Turntable, Victrola, motors and mechanics. STATIC has its own subcategory here.","platine, victrola, phonographe, stylet, disque vinyle"],
["COMMUNICATIONS","RADIO","COMRadio","COM","Tuning, radio and shortwave sounds. STATIC has its own subcategory here. A radio broadcast would go here too. Overlap with VOICES-FUTZED.","syntonisation, radio, ondes courtes, squelch, futz, émission radio"],
["COMMUNICATIONS","PARASITES","COMStatic","COM","Static from any electronic source, radio, CB, television, optical noise, phonograph noise.","statique, fuzz, scramble"],
["COMMUNICATIONS","TÉLÉMÉTRIE","COMTelm","COM","Fax machine tones, modem tones, telegraph, teletype. UI is it's own category","code morse, télégraphe, télémétrie, lecture, sos"],
["COMMUNICATIONS","TÉLÉPHONE","COMTelph","COM","Old school rotary dial and digital telephones. Technically any telephone that isn't a mobile or cell phone.","cadran, téléphone public, cadran rotatif, clavier, ligne terrestre, téléphone à fil"],
["COMMUNICATIONS","TÉLÉVISION","COMTv","COM","Television programs, on and off, channel changes, TV Remote controls. STATIC has its own subcategory here. A television broadcast would go here too. Overlap with VOICES-FUTZED.","tv, télécommande, cadran, émission, programme, futz, émission de télévision, diffusion"],
["COMMUNICATIONS","TALKIE WALKIE","COMTran","COM","Walkie Talkies, CBs, Ham Radios, all two-way transceivers and radios go here. Put voices into VOICES-FUTZED.","talkie-walkie, cb, ham radios, émetteur-récepteur, squelch, intercom, dispatching"],
["COMMUNICATIONS","MACHINE À ÉCRIRE","COMType","COM","Old school typewriters, not modern computer keyboards.","machine à écrire, téléimprimeur, retour chariot, bouton de platine"],
["ORDINATEURS","DISQUE DUR","CMPTDriv","CMPT","Laptop or other hard drive seeking sounds, data reading.","sauter, rechercher, broyer, disque dur, disque dur"],
["ORDINATEURS","CLAVIER & SOURIS","CMPTKey","CMPT","Typing on computer keyboard, and mouse movement.","clavier, souris, souris, trackpad"],
["ORDINATEURS","DIVERS","CMPTMisc","CMPT","Computer sounds not fitting another category in this list. Printers would go to MACHINES-OFFICE.","pilote de poche, pocket pc"],
["CRÉATURES","AQUATIQUE","CREAAqua","CREA","Giant mutant squids or sea monsters, kraken, leviathans.","kraken, sirène, calmar géant"],
["CRÉATURES","VOLANTE","CREAAvian","CREA","Alien or Fantasy birds, or weird birdlike creatures. A giant mutant parakeet would go here.","oiseaux extraterrestres, oiseaux fantastiques, oiseaux fantastiques"],
["CRÉATURES","BÊTE","CREABeast","CREA","Big four legged creatures and beasts. Wooly Mammoth, a mutant elephant, Mumakil.","mammouth laineux, momakil, "],
["CRÉATURES","GÉLATINEUSE","CREABlob","CREA","Gelatinous and gooey type creatures, gelatinous cube.","blob, gloop, goop"],
["CRÉATURES","DINOSAURE","CREADino","CREA","Dinosaurs of all types, Jurassic Park.","brontosaure, vélociraptor, tricératops, stégosaure, tyrannosaure, allosaure, spinosaurus, brachiosaurus, archéoptéryx, ptérosaurus, ptérodactyle"],
["CRÉATURES","DRAGON","CREADrgn","CREA","Game of Thrones, Lord of the Rings, dragons of all types. See also CREATURES-REPTILIAN.","dragon, drake, wyvern"],
["CRÉATURES","ÉLÉMENTAIRE","CREAElem","CREA","Creatures based on elements, rock giants, fire creatures, ice monsters, such a the Balrog, or a Rock Giant.","monstre de roche, monstre de feu, monstre de glace, géant de roche, géant de glace, golem"],
["CRÉATURES","FANTÔME","CREAEthr","CREA","Ghosts, spirits, ethereal vocals and wispy movement, apparitions.","fantômes, esprits, éthérés, spectres, âmes, apparitions, spectres, poltergeist, fantômes, fantômes, spectre"],
["CRÉATURES","HUMANOÏDE","CREAHmn","CREA","Human sized mythical creatures, so zombies and vampires, elves etc. Troll, Ogres, Orcs. Two legged creatures.","zombie, mort-vivant, mort vivant, goule, vampire, elfe, orcs, ogre, troll, tengu, lutin, bigfoot, chose des marais, loup-garou, frankenstein, momie"],
["CRÉATURES","INSECTOÏDE","CREAInsc","CREA","Giant spiders or other insect like creatures. The creature from The Fly. A giant Tarantula.","fourmi géante, araignée géante"],
["CRÉATURES","DIVERS","CREAMisc","CREA","Creature sounds not fitting another category in this list.","divers"],
["CRÉATURES","MONSTRES","CREAMnstr","CREA","Godzilla, scary monsters, horror monsters. See also CREATURES-HUMANOID.","godzilla, king kong, rancor, behemoth, xenomorph, chupacabra"],
["CRÉATURES","REPTILE","CREARept","CREA","Giant lizards and snakes, large giant hissing monsters.","serpent, serpentine, lézard géant, serpent géant"],
["CRÉATURES","PETITE","CREASmall","CREA","Specifically small mythical creatures. Fairies, pixies, small rodent like creatures, etc. Distinguished by small size.","fée, lutin, gremlin, diablotin, fraggle"],
["CRÉATURES","SOURCE","CREASrce","CREA","Source recordings meant for creature design, like prop recordings, human voice packs for design, etc.","aboiement, souffle, appel, croassement, cri, claquement, cri, effort, grognement, sifflement, hurlement, grondement, grognement, guttural, gémissement, gémissement, bouche, rugissement, cri, hurlement, cris, crissement, gémissement, gémissement"],
["FOULES","EN COLÈRE","CRWDAngr","CRWD","Crowds of upset or angry people, as in a riot, protest, a schoolyard fight. See also AMBIENCE-PROTEST.","hooligan, émeute, protestation, crier, tapageur"],
["FOULES","APPLAUDISSEMENT","CRWDApls","CRWD","Crowds where the applause is predominantly featured. Use CROWDS-CHEERING for recordings that are mainly vocals.","applaudir, acclamer, applaudir, rappel"],
["FOULES","BATAILLE","CRWDBatl","CRWD","Crowds in battle, fighting, yelling screaming, dying. If including gunfire, explosions. use AMBIENCE-WARFARE.","cri de guerre, crier, charger, rallier, armée, bataille, échauffourée, guerre, hurler, mourir"],
["FOULES","FÊTE","CRWDCele","CRWD","Crowds celebrating holidays, parties, rowdy crowds. If not clean, use AMBIENCE-CELEBRATION.","célébrer, vacances, fête, chahut, anniversaire, nouvel an, Noël, défilé"],
["FOULES","ACCLAMATION","CRWDCheer","CRWD","Could include applause, but cheering crowds where the crowd vocals are predominant. Overlap with CROWDS-CELEBRATION.","acclamations, concert, stade, public, clameurs, houles, chants"],
["FOULES","ENFANTS","CRWDChld","CRWD","Relatively clean vocals of children together, playing in a playground, in a school classroom, recess, school hallway. See also AMBIENCE-SCHOOL.","cour de récréation, récréation, enfants jouant, parc, jeu, tag"],
["FOULES","CONVERSATION","CRWDConv","CRWD","A small enough group chat that you can discern words, smaller and less active than a walla. A chatter.","bavarder, discuter, parler, éparpiller, converser, conversation"],
["FOULES","RIRE","CRWDLaff","CRWD","Crowds laughing, a comedy show, canned television laughter, groups of kids laughing, at a party for example.","émission de télévision, rires en boîte, club de comédie, piste de rire"],
["FOULES","AMBIANCE POST-SYNCHRO","CRWDLoop","CRWD","For loop group type walla, usually performed for or to picture, specific environments, specific callouts. See also ARCHIVED-LOOP GROUP for official loop group recordings.","groupe en boucle, adr, en boîte"],
["FOULES","DIVERS","CRWDMisc","CRWD","Crowd sounds not fitting another category in this list. See also MOVEMENT-CROWD.","divers"],
["FOULES","PANIQUE","CRWDPanic","CRWD","Distressed crowds, mixed screams and crying and reactions… crowds in a natural disaster or crowds in a giant monster attack...","panique, chaos, cri, hurler, pleurer, détresse"],
["FOULES","CALME","CRWDQuiet","CRWD","Very quiet crowds, mostly mumbling or murmuring. Like crowds whispering in church or a courtroom scene. See also VOICES-WHISPER for single person recordings.","murmurer, chuchoter, étouffer, marmonner"],
["FOULES","RÉACTION","CRWDReac","CRWD","Big Ooos, and Aaahs and Booos, big group responses to events happening. Shocked reactions.","boo, ahh, ooh, réaction en studio"],
["FOULES","CHANT","CRWDSing","CRWD","Singing during sporting events, New Year's Eve crowds singing Auld Lang Syne, Christmas carols. Not large choral music, which would go in MUSICAL category.","chant, chœur, chorale, carol"],
["FOULES","SPORT","CRWDSprt","CRWD","Clean crowds at sporting events, Baseball, football. For mixed ambience used AMBIENCE-SPORT. A sports chant.","applaudir, applaudir, huer, acclamer, stade, yay, public, olympique, crier, woohoo"],
["FOULES","WALLA","CRWDWalla","CRWD","Specifically very clean crowd walla, with non-discernible words. See also various AMBIENCE categories.","voix, parler, walla, conversation"],
["DESIGN","BASS DIVE","DSGNBass","DSGN","Deep descending bass notes. Bass Drops.","bass dive, downer, bass drop, fall"],
["DESIGN","BOOM","DSGNBoom","DSGN","Deep short and tight, low end stingers, big trailer deep hits. LFE type low end sweeteners.","boom, deep hit, low sting, trailer"],
["DESIGN","BRAAM","DSGNBram","DSGN","Long deep horn like sounds. Like a War of the World's type long sound, or like a long french horn braam type sound.","bramm"],
["DESIGN","DISTORSION","DSGNDist","DSGN","Particulary distored designed sounds and distortion elements.","distorsion, carré, déformé"],
["DESIGN","DRONE","DSGNDron","DSGN","Designed drones, eerie tense drones, long stylized sounds with not much activity or movement.","pad, drone, texture, sinistre, tension"],
["DESIGN","INQUIÉTANT","DSGNErie","DSGN","Often designed, but tense strange undefined sounds that are eerie, tense, suspenseful. Some overlap with DESIGNED-DRONE possible.","sinistre, tendu, étrange, effrayant, effrayant, glacial, obsédant, effrayant, effrayant, "],
["DESIGN","ÉTHÉRÉ","DSGNEthr","DSGN","Ethereal wispy designed sounds. Ghostlike whispers, or heavenly tones. Otherworldly. See also DESIGNED-EERIE.","éthéré, céleste"],
["DESIGN","GRANULAIRE","DSGNGran","DSGN","Granular synthesis, sounds that have a gritty textural type sound, think PaulStretch, sounds broken down into tiny slices and recompiled.","granuleux, paulstretch, grains, tranches"],
["DESIGN","IMPACT","DSGNImpt","DSGN","Designed huge impacts, collisions, stylized big hits. Possible overlap with DESIGNED-STINGER.","impact, coup, claquement, fracas, collision"],
["DESIGN","DIVERS","DSGNMisc","DSGN","Designed sounds not fitting another category in this list.","divers"],
["DESIGN","TRANSFORMATION","DSGNMorph","DSGN","A stylized blending of elements, something transitioning into another thing.","morph, blend, transition"],
["DESIGN","RISER","DSGNRise","DSGN","Tension risers, things rising in tone, something similar to a rising string line to create tension.","inverser, crescendo, rizer, riser, tension"],
["DESIGN","RUMBLE","DSGNRmbl","DSGN","Designed rumbles for layering into a mix. Earthquake rumbles. Composite rumble.","subharmonique, grondement, secousse, tremblement de terre"],
["DESIGN","RYTHMIQUE","DSGNRythm","DSGN","Stattaco or glitchy machine type loops, things with definied starts, stops, rhythmic stutters.","stutter, glitch, pulse, stattaco"],
["DESIGN","SOURCE","DSGNSrce","DSGN","For recordings meant to be used as source for other designed sounds, experimental recordings, elements, etc.","source, brut, matériau, enregistrement brut"],
["DESIGN","STINGER","DSGNStngr","DSGN","Stings, stylized screen sweeteners. Big trailer type sounds. Big shock scare type sounds. Stylized stings, hits and impacts. Overlap with DESIGNED-IMPACT.","piquer, sursauter, bande-annonce, cinématique"],
["DESIGN","SYNTHÉTIQUE","DSGNSynth","DSGN","Very synthesized sounds, very electronic synth stuff. Raw work files of synth-play.","synthétisé, synthé, synthé mod, synthé modulaire, granulaire, synthé analogique, synthé modulaire"],
["DESIGN","TONAL","DSGNTonl","DSGN","Designed sounds with a particularly tonal nature. The ringing in your ear of tinnitus for example.","acouphène, bourdonnement, traumatisme, subjectif"],
["DESIGN","VOIX","DSGNVocl","DSGN","Design specifically around vocals, ghostly whispers, enchanted spells, reversed talking etc. Not for Creatures.","enchantement, sortilège, traité, vocal, chuchotement, fantomatique"],
["DESIGN","WHOOSH","DSGNWhsh","DSGN","Stylized designed big whooshes, definite possible overlap confusion with SHOOSHES-WHOOSH, but this for less natural and more stylized versions.","whoosh, trailer swish, swish"],
["DESTRUCTION","ÉFFONDREMENT","DESTRClpse","DESTR","Buildings and large mixed complex collapses, a barn collapse, Godzilla pushing over a building.","effondrement, basculement, chute, implosion"],
["DESTRUCTION","CRASH & DÉBRIS","DESTRCrsh","DESTR","Mixed crashes, complex crashes involving more than one material. So a combo huge glass and metal crash. See also individual material categories like METAL, WOOD etc.","crash, rupture, implosion, smash, break, shatter"],
["DESTRUCTION","DIVERS","DESTRMisc","DESTR","Destruction sounds not fitting another category in this list.","divers"],
["TERRE & SABLE","CRASH & DÉBRIS","DIRTCrsh","DIRT","Dirt or sand settling, as in after an explosion, big sprays of dirt and sand. DUST has its own subcategory.","débris, sable, saleté, ruissellement, jet, émiettement"],
["TERRE & SABLE","POUSSIÈRE","DIRTDust","DIRT","Settling dust, dust clouds, much lighter sound than DIRT & SAND-DEBRIS","fin, particule, sédiment, limon, poussière"],
["TERRE & SABLE","MANIPULATION","DIRTHndl","DIRT","Handling dirt & sand, hands digging through dirt, children making a sand castle. Some overlap with DIRT & SAND-MOVEMENT.","manipuler, saisir, creuser, attraper"],
["TERRE & SABLE","IMPACT","DIRTImpt","DIRT","Big hits and impacts of dirt of sand, dirt clods. Think the huge dirt ball impacts in WHERE THE WILD THINGS ARE.","déverser, déverser, décharger, laisser tomber"],
["TERRE & SABLE","DIVERS","DIRTMisc","DIRT","Dirt, Sand and Earth sounds not fitting another category in this list.","divers"],
["TERRE & SABLE","MOUVEMENT","DIRTMvmt","DIRT","Pouring, flowing of dirt or sand, a big sand pour. See also DIRT & SAND-HANDLE.","verser, décharger, couler, déverser"],
["TERRE & SABLE","TONAL","DIRTTonl","DIRT","Singing sand dunes. Probably pretty rare.","dunes de sable, sables chantants"],
["PORTES","ANCIENNE","DOORAntq","DOOR","Very old sounding doors, as in an old castle or abbey. But massive doors of this type probably to DOOR-DUNGEON.","château, abby, église, vieux, ancien, antique"],
["PORTES","APPAREIL","DOORAppl","DOOR","Appliance doors such as oven, dishwasher, refrigerator or microwave.","four, micro-ondes, réfrigérateur, lave-vaisselle, machine à laver, sèche-linge"],
["PORTES","MEUBLE","DOORCab","DOOR","Cabinet doors, such as kitchen cabinet, tool cabinets.","armoire, armoire de cuisine, armoire à outils"],
["PORTES","COMPOSITE","DOORComp","DOOR","Fiberglass, wood steel combination, doors that don't sound like a specific material. A modern front door. Some confusion or overlap with DOORS-WOOD likely.","fibre de verre, porte"],
["PORTES","GRINCEMENT","DOORCreak","DOOR","Door creaks, wood or metal, overlap with WOOD-FRICTION and METAL-FRICTION, but specifically door creaks.","grincement, porte, donjon, cave, château, porte en bois, porte en métal, grincement de porte"],
["PORTES","DONJON","DOORDungn","DOOR","That big old classic wood and/or metal heavy dungeon, castle type door.","château, donjon, grande, cave"],
["PORTES","ÉLECTRIQUE","DOORElec","DOOR","Electric doors of all kinds, garage doors, big soundstage doors, sliding store doors. See also DOORS-REVOLVING.","porte électrique, porte de garage, porte de sonorisation, porte automatique"],
["PORTES","PORTAIL","DOORGate","DOOR","Non-motorized gates, metal or wood. So a garden gate, a park gate. A farm gate.","portail de jardin, portail de clôture, portail de parc, passage à niveau, portail pour bétail, portail de ferme"],
["PORTES","VERRE","DOORGlas","DOOR","Glass doors, manual shopping store doors, glass home front doors. Most store doors would probably fit here.","porte vitrée, porte de magasin, porte de baie, porte française"],
["PORTES","MATÉRIEL","DOORHdwr","DOOR","Door knobs, door locks, deadbolts, chain locks, push bars. Lock Picking, Doorknob Jiggles.","poignée de porte, pêne dormant, barre de poussée, chaîne de fermeture, charnière, loquet, poignée, quincaillerie, crochetage de serrure, secousse..."],
["PORTES","HIGH TECH","DOORTech","DOOR","James bond type doors, something not quite sci-fi but more advanced, Modern lab, or air sealed chamber, vaults. See also SCIFI-DOOR.","porte de laboratoire"],
["PORTES","HYDRAULIQUE & PNEUMATIQUE","DOORHydr","DOOR","Self closing doors, lots of office and store doors are of this type. Also automatic doors if hydraulic or pneumatic.","ferme-porte, pneumatique, hydraulique, trappe motorisée"],
["PORTES","TOQUER","DOORKnck","DOOR","Knocking on various door surfaces.","frapper, frapper, frapper, frapper, bruit sourd, bruit sourd"],
["PORTES","MÉTAL","DOORMetl","DOOR","Metal doors, like a vault door or heavy door. PRISON doors have their own category, as they are quite specific sounding.","rollup, chambre forte, coffre-fort, trappe"],
["PORTES","DIVERS","DOORMisc","DOOR","Door sounds not fitting another category in this list.","divers"],
["PORTES","PLASTIQUE","DOORPlas","DOOR","Doors made out of plastic. Not very common but maybe a door to a child's play house.","porta john, porta let, porta pottie"],
["PORTES","PRISON","DOORPrisn","DOOR","Big metal jail and prison doors. Sliding prison doors, or swinging jail doors.","porte de prison, porte de prison"],
["PORTES","TAMBOUR","DOORRevl","DOOR","Classic revolving doors used as entries to hotels, banks, malls.","tourner, tourner, porte tournante, hôtel, aéroport, centre commercial"],
["PORTES","COULISSANTE","DOORSlid","DOOR","Manual sliding doors, such as a patio door, sliding shower doors. Electric sliding doors to DOORS-ELECTRIC.","porte vitrée coulissante, porte patio, porte de douche"],
["PORTES","PIERRE","DOORSton","DOOR","Mostly a fantasy type door, but think Gates of Moria, big tombstone vault doors.","tombe, crypte, temple, mausolée, entrée secrète"],
["PORTES","BATTANTE","DOORSwng","DOOR","Swinging doors, like old-west saloon or church pulpit doors. Doors on swinging springs.","porte de saloon, porte de circulation, porte de restaurant, porte de chaire d'église"],
["PORTES","BOIS","DOORWood","DOOR","Wood doors, home, school, most general door category probably.","entrée, porte d'entrée, placard"],
["TIROIRS","MÉTAL","DRWRMetl","DRWR","Metal drawers like on a toolbox.","boîte à outils, tiroir à crémaillère, armoire de classement, caisse enregistreuse, tiroir de sécurité"],
["TIROIRS","DIVERS","DRWRMisc","DRWR","Drawer sounds not fitting another category in this list.","divers"],
["TIROIRS","PLASTIQUE","DRWRPlas","DRWR","Plastic drawers, maybe on a parts bin.","bac à pièces, organisateur de bureau"],
["TIROIRS","BOIS","DRWRWood","DRWR","Kitchen drawers, bathroom drawers. Most drawers would probably fall into this category.","tiroir de cuisine, tiroir de salle de bain"],
