[["空気","吹く","AIRBlow","AIR","Steady air blows, like from a compressed can of air.","圧縮空気、減圧、放出、パフ、スパッタ、フラッター、パージ"],
["ボート","船","BOATShip","BOAT","Large ship, passenger cruise ships, oil tankers, things relating to these.","大型船、客船、石油タンカー、貨物船、貨物船"],
["ボート","蒸気船","BOATStm","BOAT","Old steam paddle boats, big steam ship sounds.","蒸気船、外輪船、蒸気エンジン"],
["ボート","潜水艦","BOATSub","BOAT","Relating to a submarine, include sonar pings. Classic 'Dive' alarm would go in ALARMS-SIREN with keyword Klaxon.","潜水艦、ソナー、潜水艇、Uボート"],
["ボート","水中","BOATUndwtr","BOAT","Specifically boats and ships recorded underwater, usually hydrophone recordings. SUBMARINES have their own subcategory.","ボート、船、水中、タンカー、漁船、モーターボート、水面下"],
["弾丸","通過","BLLTBy","BLLT","Bullet pass bys in air, or underwater.","弾丸ウィズバイ、fwip"],
["弾丸","被弾","BLLTImpt","BLLT","Bullet hits and impacts, on a bullet hit on any material from the ground, to wood, to a person.","弾丸の衝撃、弾丸の命中"],
["弾丸","その他","BLLTMisc","BLLT","Bullet sounds not fitting another category in this list.","雑多な"],
["弾丸","跳弾","BLLTRico","BLLT","Bullet ricochets, that classic old west 'ping' when a bullet bounces off something.","跳ね返る、偏向する"],
["弾丸","薬莢","BLLTShel","BLLT","Bullet shells ejecting and dropping to the ground. See also GUNS-HANDLING for things like loading or unloading a gun.","砲弾、薬きょう、射出"],
["カートゥーン、コミカル","動物","TOONAnml","TOON","Cartoon animals, made from animals calls, props, etc. Very silly or stylized animals calls for use in Cartoons.","動物模型、ハンティングコール、アヒルコール"],
["カートゥーン、コミカル","ボイーン、ボーン","TOONBoing","TOON","Cartoon boings, like for a bouncing cartoon character. Roger Rabbit or Tigger from Winnie the Pooh.","顎のハープ、口のハープ"],
["カートゥーン、コミカル","ガンガン","TOONClang","TOON","Cartoon clangs, like a funny anvil hit. Most likely a very metallic resonant hit.","金属音"],
["カートゥーン、コミカル","キーキー、きしむ","TOONCreak","TOON","Cartoon creaks, some overlap or confusion with CARTOON-STRETCH possible.","ゴム、木"],
["カートゥーン、コミカル","ホーン","TOONHorn","TOON","Cartoon horns, as in bulb horns, clown horns.","バルブホーン、ホンク、クラウンホーン"],
["カートゥーン、コミカル","ぶつかる、ぶつける","TOONImpt","TOON","Cartoon hits, bonk, boink, doink..","ボンッ、ボインッ、ドインッ"],
["カートゥーン、コミカル","機械","TOONMach","TOON","Cartoon machines, an overly comical sounding machine or contraption. A Rube Goldberg contraption.","仕掛け、滑稽な機械、ルーブ・ゴールドバーグ・マシン"],
["カートゥーン、コミカル","その他","TOONMisc","TOON","Cartoon sounds not fitting another category in this list.","トゥーン、スクワンチ、ブロブ、フランプ"],
["カートゥーン、コミカル","ME、タッチ音、サウンドロゴ","TOONMx","TOON","Cartoon musical phrases. String plucks for a cartoon character sneaking up on another. Perhaps a cartoon musical phrase.","gliss, ascend, descend,"],
["カートゥーン、コミカル","弾く、かき鳴らす","TOONPluk","TOON","Cartoon string plucks, violin plucks, dental floss plucks.","弦をはじく"],
["カートゥーン、コミカル","ポップ、ポン、ピン","TOONPop","TOON","Cartoon funny pops, mouth pops, suction cup pops.","ポップガン、マウスポップ、吸盤、バブルポップス"],
["カートゥーン、コミカル","振る","TOONShake","TOON","Cartoon shake, like a noisemaker toy, maraca.","ガラガラ"],
["カートゥーン、コミカル","ピシャ","TOONSplt","TOON","Cartoon splats, funny liquid and mud like splats and things.","スプラット、スポート、スクイッシュ"],
["カートゥーン、コミカル","チューチュー","TOONSqk","TOON","Cartoon squeaks. funny little sounding squeaks of things.","キーキー"],
["カートゥーン、コミカル","引っ張る","TOONStrch","TOON","Cartoon stretches, funny rubber or other type stretching sounds, exaggerated.","ひずみ"],
["カートゥーン、コミカル","ヒュと振り回す","TOONSwsh","TOON","Cartoon swishes, specifically very funny cartoony swishes.","渦巻き、渦巻き"],
["カートゥーン、コミカル","ポン、ボロン","TOONTwang","TOON","Cartoon twangs, that classic ruler twang type sound.","定規、口琴"],
["カートゥーン、コミカル","車","TOONVeh","TOON","Cartoon vehicles, think Jetsons spaceship or Flintstones cars.","ジェッツオンズ、コントラクション フリントストーンカー、バックファイア"],
["カートゥーン、コミカル","ボーカル","TOONVox","TOON","Cartoon vocals, specifically very silly. See also CARTOON-ANIMALS for non-human vocals.","つぶやく, バカな声, 漫画の声"],
["カートゥーン、コミカル","さえずる","TOONWarb","TOON","Cartoon warble.","ウォブル"],
["カートゥーン、コミカル","ホイッスル","TOONWhis","TOON","Cartoon whistles, most likely slide whistles, other very silly whistles. A Wolf-Whistle.","スライドホイッスル"],
["カートゥーン、コミカル","ジップ、ビュ、ジッ","TOONZip","TOON","Cartoon zips. Very fast 'zip' type sounds, often for fast movement aways.","zip, rico, サイレン, ホイッスル"],
["陶器、磁器","割れる","CERMBrk","CERM","Ceramics break of a more singular nature, a plate shatter, breaking, cracking, crunching. Mostly for single items breaking. See also CERAMICS-CRASH & DEBRIS.","壊れる、割れる、粉々になる、砕ける"],
["陶器、磁器","破壊、瓦礫","CERMCrsh","CERM","Ceramics destruction of more of a group nature, multiple crashes and debris. See also CERAMICS-BREAK.","落ちる, 破片, 破片"],
["陶器、磁器","こすれる、摩擦","CERMFric","CERM","Ceramics friction, scraping, squeaking, screeching.","ストレス、擦り傷、きしみ、軋み、金切り声"],
["陶器、磁器","めくる、持つ","CERMHndl","CERM","Ceramics handling, picking up a coffee mug, handling a plant pot. Some overlap with CERAMICS-MOVEMENT.","ハンドル、グラブ、セット、ピックアップ、セットダウン、トス、キャッチ"],
["陶器、磁器","打痕、叩く","CERMImpt","CERM","Ceramics impacts without breaking, so hits drops, clunks and clinks. See also CERAMICS-BREAK.","ぶつかる、落ちる、衝撃、衝突、ガチャン、カチャカチャ"],
["陶器、磁器","その他","CERMMisc","CERM","Ceramics sounds not fitting another category in this list.","雑多"],
["陶器、磁器","動かす","CERMMvmt","CERM","Ceramics single or group movement, so dragging, shaking and rattling. See also CERAMICS-HANDLE.","引きずる, 転がす, ガラガラさせる, 揺らす"],
["陶器、磁器","鳴る、響く","CERMTonl","CERM","Ceramics ringing, as in being bowed.","お辞儀をする、鳴らす、鳴らす、鳴らす"],
["チェーン","壊れる","CHAINBrk","CHAIN","Chain snapping or breaking, that sharp sound of a chain failing.","折れる、壊れる、曲がる"],
["チェーン","めくる、持つ","CHAINHndl","CHAIN","Chain handling, repairing a bike chain, a prisoner moving around in chains. Some overlap with CHAINS-MOVEMENT.","ハンドル、グラブ、セット、ピックアップ、セットダウン、トス、キャッチ"],
["チェーン","打撃、インパクト","CHAINImpt","CHAIN","Chain impacts, such a big chain hit or slam, or a tension snap of a chain being pulled taut.","ドロップ, ヒット, インパクト, スラム, テンションスナップ"],
["チェーン","その他","CHAINMisc","CHAIN","Chain sounds not fitting another category in this list.","雑多"],
["チェーン","引きずる、動かす","CHAINMvmt","CHAIN","Chain handling, particularly being pulled through pulleys or across surfaces. See also CHAINS-HANDLE.","ドラッグ、手錠、鎖、犬鎖"],
["化学","燃焼","CHEMAcid","CHEM","Chemical acid burning and sizzling, bubbling. A vat of acid.","シズル, メルト, フィズ"],
["化学","その他","CHEMMisc","CHEM","Chemical sounds not fitting another category in this list.","雑多な"],
["化学","化学反応","CHEMReac","CHEM","Chemical reactions, chemistry set, bubbling, foaming, bunsen burner reactions. Overlap perhaps with LIQUID & MUD category.","泡立つ、発泡する、反応する"],
["時計","チャイム","CLOCKChim","CLOCK","Chimes, bells specifically for a clock, Grandfather clock chimes. Alarm clocks would go to ALARMS-CLOCK.","チャイム、ベル、おじいさん時計"],
["時計","機械、メカ","CLOCKMech","CLOCK","Clocks winding, complex mechanical clock mechanisms.","ゼンマイ、時計の歯車、鳩時計"],
["時計","その他","CLOCKMisc","CLOCK","Clock sounds not fitting another category in this list. Also see ALARMS-CLOCK","雑多な"],
["時計","動作音","CLOCKTick","CLOCK","Analog ticking clocks and watches of all sizes, also mechanical stop watches.","チクタク、カチカチ、クオーツ、チクタク、ストップウォッチ、エッグタイマー"],
["布、クロス","はためく","CLOTHFlp","CLOTH","Cloth flapping, as in a flag flapping, or superman's cape. Also ship sails and parachutes.","はためく、旗、そよぐ、パラシュート、マント、帆布、帆、シート"],
["布、クロス","めくる、持つ","CLOTHHndl","CLOTH","Cloth handling, grabbing a jacket, clothy arm grabs, etc. Some overlap with CLOTH-MOVEMENT. See also possibly OBJECTS-FASHION.","ハンドル、グラブ、セット、ピックアップ、セットダウン、トス、キャッチ"],
["布、クロス","インパクト、打撃、ぶつける","CLOTHImpt","CLOTH","Cloth impacts, throwing a jacket forcefully to the floor, a wet towel snap. Some overlap with CLOTH-MOVEMENT possible.","打つ、落とす、ぶつける、叩く"],
["布、クロス","その他","CLOTHMisc","CLOTH","Cloth sounds not fitting another category in this list.","雑多な"],
["布、クロス","衣擦れ","CLOTHMvmt","CLOTH","Varied cloth movement except flapping which has its own category. Variety of cloth movement. Cloth zuzz. See also CLOTH-FLAP.","ズズ、スウィッシュ、ラズル、スクランチ、mvmt"],
["布、クロス","引き裂く","CLOTHRip","CLOTH","Various cloth rips and tears, short to long. Velcro would best fit here too.","裂く, 引き裂く, マジックテープ"],
["伝達、通信","AV機器","COMAv","COM","Various AV devices such a projector or tape recorder, video cameras here too. Some overlap or confusion with COMMUNICATIONS-CAMERA.","映画カメラ、スプール、フィルムカメラ、映写機、テープレコーダー、ナグラ、ウォークマン、CDプレーヤー、オープンリール、VCR、レーザーディスクプレーヤー、ベータマックス、スライド映写機、ビーマー、iPod、ボレックス、8ミリ、16ミリ"],
["伝達、通信","カメラ","COMCam","COM","Still camera shutters, automatic winding, old flash-bulbs. Movie and video cameras to COMMUNICATIONS-AV.","カメラシャッター、巻き上げ、フラッシュバルブ、コダック、ニコン、キャノン、オリンパス、コダック、フジ、フジフィルム、マミヤ、ハッセルブラッド、ライカ、35mm、120mm"],
["伝達、通信","携帯電話、スマートフォン","COMCell","COM","Cellphones and Smartphones., clicks and rings, tones.","携帯電話、スマートフォン、iphone、blackberry、フリップフォン、android"],
["伝達、通信","マイク","COMMic","COM","Feedback and mic bumps and handling. Megaphones would go here too.","マイクハンドリング、マイクタップ、ラルセン、メガホン"],
["伝達、通信","その他","COMMisc","COM","Communication sounds not fitting another category in this list.","雑多なもの"],
["伝達、通信","蓄音機","COMPhono","COM","Turntable, Victrola, motors and mechanics. STATIC has its own subcategory here.","ターンテーブル、ビクトローラ、蓄音機、タッチペン、レコード盤"],
["伝達、通信","ラジオ","COMRadio","COM","Tuning, radio and shortwave sounds. STATIC has its own subcategory here. A radio broadcast would go here too. Overlap with VOICES-FUTZED.","チューニング、ラジオ、短波、スケルチ、ファズ、ラジオ放送"],
["伝達、通信","静電気","COMStatic","COM","Static from any electronic source, radio, CB, television, optical noise, phonograph noise.","静電気、ファズ、スクランブル"],
["伝達、通信","FAX、テレグラフ","COMTelm","COM","Fax machine tones, modem tones, telegraph, teletype. UI is it's own category","モールス信号、電信、テレメトリ、読み出し、SOS"],
["伝達、通信","電話","COMTelph","COM","Old school rotary dial and digital telephones. Technically any telephone that isn't a mobile or cell phone.","ダイヤル、公衆電話、回転ダイヤル、キーパッド、固定電話、コード電話"],
["伝達、通信","テレビ","COMTv","COM","Television programs, on and off, channel changes, TV Remote controls. STATIC has its own subcategory here. A television broadcast would go here too. Overlap with VOICES-FUTZED.","テレビ、リモコン、ダイヤル、番組、プログラム、ファズ、テレビ番組、放送"],
["伝達、通信","無線機","COMTran","COM","Walkie Talkies, CBs, Ham Radios, all two-way transceivers and radios go here. Put voices into VOICES-FUTZED.","トランシーバ、スケルチ、インカム、ディスパッチ、トランシーバ、CB、ハムラジオ、トランシーバ"],
["伝達、通信","タイプライター","COMType","COM","Old school typewriters, not modern computer keyboards.","タイプライター、テレプリンター、キャリッジリターン、プラテンノブ"],
["コンピューター","ハードディスク","CMPTDriv","CMPT","Laptop or other hard drive seeking sounds, data reading.","スキップ、サーチ、グラインド、ハードディスク、ハードディスク"],
["コンピューター","キーボード＆マウス","CMPTKey","CMPT","Typing on computer keyboard, and mouse movement.","キーボード、マウス、マウス、トラックパッド"],
["コンピューター","その他","CMPTMisc","CMPT","Computer sounds not fitting another category in this list. Printers would go to MACHINES-OFFICE.","パームパイロット、ポケットPC"],
["想像上の生物","水生","CREAAqua","CREA","Giant mutant squids or sea monsters, kraken, leviathans.","クラーケン、マーメイド、ダイオウイカ"],
["想像上の生物","鳥型","CREAAvian","CREA","Alien or Fantasy birds, or weird birdlike creatures. A giant mutant parakeet would go here.","異星人の鳥、地球外の鳥、空想の鳥"],
["想像上の生物","家畜、四足獣","CREABeast","CREA","Big four legged creatures and beasts. Wooly Mammoth, a mutant elephant, Mumakil.","ウーリーマンモス、ムマキール "],
["想像上の生物","ぶよぶよした生物","CREABlob","CREA","Gelatinous and gooey type creatures, gelatinous cube.","ブロブ、グループ、グープ"],
["想像上の生物","恐竜","CREADino","CREA","Dinosaurs of all types, Jurassic Park.","ブロントサウルス、ベロキラプトル、トリケラトプス、ステゴサウルス、ティラノサウルス、アロサウルス、スピノサウルス、ブラキオサウルス、アーケオプティクス、プテロサウルス、プテロダクティル"],
["想像上の生物","ドラゴン","CREADrgn","CREA","Game of Thrones, Lord of the Rings, dragons of all types. See also CREATURES-REPTILIAN.","ドラゴン、ドレイク、ワイバーン"],
["想像上の生物","エレメンツ","CREAElem","CREA","Creatures based on elements, rock giants, fire creatures, ice monsters, such a the Balrog, or a Rock Giant.","岩石怪獣、火炎怪獣、氷の怪獣、岩石巨人、氷の巨人、ゴーレム"],
["想像上の生物","幽霊、ゴースト","CREAEthr","CREA","Ghosts, spirits, ethereal vocals and wispy movement, apparitions.","ゴースト、スピリット、エーテル、ウィスパー、スペクター、ソウル、幻影、スペクトル、ポルターガイスト、ファントム、レイス"],
["想像上の生物","アンドロイド","CREAHmn","CREA","Human sized mythical creatures, so zombies and vampires, elves etc. Troll, Ogres, Orcs. Two legged creatures.","ゾンビ、アンデッド、リビングデッド、グール、ヴァンパイア、エルフ、オーク、オーガ、トロール、天狗、レプラコーン、ビッグフット、スワンプシング、ウェアウルフ、フランケンシュタイン、ミイラ"],
["想像上の生物","昆虫型","CREAInsc","CREA","Giant spiders or other insect like creatures. The creature from The Fly. A giant Tarantula.","大蟻、大蜘蛛"],
["想像上の生物","その他","CREAMisc","CREA","Creature sounds not fitting another category in this list.","雑多なもの"],
["想像上の生物","モンスター、怪物","CREAMnstr","CREA","Godzilla, scary monsters, horror monsters. See also CREATURES-HUMANOID.","ゴジラ、キングコング、ランコア、ベヒーモス、ゼノモーフ、チュパカブラ"],
["想像上の生物","ヒト型爬虫類","CREARept","CREA","Giant lizards and snakes, large giant hissing monsters.","大蛇、大蛇、大トカゲ、大蛇"],
["想像上の生物","小型、妖精","CREASmall","CREA","Specifically small mythical creatures. Fairies, pixies, small rodent like creatures, etc. Distinguished by small size.","妖精、ピクシー、グレムリン、インプ、フラグル"],
["想像上の生物","イメージ音","CREASrce","CREA","Source recordings meant for creature design, like prop recordings, human voice packs for design, etc.","吠える、息、コール、カー、スクーク、チリ、クリック、叫び、努力、呻き、ヒス、吠える、唸る、小声、呻き、口、轟音、叫び、金切り声、鳴き声、泣き声"],
["群集、人混み","怒り、怒号","CRWDAngr","CRWD","Crowds of upset or angry people, as in a riot, protest, a schoolyard fight. See also AMBIENCE-PROTEST.","フーリガン、暴動、抗議、叫び、乱暴者"],
["群集、人混み","拍手","CRWDApls","CRWD","Crowds where the applause is predominantly featured. Use CROWDS-CHEERING for recordings that are mainly vocals.","拍手, 歓声, 拍手, アンコール"],
["群集、人混み","戦い、戦闘","CRWDBatl","CRWD","Crowds in battle, fighting, yelling screaming, dying. If including gunfire, explosions. use AMBIENCE-WARFARE.","戦いの叫び、叫び、突撃、集会、軍隊、戦い、けんか、戦争、叫び声、死にかけ"],
["群集、人混み","祝福、祝い","CRWDCele","CRWD","Crowds celebrating holidays, parties, rowdy crowds. If not clean, use AMBIENCE-CELEBRATION.","祝う、休日、パーティー、騒ぐ、誕生日、新しい年、クリスマス、パレード"],
["群集、人混み","応援","CRWDCheer","CRWD","Could include applause, but cheering crowds where the crowd vocals are predominant. Overlap with CROWDS-CELEBRATION.","応援、コンサート、スタジアム、観客、歓声、うねり、唱和"],
["群集、人混み","子供","CRWDChld","CRWD","Relatively clean vocals of children together, playing in a playground, in a school classroom, recess, school hallway. See also AMBIENCE-SCHOOL.","遊び場、休み時間、遊んでいる子供たち、公園、遊び、鬼ごっこ"],
["群集、人混み","会話","CRWDConv","CRWD","A small enough group chat that you can discern words, smaller and less active than a walla. A chatter.","おしゃべり、チャット、トーク、まばらなワラ、会話、会話"],
["群集、人混み","笑い","CRWDLaff","CRWD","Crowds laughing, a comedy show, canned television laughter, groups of kids laughing, at a party for example.","テレビ番組, 定型的な笑い, コメディクラブ, 笑いトラック"],
["群集、人混み","ループ","CRWDLoop","CRWD","For loop group type walla, usually performed for or to picture, specific environments, specific callouts. See also ARCHIVED-LOOP GROUP for official loop group recordings.","ループグループ、adr、定型文"],
["群集、人混み","その他","CRWDMisc","CRWD","Crowd sounds not fitting another category in this list. See also MOVEMENT-CROWD.","雑多な"],
["群集、人混み","パニック","CRWDPanic","CRWD","Distressed crowds, mixed screams and crying and reactions… crowds in a natural disaster or crowds in a giant monster attack...","パニック、カオス、叫ぶ、悲鳴、泣き声、苦痛"],
["群集、人混み","静寂","CRWDQuiet","CRWD","Very quiet crowds, mostly mumbling or murmuring. Like crowds whispering in church or a courtroom scene. See also VOICES-WHISPER for single person recordings.","つぶやき, ささやき, 口ごもる, ぶつぶつ言う"],
["群集、人混み","反応、リアクション","CRWDReac","CRWD","Big Ooos, and Aaahs and Booos, big group responses to events happening. Shocked reactions.","ブー、アッ、オー、スタジオの反応"],
["群集、人混み","歌う、歌唱","CRWDSing","CRWD","Singing during sporting events, New Year's Eve crowds singing Auld Lang Syne, Christmas carols. Not large choral music, which would go in MUSICAL category.","聖歌, 聖歌隊, コラール, キャロル"],
["群集、人混み","スポーツ","CRWDSprt","CRWD","Clean crowds at sporting events, Baseball, football. For mixed ambience used AMBIENCE-SPORT. A sports chant.","拍手、手拍子、ブーイング、歓声、スタジアム、イェーイ、観客、オリンピック、叫び、ウーフー"],
["群集、人混み","エキストラ","CRWDWalla","CRWD","Specifically very clean crowd walla, with non-discernible words. See also various AMBIENCE categories.","声, 話, ワラ, 会話"],
["デザイン、効果","ベース、低音","DSGNBass","DSGN","Deep descending bass notes. Bass Drops.","ベースダイブ, ダウナー, ベースドロップ, フォール"],
["デザイン、効果","重低音、サブソニック","DSGNBoom","DSGN","Deep short and tight, low end stingers, big trailer deep hits. LFE type low end sweeteners.","ブーム, ディープヒット, ロースティング, トレーラー"],
["デザイン、効果","衝撃持続音","DSGNBram","DSGN","Long deep horn like sounds. Like a War of the World's type long sound, or like a long french horn braam type sound.","ブラム"],
["デザイン、効果","ひずみ","DSGNDist","DSGN","Particulary distored designed sounds and distortion elements.","ディストーション、スクエアードオフ、ディストーション"],
["デザイン、効果","ドローン","DSGNDron","DSGN","Designed drones, eerie tense drones, long stylized sounds with not much activity or movement.","パッド、ドローン、テクスチャ、不吉な、緊張感"],
["デザイン、効果","デザイン系持続音","DSGNErie","DSGN","Often designed, but tense strange undefined sounds that are eerie, tense, suspenseful. Some overlap with DESIGNED-DRONE possible.","不気味、緊張、奇妙、不気味、怖い、冷ややか、呪われた、気紛れ、恐ろしい "],
["デザイン、効果","異次元","DSGNEthr","DSGN","Ethereal wispy designed sounds. Ghostlike whispers, or heavenly tones. Otherworldly. See also DESIGNED-EERIE.","エーテル的, 天空的"],
["デザイン、効果","粒状","DSGNGran","DSGN","Granular synthesis, sounds that have a gritty textural type sound, think PaulStretch, sounds broken down into tiny slices and recompiled.","粒状, ポールストレッチ, 粒子, スライス"],
["デザイン、効果","衝撃","DSGNImpt","DSGN","Designed huge impacts, collisions, stylized big hits. Possible overlap with DESIGNED-STINGER.","衝撃, ヒット, スラム, スマッシュ, 衝突"],
["デザイン、効果","その他","DSGNMisc","DSGN","Designed sounds not fitting another category in this list.","雑多な"],
["デザイン、効果","モーフ","DSGNMorph","DSGN","A stylized blending of elements, something transitioning into another thing.","モーフ, ブレンド, トランジション"],
["デザイン、効果","上昇系持続音","DSGNRise","DSGN","Tension risers, things rising in tone, something similar to a rising string line to create tension.","リバース, クレッシェンド, ライザー, ライザー, テンション"],
["デザイン、効果","地鳴り音","DSGNRmbl","DSGN","Designed rumbles for layering into a mix. Earthquake rumbles. Composite rumble.","サブハーモニック, ランブル, シェイク, 地震"],
["デザイン、効果","リズミック","DSGNRythm","DSGN","Stattaco or glitchy machine type loops, things with definied starts, stops, rhythmic stutters.","スタッター, グリッチ, パルス, スタッタコ"],
["デザイン、効果","イメージ音","DSGNSrce","DSGN","For recordings meant to be used as source for other designed sounds, experimental recordings, elements, etc.","ソース，生，素材，生録音"],
["デザイン、効果","シンセ系アタック音","DSGNStngr","DSGN","Stings, stylized screen sweeteners. Big trailer type sounds. Big shock scare type sounds. Stylized stings, hits and impacts. Overlap with DESIGNED-IMPACT.","刺すような、驚かすような、予告編のような、映画のような"],
["デザイン、効果","シンセ系持続音","DSGNSynth","DSGN","Very synthesized sounds, very electronic synth stuff. Raw work files of synth-play.","シンセサイザー, シンセ, モジュラーシンセ, グラニュラー, アナログシンセ, モジュラーシンセ"],
["デザイン、効果","アンビエント系音","DSGNTonl","DSGN","Designed sounds with a particularly tonal nature. The ringing in your ear of tinnitus for example.","耳鳴り, 鳴り物, シェルショック, 主観的な"],
["デザイン、効果","ボーカル","DSGNVocl","DSGN","Design specifically around vocals, ghostly whispers, enchanted spells, reversed talking etc. Not for Creatures.","エンチャント, 呪文, 加工, ボーカル, ウィスパー, ゴースト的"],
["デザイン、効果","-","DSGNWhsh","DSGN","Stylized designed big whooshes, definite possible overlap confusion with SHOOSHES-WHOOSH, but this for less natural and more stylized versions.","フーッ, トレーラースウィッシュ, スウィッシュ"],
["破壊音","倒壊","DESTRClpse","DESTR","Buildings and large mixed complex collapses, a barn collapse, Godzilla pushing over a building.","崩壊, 倒れる, 倒れる, 爆縮する"],
["破壊音","破壊、瓦礫","DESTRCrsh","DESTR","Mixed crashes, complex crashes involving more than one material. So a combo huge glass and metal crash. See also individual material categories like METAL, WOOD etc.","衝突, 破裂, 爆縮, 破壊, 砕く, 粉砕"],
["破壊音","その他","DESTRMisc","DESTR","Destruction sounds not fitting another category in this list.","雑多な"],
["ダートと砂地","破壊、瓦礫","DIRTCrsh","DIRT","Dirt or sand settling, as in after an explosion, big sprays of dirt and sand. DUST has its own subcategory.","debris, sand, dirt, trickle, spray, crumble（破片、砂、泥、しぶき、砕け散る"],
["ダートと砂地","埃","DIRTDust","DIRT","Settling dust, dust clouds, much lighter sound than DIRT & SAND-DEBRIS","細かい、粒子、沈殿物、シルト、ほこり"],
["ダートと砂地","めくる、持つ","DIRTHndl","DIRT","Handling dirt & sand, hands digging through dirt, children making a sand castle. Some overlap with DIRT & SAND-MOVEMENT.","扱う、つかむ、掘る、捕らえる"],
["ダートと砂地","衝撃","DIRTImpt","DIRT","Big hits and impacts of dirt of sand, dirt clods. Think the huge dirt ball impacts in WHERE THE WILD THINGS ARE.","ダンプ、ドスン、アンロード、ドロップ"],
["ダートと砂地","その他","DIRTMisc","DIRT","Dirt, Sand and Earth sounds not fitting another category in this list.","雑多な"],
["ダートと砂地","飛び散る","DIRTMvmt","DIRT","Pouring, flowing of dirt or sand, a big sand pour. See also DIRT & SAND-HANDLE.","注ぐ, 降ろす, 流す, こぼす"],
["ダートと砂地","金属の音階","DIRTTonl","DIRT","Singing sand dunes. Probably pretty rare.","砂丘, 砂を歌う"],
["ドア","アンティーク","DOORAntq","DOOR","Very old sounding doors, as in an old castle or abbey. But massive doors of this type probably to DOOR-DUNGEON.","城、アビー、教会、古い、古代の、アンティークの"],
["ドア","器具、設備","DOORAppl","DOOR","Appliance doors such as oven, dishwasher, refrigerator or microwave.","オーブン、電子レンジ、冷蔵庫、食器洗い機、洗濯機、乾燥機"],
["ドア","戸棚","DOORCab","DOOR","Cabinet doors, such as kitchen cabinet, tool cabinets.","キャビネット、キッチンキャビネット、ツールキャビネット"],
["ドア","合成","DOORComp","DOOR","Fiberglass, wood steel combination, doors that don't sound like a specific material. A modern front door. Some confusion or overlap with DOORS-WOOD likely.","ファイバーグラス、ドア"],
["ドア","きしみ","DOORCreak","DOOR","Door creaks, wood or metal, overlap with WOOD-FRICTION and METAL-FRICTION, but specifically door creaks.","きしむ、ドア、地下牢、地下室、城、木製ドア、金属製ドア、ドアのきしむ音"],
["ドア","城のゲート","DOORDungn","DOOR","That big old classic wood and/or metal heavy dungeon, castle type door.","城, 地下, 大きい, 地下室"],
["ドア","電気","DOORElec","DOOR","Electric doors of all kinds, garage doors, big soundstage doors, sliding store doors. See also DOORS-REVOLVING.","電気ドア, ガレージドア, 音響室用ドア, 自動ドア"],
["ドア","ゲート、門","DOORGate","DOOR","Non-motorized gates, metal or wood. So a garden gate, a park gate. A farm gate.","ガーデンゲート、フェンスゲート、パークゲート、レールクロッシング、キャトルゲート、ファームゲート"],
["ドア","ガラス","DOORGlas","DOOR","Glass doors, manual shopping store doors, glass home front doors. Most store doors would probably fit here.","ガラスドア、店舗ドア、ベイドア、フレンチドア"],
["ドア","ハードウエア","DOORHdwr","DOOR","Door knobs, door locks, deadbolts, chain locks, push bars. Lock Picking, Doorknob Jiggles.","ドアノブ、デッドボルト、プッシュバー、チェーンロック、ヒンジ、ラッチ、ハンドル、ハードウェア、ロックピッキング、ジグル"],
["ドア","ハイテク","DOORTech","DOOR","James bond type doors, something not quite sci-fi but more advanced, Modern lab, or air sealed chamber, vaults. See also SCIFI-DOOR.","研究室ドア"],
["ドア","油圧システムドア","DOORHydr","DOOR","Self closing doors, lots of office and store doors are of this type. Also automatic doors if hydraulic or pneumatic.","ドアクローザー、空気圧式、油圧式、電動式ハッチ"],
["ドア","ノック","DOORKnck","DOOR","Knocking on various door surfaces.","ノック、ラップ、ノッカー、バン、ドスン、ドスン"],
["ドア","メタル、金属","DOORMetl","DOOR","Metal doors, like a vault door or heavy door. PRISON doors have their own category, as they are quite specific sounding.","ロールアップ、金庫、金庫、ハッチ"],
["ドア","その他","DOORMisc","DOOR","Door sounds not fitting another category in this list.","雑多なもの"],
["ドア","プラスティック","DOORPlas","DOOR","Doors made out of plastic. Not very common but maybe a door to a child's play house.","ポータジョン、ポータレット、ポータポッティ"],
["ドア","刑務所","DOORPrisn","DOOR","Big metal jail and prison doors. Sliding prison doors, or swinging jail doors.","監獄の扉、刑務所の扉"],
["ドア","回転","DOORRevl","DOOR","Classic revolving doors used as entries to hotels, banks, malls.","回転する、回転する、回転ドア、ホテル、空港、モール"],
["ドア","スライド","DOORSlid","DOOR","Manual sliding doors, such as a patio door, sliding shower doors. Electric sliding doors to DOORS-ELECTRIC.","ガラススライディングドア、パティオドア、シャワードア"],
["ドア","石","DOORSton","DOOR","Mostly a fantasy type door, but think Gates of Moria, big tombstone vault doors.","墓、地下室、寺院、霊廟、秘密の入り口"],
["ドア","スイング、揺れる","DOORSwng","DOOR","Swinging doors, like old-west saloon or church pulpit doors. Doors on swinging springs.","サロンのドア、交通機関のドア、レストランのドア、教会の説教壇のドア"],
["ドア","木","DOORWood","DOOR","Wood doors, home, school, most general door category probably.","入り口、玄関、クローゼット"],
["引き出し","金属","DRWRMetl","DRWR","Metal drawers like on a toolbox.","工具箱、ラック引き出し、ファイリングキャビネット、キャッシュレジスター、セキュリティ引き出し"],
["引き出し","その他","DRWRMisc","DRWR","Drawer sounds not fitting another category in this list.","雑多な"],
