[["AIRE","SOPLAR","AIRBlow","AIR","Steady air blows, like from a compressed can of air.","aire comprimido, despresurizar, liberar, soplar, chisporrotear, aletear, purgar"],
["BARCOS","BOTE","BOATRow","BOAT","Canoes, rowboats, kayaks probably, human powered boats that use oars and paddles, even racing rowboats.","canoa, bote de remos, kayak, remo, pala, dragon boat, remo"],
["BARCOS","VELERO","BOATSail","BOAT","Composite recordings of rigging and sails, isolated elements to CLOTH-FLAP for close sails, or BOATS-MECHANISM for rigging.","velero, goleta, yawl, sloop, ketch, motovelero"],
["BARCOS","EMBARCAR","BOATShip","BOAT","Large ship, passenger cruise ships, oil tankers, things relating to these.","gran buque, crucero, petrolero, carguero, carguero de carga"],
["BARCOS","VAPOR","BOATStm","BOAT","Old steam paddle boats, big steam ship sounds.","barco de vapor, barco de vapor de paletas, máquina de vapor"],
["BARCOS","SUBMARINO","BOATSub","BOAT","Relating to a submarine, include sonar pings. Classic 'Dive' alarm would go in ALARMS-SIREN with keyword Klaxon.","submarino, sonar, sumergible, u-boat"],
["BARCOS","SUBMARINO","BOATUndwtr","BOAT","Specifically boats and ships recorded underwater, usually hydrophone recordings. SUBMARINES have their own subcategory.","barco, buque, submarino, petrolero, pesquero, lancha, submarino"],
["BALAS","PASADAS","BLLTBy","BLLT","Bullet pass bys in air, or underwater.","bullet whiz-by, fwip"],
["BALAS","IMPACTO","BLLTImpt","BLLT","Bullet hits and impacts, on a bullet hit on any material from the ground, to wood, to a person.","impacto de bala, impacto de bala"],
["BALAS","MISCELÁNEA","BLLTMisc","BLLT","Bullet sounds not fitting another category in this list.","varios"],
["BALAS","REBOTE","BLLTRico","BLLT","Bullet ricochets, that classic old west 'ping' when a bullet bounces off something.","ricos, rebote, desvío"],
["BALAS","CASQUILLO","BLLTShel","BLLT","Bullet shells ejecting and dropping to the ground. See also GUNS-HANDLING for things like loading or unloading a gun.","proyectil, casquillo, eyección"],
["CÓMICO","ANIMAL","TOONAnml","TOON","Cartoon animals, made from animals calls, props, etc. Very silly or stylized animals calls for use in Cartoons.","falso animal, reclamo de caza, reclamo de pato"],
["CÓMICO","MUELLE","TOONBoing","TOON","Cartoon boings, like for a bouncing cartoon character. Roger Rabbit or Tigger from Winnie the Pooh.","arpa de mandíbula, arpa de boca"],
["CÓMICO","IMPACTO METÁLICO","TOONClang","TOON","Cartoon clangs, like a funny anvil hit. Most likely a very metallic resonant hit.","tintineo, metálico"],
["CÓMICO","CRUJIDO","TOONCreak","TOON","Cartoon creaks, some overlap or confusion with CARTOON-STRETCH possible.","goma, madera"],
["CÓMICO","BOCINA","TOONHorn","TOON","Cartoon horns, as in bulb horns, clown horns.","claxon, bocina, bocina de payaso"],
["CÓMICO","IMPACTO","TOONImpt","TOON","Cartoon hits, bonk, boink, doink..","bonk, boink, doink"],
["CÓMICO","MÁQUINA","TOONMach","TOON","Cartoon machines, an overly comical sounding machine or contraption. A Rube Goldberg contraption.","artilugio, máquina cómica, máquina de rube goldberg"],
["CÓMICO","MISCELÁNEA","TOONMisc","TOON","Cartoon sounds not fitting another category in this list.","toon, squanch, blorb, flump"],
["CÓMICO","MUSICAL","TOONMx","TOON","Cartoon musical phrases. String plucks for a cartoon character sneaking up on another. Perhaps a cartoon musical phrase.","gliss, ascender, descender"],
["CÓMICO","CUERDA DESAFINADA","TOONPluk","TOON","Cartoon string plucks, violin plucks, dental floss plucks.","puntear cuerdas"],
["CÓMICO","POP","TOONPop","TOON","Cartoon funny pops, mouth pops, suction cup pops.","pistola pop, boca pop, ventosa, burbujas pops"],
["CÓMICO","AGITAR","TOONShake","TOON","Cartoon shake, like a noisemaker toy, maraca.","sonajero"],
["CÓMICO","SPLAT","TOONSplt","TOON","Cartoon splats, funny liquid and mud like splats and things.","splat, splort, squish"],
["CÓMICO","CHIRRIDO","TOONSqk","TOON","Cartoon squeaks. funny little sounding squeaks of things.","chirriar"],
["CÓMICO","ESTIRAMIENTO","TOONStrch","TOON","Cartoon stretches, funny rubber or other type stretching sounds, exaggerated.","colar"],
["CÓMICO","SWISH","TOONSwsh","TOON","Cartoon swishes, specifically very funny cartoony swishes.","giro, remolino"],
["CÓMICO","TWANG","TOONTwang","TOON","Cartoon twangs, that classic ruler twang type sound.","regla, arpa de boca"],
["CÓMICO","VEHÍCULO","TOONVeh","TOON","Cartoon vehicles, think Jetsons spaceship or Flintstones cars.","jetsons, artilugio coche de los Picapiedra, petardeo"],
["CÓMICO","VOCALIZACIÓN","TOONVox","TOON","Cartoon vocals, specifically very silly. See also CARTOON-ANIMALS for non-human vocals.","murmurar, voz tonta, voz de dibujos animados"],
["CÓMICO","GORGORITO","TOONWarb","TOON","Cartoon warble.","bamboleo"],
["CÓMICO","SILBIDOS","TOONWhis","TOON","Cartoon whistles, most likely slide whistles, other very silly whistles. A Wolf-Whistle.","silbato deslizante"],
["CÓMICO","ZIP","TOONZip","TOON","Cartoon zips. Very fast 'zip' type sounds, often for fast movement aways.","zip, rico, sirena, silbido"],
["CERÁMICA","ROMPER","CERMBrk","CERM","Ceramics break of a more singular nature, a plate shatter, breaking, cracking, crunching. Mostly for single items breaking. See also CERAMICS-CRASH & DEBRIS.","romper, agrietar, destrozar, crujir"],
["CERÁMICA","CHOQUE Y ESCOMBROS","CERMCrsh","CERM","Ceramics destruction of more of a group nature, multiple crashes and debris. See also CERAMICS-BREAK.","caer, escombros, fragmentos"],
["CERÁMICA","FRICCIÓN","CERMFric","CERM","Ceramics friction, scraping, squeaking, screeching.","tensionar, raspar, crujir, chirriar, chirriar"],
["CERÁMICA","MANIPULAR","CERMHndl","CERM","Ceramics handling, picking up a coffee mug, handling a plant pot. Some overlap with CERAMICS-MOVEMENT.","manejar, agarrar, poner, recoger, dejar, lanzar, coger"],
["CERÁMICA","IMPACTO","CERMImpt","CERM","Ceramics impacts without breaking, so hits drops, clunks and clinks. See also CERAMICS-BREAK.","golpear, caer, impactar, estrellarse, chocar, tintinear"],
["CERÁMICA","MISCELÁNEA","CERMMisc","CERM","Ceramics sounds not fitting another category in this list.","varios"],
["CERÁMICA","MOVIMIENTO","CERMMvmt","CERM","Ceramics single or group movement, so dragging, shaking and rattling. See also CERAMICS-HANDLE.","arrastrar, rodar, traquetear, sacudir"],
["CERÁMICA","TONAL","CERMTonl","CERM","Ceramics ringing, as in being bowed.","arquear, sonar, shing, ping"],
["CADENAS","ROTURA","CHAINBrk","CHAIN","Chain snapping or breaking, that sharp sound of a chain failing.","chasquear, romper, doblar"],
["CADENAS","MANIPULAR","CHAINHndl","CHAIN","Chain handling, repairing a bike chain, a prisoner moving around in chains. Some overlap with CHAINS-MOVEMENT.","manejar, agarrar, colocar, recoger, dejar, lanzar, atrapar"],
["CADENAS","IMPACTO","CHAINImpt","CHAIN","Chain impacts, such a big chain hit or slam, or a tension snap of a chain being pulled taut.","dejar caer, golpear, impactar, golpear, chasquidos de tensión"],
["CADENAS","MISCELÁNEA","CHAINMisc","CHAIN","Chain sounds not fitting another category in this list.","varios"],
["CADENAS","MOVIMIENTO","CHAINMvmt","CHAIN","Chain handling, particularly being pulled through pulleys or across surfaces. See also CHAINS-HANDLE.","arrastrar, esposar, cadena de prisión, cadena de perro"],
["QUÍMICO","ACIDO","CHEMAcid","CHEM","Chemical acid burning and sizzling, bubbling. A vat of acid.","chisporrotear, derretir, efervescer"],
["QUÍMICO","MISCELÁNEA","CHEMMisc","CHEM","Chemical sounds not fitting another category in this list.","varios"],
["QUÍMICO","REACCIÓN","CHEMReac","CHEM","Chemical reactions, chemistry set, bubbling, foaming, bunsen burner reactions. Overlap perhaps with LIQUID & MUD category.","burbujear, hacer espuma, reacción"],
["RELOJES","CHIME","CLOCKChim","CLOCK","Chimes, bells specifically for a clock, Grandfather clock chimes. Alarm clocks would go to ALARMS-CLOCK.","carillón, campana, reloj de pie"],
["RELOJES","MECÁNICO","CLOCKMech","CLOCK","Clocks winding, complex mechanical clock mechanisms.","dar cuerda, engranaje de reloj, reloj de cuco"],
["RELOJES","MISCELÁNEA","CLOCKMisc","CLOCK","Clock sounds not fitting another category in this list. Also see ALARMS-CLOCK","varios"],
["RELOJES","AGUJA","CLOCKTick","CLOCK","Analog ticking clocks and watches of all sizes, also mechanical stop watches.","tic, tac, cuarzo, tic tac, cronómetro, temporizador"],
["ROPA","AGITAR","CLOTHFlp","CLOTH","Cloth flapping, as in a flag flapping, or superman's cape. Also ship sails and parachutes.","aleteo, bandera, susurro, paracaídas, capa, lona, vela, sábana"],
["ROPA","MANOSEO","CLOTHHndl","CLOTH","Cloth handling, grabbing a jacket, clothy arm grabs, etc. Some overlap with CLOTH-MOVEMENT. See also possibly OBJECTS-FASHION.","manejar, agarrar, colocar, recoger, dejar, lanzar, coger"],
["ROPA","IMPACTO","CLOTHImpt","CLOTH","Cloth impacts, throwing a jacket forcefully to the floor, a wet towel snap. Some overlap with CLOTH-MOVEMENT possible.","golpe, caída, impacto, bofetada"],
["ROPAS","MISCELÁNEA","CLOTHMisc","CLOTH","Cloth sounds not fitting another category in this list.","varios"],
["ROPAS","MOVIMIENTO","CLOTHMvmt","CLOTH","Varied cloth movement except flapping which has its own category. Variety of cloth movement. Cloth zuzz. See also CLOTH-FLAP.","zuzz, swish, rustle, ruffle, scrunch, mvmt"],
["ROPAS","ROTURA","CLOTHRip","CLOTH","Various cloth rips and tears, short to long. Velcro would best fit here too.","rasgar, desgarrar, velcro"],
["COMUNICACIONES","AUDIO VISUAL","COMAv","COM","Various AV devices such a projector or tape recorder, video cameras here too. Some overlap or confusion with COMMUNICATIONS-CAMERA.","cámara de cine, carrete, cámara de cine, proyector, grabadora, nagra, walkman, reproductor de CD, carrete a carrete, vcr, reproductor de laserdisc, betamax, proyector de diapositivas, beamer, ipod, bolex, 8mm, 16mm"],
["COMUNICACIONES","CÁMARA","COMCam","COM","Still camera shutters, automatic winding, old flash-bulbs. Movie and video cameras to COMMUNICATIONS-AV.","obturador de cámara, bobinado, bombilla de flash, kodak, nikon, canon, olympus, kodak, fuji, fujifilm, mamiya, hasselblad, leica, 35mm, 120mm"],
["COMUNICACIONES","TELÉFONO MÓVIL","COMCell","COM","Cellphones and Smartphones., clicks and rings, tones.","teléfono móvil, smartphone, iphone, blackberry, flip phone, android"],
["COMUNICACIONES","MICRÓFONO","COMMic","COM","Feedback and mic bumps and handling. Megaphones would go here too.","manejo de micrófono, mic tap, larsen, megáfono"],
["COMUNICACIONES","MISCELÁNEA","COMMisc","COM","Communication sounds not fitting another category in this list.","varios"],
["COMUNICACIONES","FONÓGRAFO","COMPhono","COM","Turntable, Victrola, motors and mechanics. STATIC has its own subcategory here.","tocadiscos, victrola, fonógrafo, aguja, disco de vinilo"],
["COMUNICACIONES","RADIO","COMRadio","COM","Tuning, radio and shortwave sounds. STATIC has its own subcategory here. A radio broadcast would go here too. Overlap with VOICES-FUTZED.","sintonización, radio, onda corta, squelch, futz, emisión de radio"],
["COMUNICACIONES","ESTÁTICA","COMStatic","COM","Static from any electronic source, radio, CB, television, optical noise, phonograph noise.","estática, fuzz, scramble"],
["COMUNICACIONES","TELEMETRÍA","COMTelm","COM","Fax machine tones, modem tones, telegraph, teletype. UI is it's own category","código morse, telégrafo, telemetría, lectura, sos"],
["COMUNICACIONES","TELÉFONO FIJO","COMTelph","COM","Old school rotary dial and digital telephones. Technically any telephone that isn't a mobile or cell phone.","dial, payphone, rotary dial, key pad, landline, cord phone"],
["COMUNICACIONES","TELEVISIÓN","COMTv","COM","Television programs, on and off, channel changes, TV Remote controls. STATIC has its own subcategory here. A television broadcast would go here too. Overlap with VOICES-FUTZED.","tv, mando a distancia, dial, show, programa, futz, TV show, emisión"],
["COMUNICACIONES","TRANSMISOR","COMTran","COM","Walkie Talkies, CBs, Ham Radios, all two-way transceivers and radios go here. Put voices into VOICES-FUTZED.","walkie talkies, cb, radioaficionados, transceptor, silenciador, intercomunicador, despacho"],
["COMUNICACIONES","MAQUINA DE ESCRIBIR","COMType","COM","Old school typewriters, not modern computer keyboards.","máquina de escribir, teleimpresora, retorno de carro, mando de platina"],
["ORDENADORES","DISCO DURO","CMPTDriv","CMPT","Laptop or other hard drive seeking sounds, data reading.","saltar, buscar, moler, disco duro, disco duro"],
["ORDENADORES","TECLADO Y RATÓN","CMPTKey","CMPT","Typing on computer keyboard, and mouse movement.","teclado, ratón, ratones, trackpad"],
["ORDENADORES","MISCELÁNEA","CMPTMisc","CMPT","Computer sounds not fitting another category in this list. Printers would go to MACHINES-OFFICE.","palm pilot, pocket pc"],
["CRIATURAS","ACUÁTICA","CREAAqua","CREA","Giant mutant squids or sea monsters, kraken, leviathans.","kraken, sirena, calamar gigante"],
["CRIATURAS","AVIAR","CREAAvian","CREA","Alien or Fantasy birds, or weird birdlike creatures. A giant mutant parakeet would go here.","pájaros alienígenas, pájaros extraterrestres, pájaros de fantasía"],
["CRIATURAS","BESTIA","CREABeast","CREA","Big four legged creatures and beasts. Wooly Mammoth, a mutant elephant, Mumakil.","mamut lanudo, mumakil, "],
["CRIATURAS","VISCOSO","CREABlob","CREA","Gelatinous and gooey type creatures, gelatinous cube.","blob, gloop, goop"],
["CRIATURAS","DINOSAURIO","CREADino","CREA","Dinosaurs of all types, Jurassic Park.","brontosaurio, velociraptor, triceratops, estegosaurio, tiranosaurio, alosaurio, espinosaurio, braquiosaurio, archaeopteryx, pterosaurios, pterodáctilo"],
["CRIATURAS","DRAGÓN","CREADrgn","CREA","Game of Thrones, Lord of the Rings, dragons of all types. See also CREATURES-REPTILIAN.","dragón, draco, wyvern"],
["CRIATURAS","ORGÁNICA","CREAElem","CREA","Creatures based on elements, rock giants, fire creatures, ice monsters, such a the Balrog, or a Rock Giant.","monstruo de roca, monstruo de fuego, monstruo de hielo, gigante de roca, gigante de hielo, golem"],
["CRIATURAS","FANTASMAL","CREAEthr","CREA","Ghosts, spirits, ethereal vocals and wispy movement, apparitions.","fantasmas, espíritus, etéreo, vago, espectro, alma, aparición, espectral, poltergeist, fantasma, espectro"],
["CRIATURAS","HUMANOIDE","CREAHmn","CREA","Human sized mythical creatures, so zombies and vampires, elves etc. Troll, Ogres, Orcs. Two legged creatures.","zombi, no muerto, muerto viviente, ghoul, vampiro, elfo, orcos, ogro, troll, tengu, duende, bigfoot, cosa del pantano, hombre lobo, frankenstein, momia"],
["CRIATURAS","INSECTOIDE","CREAInsc","CREA","Giant spiders or other insect like creatures. The creature from The Fly. A giant Tarantula.","hormiga gigante, araña gigante"],
["CRIATURAS","MISCELÁNEA","CREAMisc","CREA","Creature sounds not fitting another category in this list.","varios"],
["CRIATURAS","MONSTRUO","CREAMnstr","CREA","Godzilla, scary monsters, horror monsters. See also CREATURES-HUMANOID.","godzilla, king kong, rancor, behemoth, xenomorfo, chupacabras"],
["CRIATURAS","REPTILOIDE","CREARept","CREA","Giant lizards and snakes, large giant hissing monsters.","serpiente, serpentina, lagarto gigante, serpiente gigante"],
["CRIATURAS","PEQUEÑAS","CREASmall","CREA","Specifically small mythical creatures. Fairies, pixies, small rodent like creatures, etc. Distinguished by small size.","hada, duendecillo, gremlin, diablillo, fraggle"],
["CRIATURAS","BRUTO","CREASrce","CREA","Source recordings meant for creature design, like prop recordings, human voice packs for design, etc.","ladrido, aliento, llamada, graznido, graznido, chirrido, chasquido, grito, esfuerzo, gruñido, silbido, aullido, gruñido, gruñido, gutural, gemido, quejido, boca, rugido, grito, chillido, chillido, quejido"],
["MULTITUD","ENFADADA","CRWDAngr","CRWD","Crowds of upset or angry people, as in a riot, protest, a schoolyard fight. See also AMBIENCE-PROTEST.","hooligan, alboroto, protesta, grito, alboroto"],
["MULTITUD","APLAUSOS","CRWDApls","CRWD","Crowds where the applause is predominantly featured. Use CROWDS-CHEERING for recordings that are mainly vocals.","aplauso, vítor, palmada, bis"],
["MULTITUD","BATALLA","CRWDBatl","CRWD","Crowds in battle, fighting, yelling screaming, dying. If including gunfire, explosions. use AMBIENCE-WARFARE.","grito de guerra, grito, carga, mitin, ejército, batalla, refriega, guerra, gritar, morir"],
["MULTITUD","CELEBRACIÓN","CRWDCele","CRWD","Crowds celebrating holidays, parties, rowdy crowds. If not clean, use AMBIENCE-CELEBRATION.","celebrar, vacaciones, fiesta, alboroto, cumpleaños, año nuevo, navidad, desfile"],
["MULTITUD","VÍTORES","CRWDCheer","CRWD","Could include applause, but cheering crowds where the crowd vocals are predominant. Overlap with CROWDS-CELEBRATION.","animación, concierto, estadio, público, griterío, marejada, cánticos"],
["MULTITUD","NIÑOS","CRWDChld","CRWD","Relatively clean vocals of children together, playing in a playground, in a school classroom, recess, school hallway. See also AMBIENCE-SCHOOL.","patio de recreo, recreo, niños jugando, parque, juego, etiqueta"],
["MULTITUD","CONVERSACIÓN","CRWDConv","CRWD","A small enough group chat that you can discern words, smaller and less active than a walla. A chatter.","parloteo, charla, hablar, escasa walla, conversar, conversación"],
["MULTITUD","RISAS","CRWDLaff","CRWD","Crowds laughing, a comedy show, canned television laughter, groups of kids laughing, at a party for example.","programa de televisión, risas enlatadas, club de la comedia, laugh track"],
["MULTITUD","GRUPO EN BUCLE","CRWDLoop","CRWD","For loop group type walla, usually performed for or to picture, specific environments, specific callouts. See also ARCHIVED-LOOP GROUP for official loop group recordings.","grupo de bucle, adr, enlatado"],
["MULTITUD","MISCELÁNEA","CRWDMisc","CRWD","Crowd sounds not fitting another category in this list. See also MOVEMENT-CROWD.","varios"],
["MULTITUD","PÁNICO","CRWDPanic","CRWD","Distressed crowds, mixed screams and crying and reactions… crowds in a natural disaster or crowds in a giant monster attack...","pánico, caos, gritar, chillar, llorar, angustia"],
["MULTITUD","TRANQUILA","CRWDQuiet","CRWD","Very quiet crowds, mostly mumbling or murmuring. Like crowds whispering in church or a courtroom scene. See also VOICES-WHISPER for single person recordings.","murmurar, susurrar, callar, murmurar"],
["MULTITUD","REACCIÓN","CRWDReac","CRWD","Big Ooos, and Aaahs and Booos, big group responses to events happening. Shocked reactions.","boo, ahh, ooh, reacción de estudio"],
["MULTITUD","CANTICOS","CRWDSing","CRWD","Singing during sporting events, New Year's Eve crowds singing Auld Lang Syne, Christmas carols. Not large choral music, which would go in MUSICAL category.","canto, coro, coral, villancico"],
["MULTITUD","DEPORTE","CRWDSprt","CRWD","Clean crowds at sporting events, Baseball, football. For mixed ambience used AMBIENCE-SPORT. A sports chant.","aplauso, palmada, abucheo, ovación, estadio, yay, público, olimpiadas, grito, woohoo"],
["MULTITUD","WALLA","CRWDWalla","CRWD","Specifically very clean crowd walla, with non-discernible words. See also various AMBIENCE categories.","voces, hablar, walla, conversación"],
["DISEÑO","NOTAS GRAVES","DSGNBass","DSGN","Deep descending bass notes. Bass Drops.","bass dive, downer, bass drop, caída"],
["DISEÑO","BOOM","DSGNBoom","DSGN","Deep short and tight, low end stingers, big trailer deep hits. LFE type low end sweeteners.","boom, deep hit, low sting, trailer"],
["DISEÑO","BRAAAM","DSGNBram","DSGN","Long deep horn like sounds. Like a War of the World's type long sound, or like a long french horn braam type sound.","bramm"],
["DISEÑO","DISTORSIÓN","DSGNDist","DSGN","Particulary distored designed sounds and distortion elements.","distorsión, cuadrado, distorsionado"],
["DISEÑO","DRONE","DSGNDron","DSGN","Designed drones, eerie tense drones, long stylized sounds with not much activity or movement.","pad, drone, textura, ominoso, tensión"],
["DISEÑO","SUSPENSE","DSGNErie","DSGN","Often designed, but tense strange undefined sounds that are eerie, tense, suspenseful. Some overlap with DESIGNED-DRONE possible.","espeluznante, tenso, extraño, espeluznante, aterrador, escalofriante, inquietante, espeluznante, "],
["DISEÑO","ABSTRACTO","DSGNEthr","DSGN","Ethereal wispy designed sounds. Ghostlike whispers, or heavenly tones. Otherworldly. See also DESIGNED-EERIE.","etéreo, celestial"],
["DISEÑO","GRANULAR","DSGNGran","DSGN","Granular synthesis, sounds that have a gritty textural type sound, think PaulStretch, sounds broken down into tiny slices and recompiled.","granular, paulstretch, granos, rodajas"],
["DISEÑO","IMPACTO","DSGNImpt","DSGN","Designed huge impacts, collisions, stylized big hits. Possible overlap with DESIGNED-STINGER.","impacto, golpe, portazo, choque, colisión"],
["DISEÑO","MISCELÁNEA","DSGNMisc","DSGN","Designed sounds not fitting another category in this list.","varios"],
["DISEÑO","MORPH","DSGNMorph","DSGN","A stylized blending of elements, something transitioning into another thing.","morph, mezcla, transición"],
["DISEÑO","RISER","DSGNRise","DSGN","Tension risers, things rising in tone, something similar to a rising string line to create tension.","inversión, crescendo, rizer, riser, tensión"],
["DISEÑO","RUMBLE","DSGNRmbl","DSGN","Designed rumbles for layering into a mix. Earthquake rumbles. Composite rumble.","subarmónico, estruendo, sacudida, terremoto"],
["DISEÑO","RITMICO","DSGNRythm","DSGN","Stattaco or glitchy machine type loops, things with definied starts, stops, rhythmic stutters.","stutter, glitch, pulse, stattaco"],
["DISEÑO","BRUTO","DSGNSrce","DSGN","For recordings meant to be used as source for other designed sounds, experimental recordings, elements, etc.","fuente, crudo, material, grabación en bruto"],
["DISEÑO","STINGER","DSGNStngr","DSGN","Stings, stylized screen sweeteners. Big trailer type sounds. Big shock scare type sounds. Stylized stings, hits and impacts. Overlap with DESIGNED-IMPACT.","aguijón, sobresalto, tráiler, cinematográfico"],
["DISEÑO","SINTÉTICO","DSGNSynth","DSGN","Very synthesized sounds, very electronic synth stuff. Raw work files of synth-play.","sintetizado, sintetizador, mod sintetizador, sintetizador modular, granular, sintetizador analógico, sintetizador modular"],
["DISEÑO","TONAL","DSGNTonl","DSGN","Designed sounds with a particularly tonal nature. The ringing in your ear of tinnitus for example.","tinnitus, zumbido, conmoción, subjetivo"],
["DISEÑO","VOCAL","DSGNVocl","DSGN","Design specifically around vocals, ghostly whispers, enchanted spells, reversed talking etc. Not for Creatures.","encantamiento, hechizo, procesado, vocal, susurro, fantasmal"],
["DISEÑO","WHOOSH","DSGNWhsh","DSGN","Stylized designed big whooshes, definite possible overlap confusion with SHOOSHES-WHOOSH, but this for less natural and more stylized versions.","whoosh, remolque swish, swish"],
["DESTRUCCIÓN","COLAPSAR","DESTRClpse","DESTR","Buildings and large mixed complex collapses, a barn collapse, Godzilla pushing over a building.","colapso, derrumbe, caída, implosión"],
["DESTRUCCIÓN","CHOQUE Y ESCOMBROS","DESTRCrsh","DESTR","Mixed crashes, complex crashes involving more than one material. So a combo huge glass and metal crash. See also individual material categories like METAL, WOOD etc.","choque, ruptura, implosión, aplastamiento, rotura, destrozo"],
["DESTRUCCIÓN","MISCELÁNEA","DESTRMisc","DESTR","Destruction sounds not fitting another category in this list.","varios"],
["TIERRA Y ARENA","CHOQUE Y ESCOMBROS","DIRTCrsh","DIRT","Dirt or sand settling, as in after an explosion, big sprays of dirt and sand. DUST has its own subcategory.","escombros, arena, suciedad, goteo, rocío, desmenuzar"],
["TIERRA Y ARENA","POLVO","DIRTDust","DIRT","Settling dust, dust clouds, much lighter sound than DIRT & SAND-DEBRIS","fino, partícula, sedimento, limo, polvo"],
["TIERRA Y ARENA","MANIPULAR","DIRTHndl","DIRT","Handling dirt & sand, hands digging through dirt, children making a sand castle. Some overlap with DIRT & SAND-MOVEMENT.","manejar, agarrar, cavar, coger"],
["TIERRA Y ARENA","IMPACTO","DIRTImpt","DIRT","Big hits and impacts of dirt of sand, dirt clods. Think the huge dirt ball impacts in WHERE THE WILD THINGS ARE.","verter, golpear, descargar, dejar caer"],
["TIERRA Y ARENA","MISCELÁNEA","DIRTMisc","DIRT","Dirt, Sand and Earth sounds not fitting another category in this list.","varios"],
["TIERRA Y ARENA","MOVIMIENTO","DIRTMvmt","DIRT","Pouring, flowing of dirt or sand, a big sand pour. See also DIRT & SAND-HANDLE.","verter, descargar, fluir, derramar"],
["TIERRA Y ARENA","TONAL","DIRTTonl","DIRT","Singing sand dunes. Probably pretty rare.","dunas, arenas cantarinas"],
["PUERTAS","ANTIGUA","DOORAntq","DOOR","Very old sounding doors, as in an old castle or abbey. But massive doors of this type probably to DOOR-DUNGEON.","castillo, abadía, iglesia, viejo, antiguo, antigüedad"],
["PUERTAS","ELECTRODOMÉSTICO","DOORAppl","DOOR","Appliance doors such as oven, dishwasher, refrigerator or microwave.","horno, microondas, frigorífico, lavavajillas, lavadora, secadora"],
["PUERTAS","ARMARIO","DOORCab","DOOR","Cabinet doors, such as kitchen cabinet, tool cabinets.","armario, armario de cocina, armario de herramientas"],
["PUERTAS","COMPUESTA","DOORComp","DOOR","Fiberglass, wood steel combination, doors that don't sound like a specific material. A modern front door. Some confusion or overlap with DOORS-WOOD likely.","fibra de vidrio, puerta"],
["PUERTAS","CRUJIR","DOORCreak","DOOR","Door creaks, wood or metal, overlap with WOOD-FRICTION and METAL-FRICTION, but specifically door creaks.","crujir, puerta, mazmorra, sótano, castillo, puerta de madera, puerta de metal, puerta crujir"],
["PUERTAS","MAZMORRA","DOORDungn","DOOR","That big old classic wood and/or metal heavy dungeon, castle type door.","castillo, mazmorra, grande, sótano"],
["PUERTAS","ELÉCTRICA","DOORElec","DOOR","Electric doors of all kinds, garage doors, big soundstage doors, sliding store doors. See also DOORS-REVOLVING.","puerta eléctrica, puerta de garaje, puerta acústica, puerta automática"],
["PUERTAS","VERJA","DOORGate","DOOR","Non-motorized gates, metal or wood. So a garden gate, a park gate. A farm gate.","puerta de jardín, puerta de valla, puerta de parque, paso a nivel, puerta de ganado, puerta de granja"],
["PUERTAS","CRISTAL","DOORGlas","DOOR","Glass doors, manual shopping store doors, glass home front doors. Most store doors would probably fit here.","puerta de cristal, puerta de almacén, puerta de bahía, puerta francesa"],
["PUERTAS","POMO","DOORHdwr","DOOR","Door knobs, door locks, deadbolts, chain locks, push bars. Lock Picking, Doorknob Jiggles.","picaporte, cerrojo, barra de empuje, cerradura de cadena, bisagra, pestillo, manilla, herraje, ganzúa, sacudida"],
["PUERTAS","HI-TECH","DOORTech","DOOR","James bond type doors, something not quite sci-fi but more advanced, Modern lab, or air sealed chamber, vaults. See also SCIFI-DOOR.","puerta de laboratorio"],
["PUERTAS","HIDRÁULICO Y NEUMÁTICO","DOORHydr","DOOR","Self closing doors, lots of office and store doors are of this type. Also automatic doors if hydraulic or pneumatic.","cierrapuertas, neumático, hidráulico, trampilla motorizada"],
["PUERTAS","GOLPE LLAMADA","DOORKnck","DOOR","Knocking on various door surfaces.","golpe, rap, aldaba, bang, thud, thump"],
["PUERTAS","METAL","DOORMetl","DOOR","Metal doors, like a vault door or heavy door. PRISON doors have their own category, as they are quite specific sounding.","enrollable, cámara acorazada, caja fuerte, trampilla"],
["PUERTAS","MISCELÁNEA","DOORMisc","DOOR","Door sounds not fitting another category in this list.","varios"],
["PUERTAS","PLÁSTICO","DOORPlas","DOOR","Doors made out of plastic. Not very common but maybe a door to a child's play house.","porta john, porta let, porta pottie"],
["PUERTAS","CÁRCEL","DOORPrisn","DOOR","Big metal jail and prison doors. Sliding prison doors, or swinging jail doors.","puerta de la cárcel, puerta de la prisión"],
["PUERTAS","GIRATORIA","DOORRevl","DOOR","Classic revolving doors used as entries to hotels, banks, malls.","revolve, rotate, revolving door, hotel, aeropuerto, centro comercial"],
["PUERTAS","CORREDERA","DOORSlid","DOOR","Manual sliding doors, such as a patio door, sliding shower doors. Electric sliding doors to DOORS-ELECTRIC.","puerta corredera de cristal, puerta de patio, puerta de ducha"],
["PUERTAS","PIEDRA","DOORSton","DOOR","Mostly a fantasy type door, but think Gates of Moria, big tombstone vault doors.","tumba, cripta, templo, mausoleo, entrada secreta"],
["PUERTAS","VAIVÉN","DOORSwng","DOOR","Swinging doors, like old-west saloon or church pulpit doors. Doors on swinging springs.","puerta de taberna, puerta de tráfico, puerta de restaurante, puerta de púlpito de iglesia"],
["PUERTAS","MADERA","DOORWood","DOOR","Wood doors, home, school, most general door category probably.","entrada, puerta principal, armario"],
