[["POWIETRZE","PODMUCH","AIRBlow","AIR","Steady air blows, like from a compressed can of air.","sprężone powietrze, obniżać ciśnienie, wypuszczać, puff, sputter, flutter, purge"],
["ŁÓDŹ","SYRENA","BOATHorn","BOAT","Horns on boats and ships. Fog horns would go in HORNS-AIR category.","klakson okrętowy, klakson holownika"],
["ŁÓDŹ","WNĘTRZE","BOATInt","BOAT","Interior ambiences on boats and ships, ferries, cruise ships, navy ships.","statek, prom, promy, statek wycieczkowy, marynarka wojenna, łódź wojskowa, holownik, żaglówka, jacht, zbiornikowiec, statek towarowy, frachtowiec, łódź podwodna"],
["ŁÓDŹ","MECHANIZM","BOATMech","BOAT","All manner of boat mechanisms. Sailing ship rigging, pulleys, ropes, ship wheels. See also BOATS-DOOR.","olinowanie, koło pasowe, lina, koło okrętowe, przepustnica, sieć, klatka, pułapka, kotwica"],
["ŁÓDŹ","WOJSKOWA","BOATMil","BOAT","Specifically military boats and ships, destroyers, aircraft carriers. Any military boat.","łódź patrolowa, niszczyciel, krążownik, pancernik, fregata, korweta, szybka łódź szturmowa"],
["ŁÓDŹ","RÓŻNE","BOATMisc","BOAT","Boat sounds not fitting another category in this list.","łódź wiosłowa, paddleboard"],
["ŁÓDŹ","MOTOROWA","BOATMotr","BOAT","General small boats, personal fishing boats, speedboats, pontoon boats. You average recreational boat.","mała łódź, osobista łódź rybacka, motorówka, łódź pontonowa, kaczka, ponton"],
["ŁÓDŹ","WYŚCIGOWA","BOATRace","BOAT","Powered racing boats, not for human powered racing boats, those would go under BOATS-ROWING.","hydroplan, wodolot, łódź odrzutowa"],
["ŁÓDŹ","WIOSŁOWA","BOATRow","BOAT","Canoes, rowboats, kayaks probably, human powered boats that use oars and paddles, even racing rowboats.","kajak, łódź wiosłowa, kajak, wiosło, smocza łódź, wiosło"],
["ŁÓDŹ","ŻAGLOWA","BOATSail","BOAT","Composite recordings of rigging and sails, isolated elements to CLOTH-FLAP for close sails, or BOATS-MECHANISM for rigging.","żaglówka, szkuner, jacht, slup, kecz, motorówka"],
["ŁÓDŹ","STATEK","BOATShip","BOAT","Large ship, passenger cruise ships, oil tankers, things relating to these.","duży statek, statek wycieczkowy, tankowiec, statek towarowy, frachtowiec"],
["ŁÓDŹ","PAROWA","BOATStm","BOAT","Old steam paddle boats, big steam ship sounds.","parowy statek łopatkowy, parowiec łopatkowy, silnik parowy"],
["ŁÓDŹ","PODWODNA","BOATSub","BOAT","Relating to a submarine, include sonar pings. Classic 'Dive' alarm would go in ALARMS-SIREN with keyword Klaxon.","okręt podwodny, sonar, okręt podwodny, u-boot"],
["ŁÓDŹ","POD WODĄ","BOATUndwtr","BOAT","Specifically boats and ships recorded underwater, usually hydrophone recordings. SUBMARINES have their own subcategory.","łódź, statek, podwodny, tankowiec, łódź rybacka, motorówka, podwodny"],
["POCISK","PRZELOT","BLLTBy","BLLT","Bullet pass bys in air, or underwater.","pocisk - whiz-by, fwip"],
["POCISK","UDERZENIE","BLLTImpt","BLLT","Bullet hits and impacts, on a bullet hit on any material from the ground, to wood, to a person.","uderzenie pocisku, trafienie pocisku"],
["POCISK","RÓŻNE","BLLTMisc","BLLT","Bullet sounds not fitting another category in this list.","różne"],
["POCISK","RYKOSZET","BLLTRico","BLLT","Bullet ricochets, that classic old west 'ping' when a bullet bounces off something.","rykoszet, rykoszet, odchylenie"],
["POCISK","ŁUSKA","BLLTShel","BLLT","Bullet shells ejecting and dropping to the ground. See also GUNS-HANDLING for things like loading or unloading a gun.","łuska, obudowa, wyrzut"],
["KRESKÓWKA","ZWIERZĘ","TOONAnml","TOON","Cartoon animals, made from animals calls, props, etc. Very silly or stylized animals calls for use in Cartoons.","fałszywe zwierzę, zew myśliwski, zew kaczki"],
["KRESKÓWKA","BOING","TOONBoing","TOON","Cartoon boings, like for a bouncing cartoon character. Roger Rabbit or Tigger from Winnie the Pooh.","harfa szczękowa, harfa ustna"],
["KRESKÓWKA","BRZDĘK","TOONClang","TOON","Cartoon clangs, like a funny anvil hit. Most likely a very metallic resonant hit.","brzęk, metaliczny"],
["KRESKÓWKA","SKRZYPIENIE","TOONCreak","TOON","Cartoon creaks, some overlap or confusion with CARTOON-STRETCH possible.","guma, drewno"],
["KRESKÓWKA","TRĄBIENIE","TOONHorn","TOON","Cartoon horns, as in bulb horns, clown horns.","klakson z żarówką, trąbienie, klakson klauna"],
["KRESKÓWKA","UDERZENIE","TOONImpt","TOON","Cartoon hits, bonk, boink, doink..","bonk, boink, doink"],
["KRESKÓWKA","MASZYNA","TOONMach","TOON","Cartoon machines, an overly comical sounding machine or contraption. A Rube Goldberg contraption.","urządzenie, maszyna komiczna, maszyna Rube Goldberga"],
["KRESKÓWKA","RÓŻNE","TOONMisc","TOON","Cartoon sounds not fitting another category in this list.","toon, squanch, blorb, flump"],
["KRESKÓWKA","ELEMENTY MUZYCZNE","TOONMx","TOON","Cartoon musical phrases. String plucks for a cartoon character sneaking up on another. Perhaps a cartoon musical phrase.","gliss, ascend, descend,"],
["KRESKÓWKA","STRUNA","TOONPluk","TOON","Cartoon string plucks, violin plucks, dental floss plucks.","skubanie struny"],
["KRESKÓWKA","WYSTRZAŁ","TOONPop","TOON","Cartoon funny pops, mouth pops, suction cup pops.","pistolet, usta, przyssawka, bańki"],
["KRESKÓWKA","TRZĘSIENIE","TOONShake","TOON","Cartoon shake, like a noisemaker toy, maraca.","grzechotka"],
["KRESKÓWKA","PLAŚNIĘCIE","TOONSplt","TOON","Cartoon splats, funny liquid and mud like splats and things.","splat, splort, squish"],
["KRESKÓWKA","PISZCZENIE","TOONSqk","TOON","Cartoon squeaks. funny little sounding squeaks of things.","piszczeć"],
["KRESKÓWKA","NACIĄGANIE","TOONStrch","TOON","Cartoon stretches, funny rubber or other type stretching sounds, exaggerated.","nadwyrężać"],
["KRESKÓWKA","SWISH","TOONSwsh","TOON","Cartoon swishes, specifically very funny cartoony swishes.","wirować, wirować"],
["KRESKÓWKA","SPRĘŻYNOWANIE","TOONTwang","TOON","Cartoon twangs, that classic ruler twang type sound.","linijka, harfa ustna"],
["KRESKÓWKA","POJAZD","TOONVeh","TOON","Cartoon vehicles, think Jetsons spaceship or Flintstones cars.","jetsons, contraption. Samochód Flintstones, backfire"],
["KRESKÓWKA","GŁOS","TOONVox","TOON","Cartoon vocals, specifically very silly. See also CARTOON-ANIMALS for non-human vocals.","mumble, głupi głos, głos z kreskówki"],
["KRESKÓWKA","WYGINANIE","TOONWarb","TOON","Cartoon warble.","wobble"],
["KRESKÓWKA","GWIZD","TOONWhis","TOON","Cartoon whistles, most likely slide whistles, other very silly whistles. A Wolf-Whistle.","gwizdek suwakowy"],
["KRESKÓWKA","ŚWIST","TOONZip","TOON","Cartoon zips. Very fast 'zip' type sounds, often for fast movement aways.","zip, rico, syrena, gwizdek"],
["CERAMIKA","ŁAMANIE","CERMBrk","CERM","Ceramics break of a more singular nature, a plate shatter, breaking, cracking, crunching. Mostly for single items breaking. See also CERAMICS-CRASH & DEBRIS.","złamać, pęknąć, roztrzaskać, chrupnąć"],
["CERAMIKA","ROZBICIE I ODŁAMKI","CERMCrsh","CERM","Ceramics destruction of more of a group nature, multiple crashes and debris. See also CERAMICS-BREAK.","spaść, gruz, odłamki"],
["CERAMIKA","TARCIE","CERMFric","CERM","Ceramics friction, scraping, squeaking, screeching.","naprężać się, skrobać, skrzypieć, piszczeć"],
["CERAMIKA","TRZYMANIE","CERMHndl","CERM","Ceramics handling, picking up a coffee mug, handling a plant pot. Some overlap with CERAMICS-MOVEMENT.","uchwycić, złapać, ustawić, podnieść, ustawić się, podrzucić, złapać"],
["CERAMIKA","UDERZENIE","CERMImpt","CERM","Ceramics impacts without breaking, so hits drops, clunks and clinks. See also CERAMICS-BREAK.","uderzenie, upadek, uderzenie, zderzenie, brzęk, brzęk"],
["CERAMIKA","RÓŻNE","CERMMisc","CERM","Ceramics sounds not fitting another category in this list.","różne"],
["CERAMIKA","PORUSZANIE","CERMMvmt","CERM","Ceramics single or group movement, so dragging, shaking and rattling. See also CERAMICS-HANDLE.","ciągnąć, toczyć, grzechotać, trząść"],
["CERAMIKA","TONALNE","CERMTonl","CERM","Ceramics ringing, as in being bowed.","wygiąć się, dzwonić, szumieć, pingować"],
["ŁAŃCUCHY","ŁAMANIE","CHAINBrk","CHAIN","Chain snapping or breaking, that sharp sound of a chain failing.","pstryknięcie, złamanie, zgięcie"],
["ŁAŃCUCHY","TRZYMANIE","CHAINHndl","CHAIN","Chain handling, repairing a bike chain, a prisoner moving around in chains. Some overlap with CHAINS-MOVEMENT.","uchwycić, złapać, ustawić, podnieść, ustawić w dół, podrzucić, złapać"],
["ŁAŃCUCHY","UDERZENIE","CHAINImpt","CHAIN","Chain impacts, such a big chain hit or slam, or a tension snap of a chain being pulled taut.","upuszczać, uderzać, uderzać, trzaskać, napinać się"],
["ŁAŃCUCHY","RÓŻNE","CHAINMisc","CHAIN","Chain sounds not fitting another category in this list.","różne"],
["ŁAŃCUCHY","PORUSZANIE","CHAINMvmt","CHAIN","Chain handling, particularly being pulled through pulleys or across surfaces. See also CHAINS-HANDLE.","przeciąganie, kajdanki, łańcuch więzienny, łańcuch dla psa"],
["CHEMIKALIA","KWAS","CHEMAcid","CHEM","Chemical acid burning and sizzling, bubbling. A vat of acid.","skwierczeć, topić się, skwierczeć"],
["CHEMIKALIA","RÓŻNE","CHEMMisc","CHEM","Chemical sounds not fitting another category in this list.","różne"],
["CHEMIKALIA","REAKCJA","CHEMReac","CHEM","Chemical reactions, chemistry set, bubbling, foaming, bunsen burner reactions. Overlap perhaps with LIQUID & MUD category.","bulgotanie, pienienie, reakcja"],
["ZEGARY","TONALNE","CLOCKChim","CLOCK","Chimes, bells specifically for a clock, Grandfather clock chimes. Alarm clocks would go to ALARMS-CLOCK.","gong, dzwonek, zegar dziadka"],
["ZEGARY","MECHANIZM","CLOCKMech","CLOCK","Clocks winding, complex mechanical clock mechanisms.","nawijanie, koła zębate zegara, zegar z kukułką"],
["ZEGARY","RÓŻNE","CLOCKMisc","CLOCK","Clock sounds not fitting another category in this list. Also see ALARMS-CLOCK","różne"],
["ZEGARY","TYKANIE","CLOCKTick","CLOCK","Analog ticking clocks and watches of all sizes, also mechanical stop watches.","tik, klik, kwarc, tik-tak, stoper, zegar do jajek"],
["TKANINA","TRZEPOT","CLOTHFlp","CLOTH","Cloth flapping, as in a flag flapping, or superman's cape. Also ship sails and parachutes.","klapa, flaga, szmer, spadochron, peleryna, żaglówka, żagiel, płachta"],
["TKANINA","TRZYMANIE","CLOTHHndl","CLOTH","Cloth handling, grabbing a jacket, clothy arm grabs, etc. Some overlap with CLOTH-MOVEMENT. See also possibly OBJECTS-FASHION.","uchwycić, złapać, ustawić, podnieść, postawić, podrzucić, złapać"],
["TKANINA","UDERZENIE","CLOTHImpt","CLOTH","Cloth impacts, throwing a jacket forcefully to the floor, a wet towel snap. Some overlap with CLOTH-MOVEMENT possible.","uderzenie, upadek, uderzenie, klaps"],
["TKANINA","RÓŻNE","CLOTHMisc","CLOTH","Cloth sounds not fitting another category in this list.","różne"],
["TKANINA","PORUSZANIE","CLOTHMvmt","CLOTH","Varied cloth movement except flapping which has its own category. Variety of cloth movement. Cloth zuzz. See also CLOTH-FLAP.","zuzz, swish, rustle, ruffle, scrunch, mvmt"],
["TKANINA","ROZDARCIE","CLOTHRip","CLOTH","Various cloth rips and tears, short to long. Velcro would best fit here too.","rozrywać, rozdzierać, rzep"],
["KOMUNIKACJA","AUDIO VIDEO","COMAv","COM","Various AV devices such a projector or tape recorder, video cameras here too. Some overlap or confusion with COMMUNICATIONS-CAMERA.","kamera filmowa, szpulowanie, kamera filmowa, projektor, magnetofon, nagra, walkman, odtwarzacz CD, reel to reel, vcr, odtwarzacz laserdisc, betamax, rzutnik slajdów, beamer, ipod, bolex, 8mm, 16mm"],
["KOMUNIKACJA","APARAT FOTOGRAFICZNY","COMCam","COM","Still camera shutters, automatic winding, old flash-bulbs. Movie and video cameras to COMMUNICATIONS-AV.","migawka aparatu, uzwojenie, żarówka lampy błyskowej, kodak, nikon, canon, olympus, kodak, fuji, fujifilm, mamiya, hasselblad, leica, 35mm, 120mm"],
["KOMUNIKACJA","TELEFON KOMÓRKOWY","COMCell","COM","Cellphones and Smartphones., clicks and rings, tones.","telefon komórkowy, smartfon, iphone, blackberry, flip phone, android"],
["KOMUNIKACJA","MIKROFON","COMMic","COM","Feedback and mic bumps and handling. Megaphones would go here too.","obsługa mikrofonu, mic tap, larsen, megafon"],
["KOMUNIKACJA","RÓŻNE","COMMisc","COM","Communication sounds not fitting another category in this list.","różne"],
["KOMUNIKACJA","GRAMOFON","COMPhono","COM","Turntable, Victrola, motors and mechanics. STATIC has its own subcategory here.","gramofon, victrola, fonograf, rysik, płyta winylowa"],
["KOMUNIKACJA","RADIO","COMRadio","COM","Tuning, radio and shortwave sounds. STATIC has its own subcategory here. A radio broadcast would go here too. Overlap with VOICES-FUTZED.","strojenie, radio, krótkofalówka, squelch, futz, audycja radiowa"],
["KOMUNIKACJA","SZUM","COMStatic","COM","Static from any electronic source, radio, CB, television, optical noise, phonograph noise.","szum, fuzz, scramble"],
["KOMUNIKACJA","TRANSMISJA DANYCH","COMTelm","COM","Fax machine tones, modem tones, telegraph, teletype. UI is it's own category","kod morse'a, telegraf, telemetria, odczyt, sos"],
["KOMUNIKACJA","TELEFON STACJONARNY","COMTelph","COM","Old school rotary dial and digital telephones. Technically any telephone that isn't a mobile or cell phone.","dzwonek, automat, pokrętło, klawiatura, telefon stacjonarny, telefon przewodowy"],
["KOMUNIKACJA","TELEWIZOR","COMTv","COM","Television programs, on and off, channel changes, TV Remote controls. STATIC has its own subcategory here. A television broadcast would go here too. Overlap with VOICES-FUTZED.","tv, pilot, wybieranie, pokaz, program, futz, program telewizyjny, transmisja"],
["KOMUNIKACJA","KRÓTKOFALÓWKA","COMTran","COM","Walkie Talkies, CBs, Ham Radios, all two-way transceivers and radios go here. Put voices into VOICES-FUTZED.","walkie talkies, cb, ham radios, transceiver, squelch, intercom, dispatch"],
["KOMUNIKACJA","MASZYNA DO PISANIA","COMType","COM","Old school typewriters, not modern computer keyboards.","maszyna do pisania, teleprinter, carriage return, platen knob"],
["KOMPUTERY","DYSK TWARDY","CMPTDriv","CMPT","Laptop or other hard drive seeking sounds, data reading.","pomijanie, wyszukiwanie, mielenie, dysk twardy, twardy dysk"],
["KOMPUTERY","KALWIATURA I MYSZ","CMPTKey","CMPT","Typing on computer keyboard, and mouse movement.","klawiatura, mysz, myszki, trackpad"],
["KOMPUTERY","RÓŻNE","CMPTMisc","CMPT","Computer sounds not fitting another category in this list. Printers would go to MACHINES-OFFICE.","palm pilot, pocket pc"],
["STWORY","WODNE","CREAAqua","CREA","Giant mutant squids or sea monsters, kraken, leviathans.","kraken, syrena, kałamarnica olbrzymia"],
["STWORY","LATAJĄCE","CREAAvian","CREA","Alien or Fantasy birds, or weird birdlike creatures. A giant mutant parakeet would go here.","ptaki obce, ptaki pozaziemskie, ptaki fantastyczne"],
["STWORY","BESTIA","CREABeast","CREA","Big four legged creatures and beasts. Wooly Mammoth, a mutant elephant, Mumakil.","wełnisty mamut, mumakil, "],
["STWORY","BLOB","CREABlob","CREA","Gelatinous and gooey type creatures, gelatinous cube.","blob, gloop, goop"],
["STWORY","DINOZAUR","CREADino","CREA","Dinosaurs of all types, Jurassic Park.","brontozaur, welociraptor, triceratops, stegozaur, tyranozaur, allozaur, spinozaur, brachiozaur, archeopteryks, pterozaury, pterodaktyl"],
["STWORY","SMOK","CREADrgn","CREA","Game of Thrones, Lord of the Rings, dragons of all types. See also CREATURES-REPTILIAN.","smok, draka, wyvern"],
["STWORY","ŻYWIOŁY","CREAElem","CREA","Creatures based on elements, rock giants, fire creatures, ice monsters, such a the Balrog, or a Rock Giant.","skalny potwór, ognisty potwór, lodowy potwór, skalny olbrzym, lodowy olbrzym, golem"],
["STWORY","DUCH","CREAEthr","CREA","Ghosts, spirits, ethereal vocals and wispy movement, apparitions.","duchy, duchy, eteryczne, wisielcze, widmo, dusza, zjawa, widmowy, poltergeist, upiór, upiór"],
["STWORY","HUMANOIDALNE","CREAHmn","CREA","Human sized mythical creatures, so zombies and vampires, elves etc. Troll, Ogres, Orcs. Two legged creatures.","zombie, nieumarły, żywy trup, upiór, wampir, elf, orkowie, ogr, troll, tengu, leprechaun, wielka stopa, bagno, wilkołak, frankenstein, mumia"],
["STWORY","INSEKTOPODOBNE","CREAInsc","CREA","Giant spiders or other insect like creatures. The creature from The Fly. A giant Tarantula.","gigantyczna mrówka, gigantyczny pająk"],
["STWORY","RÓŻNE","CREAMisc","CREA","Creature sounds not fitting another category in this list.","różne"],
["STWORY","POTWÓR","CREAMnstr","CREA","Godzilla, scary monsters, horror monsters. See also CREATURES-HUMANOID.","godzilla, king kong, rancor, behemoth, xenomorph, chupacabra"],
["STWORY","GAD","CREARept","CREA","Giant lizards and snakes, large giant hissing monsters.","wąż, serpentyn, gigantyczna jaszczurka, gigantyczny wąż"],
["STWORY","MAŁE","CREASmall","CREA","Specifically small mythical creatures. Fairies, pixies, small rodent like creatures, etc. Distinguished by small size.","wróżka, pixie, gremlin, imp, fraggle"],
["STWORY","MATERIAŁY ŹRÓDŁOWE","CREASrce","CREA","Source recordings meant for creature design, like prop recordings, human voice packs for design, etc.","szczekać, dyszeć, wołać, krakać, ćwierkać, klikać, płakać, wysilać się, chrząkać, syczeć, wyć, warczeć, chrapać, guttural, jęczeć, jęczeć, usta, ryczeć, krzyczeć, piszczeć, skomleć"],
["TŁUM","ROZGNIEWANY","CRWDAngr","CRWD","Crowds of upset or angry people, as in a riot, protest, a schoolyard fight. See also AMBIENCE-PROTEST.","chuligan, zamieszki, protest, krzyk, awantura"],
["TŁUM","BRAWA","CRWDApls","CRWD","Crowds where the applause is predominantly featured. Use CROWDS-CHEERING for recordings that are mainly vocals.","aplauz, wiwat, klaskanie, bis"],
["TŁUM","BITWA","CRWDBatl","CRWD","Crowds in battle, fighting, yelling screaming, dying. If including gunfire, explosions. use AMBIENCE-WARFARE.","okrzyki bojowe, krzyk, szarża, rajd, armia, bitwa, przepychanka, wojna, krzyk, umieranie"],
["TŁUM","ŚWIĘTOWANIE","CRWDCele","CRWD","Crowds celebrating holidays, parties, rowdy crowds. If not clean, use AMBIENCE-CELEBRATION.","świętowanie, święto, impreza, szeregowy, urodziny, nowe lata, Boże Narodzenie, parada"],
["TŁUM","OWACJA","CRWDCheer","CRWD","Could include applause, but cheering crowds where the crowd vocals are predominant. Overlap with CROWDS-CELEBRATION.","wiwatowanie, koncert, stadion, publiczność, krzyki, świsty, śpiewy"],
["TŁUM","DZIECI","CRWDChld","CRWD","Relatively clean vocals of children together, playing in a playground, in a school classroom, recess, school hallway. See also AMBIENCE-SCHOOL.","plac zabaw, przerwa, grające dzieci, park, zabawa, tag"],
["TŁUM","ROZMOWA","CRWDConv","CRWD","A small enough group chat that you can discern words, smaller and less active than a walla. A chatter.","gadka, czat, rozmowa, sparse walla, converse, conversation"],
["TŁUM","ŚMIECH","CRWDLaff","CRWD","Crowds laughing, a comedy show, canned television laughter, groups of kids laughing, at a party for example.","program telewizyjny, śmiech z puszki, klub komediowy, laugh track"],
["TŁUM","GWAR STUDYJNY","CRWDLoop","CRWD","For loop group type walla, usually performed for or to picture, specific environments, specific callouts. See also ARCHIVED-LOOP GROUP for official loop group recordings.","loop group, adr, canned"],
["TŁUM","RÓŻNE","CRWDMisc","CRWD","Crowd sounds not fitting another category in this list. See also MOVEMENT-CROWD.","różne"],
["TŁUM","PANIKA","CRWDPanic","CRWD","Distressed crowds, mixed screams and crying and reactions… crowds in a natural disaster or crowds in a giant monster attack...","panika, chaos, krzyk, wrzask, płacz, niepokój"],
["TŁUM","CICHY","CRWDQuiet","CRWD","Very quiet crowds, mostly mumbling or murmuring. Like crowds whispering in church or a courtroom scene. See also VOICES-WHISPER for single person recordings.","szmer, szept, szum, mamrotanie"],
["TŁUM","REAKCJA","CRWDReac","CRWD","Big Ooos, and Aaahs and Booos, big group responses to events happening. Shocked reactions.","buu, ahh, ooh, reakcja studia"],
["TŁUM","ŚPIEW","CRWDSing","CRWD","Singing during sporting events, New Year's Eve crowds singing Auld Lang Syne, Christmas carols. Not large choral music, which would go in MUSICAL category.","śpiew, chór, chorał, kolęda"],
["TŁUM","SPORT","CRWDSprt","CRWD","Clean crowds at sporting events, Baseball, football. For mixed ambience used AMBIENCE-SPORT. A sports chant.","aplauz, klaskanie, boo, cheer, stadion, yay, publiczność, olimpiada, krzyk, woohoo"],
["TŁUM","WALLA","CRWDWalla","CRWD","Specifically very clean crowd walla, with non-discernible words. See also various AMBIENCE categories.","głosy, rozmowa, walla, rozmowa"],
["DESIGNED","OPADAJĄCY BAS","DSGNBass","DSGN","Deep descending bass notes. Bass Drops.","bass dive, downer, bass drop, fall"],
["DESIGNED","BOOM","DSGNBoom","DSGN","Deep short and tight, low end stingers, big trailer deep hits. LFE type low end sweeteners.","boom, deep hit, low sting, trailer"],
["DESIGNED","BRAAM","DSGNBram","DSGN","Long deep horn like sounds. Like a War of the World's type long sound, or like a long french horn braam type sound.","bramm"],
["DESIGNED","PRZESTER","DSGNDist","DSGN","Particulary distored designed sounds and distortion elements.","distortion, squared off, distorted"],
["DESIGNED","DRONE","DSGNDron","DSGN","Designed drones, eerie tense drones, long stylized sounds with not much activity or movement.","pad, drone, tekstura, złowieszczy, napięcie"],
["DESIGNED","STRASZNE","DSGNErie","DSGN","Often designed, but tense strange undefined sounds that are eerie, tense, suspenseful. Some overlap with DESIGNED-DRONE possible.","upiorny, napięty, dziwny, creepy, straszny, chilling, nawiedzający, freaky, przerażający, "],
["DESIGNED","PARANORMALNE","DSGNEthr","DSGN","Ethereal wispy designed sounds. Ghostlike whispers, or heavenly tones. Otherworldly. See also DESIGNED-EERIE.","eteryczny, niebiański"],
["DESIGNED","GRANULARNY","DSGNGran","DSGN","Granular synthesis, sounds that have a gritty textural type sound, think PaulStretch, sounds broken down into tiny slices and recompiled.","granularny, paulstretch, ziarna, plastry"],
["DESIGNED","UDERZENIE","DSGNImpt","DSGN","Designed huge impacts, collisions, stylized big hits. Possible overlap with DESIGNED-STINGER.","zderzenie, uderzenie, trzask, rozbicie, kolizja"],
["DESIGNED","RÓŻNE","DSGNMisc","DSGN","Designed sounds not fitting another category in this list.","różne"],
["DESIGNED","MORFING","DSGNMorph","DSGN","A stylized blending of elements, something transitioning into another thing.","morph, blend, transition"],
["DESIGNED","NARASTANIE","DSGNRise","DSGN","Tension risers, things rising in tone, something similar to a rising string line to create tension.","reverse, crescendo, rizer, riser, tension"],
["DESIGNED","ŁOSKOT","DSGNRmbl","DSGN","Designed rumbles for layering into a mix. Earthquake rumbles. Composite rumble.","subharmoniczne, dudnienie, drżenie, trzęsienie ziemi"],
["DESIGNED","RYTMICZNE","DSGNRythm","DSGN","Stattaco or glitchy machine type loops, things with definied starts, stops, rhythmic stutters.","zacinanie się, glitch, puls, stattaco"],
["DESIGNED","MATERIAŁY ŹRÓDŁOWE","DSGNSrce","DSGN","For recordings meant to be used as source for other designed sounds, experimental recordings, elements, etc.","źródło, surowy, materiał, surowe nagranie"],
["DESIGNED","UDERZENIE","DSGNStngr","DSGN","Stings, stylized screen sweeteners. Big trailer type sounds. Big shock scare type sounds. Stylized stings, hits and impacts. Overlap with DESIGNED-IMPACT.","żądło, startle, trailer, cinematic"],
["DESIGNED","SYNTETYCZNE","DSGNSynth","DSGN","Very synthesized sounds, very electronic synth stuff. Raw work files of synth-play.","syntezator, syntezator, mod synth, modular synth, granular, analog synth, modular synth"],
["DESIGNED","TONALNE","DSGNTonl","DSGN","Designed sounds with a particularly tonal nature. The ringing in your ear of tinnitus for example.","szumy uszne, dzwonienie, szok pocisku, subiektywny"],
["DESIGNED","WOKAL","DSGNVocl","DSGN","Design specifically around vocals, ghostly whispers, enchanted spells, reversed talking etc. Not for Creatures.","oczarowanie, zaklęcie, przetworzony, wokal, szept, duchowy"],
["DESIGNED","WHOOSH","DSGNWhsh","DSGN","Stylized designed big whooshes, definite possible overlap confusion with SHOOSHES-WHOOSH, but this for less natural and more stylized versions.","whoosh, świst przyczepy, świst"],
["DESTRUKCJA","ZAWALENIE","DESTRClpse","DESTR","Buildings and large mixed complex collapses, a barn collapse, Godzilla pushing over a building.","zawalić się, przewrócić się, spaść, implodować"],
["DESTRUKCJA","ROZBICIE I ODŁAMKI","DESTRCrsh","DESTR","Mixed crashes, complex crashes involving more than one material. So a combo huge glass and metal crash. See also individual material categories like METAL, WOOD etc.","rozbić, pęknąć, implodować, rozbić, złamać, roztrzaskać"],
["DESTRUKCJA","RÓŻNE","DESTRMisc","DESTR","Destruction sounds not fitting another category in this list.","różne"],
["ZIEMIA I PIACH","ROZBICIE I ODŁAMKI","DIRTCrsh","DIRT","Dirt or sand settling, as in after an explosion, big sprays of dirt and sand. DUST has its own subcategory.","gruz, piasek, brud, strużka, rozprysk, okruch"],
["ZIEMIA I PIACH","PYŁ","DIRTDust","DIRT","Settling dust, dust clouds, much lighter sound than DIRT & SAND-DEBRIS","drobny, cząstka, osad, muł, pył"],
["ZIEMIA I PIACH","TRZYMANIE","DIRTHndl","DIRT","Handling dirt & sand, hands digging through dirt, children making a sand castle. Some overlap with DIRT & SAND-MOVEMENT.","obsługiwać, chwytać, kopać, łapać"],
["ZIEMIA I PIACH","UDERZENIE","DIRTImpt","DIRT","Big hits and impacts of dirt of sand, dirt clods. Think the huge dirt ball impacts in WHERE THE WILD THINGS ARE.","wysypać, wyrzucić, rozładować, upuścić"],
["ZIEMIA I PIACH","RÓŻNE","DIRTMisc","DIRT","Dirt, Sand and Earth sounds not fitting another category in this list.","różne"],
["ZIEMIA I PIACH","PORUSZANIE","DIRTMvmt","DIRT","Pouring, flowing of dirt or sand, a big sand pour. See also DIRT & SAND-HANDLE.","wylewać, wyładowywać, płynąć, rozlewać"],
["ZIEMIA I PIACH","TONALNE","DIRTTonl","DIRT","Singing sand dunes. Probably pretty rare.","wydmy piaskowe, śpiewające piaski"],
["DRZWI","STARODAWNE","DOORAntq","DOOR","Very old sounding doors, as in an old castle or abbey. But massive doors of this type probably to DOOR-DUNGEON.","zamek, abby, kościół, stary, starożytny, antyk"],
["DRZWI","AGD","DOORAppl","DOOR","Appliance doors such as oven, dishwasher, refrigerator or microwave.","piekarnik, mikrofalówka, lodówka, zmywarka, pralka, suszarka"],
["DRZWI","SZAFKA","DOORCab","DOOR","Cabinet doors, such as kitchen cabinet, tool cabinets.","szafka, szafka kuchenna, szafka na narzędzia"],
["DRZWI","ZŁOŻONE","DOORComp","DOOR","Fiberglass, wood steel combination, doors that don't sound like a specific material. A modern front door. Some confusion or overlap with DOORS-WOOD likely.","włókno szklane, drzwi"],
["DRZWI","SKRZYPIENIE","DOORCreak","DOOR","Door creaks, wood or metal, overlap with WOOD-FRICTION and METAL-FRICTION, but specifically door creaks.","skrzypienie, drzwi, loch, piwnica, zamek, drzwi drewniane, drzwi metalowe, skrzypienie drzwi"],
["DRZWI","LOCH","DOORDungn","DOOR","That big old classic wood and/or metal heavy dungeon, castle type door.","zamek, loch, duży, piwnica"],
["DRZWI","ELEKTRYCZNE","DOORElec","DOOR","Electric doors of all kinds, garage doors, big soundstage doors, sliding store doors. See also DOORS-REVOLVING.","brama elektryczna, brama garażowa, brama dźwiękowa, brama automatyczna"],
["DRZWI","BRAMA","DOORGate","DOOR","Non-motorized gates, metal or wood. So a garden gate, a park gate. A farm gate.","brama ogrodowa, brama ogrodzeniowa, brama parkowa, przejście kolejowe, brama dla bydła, brama gospodarcza"],
