[["ВОЗДУХ","ПОТОК","AIRBlow","AIR","Steady air blows, like from a compressed can of air.","сжатый воздух, разгерметизация, выпуск, пыхтение, распыление, трепыхание, продувка"],
["МУЛЬТИПЛИКАЦИЯ","СВИСТ РАССЕКАНИЯ ВОЗДУХА","TOONSwsh","TOON","Cartoon swishes, specifically very funny cartoony swishes.","крутиться, вертеться"],
["МУЛЬТИПЛИКАЦИЯ","ЛИНЕЙКА","TOONTwang","TOON","Cartoon twangs, that classic ruler twang type sound.","линейка, губная гармошка"],
["МУЛЬТИПЛИКАЦИЯ","АВТОМОБИЛЬ","TOONVeh","TOON","Cartoon vehicles, think Jetsons spaceship or Flintstones cars.","Джетсоны, устройство. машина Флинстоунов, обратный удар"],
["МУЛЬТИПЛИКАЦИЯ","ГОЛОС","TOONVox","TOON","Cartoon vocals, specifically very silly. See also CARTOON-ANIMALS for non-human vocals.","бормотание, глупый голос, голос из мультфильма"],
["МУЛЬТИПЛИКАЦИЯ","ПЛАВАЮЩИЙ ЗВУК","TOONWarb","TOON","Cartoon warble.","колебание"],
["МУЛЬТИПЛИКАЦИЯ","СВИСТОК","TOONWhis","TOON","Cartoon whistles, most likely slide whistles, other very silly whistles. A Wolf-Whistle.","свисток"],
["МУЛЬТИПЛИКАЦИЯ","МГНОВЕННОЕ ПЕРЕМЕЩЕНИЕ","TOONZip","TOON","Cartoon zips. Very fast 'zip' type sounds, often for fast movement aways.","молния, рико, сирена, свисток"],
["КЕРАМИКА","ЛОМАНИЕ","CERMBrk","CERM","Ceramics break of a more singular nature, a plate shatter, breaking, cracking, crunching. Mostly for single items breaking. See also CERAMICS-CRASH & DEBRIS.","ломаться, трескаться, разбиваться, хрустеть"],
["КЕРАМИКА","РАЗБИВАНИЕ И ОСКОЛКИ","CERMCrsh","CERM","Ceramics destruction of more of a group nature, multiple crashes and debris. See also CERAMICS-BREAK.","падать, обломки, осколки"],
["КЕРАМИКА","ТРЕНИЕ","CERMFric","CERM","Ceramics friction, scraping, squeaking, screeching.","напряжение, скрежет, скрип, писк, визг, визг"],
["КЕРАМИКА","ОГНЕСТРЕЛЬНОЕ ОРУЖИЕ","CERMHndl","CERM","Ceramics handling, picking up a coffee mug, handling a plant pot. Some overlap with CERAMICS-MOVEMENT.","держать, хватать, устанавливать, подбирать, опускать, бросать, ловить"],
["КЕРАМИКА","УДАР","CERMImpt","CERM","Ceramics impacts without breaking, so hits drops, clunks and clinks. See also CERAMICS-BREAK.","удар, падение, удар, столкновение, крушение, лязг, лязг"],
["КЕРАМИКА","РАЗНОЕ","CERMMisc","CERM","Ceramics sounds not fitting another category in this list.","разное"],
["КЕРАМИКА","ДВИЖЕНИЕ","CERMMvmt","CERM","Ceramics single or group movement, so dragging, shaking and rattling. See also CERAMICS-HANDLE.","тащить, катить, греметь, трясти"],
["КЕРАМИКА","ТОНАЛЬНАЯ","CERMTonl","CERM","Ceramics ringing, as in being bowed.","кланяться, звенеть, звенеть, звенеть, звенеть, звенеть"],
["ЦЕПИ","РАЗРЫВАНИЕ","CHAINBrk","CHAIN","Chain snapping or breaking, that sharp sound of a chain failing.","щелкать, ломаться, гнуться"],
["ЦЕПИ","ОГНЕСТРЕЛЬНОЕ ОРУЖИЕ","CHAINHndl","CHAIN","Chain handling, repairing a bike chain, a prisoner moving around in chains. Some overlap with CHAINS-MOVEMENT.","ручка, хватать, ставить, поднимать, опускать, бросать, ловить"],
["ЦЕПИ","УДАР","CHAINImpt","CHAIN","Chain impacts, such a big chain hit or slam, or a tension snap of a chain being pulled taut.","падать, ударять, ударяться, ударяться, хлопать, щелкать от напряжения"],
["ЦЕПИ","РАЗНОЕ","CHAINMisc","CHAIN","Chain sounds not fitting another category in this list.","разное"],
["ЦЕПИ","ДВИЖЕНИЕ","CHAINMvmt","CHAIN","Chain handling, particularly being pulled through pulleys or across surfaces. See also CHAINS-HANDLE.","тащить, наручники, тюремная цепь, собачья цепь"],
["ХИМИКАТЫ","КИСЛОТА","CHEMAcid","CHEM","Chemical acid burning and sizzling, bubbling. A vat of acid.","шипеть, таять, шипеть"],
["ХИМИКАТЫ","РАЗНОЕ","CHEMMisc","CHEM","Chemical sounds not fitting another category in this list.","разное"],
["ХИМИКАТЫ","РЕАКЦИЯ","CHEMReac","CHEM","Chemical reactions, chemistry set, bubbling, foaming, bunsen burner reactions. Overlap perhaps with LIQUID & MUD category.","пузыриться, пениться, реакция"],
["ЧАСЫ","ЗВОН","CLOCKChim","CLOCK","Chimes, bells specifically for a clock, Grandfather clock chimes. Alarm clocks would go to ALARMS-CLOCK.","звон, колокол, дедушкины часы"],
["ЧАСЫ","МЕХАНИКА","CLOCKMech","CLOCK","Clocks winding, complex mechanical clock mechanisms.","завод, часовые механизмы, часы с кукушкой"],
["ЧАСЫ","РАЗНОЕ","CLOCKMisc","CLOCK","Clock sounds not fitting another category in this list. Also see ALARMS-CLOCK","разное"],
["ЧАСЫ","ТИКАНЬЕ","CLOCKTick","CLOCK","Analog ticking clocks and watches of all sizes, also mechanical stop watches.","тик, клик, кварц, тик-так, секундомер, таймер для яиц"],
["ТКАНЬ","ХЛОПАНЬЕ","CLOTHFlp","CLOTH","Cloth flapping, as in a flag flapping, or superman's cape. Also ship sails and parachutes.","лоскут, флаг, шелест, парашют, накидка, парусина, парус, простыня"],
["ТКАНЬ","ОГНЕСТРЕЛЬНОЕ ОРУЖИЕ","CLOTHHndl","CLOTH","Cloth handling, grabbing a jacket, clothy arm grabs, etc. Some overlap with CLOTH-MOVEMENT. See also possibly OBJECTS-FASHION.","ручка, хватать, ставить, поднимать, опускать, бросать, ловить"],
["ТКАНЬ","УДАР","CLOTHImpt","CLOTH","Cloth impacts, throwing a jacket forcefully to the floor, a wet towel snap. Some overlap with CLOTH-MOVEMENT possible.","удар, падение, удар, шлепок"],
["ТКАНЬ","РАЗНОЕ","CLOTHMisc","CLOTH","Cloth sounds not fitting another category in this list.","разное"],
["ТКАНЬ","ДВИЖЕНИЕ","CLOTHMvmt","CLOTH","Varied cloth movement except flapping which has its own category. Variety of cloth movement. Cloth zuzz. See also CLOTH-FLAP.","звенеть, свистеть, шуршать, шуршать, шуршать, шуршать, шуршать, шуршать, шуршать, шуршать, шуршать"],
["ТКАНЬ","РАЗРЫВАНИЕ","CLOTHRip","CLOTH","Various cloth rips and tears, short to long. Velcro would best fit here too.","рвать, разрывать, липучка"],
["ПЕРЕДАЧА ИНФОРМАЦИИ","АУДИОВИЗУАЛЬНАЯ","COMAv","COM","Various AV devices such a projector or tape recorder, video cameras here too. Some overlap or confusion with COMMUNICATIONS-CAMERA.","кинокамера, намотка, кинокамера, проектор, магнитофон, nagra, walkman, CD-плеер, бобина на бобину, vcr, проигрыватель лазерных дисков, betamax, слайд-проектор, beamer, ipod, bolex, 8mm, 16mm"],
["ПЕРЕДАЧА ИНФОРМАЦИИ","КАМЕРА","COMCam","COM","Still camera shutters, automatic winding, old flash-bulbs. Movie and video cameras to COMMUNICATIONS-AV.","затвор фотоаппарата, завод, лампа вспышки, kodak, nikon, canon, olympus, kodak, fuji, fujifilm, mamiya, hasselblad, leica, 35mm, 120mm"],
["ПЕРЕДАЧА ИНФОРМАЦИИ","МОБИЛЬНИЙ ТЕЛЕФОН","COMCell","COM","Cellphones and Smartphones., clicks and rings, tones.","мобильный телефон, смартфон, iphone, blackberry, флип-телефон, android"],
["ПЕРЕДАЧА ИНФОРМАЦИИ","МИКРОФОН","COMMic","COM","Feedback and mic bumps and handling. Megaphones would go here too.","микрофон, микрофонный кран, ларсен, мегафон"],
["ПЕРЕДАЧА ИНФОРМАЦИИ","РАЗНОЕ","COMMisc","COM","Communication sounds not fitting another category in this list.","разное"],
["ПЕРЕДАЧА ИНФОРМАЦИИ","ГРАММОФОН","COMPhono","COM","Turntable, Victrola, motors and mechanics. STATIC has its own subcategory here.","проигрыватель, виктрола, фонограф, стилус, виниловая пластинка"],
["ПЕРЕДАЧА ИНФОРМАЦИИ","РАДИО","COMRadio","COM","Tuning, radio and shortwave sounds. STATIC has its own subcategory here. A radio broadcast would go here too. Overlap with VOICES-FUTZED.","настройка, радио, коротковолновый, хлюпанье, фузз, радиовещание"],
["ПЕРЕДАЧА ИНФОРМАЦИИ","ПОМЕХИ","COMStatic","COM","Static from any electronic source, radio, CB, television, optical noise, phonograph noise.","помехи, шумы, скрембл"],
["ПЕРЕДАЧА ИНФОРМАЦИИ","ТЕЛЕМЕТРИЯ","COMTelm","COM","Fax machine tones, modem tones, telegraph, teletype. UI is it's own category","азбука морзе, телеграф, телеметрия, считывание, sos"],
["ПЕРЕДАЧА ИНФОРМАЦИИ","ТЕЛЕФОН","COMTelph","COM","Old school rotary dial and digital telephones. Technically any telephone that isn't a mobile or cell phone.","циферблат, таксофон, поворотный набор, кнопочная панель, стационарный телефон, проводной телефон"],
["ПЕРЕДАЧА ИНФОРМАЦИИ","ТЕЛЕВИДЕНИЕ","COMTv","COM","Television programs, on and off, channel changes, TV Remote controls. STATIC has its own subcategory here. A television broadcast would go here too. Overlap with VOICES-FUTZED.","телевизор, пульт, набор, шоу, программа, фузз, телепередача, трансляция"],
["ПЕРЕДАЧА ИНФОРМАЦИИ","ПРИЕМОПЕРЕДАТЧИК","COMTran","COM","Walkie Talkies, CBs, Ham Radios, all two-way transceivers and radios go here. Put voices into VOICES-FUTZED.","рации, си-би, хэм-радио, трансивер, хлюпанье, интерком, диспетчерская служба"],
["ПЕРЕДАЧА ИНФОРМАЦИИ","ПИШУЩАЯ МАШИНКА","COMType","COM","Old school typewriters, not modern computer keyboards.","печатная машинка, телепринтер, возврат каретки, ручка пластины"],
["КОМПЬЮТЕРЫ","ЖЕСТКИЙ ДИСК","CMPTDriv","CMPT","Laptop or other hard drive seeking sounds, data reading.","пропуск, поиск, шлифовка, жесткий диск, жесткий диск"],
["КОМПЬЮТЕРЫ","КЛАВИАТУРА И МЫШЬ","CMPTKey","CMPT","Typing on computer keyboard, and mouse movement.","клавиатура, мышь, мышки, трекпад"],
["КОМПЬЮТЕРЫ","РАЗНОЕ","CMPTMisc","CMPT","Computer sounds not fitting another category in this list. Printers would go to MACHINES-OFFICE.","наладонник, карманный компьютер"],
["СУЩЕСТВА","ВОДНЫЕ","CREAAqua","CREA","Giant mutant squids or sea monsters, kraken, leviathans.","кракен, русалка, гигантский кальмар"],
["СУЩЕСТВА","ПТИЧИЕ","CREAAvian","CREA","Alien or Fantasy birds, or weird birdlike creatures. A giant mutant parakeet would go here.","инопланетные птицы, внеземные птицы, фантастические птицы"],
["СУЩЕСТВА","ЗВЕРЮГА","CREABeast","CREA","Big four legged creatures and beasts. Wooly Mammoth, a mutant elephant, Mumakil.","шерстистый мамонт, мумакил, "],
["СУЩЕСТВА","ВЯЗКИЕ","CREABlob","CREA","Gelatinous and gooey type creatures, gelatinous cube.","блоб, глоп, гуп"],
["СУЩЕСТВА","ДИНОЗАВР","CREADino","CREA","Dinosaurs of all types, Jurassic Park.","бронтозавр, велоцираптор, трицератопс, стегозавр, тираннозавр, аллозавр, спинозавр, брахиозавр, археоптерикс, птерозавры, птеродактиль"],
["СУЩЕСТВА","ДРАКОН","CREADrgn","CREA","Game of Thrones, Lord of the Rings, dragons of all types. See also CREATURES-REPTILIAN.","дракон, дрейк, виверна"],
["СУЩЕСТВА","СОСТАВНЫЕ","CREAElem","CREA","Creatures based on elements, rock giants, fire creatures, ice monsters, such a the Balrog, or a Rock Giant.","скальный монстр, огненный монстр, ледяной монстр, скальный гигант, ледяной гигант, голем"],
["СУЩЕСТВА","БЕСПЛОТНЫЕ","CREAEthr","CREA","Ghosts, spirits, ethereal vocals and wispy movement, apparitions.","призраки, духи, бесплотный, бестелесный, призрак, душа, наваждение, спектральный, полтергейст, фантом, рейф"],
["СУЩЕСТВА","ЧЕЛОВЕКООБРАЗНЫЕ","CREAHmn","CREA","Human sized mythical creatures, so zombies and vampires, elves etc. Troll, Ogres, Orcs. Two legged creatures.","зомби, нежить, живой мертвец, упырь, вампир, эльф, орк, огр, тролль, тенгу, лепрекон, снежный человек, болотная тварь, оборотень, франкенштейн, мумия"],
["СУЩЕСТВА","НАСЕКОМОПОДОБНЫЙ","CREAInsc","CREA","Giant spiders or other insect like creatures. The creature from The Fly. A giant Tarantula.","гигантский муравей, гигантский паук"],
["СУЩЕСТВА","РАЗНОЕ","CREAMisc","CREA","Creature sounds not fitting another category in this list.","разное"],
["СУЩЕСТВА","МОНСТР","CREAMnstr","CREA","Godzilla, scary monsters, horror monsters. See also CREATURES-HUMANOID.","годзилла, кинг-конг, ранкор, бегемот, ксеноморф, чупакабра"],
["СУЩЕСТВА","ПРЕСМЫКАЮЩИЕСЯ","CREARept","CREA","Giant lizards and snakes, large giant hissing monsters.","змея, серпентин, гигантская ящерица, гигантская змея"],
["СУЩЕСТВА","НЕБОЛЬШИЕ","CREASmall","CREA","Specifically small mythical creatures. Fairies, pixies, small rodent like creatures, etc. Distinguished by small size.","фея, пикси, гремлин, имп, фраггл"],
["СУЩЕСТВА","ИСХОДНЫЙ РЕСУРС","CREASrce","CREA","Source recordings meant for creature design, like prop recordings, human voice packs for design, etc.","лай, дыхание, зов, крик, кваканье, щебет, щелчок, крик, усилие, хрюканье, шипение, вой, рык, рычание, рычание, гортанный, стон, стон, пасть, рев, крик, визг, визг, вой"],
["ГРУППА ЛЮДЕЙ","СЕРДИТЫЕ","CRWDAngr","CRWD","Crowds of upset or angry people, as in a riot, protest, a schoolyard fight. See also AMBIENCE-PROTEST.","хулиган, бунт, протест, крик, ряженый"],
["ГРУППА ЛЮДЕЙ","АПЛОДИСМЕНТЫ","CRWDApls","CRWD","Crowds where the applause is predominantly featured. Use CROWDS-CHEERING for recordings that are mainly vocals.","аплодисменты, подбадривать, хлопать, бис"],
["ГРУППА ЛЮДЕЙ","ДРАКА","CRWDBatl","CRWD","Crowds in battle, fighting, yelling screaming, dying. If including gunfire, explosions. use AMBIENCE-WARFARE.","боевые кличи, крик, заряд, митинг, армия, битва, потасовка, война, крик, смерть"],
["ГРУППА ЛЮДЕЙ","ПРАЗДНИК","CRWDCele","CRWD","Crowds celebrating holidays, parties, rowdy crowds. If not clean, use AMBIENCE-CELEBRATION.","празднование, праздник, вечеринка, шумный, день рождения, новый год, рождество, парад"],
["ГРУППА ЛЮДЕЙ","ОВАЦИЯ","CRWDCheer","CRWD","Could include applause, but cheering crowds where the crowd vocals are predominant. Overlap with CROWDS-CELEBRATION.","аплодисменты, концерт, стадион, публика, крики, шум, крики, песнопения"],
["ГРУППА ЛЮДЕЙ","ДЕТИ","CRWDChld","CRWD","Relatively clean vocals of children together, playing in a playground, in a school classroom, recess, school hallway. See also AMBIENCE-SCHOOL.","детская площадка, перемена, дети играют, парк, игра, игра, пятнашки"],
["ГРУППА ЛЮДЕЙ","РАЗГОВОР","CRWDConv","CRWD","A small enough group chat that you can discern words, smaller and less active than a walla. A chatter.","болтовня, чат, разговор, редкая вала, беседа, разговор"],
["ГРУППА ЛЮДЕЙ","СМЕХ","CRWDLaff","CRWD","Crowds laughing, a comedy show, canned television laughter, groups of kids laughing, at a party for example.","телевизионное шоу, консервированный смех, комеди клаб, дорожка смеха"],
["ГРУППА ЛЮДЕЙ","СТУДИЙНАЯ ЗАПИСЬ","CRWDLoop","CRWD","For loop group type walla, usually performed for or to picture, specific environments, specific callouts. See also ARCHIVED-LOOP GROUP for official loop group recordings.","группа циклов, adr, консервированный"],
["ГРУППА ЛЮДЕЙ","РАЗНОЕ","CRWDMisc","CRWD","Crowd sounds not fitting another category in this list. See also MOVEMENT-CROWD.","разное"],
["ГРУППА ЛЮДЕЙ","ПАНИКА","CRWDPanic","CRWD","Distressed crowds, mixed screams and crying and reactions… crowds in a natural disaster or crowds in a giant monster attack...","паника, хаос, крик, вопль, плач, бедствие"],
["ГРУППА ЛЮДЕЙ","ТИХАЯ","CRWDQuiet","CRWD","Very quiet crowds, mostly mumbling or murmuring. Like crowds whispering in church or a courtroom scene. See also VOICES-WHISPER for single person recordings.","ропот, шепот, тишина, бормотание"],
["ГРУППА ЛЮДЕЙ","РЕАКЦИЯ","CRWDReac","CRWD","Big Ooos, and Aaahs and Booos, big group responses to events happening. Shocked reactions.","бух, ах, ох, реакция студии"],
["ГРУППА ЛЮДЕЙ","ПЕНИЕ","CRWDSing","CRWD","Singing during sporting events, New Year's Eve crowds singing Auld Lang Syne, Christmas carols. Not large choral music, which would go in MUSICAL category.","пение, хор, хорал, колядка"],
["ГРУППА ЛЮДЕЙ","СПОРТ","CRWDSprt","CRWD","Clean crowds at sporting events, Baseball, football. For mixed ambience used AMBIENCE-SPORT. A sports chant.","аплодисменты, хлопки, бу, ура, стадион, ура, публика, олимпиада, крики, уууууууу"],
["ГРУППА ЛЮДЕЙ","ФОНОВЫЕ","CRWDWalla","CRWD","Specifically very clean crowd walla, with non-discernible words. See also various AMBIENCE categories.","голоса, разговор, валла, беседа"],
["ЗВУКОВОЙ ДИЗАЙН","НИЗКОЧАСТОТНОЕ ПОГРУЖЕНИЕ","DSGNBass","DSGN","Deep descending bass notes. Bass Drops.","бас погружение, понижение, бас падение, падение"],
["ЗВУКОВОЙ ДИЗАЙН","НИЗКОЧАСТОТНЫЙ УДАР","DSGNBoom","DSGN","Deep short and tight, low end stingers, big trailer deep hits. LFE type low end sweeteners.","бум, глубокий удар, низкий укус, трейлер"],
["ЗВУКОВОЙ ДИЗАЙН","ГОРН","DSGNBram","DSGN","Long deep horn like sounds. Like a War of the World's type long sound, or like a long french horn braam type sound.","брам"],
["ЗВУКОВОЙ ДИЗАЙН","ДИСТОРШН","DSGNDist","DSGN","Particulary distored designed sounds and distortion elements.","искажение, квадратный, искаженный"],
["ЗВУКОВОЙ ДИЗАЙН","ДРОН","DSGNDron","DSGN","Designed drones, eerie tense drones, long stylized sounds with not much activity or movement.","пэд, дрон, текстура, зловещий, напряженный"],
["ЗВУКОВОЙ ДИЗАЙН","ЖУТКИЕ","DSGNErie","DSGN","Often designed, but tense strange undefined sounds that are eerie, tense, suspenseful. Some overlap with DESIGNED-DRONE possible.","жуткий, напряженный, странный, жуткий, пугающий, леденящий, преследующий, причудливый, пугающий, "],
["ЗВУКОВОЙ ДИЗАЙН","ВОЗДУШНЫЕ","DSGNEthr","DSGN","Ethereal wispy designed sounds. Ghostlike whispers, or heavenly tones. Otherworldly. See also DESIGNED-EERIE.","бесплотный, небесный"],
["ЗВУКОВОЙ ДИЗАЙН","ГРАНУЛЯРНЫЕ","DSGNGran","DSGN","Granular synthesis, sounds that have a gritty textural type sound, think PaulStretch, sounds broken down into tiny slices and recompiled.","гранулированный, паулстретч, зерна, ломтики"],
["ЗВУКОВОЙ ДИЗАЙН","УДАР","DSGNImpt","DSGN","Designed huge impacts, collisions, stylized big hits. Possible overlap with DESIGNED-STINGER.","удар, удар, удар, удар, удар, удар, удар, столкновение"],
["ЗВУКОВОЙ ДИЗАЙН","РАЗНОЕ","DSGNMisc","DSGN","Designed sounds not fitting another category in this list.","разное"],
["ЗВУКОВОЙ ДИЗАЙН","МОРФИНГ","DSGNMorph","DSGN","A stylized blending of elements, something transitioning into another thing.","морф, смешивание, переход"],
["ЗВУКОВОЙ ДИЗАЙН","НАРАСТАНИЕ","DSGNRise","DSGN","Tension risers, things rising in tone, something similar to a rising string line to create tension.","реверс, крещендо, ризер, ризер, напряжение"],
["ЗВУКОВОЙ ДИЗАЙН","ГРОХОТ","DSGNRmbl","DSGN","Designed rumbles for layering into a mix. Earthquake rumbles. Composite rumble.","субгармонический, грохот, тряска, землетрясение"],
["ЗВУКОВОЙ ДИЗАЙН","РИТМИЧЕСКИЕ","DSGNRythm","DSGN","Stattaco or glitchy machine type loops, things with definied starts, stops, rhythmic stutters.","заикание, глюк, пульс, статтако"],
["ЗВУКОВОЙ ДИЗАЙН","ИСХОДНЫЙ РЕСУРС","DSGNSrce","DSGN","For recordings meant to be used as source for other designed sounds, experimental recordings, elements, etc.","источник, сырой, материал, сырая запись"],
["ЗВУКОВОЙ ДИЗАЙН","УДАР","DSGNStngr","DSGN","Stings, stylized screen sweeteners. Big trailer type sounds. Big shock scare type sounds. Stylized stings, hits and impacts. Overlap with DESIGNED-IMPACT.","жалить, поражать, трейлер, кинематографический"],
["ЗВУКОВОЙ ДИЗАЙН","СИНТЕТИЧЕСКИЕ","DSGNSynth","DSGN","Very synthesized sounds, very electronic synth stuff. Raw work files of synth-play.","синтезированный, синтезатор, модовый синтезатор, модульный синтезатор, гранулированный, аналоговый синтезатор, модульный синтезатор"],
["ЗВУКОВОЙ ДИЗАЙН","ТОНАЛЬНЫЕ","DSGNTonl","DSGN","Designed sounds with a particularly tonal nature. The ringing in your ear of tinnitus for example.","шум в ушах, звон, шок, субъективный"],
["ЗВУКОВОЙ ДИЗАЙН","ГОЛОС","DSGNVocl","DSGN","Design specifically around vocals, ghostly whispers, enchanted spells, reversed talking etc. Not for Creatures.","чары, заклинание, обработанный, вокал, шепот, призрачный"],
["ЗВУКОВОЙ ДИЗАЙН","ШУМ РАЗРЕЗАНИЯ ВОЗДУХА","DSGNWhsh","DSGN","Stylized designed big whooshes, definite possible overlap confusion with SHOOSHES-WHOOSH, but this for less natural and more stylized versions.","свист, свист трейлера, свист"],
["РАЗРУШЕНИЕ","ОБВАЛ","DESTRClpse","DESTR","Buildings and large mixed complex collapses, a barn collapse, Godzilla pushing over a building.","рухнуть, опрокинуться, упасть, взорваться"],
["РАЗРУШЕНИЕ","РАЗБИВАНИЕ И ОСКОЛКИ","DESTRCrsh","DESTR","Mixed crashes, complex crashes involving more than one material. So a combo huge glass and metal crash. See also individual material categories like METAL, WOOD etc.","крушение, разрыв, имплозия, разбиться, сломаться, разлететься вдребезги"],
["РАЗРУШЕНИЕ","РАЗНОЕ","DESTRMisc","DESTR","Destruction sounds not fitting another category in this list.","разное"],
["ГРЯЗЬ И ПЕСОК","РАЗЛЕТАНИЕ","DIRTCrsh","DIRT","Dirt or sand settling, as in after an explosion, big sprays of dirt and sand. DUST has its own subcategory.","обломки, песок, грязь, струйка, брызги, крошка"],
["ГРЯЗЬ И ПЕСОК","ПЫЛЬ","DIRTDust","DIRT","Settling dust, dust clouds, much lighter sound than DIRT & SAND-DEBRIS","мелкий, частица, осадок, ил, пыль"],
["ГРЯЗЬ И ПЕСОК","ОГНЕСТРЕЛЬНОЕ ОРУЖИЕ","DIRTHndl","DIRT","Handling dirt & sand, hands digging through dirt, children making a sand castle. Some overlap with DIRT & SAND-MOVEMENT.","обрабатывать, хватать, копать, ловить"],
["ГРЯЗЬ И ПЕСОК","УДАР","DIRTImpt","DIRT","Big hits and impacts of dirt of sand, dirt clods. Think the huge dirt ball impacts in WHERE THE WILD THINGS ARE.","выбрасывать, выбрасывать, выгружать, сбрасывать"],
["ГРЯЗЬ И ПЕСОК","РАЗНОЕ","DIRTMisc","DIRT","Dirt, Sand and Earth sounds not fitting another category in this list.","разное"],
["ГРЯЗЬ И ПЕСОК","ДВИЖЕНИЕ","DIRTMvmt","DIRT","Pouring, flowing of dirt or sand, a big sand pour. See also DIRT & SAND-HANDLE.","выливать, выгружать, вытекать, проливать"],
["ГРЯЗЬ И ПЕСОК","ТОНАЛЬНЫЙ","DIRTTonl","DIRT","Singing sand dunes. Probably pretty rare.","песчаные дюны, поющие пески"],
["ДВЕРИ","СТАРИННЫЕ","DOORAntq","DOOR","Very old sounding doors, as in an old castle or abbey. But massive doors of this type probably to DOOR-DUNGEON.","замок, аббатство, церковь, старый, древний, антикварный"],
["ДВЕРИ","БЫТОВОЙ ПРИБОР","DOORAppl","DOOR","Appliance doors such as oven, dishwasher, refrigerator or microwave.","духовка, микроволновая печь, холодильник, посудомоечная машина, стиральная машина, сушилка"],
["ДВЕРИ","ШКАФ","DOORCab","DOOR","Cabinet doors, such as kitchen cabinet, tool cabinets.","шкаф, кухонный шкаф, шкаф для инструментов"],
["ДВЕРИ","СОСТАВНЫЕ","DOORComp","DOOR","Fiberglass, wood steel combination, doors that don't sound like a specific material. A modern front door. Some confusion or overlap with DOORS-WOOD likely.","стекловолокно, дверь"],
["ДВЕРИ","скрип","DOORCreak","DOOR","Door creaks, wood or metal, overlap with WOOD-FRICTION and METAL-FRICTION, but specifically door creaks.","скрип, дверь, подземелье, подвал, замок, деревянная дверь, металлическая дверь, скрип двери"],
["ДВЕРИ","СРЕДНЕВЕКОВЫЙ ЗАМОК","DOORDungn","DOOR","That big old classic wood and/or metal heavy dungeon, castle type door.","замок, подземелье, большой, погреб"],
["ДВЕРИ","ЭЛЕКТРИЧЕСКИЕ","DOORElec","DOOR","Electric doors of all kinds, garage doors, big soundstage doors, sliding store doors. See also DOORS-REVOLVING.","электрическая дверь, гаражная дверь, звуковая дверь, автоматическая дверь"],
["ДВЕРИ","ВОРОТА","DOORGate","DOOR","Non-motorized gates, metal or wood. So a garden gate, a park gate. A farm gate.","садовые ворота, ворота в заборе, ворота в парке, железнодорожный переезд, ворота для скота, ворота для фермы"],
["ДВЕРИ","СТЕКЛЯННЫЕ","DOORGlas","DOOR","Glass doors, manual shopping store doors, glass home front doors. Most store doors would probably fit here.","стеклянная дверь, дверь магазина, эркерная дверь, французская дверь"],
["ДВЕРИ","ФУРНИТУРА","DOORHdwr","DOOR","Door knobs, door locks, deadbolts, chain locks, push bars. Lock Picking, Doorknob Jiggles.","дверная ручка, засов, нажимная планка, цепной замок, петля, защелка, ручка, фурнитура, взлом замков, качка"],
["ДВЕРИ","ВИСОКОТЕХНОЛОГИЧНЫЕ","DOORTech","DOOR","James bond type doors, something not quite sci-fi but more advanced, Modern lab, or air sealed chamber, vaults. See also SCIFI-DOOR.","лабораторная дверь"],
["ДВЕРИ","ГИДРАВЛИЧЕСКИЕ И ПНЕВМАТИЧЕСКИЕ","DOORHydr","DOOR","Self closing doors, lots of office and store doors are of this type. Also automatic doors if hydraulic or pneumatic.","доводчик, пневматический, гидравлический, люк с приводом"],
["ДВЕРИ","СТУК","DOORKnck","DOOR","Knocking on various door surfaces.","стук, стук, стук, стук, стук, стук, стук, стук"],
["ДВЕРИ","МЕТАЛЛИЧЕСКИЕ","DOORMetl","DOOR","Metal doors, like a vault door or heavy door. PRISON doors have their own category, as they are quite specific sounding.","закатывание, хранилище, сейф, люк"],
["ДВЕРИ","РАЗНОЕ","DOORMisc","DOOR","Door sounds not fitting another category in this list.","разное"],
["ДВЕРИ","ПЛАСТИКОВЫЕ","DOORPlas","DOOR","Doors made out of plastic. Not very common but maybe a door to a child's play house.","порт-джон, порт-лесс, порт-потти"],
["ДВЕРИ","ТЮРЬМА","DOORPrisn","DOOR","Big metal jail and prison doors. Sliding prison doors, or swinging jail doors.","дверь тюрьмы, дверь тюрьмы"],
["ДВЕРИ","ВРАЩАЮЩИЕСЯ","DOORRevl","DOOR","Classic revolving doors used as entries to hotels, banks, malls.","вращаться, вращать, вращающаяся дверь, гостиница, аэропорт, торговый центр"],
["ДВЕРИ","РАЗДВИЖНЫЕ","DOORSlid","DOOR","Manual sliding doors, such as a patio door, sliding shower doors. Electric sliding doors to DOORS-ELECTRIC.","раздвижная стеклянная дверь, дверь патио, душевая дверь"],
["ДВЕРИ","КАМЕННЫЕ","DOORSton","DOOR","Mostly a fantasy type door, but think Gates of Moria, big tombstone vault doors.","гробница, склеп, храм, мавзолей, тайный вход"],
["ДВЕРИ","МАЯТНИКОВЫЕ","DOORSwng","DOOR","Swinging doors, like old-west saloon or church pulpit doors. Doors on swinging springs.","дверь салуна, дверь транспорта, дверь ресторана, дверь церковной кафедры"],
["ДВЕРИ","ДЕРЕВЯННЫЕ","DOORWood","DOOR","Wood doors, home, school, most general door category probably.","вход, входная дверь, шкаф"],
